"","sample","condition","sodium_formate","M589.459T1372.544","M285.134T1052.907","M569.292T994.771","M637.414T1384.421","M867.584T1358.969","M593.485T1401.37","M985.571T1146.934"
"1","C12.1","Control",3985225.417,22898.1671,10686.981,1421.487,53442.2594,18354.2891,156741.0441,1537.3531
"2","C12.3","Control",3922751.054,83715.581,221176.579,116906.609,143299.106,32761.048,216680.445,178876.252
"3","C12.4","Control",3861917.098,104461.691,269413.681,125497.818,151115.548,35158.164,263561.921,191828.13
"4","X12.1","Xanthomonas",3815932.471,252427.935,212892.242,112297.945,235868.344,32630.246,333378.112,115500.518
"5","X12.2","Xanthomonas",3878102.735,160733.435,259981.006,149970.546,172879.439,28642.034,233447.098,145428.538
"6","X12.3","Xanthomonas",3825451.14,141000,304000,178000,177000,24200,320000,125000
