"","PC1","PC2","PC3","PC4","PC5"
"M367.15T410.425",0.017432,-0.13479,0.067164,-0.19774,-0.02119
"M589.228T896.878",0.093944,-0.08288,0.04627,0.10763,-0.076313
"M617.489T1624.961",0.087173,-0.046661,-0.019809,0.035148,0.043328
"M535.409T1440.116",0.080929,0.0049685,0.029223,-0.08655,-0.046269
"M673.432T1355.711",0.043558,-0.012782,-0.0056812,0.045796,-0.0056213
"M817.317T940.819",0.11098,-0.077935,0.028602,-0.098648,0.0088144
"M438.146T926.75",0.057987,-0.053067,0.067083,0.14866,0.049521
"M535.375T1490.352",0.069125,-0.060345,0.0085854,-0.062145,0.023627
"M808.52T1220.972",-0.1065,-0.093448,0.088278,0.085085,-0.007565
"M577.49T1591.335",0.070485,0.0084841,-0.0077921,0.052439,-0.017923
"M1059.419T884.787",0.088787,-0.12983,-0.015856,0.12993,0.059937
"M813.332T1056.081",0.10161,-0.1474,0.037463,0.018218,0.084857
"M869.334T919.017",0.068534,-0.11643,-0.017096,0.025584,0.047705
"M449.347T1490.033",0.057084,-0.0030883,-0.084898,0.089105,-0.020361
"M374.303T1319.161",-0.11134,-0.067104,0.046904,-0.11581,-0.078968
"M504.265T1099.137",-0.10163,-0.048991,0.036724,-0.082942,0.023127
"M479.188T913.185",0.14658,-0.013437,0.094635,-0.16081,-0.069429
"M291.195T1053.001",-0.056371,-0.085061,0.059537,0.019255,-0.0071588
"M821.505T1179.269",-0.074041,-0.019878,0.046666,0.10587,0.033883
"M820.327T1006.792",0.08414,-0.11054,-0.010536,-0.066925,0.063436
"M764.518T1295.888",-0.072455,-0.11511,-0.042048,0.022932,0.095368
"M471.313T1295.888",-0.079566,0.080473,-0.0856,-0.068918,-0.024618
"M534.402T1422.678",0.070537,-0.05794,-0.10794,-0.0055506,0.015772
"M765.518T1313.696",-0.063167,-0.042229,0.0055269,0.032403,0.020601
"M415.326T1295.888",-0.075642,-0.048613,-0.046718,-0.04253,0.029291
"M653.413T1286.062",0.032229,-0.023704,-0.03052,-0.033748,-0.017689
"M1102.351T817.469",0.025754,-0.092096,0.023242,-0.12693,-0.0026522
"M549.424T1473.203",0.076119,-0.034405,-0.07852,-0.0093008,-0.018486
"M787.545T1575.098",0.098141,0.14677,0.11385,0.19351,-0.042484
"M567.43T1421.35",0.054334,-0.02659,0.026626,-0.0067933,0.012993
"M798.839T1023.188",0.099099,-0.13898,0.083345,0.062288,0.045421
"M764.517T1325.086",-0.076305,-0.065805,-0.0079269,0.026609,-0.041139
"M677.438T1339.916",0.10042,0.0018436,-0.063457,0.041091,-0.0013358
