"","filter","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3"
"M549.19T901.604",159750.36525,20566.5312,102832.656,274541.633,295983.379,214992.341,422000
"M822.526T1212.039",65603.5285,20208.255,210598.901,205964.119,127573.452,125301.597,148000
"M351.108T857.905",48867.32625,21445.2347,289118.119,176069.92,113495.353,148254.396,156000
"M640.557T1608.472",14582.06575,52851.229,54887.321,61274.378,94407.514,69764.604,71500
"M423.212T1319.031",115204.6255,126128.3267,320811.701,278610.073,151524.935,138495.594,192000
"M541.474T1573.977",91140.4035,5777.828,52112.167,58834.071,179022.931,144732.186,145000
"M519.225T1025.439",95870.56725,2596.0179,34676.039,129507.647,103614.575,153872.438,163000
"M817.32T1025.439",33788.22575,4833.8009,10536.783,41665.759,52476.337,58008.278,51000
"M629.459T1473.698",50578.99275,154737.2125,288053.576,279524.287,377048.767,296942.408,344000
"M847.517T1163.004",609937.26175,2174.9207,874899.681,875194.389,109854.253,162387.237,307000
"M898.349T936.403",31701.5405,9190.3884,48918.711,69643.952,87182.225,81659.572,88300
"M652.416T1356.524",52962.50125,28020.5514,162743.201,209119.406,176182.552,222380.918,237000
"M449.365T1540.699",25987.38075,155479.3609,174479.126,204876.936,205463.853,208933.328,232000
"M537.533T1295.888",38675.2717,8050.1714,68647.361,58469.949,6408.495,13261.754,9820
"M561.396T1195.638",30071.4515,17371.921,85726.851,778915.499,62164.298,48253.015,54300
"M530.218T901.604",73684.08675,1903.1543,39487.65,108556.667,132686.191,123697.391,142000
"M812.538T1253.346",26898.719,24249.117,81771.399,99545.275,54445.107,57125.786,46800
"M495.298T1036.333",78509.84575,3108.3069,141614.109,135255.078,52455.281,61529.43,33600
"M367.15T410.425",27852.97225,23149.3148,39264.813,73062.191,53419.755,86948.198,43400
"M589.228T896.878",33920.24475,2019.5915,24321.582,49432.362,63849.123,64742.988,96400
"M617.489T1624.961",131914.514,89331.7896,117002.527,178159.556,280149.602,228825.193,276000
"M535.409T1440.116",74561.55015,109958.9858,99747.134,110307.357,191143.505,203617.327,165000
"M673.432T1355.711",26830.29425,13628.2601,163104.37,174641.862,195017.335,186224.144,202000
"M817.317T940.819",127721.57,14439.3851,44197.551,97452.08,195643.671,217119.934,154000
"M438.146T926.75",19072.6715,3205.8092,50703.909,69619.004,69568.122,76117.177,109000
"M535.375T1490.352",76605.843175,127001.4741,120584.546,172386.853,220938.216,227138.556,197000
"M808.52T1220.972",69272.55275,8213.0399,120697.147,159858.192,28625.011,58426.197,59300
"M577.49T1591.335",79717.1515,135842.0042,152439.223,164729.178,243198.698,211319.359,254000
"M1059.419T884.787",129807.8645,810.8953,71001.183,205845.58,235989.816,181580.021,315000
"M813.332T1056.081",35251.411,3272.8688,11942.724,42455.745,50424.292,56288.423,60500
"M869.334T919.017",47907.82,13744.4729,53492.947,107737.704,116718.456,105782.951,117000
"M449.347T1490.033",41593.05925,113243.658,110810.716,125642.701,178415.271,123539.49,168000
"M374.303T1319.161",58758.987475,67083.7649,103723.931,112107.063,28558.011,57545.575,27200
"M504.265T1099.137",153049.708,8042.4331,280340.786,278250.498,95723.916,159371.254,95400
"M479.188T913.185",201956.573,760.3332,29252.107,50165.806,252249.473,413214.6,189000
"M291.195T1053.001",80381.844,3826.4803,285157.375,352887.774,185197.346,252647.289,231000
"M821.505T1179.269",97227.15125,24685.4566,262457.535,244059.415,123427.283,154987.791,182000
"M820.327T1006.792",31755.73775,1367.9568,22036.529,48770.183,65417.338,63100.907,52600
"M764.518T1295.888",44737.2865,66300.1355,170012.442,262870.922,111316.063,114860.009,112000
"M471.313T1295.888",56437.615,21542.8486,299762.258,166034.244,148654.726,121606.998,99800
"M534.402T1422.678",51297.80325,65285.8828,92021.557,143253.735,222648.424,141997.851,160000
"M765.518T1313.696",46258.778,53331.2503,177554.745,185700.313,116151.872,129826.493,129000
"M1003.558T1223.957",7555.10925000001,2525.8699,144753.656,157369.376,141501.428,150990.355,143000
"M415.326T1295.888",52166.70525,71958.1766,148196.442,159772.345,92720.78,94998.275,79400
"M653.413T1286.062",13527.1635,25271.1283,157173.717,167730.592,181305.482,174786.799,169000
"M1102.351T817.469",16194.77375,12334.977,50863.077,69708.58,65042.586,76466.076,56800
"M549.424T1473.203",65768.50175,92484.1327,106916.649,147552.381,242720.256,170376.335,187000
"M787.545T1575.098",48431.3154,35366.2348,55158.77,23378.149,85098.074,89961.554,234000
"M567.43T1421.35",13229.845,168212.9707,71620.73,81850.383,94654.253,98641.594,97200
"M798.839T1023.188",29717.00925,1645.3419,10807.334,35321.432,36850.514,49920.319,60600
"M764.517T1325.086",73718.44625,66349.916,225187.785,260891.895,128335.262,145316.216,141000
"M677.438T1339.916",140142.203,10473.4191,99987.334,129116.181,316712.483,191646.995,266000
"M832.307T992.353",41444.87,4371.5082,25767.383,75470.659,81588.381,71789.03,79800
"M455.315T1295.888",70612.797,76561.8221,363482.892,285738.052,220287.449,210050.417,195000
"M297.239T1626.197",23956.27775,146574,118088.086,93969.488,149707.595,127632.631,138000
"M471.314T1308.231",99152.45425,49886.6001,398392.899,264998.934,237721.598,171108.583,155000
"M455.313T1308.231",56703.596,88010.9163,403000.098,307984.046,329174.637,279693.573,263000
"M392.284T1436.378",103309.78695,121283.2694,342323.099,257792.304,123894.04,127606.084,107000
