"","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Xanthomonas","Xanthomonas","Xanthomonas"
"M822.526T1212.039"," 20208.26","210598.90","205964.12","127573.45","125301.60","148000.00"
"M351.108T857.905"," 21445.23","289118.12","176069.92","113495.35","148254.40","156000.00"
"M640.557T1608.472","52851.23","54887.32","61274.38","94407.51","69764.60","71500.00"
"M423.212T1319.031","126128.3","320811.7","278610.1","151524.9","138495.6","192000.0"
"M541.474T1573.977","  5777.828"," 52112.167"," 58834.071","179022.931","144732.186","145000.000"
"M519.225T1025.439","  2596.018"," 34676.039","129507.647","103614.575","153872.438","163000.000"
"M817.32T1025.439"," 4833.801","10536.783","41665.759","52476.337","58008.278","51000.000"
"M629.459T1473.698","154737.2","288053.6","279524.3","377048.8","296942.4","344000.0"
"M847.517T1163.004","  2174.921","874899.681","875194.389","109854.253","162387.237","307000.000"
"M898.349T936.403"," 9190.388","48918.711","69643.952","87182.225","81659.572","88300.000"
"M652.416T1356.524"," 28020.55","162743.20","209119.41","176182.55","222380.92","237000.00"
"M449.365T1540.699","155479.4","174479.1","204876.9","205463.9","208933.3","232000.0"
"M537.533T1295.888"," 8050.171","68647.361","58469.949"," 6408.495","13261.754"," 9820.000"
"M561.396T1195.638"," 17371.92"," 85726.85","778915.50"," 62164.30"," 48253.01"," 54300.00"
"M530.218T901.604","  1903.154"," 39487.650","108556.667","132686.191","123697.391","142000.000"
"M812.538T1253.346","24249.12","81771.40","99545.27","54445.11","57125.79","46800.00"
"M495.298T1036.333","  3108.307","141614.109","135255.078"," 52455.281"," 61529.430"," 33600.000"
"M367.15T410.425","23149.31","39264.81","73062.19","53419.75","86948.20","43400.00"
"M589.228T896.878"," 2019.591","24321.582","49432.362","63849.123","64742.988","96400.000"
"M617.489T1624.961"," 89331.79","117002.53","178159.56","280149.60","228825.19","276000.00"
"M535.409T1440.116","109958.99"," 99747.13","110307.36","191143.51","203617.33","165000.00"
"M673.432T1355.711"," 13628.26","163104.37","174641.86","195017.33","186224.14","202000.00"
"M817.317T940.819"," 14439.39"," 44197.55"," 97452.08","195643.67","217119.93","154000.00"
"M438.146T926.75","  3205.809"," 50703.909"," 69619.004"," 69568.122"," 76117.177","109000.000"
"M535.375T1490.352","127001.5","120584.5","172386.9","220938.2","227138.6","197000.0"
"M808.52T1220.972","  8213.04","120697.15","159858.19"," 28625.01"," 58426.20"," 59300.00"
"M577.49T1591.335","135842.0","152439.2","164729.2","243198.7","211319.4","254000.0"
"M1059.419T884.787","   810.8953"," 71001.1830","205845.5800","235989.8160","181580.0210","315000.0000"
"M813.332T1056.081"," 3272.869","11942.724","42455.745","50424.292","56288.423","60500.000"
"M869.334T919.017"," 13744.47"," 53492.95","107737.70","116718.46","105782.95","117000.00"
"M449.347T1490.033","113243.7","110810.7","125642.7","178415.3","123539.5","168000.0"
"M374.303T1319.161"," 67083.76","103723.93","112107.06"," 28558.01"," 57545.57"," 27200.00"
"M504.265T1099.137","  8042.433","280340.786","278250.498"," 95723.916","159371.254"," 95400.000"
"M479.188T913.185","   760.3332"," 29252.1070"," 50165.8060","252249.4730","413214.6000","189000.0000"
"M291.195T1053.001","  3826.48","285157.38","352887.77","185197.35","252647.29","231000.00"
"M821.505T1179.269","     0.0","262457.5","244059.4","123427.3","154987.8","182000.0"
"M820.327T1006.792"," 1367.957","22036.529","48770.183","65417.338","63100.907","52600.000"
"M764.518T1295.888"," 66300.14","170012.44","262870.92","111316.06","114860.01","112000.00"
"M471.313T1295.888"," 21542.85","299762.26","166034.24","148654.73","121607.00"," 99800.00"
"M534.402T1422.678"," 65285.88"," 92021.56","143253.73","222648.42","141997.85","160000.00"
"M765.518T1313.696"," 53331.25","177554.74","185700.31","116151.87","129826.49","129000.00"
"M1003.558T1223.957","  2525.87","144753.66","157369.38","141501.43","150990.36","143000.00"
"M415.326T1295.888"," 71958.18","148196.44","159772.35"," 92720.78"," 94998.27"," 79400.00"
"M653.413T1286.062"," 25271.13","157173.72","167730.59","181305.48","174786.80","169000.00"
"M1102.351T817.469","12334.98","50863.08","69708.58","65042.59","76466.08","56800.00"
"M549.424T1473.203"," 92484.13","106916.65","147552.38","242720.26","170376.33","187000.00"
"M787.545T1575.098"," 35366.23"," 55158.77"," 23378.15"," 85098.07"," 89961.55","234000.00"
"M567.43T1421.35","168212.97"," 71620.73"," 81850.38"," 94654.25"," 98641.59"," 97200.00"
"M798.839T1023.188"," 1645.342","10807.334","35321.432","36850.514","49920.319","60600.000"
"M764.517T1325.086"," 66349.92","225187.79","260891.89","128335.26","145316.22","141000.00"
"M677.438T1339.916"," 10473.42"," 99987.33","129116.18","316712.48","191646.99","266000.00"
"M832.307T992.353"," 4371.508","25767.383","75470.659","81588.381","71789.030","79800.000"
"M455.315T1295.888"," 76561.82","363482.89","285738.05","220287.45","210050.42","195000.00"
"M297.239T1626.197","146574.00","118088.09"," 93969.49","149707.60","127632.63","138000.00"
"M471.314T1308.231"," 49886.6","398392.9","264998.9","237721.6","171108.6","155000.0"
"M455.313T1308.231"," 88010.92","403000.10","307984.05","329174.64","279693.57","263000.00"
"M392.284T1436.378","121283.3","342323.1","257792.3","123894.0","127606.1","107000.0"
"M399.308T1262.042","  64986.72","2172556.17"," 632565.32"," 102347.39"," 110044.56","  96100.00"
"M549.428T1523.962"," 60481.75"," 69344.60"," 85810.02","142936.03","112454.87","119000.00"
"M807.348T918.929","   4041.138"," 253963.057"," 691204.147"," 480118.833","2051316.747"," 722000.000"
"M542.478T1573.977"," 9044.00","29286.76","15302.82","69384.99","68707.27","73800.00"
"M522.261T1109.944","  5867.81","154053.76","181417.95"," 58708.41"," 90665.46","121000.00"
"M653.412T1258.482"," 19085.38","135177.64","149758.37","163223.82","157346.26","154000.00"
"M475.412T1607.605","33636.32","29122.15","12141.74","43617.62","53087.71","60000.00"
"M653.413T1377.63"," 35834.48","124807.53","135234.22","210781.90","163588.23","156000.00"
"M330.263T1492.022","146481.5","176199.2","177938.5","140695.5","135165.7","131000.0"
"M447.35T1507.107"," 76515.01","116777.74","199474.34","120724.19"," 57278.38"," 80000.00"
"M722.259T892.9","  10426.70"," 540138.79","6109886.12","  71196.57","  70023.07","  82300.00"
"M523.599T1382.768","218080.1","317868.6","315921.9","148600.1","189794.4","216000.0"
"M549.431T1507.08"," 99370.89"," 96042.49","103299.31","185634.64","145343.02","154000.00"
"M330.262T1456.934","110351.9","137110.3","140737.0","119751.6","113404.8"," 94500.0"
"M435.346T1540.43","74630.00","62488.28","56945.86","83865.09","66405.03","92100.00"
"M576.484T1557.453"," 43791.06"," 64461.49"," 67670.81","172602.88","101121.04","152000.00"
"M467.383T1523.593"," 52699.21"," 57843.56"," 69790.60","150212.90"," 86896.93"," 82800.00"
"M951.603T1424.253"," 56709.91"," 69557.29"," 92135.71","557435.34","383538.85","595000.00"
"M477.403T1542.988"," 68754.77"," 72109.81"," 93786.98","120210.91"," 92936.35"," 97600.00"
"M477.407T1590.788"," 83304.49"," 82232.18","104177.77","135185.52","112824.30","109000.00"
"M549.426T1489.95"," 92561.85","100676.42","133273.35","241057.65","162981.32","174000.00"
"M471.336T1557.26"," 75170.60"," 74425.39"," 96848.86","162500.23","115305.12","108000.00"
"M330.263T1439.913","113723.4","142481.7","144695.6","119679.3","116487.6"," 98000.0"
"M629.529T1601.79","132953.4","136004.8","102248.1","304906.0","188421.4","271000.0"
"M505.27T1240.129"," 36869.38","496398.96","487628.52","317315.66","481984.99","260000.00"
"M576.533T1641.124","28320.66","22442.07","14288.02","81091.53","61469.20","73900.00"
"M619.438T1245.233"," 12008.94","387624.43","451165.77","110680.50"," 67480.76"," 81600.00"
"M313.161T1621.4","61415.94","68126.84","53976.47","90550.33","81216.19","81400.00"
"M505.253T1269.605"," 14742.23","348384.97","275499.65","197391.15","287364.50","214000.00"
"M494.565T1319.161","188625.4","417460.7","297804.2","293896.7","181891.4","254000.0"
"M535.447T1540.43"," 63646.63"," 65862.82"," 65775.47","104541.86"," 73961.27"," 92000.00"
"M477.398T1574.327"," 75046.82"," 72226.53"," 93786.98","120210.91"," 92936.35"," 97600.00"
"M691.433T1253.346","112036.4","461054.1","487173.9","345790.7","343169.6","348000.0"
"M341.283T1305.932"," 94925.39","710584.57","226058.78"," 94123.00"," 94227.35"," 82000.00"
"M330.261T1473.013","105049.8","129928.7","132831.0","119751.6","113404.8"," 92400.0"
"M339.172T1490.329","44191.59","27250.67","21719.25","41205.43","55429.68","45400.00"
"M477.343T1423.013","48754.95","56632.00","58826.35","53518.85","57553.72","50600.00"
"M332.328T1440.13","115359.6","142796.5","167103.2","111378.3","130734.8","105000.0"
"M494.563T1509.9","304154.7","234099.8","171452.2","442772.7","298333.3","394000.0"
"M481.362T1591.564","33792.03","45292.62","33077.86","60368.22","54566.01","46100.00"
"M443.333T1262.042","  40654.56","2291206.76"," 726799.04"," 118782.98"," 113333.93","  93500.00"
"M510.367T1523.593","139590.33"," 86069.98"," 86114.55","103007.91"," 92108.12"," 97300.00"
"M545.456T1607.833","108912.17"," 73195.07"," 68086.86"," 91129.67"," 86335.24","145000.00"
"M669.539T1543.447","121295.60"," 80496.05","105264.37","114652.56","108839.52","117000.00"
"M669.531T1507.08","111179.86"," 65231.82"," 86689.23","110019.14"," 89638.83","113000.00"
"M383.284T1439.726","125217.3","251315.5","205205.8","146863.4","150923.8","145000.0"
"M589.501T1621.712","261732.00"," 73577.31"," 55522.83"," 85230.06"," 92011.26","159000.00"
"M534.444T1557.26"," 85462.73"," 77456.07"," 71460.74","133144.72","105068.93","121000.00"
"M494.565T1422.678","263375.7","463612.2","367002.5","409578.0","275449.1","358000.0"
"M609.518T1624.418","60609.94","55474.25","35151.34","61880.59","53509.73","63200.00"
"M465.265T1237.073"," 42836.11","242014.04","261681.82","207875.86","178654.98","180000.00"
"M605.432T1239.559"," 77368.51","396644.25","322817.74","431058.22","204528.53","219000.00"
