"","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Xanthomonas","Xanthomonas","Xanthomonas"
"M882.48T1339.403","2833.8675","41238.903","83587.362","70084.716","59958.009","82100"
"M575.477T1491.784","51828.3738","396062.429","474009.313","704093.702","442494.57","563000"
"M564.206T918.312","14449.2054","72246.027","159157.715","197681.821","216958.784","183000"
"M564.208T942.149","14452.3426","72261.713","154063.082","195224.054","216690.617","194000"
"M343.224T1621.712","92913.615","74256.778","76141.645","88033.238","96225.8","98500"
"M609.455T1145.906","6740.1617","213102.146","159285.699","31575.697","35059.624","20600"
"M771.504T1195.638","15659.5635","2245550.871","923252.551","213308.063","388733.561","335000"
"M523.36T1271.932","5383.0818","90698.732","26915.409","83096.014","76072.454","122000"
"M660.514T1439.78","53435.1168","64048.514","84776.995","168740.433","97882.839","1e+05"
"M351.253T1019.694","1520.0722","527161.428","557457.259","370944.738","654572.844","493000"
"M949.553T1173.004","6534.1658","287701.91","304004.312","125718.91","236454.997","202000"
"M875.492T1306.216","8245.2166","155010.606","163775.175","121505.496","137739.985","147000"
"M979.313T847.893","19186.6118","92208.476","141842.26","155608.779","146807.147","116000"
"M349.196T1335.803","75647.5845","276402.411","325289.758","283897.181","306317.557","257000"
"M691.436T1356.203","154783.5503","474924.558","498460.371","416685.124","460855.97","420000"
"M575.479T1456.772","48282.7975","370685.513","418133.836","701091.354","434828.828","563000"
"M919.292T824.161","18116.16","79143.518","98309.012","124151.225","129258.78","107000"
"M545.37T1372.761","64437.8885","302206.961","501401.305","139966.701","112248.603","104000"
"M1085.421T973.898","2067.7404","16936.01","42844.698","71519.151","68305.752","62300"
"M1114.854T834.347","1632.2042","18760.064","39563.037","34730.724","45129.218","30700"
"M987.579T1163.004","3790.8404","262791.614","292594.352","113984.482","199217.9","179000"
"M441.224T1179.269","21410.8204","204453.412","236661.998","82182.654","91593.239","82400"
"M899.349T990.311","9439.3442","36165.836","46198.488","55894.897","68165.655","62900"
"M659.418T1406.262","20041.8402","41430.614","45006.678","96218.587","75766.659","92100"
"M841.471T1389.363","11133.0174","49892.71","48079.15","75696.56","60264.215","78100"
"M655.418T1389.36","15634.8247","135264.745","132831.438","202295.446","159099.94","135000"
"M575.479T1473.048","53767.9902","330893.103","375060.77","709622.62","446816.53","563000"
"M575.481T1540.694","55946.6022","330893.103","375060.77","709890.255","447113.369","571000"
"M331.187T1104.601","23353.744","294471.293","357966.739","262856.22","328619.036","290000"
"M549.424T1386.472","81933.5463","177754.677","268521.32","430165.555","274975.311","226000"
"M423.211T1338.363","122076.2597","310222.07","269250.678","180229.806","146713.112","192000"
"M886.353T1006.792","9396.4631","35386.349","54429.982","57339.016","60500.361","62000"
"M585.283T918.479","4197.5368","57708.363","67834.892","30407.499","51174.449","49500"
"M956.379T959.199","14181.0908","48687.792","84594.569","85661.455","80593.021","99200"
"M329.157T1608.526","122997.5359","94952.883","85513.005","126411.515","152113.222","137000"
"M549.19T901.604","20566.5312","102832.656","274541.633","295983.379","214992.341","422000"
"M822.526T1212.039","20208.255","210598.901","205964.119","127573.452","125301.597","148000"
"M351.108T857.905","21445.2347","289118.119","176069.92","113495.353","148254.396","156000"
"M640.557T1608.472","52851.229","54887.321","61274.378","94407.514","69764.604","71500"
"M423.212T1319.031","126128.3267","320811.701","278610.073","151524.935","138495.594","192000"
"M541.474T1573.977","5777.828","52112.167","58834.071","179022.931","144732.186","145000"
"M519.225T1025.439","2596.0179","34676.039","129507.647","103614.575","153872.438","163000"
"M817.32T1025.439","4833.8009","10536.783","41665.759","52476.337","58008.278","51000"
"M629.459T1473.698","154737.2125","288053.576","279524.287","377048.767","296942.408","344000"
"M847.517T1163.004","2174.9207","874899.681","875194.389","109854.253","162387.237","307000"
"M898.349T936.403","9190.3884","48918.711","69643.952","87182.225","81659.572","88300"
"M652.416T1356.524","28020.5514","162743.201","209119.406","176182.552","222380.918","237000"
"M449.365T1540.699","155479.3609","174479.126","204876.936","205463.853","208933.328","232000"
"M537.533T1295.888","8050.1714","68647.361","58469.949","6408.495","13261.754","9820"
"M561.396T1195.638","17371.921","85726.851","778915.499","62164.298","48253.015","54300"
"M530.218T901.604","1903.1543","39487.65","108556.667","132686.191","123697.391","142000"
"M812.538T1253.346","24249.117","81771.399","99545.275","54445.107","57125.786","46800"
"M495.298T1036.333","3108.3069","141614.109","135255.078","52455.281","61529.43","33600"
"M367.15T410.425","23149.3148","39264.813","73062.191","53419.755","86948.198","43400"
"M589.228T896.878","2019.5915","24321.582","49432.362","63849.123","64742.988","96400"
"M617.489T1624.961","89331.7896","117002.527","178159.556","280149.602","228825.193","276000"
"M535.409T1440.116","109958.9858","99747.134","110307.357","191143.505","203617.327","165000"
"M673.432T1355.711","13628.2601","163104.37","174641.862","195017.335","186224.144","202000"
"M817.317T940.819","14439.3851","44197.551","97452.08","195643.671","217119.934","154000"
"M438.146T926.75","3205.8092","50703.909","69619.004","69568.122","76117.177","109000"
"M535.375T1490.352","127001.4741","120584.546","172386.853","220938.216","227138.556","197000"
"M808.52T1220.972","8213.0399","120697.147","159858.192","28625.011","58426.197","59300"
"M577.49T1591.335","135842.0042","152439.223","164729.178","243198.698","211319.359","254000"
"M1059.419T884.787","810.8953","71001.183","205845.58","235989.816","181580.021","315000"
"M813.332T1056.081","3272.8688","11942.724","42455.745","50424.292","56288.423","60500"
"M869.334T919.017","13744.4729","53492.947","107737.704","116718.456","105782.951","117000"
"M449.347T1490.033","113243.658","110810.716","125642.701","178415.271","123539.49","168000"
"M374.303T1319.161","67083.7649","103723.931","112107.063","28558.011","57545.575","27200"
"M504.265T1099.137","8042.4331","280340.786","278250.498","95723.916","159371.254","95400"
"M479.188T913.185","760.3332","29252.107","50165.806","252249.473","413214.6","189000"
"M291.195T1053.001","3826.4803","285157.375","352887.774","185197.346","252647.289","231000"
"M821.505T1179.269","24685.4566","262457.535","244059.415","123427.283","154987.791","182000"
"M820.327T1006.792","1367.9568","22036.529","48770.183","65417.338","63100.907","52600"
"M764.518T1295.888","66300.1355","170012.442","262870.922","111316.063","114860.009","112000"
"M471.313T1295.888","21542.8486","299762.258","166034.244","148654.726","121606.998","99800"
"M534.402T1422.678","65285.8828","92021.557","143253.735","222648.424","141997.851","160000"
"M765.518T1313.696","53331.2503","177554.745","185700.313","116151.872","129826.493","129000"
"M415.326T1295.888","71958.1766","148196.442","159772.345","92720.78","94998.275","79400"
"M653.413T1286.062","25271.1283","157173.717","167730.592","181305.482","174786.799","169000"
"M1102.351T817.469","12334.977","50863.077","69708.58","65042.586","76466.076","56800"
"M549.424T1473.203","92484.1327","106916.649","147552.381","242720.256","170376.335","187000"
"M787.545T1575.098","35366.2348","55158.77","23378.149","85098.074","89961.554","234000"
"M567.43T1421.35","168212.9707","71620.73","81850.383","94654.253","98641.594","97200"
"M798.839T1023.188","1645.3419","10807.334","35321.432","36850.514","49920.319","60600"
"M764.517T1325.086","66349.916","225187.785","260891.895","128335.262","145316.216","141000"
"M677.438T1339.916","10473.4191","99987.334","129116.181","316712.483","191646.995","266000"
"M832.307T992.353","4371.5082","25767.383","75470.659","81588.381","71789.03","79800"
"M455.315T1295.888","76561.8221","363482.892","285738.052","220287.449","210050.417","195000"
"M297.239T1626.197","146574","118088.086","93969.488","149707.595","127632.631","138000"
"M471.314T1308.231","49886.6001","398392.899","264998.934","237721.598","171108.583","155000"
"M455.313T1308.231","88010.9163","403000.098","307984.046","329174.637","279693.573","263000"
"M392.284T1436.378","121283.2694","342323.099","257792.304","123894.04","127606.084","107000"
"M399.308T1262.042","64986.7223","2172556.166","632565.324","102347.387","110044.556","96100"
"M549.428T1523.962","60481.7533","69344.604","85810.02","142936.033","112454.871","119000"
"M807.348T918.929","4041.1379","253963.057","691204.147","480118.833","2051316.747","722000"
"M542.478T1573.977","9044","29286.757","15302.819","69384.993","68707.273","73800"
"M522.261T1109.944","5867.8096","154053.761","181417.946","58708.411","90665.459","121000"
"M653.412T1258.482","19085.3778","135177.639","149758.372","163223.819","157346.258","154000"
"M475.412T1607.605","33636.3167","29122.145","12141.735","43617.621","53087.707","60000"
"M653.413T1377.63","35834.4817","124807.531","135234.216","210781.897","163588.229","156000"
"M330.263T1492.022","146481.4689","176199.229","177938.484","140695.51","135165.686","131000"
"M447.35T1507.107","76515.0103","116777.742","199474.338","120724.187","57278.375","80000"
"M722.259T892.9","10426.6994","540138.794","6109886.122","71196.574","70023.067","82300"
"M523.599T1382.768","218080.0938","317868.564","315921.916","148600.122","189794.41","216000"
"M549.431T1507.08","99370.8879","96042.493","103299.308","185634.636","145343.016","154000"
"M330.262T1456.934","110351.8984","137110.335","140737.016","119751.591","113404.789","94500"
"M435.346T1540.43","74630","62488.279","56945.862","83865.094","66405.033","92100"
"M576.484T1557.453","43791.0566","64461.487","67670.811","172602.877","101121.043","152000"
"M467.383T1523.593","52699.2113","57843.559","69790.605","150212.898","86896.931","82800"
"M951.603T1424.253","56709.9076","69557.287","92135.708","557435.338","383538.853","595000"
"M477.403T1542.988","68754.7701","72109.807","93786.975","120210.907","92936.348","97600"
"M477.407T1590.788","83304.4861","82232.177","104177.767","135185.524","112824.299","109000"
"M549.426T1489.95","92561.8468","100676.424","133273.353","241057.649","162981.319","174000"
"M471.336T1557.26","75170.5993","74425.386","96848.858","162500.226","115305.119","108000"
"M330.263T1439.913","113723.4082","142481.663","144695.624","119679.325","116487.621","98000"
"M629.529T1601.79","132953.3609","136004.841","102248.094","304905.987","188421.4","271000"
"M505.27T1240.129","36869.3834","496398.964","487628.523","317315.658","481984.987","260000"
"M576.533T1641.124","28320.6636","22442.071","14288.021","81091.533","61469.199","73900"
"M619.438T1245.233","12008.9388","387624.432","451165.77","110680.498","67480.761","81600"
"M313.161T1621.4","61415.9419","68126.836","53976.472","90550.332","81216.187","81400"
"M505.253T1269.605","14742.2336","348384.973","275499.654","197391.146","287364.501","214000"
"M494.565T1319.161","188625.3734","417460.715","297804.155","293896.667","181891.41","254000"
"M535.447T1540.43","63646.6289","65862.823","65775.467","104541.856","73961.272","92000"
"M477.398T1574.327","75046.8231","72226.53","93786.975","120210.907","92936.348","97600"
"M691.433T1253.346","112036.4451","461054.068","487173.897","345790.688","343169.594","348000"
"M341.283T1305.932","94925.3883","710584.568","226058.778","94122.998","94227.35","82000"
"M330.261T1473.013","105049.7819","129928.674","132830.97","119751.591","113404.789","92400"
"M339.172T1490.329","44191.5894","27250.668","21719.252","41205.431","55429.678","45400"
"M332.328T1440.13","115359.5825","142796.475","167103.206","111378.278","130734.828","105000"
"M494.563T1509.9","304154.6608","234099.816","171452.201","442772.659","298333.334","394000"
"M481.362T1591.564","33792.0262","45292.622","33077.863","60368.219","54566.008","46100"
"M443.333T1262.042","40654.5627","2291206.757","726799.035","118782.977","113333.931","93500"
"M510.367T1523.593","139590.3329","86069.976","86114.553","103007.907","92108.115","97300"
"M545.456T1607.833","108912.1658","73195.075","68086.862","91129.673","86335.237","145000"
"M669.531T1507.08","111179.8598","65231.819","86689.232","110019.144","89638.834","113000"
"M383.284T1439.726","125217.2578","251315.529","205205.782","146863.405","150923.835","145000"
"M589.501T1621.712","261732","73577.312","55522.835","85230.062","92011.256","159000"
"M534.444T1557.26","85462.7331","77456.066","71460.738","133144.723","105068.925","121000"
"M494.565T1422.678","263375.7243","463612.2","367002.545","409578.048","275449.132","358000"
"M465.265T1237.073","42836.1105","242014.038","261681.816","207875.858","178654.975","180000"
"M605.432T1239.559","77368.5134","396644.254","322817.741","431058.217","204528.534","219000"
