"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M423.211T1338.363",-0.053276,0.060292,0.018618,0.0382,0.085508,0.087272,-0.06344,-0.15443,0.066893,-0.055765,0.040809,-0.027483
"M886.353T1006.792",0.066562,-0.041815,0.12044,-0.025212,0.075656,0.044833,0.068171,0.012951,-0.00085262,-0.050664,0.0021965,-0.0064586
"M585.283T918.479",-0.078542,-0.061853,-0.075864,-0.046715,0.097943,0.011703,-0.13139,0.033607,-0.13407,0.0784,-0.016218,-0.019033
"M956.379T959.199",0.061141,-0.068623,0.11082,-0.061709,0.078531,0.018336,-0.062355,-0.01086,-0.049329,-0.052908,0.068743,-0.035843
"M329.157T1608.526",0.066716,0.012079,-0.025496,-0.0020387,0.0569,-0.084967,-0.086259,0.15655,0.022412,-0.030657,-0.035644,0.021008
"M351.108T857.905",-0.062282,-0.049421,0.023919,0.10558,0.13798,-0.060491,-0.17952,-0.04945,-0.022753,-0.020929,-0.11391,0.0012789
"M640.557T1608.472",0.069033,0.013298,0.024265,-0.0013723,0.0595,0.10249,-0.084783,-0.065723,0.16626,0.033108,0.0086963,-0.04498
"M423.212T1319.031",-0.068667,0.031636,0.030224,0.044584,0.090202,0.089505,-0.084393,-0.11701,0.01731,-0.10537,0.080732,-0.027655
"M541.474T1573.977",0.11106,-0.010006,-0.066141,0.0099157,-0.032643,0.20431,-0.11892,0.012297,0.044821,-0.03525,-0.055167,-0.010389
"M629.459T1473.698",0.05039,0.09252,-0.0017658,-0.036739,-0.046692,-0.10525,-0.022977,-0.037999,-0.065134,-0.03474,-0.11444,0.044205
"M847.517T1163.004",-0.1338,0.016639,0.062015,-0.00061343,0.1638,-0.095248,0.061335,-0.082275,-0.11706,-0.063404,0.13237,-0.010201
"M652.416T1356.524",0.040792,0.057074,0.012873,-0.052832,0.071838,0.082918,0.04277,0.13787,-0.054341,-0.12722,0.055006,0.0060929
"M449.365T1540.699",0.061245,0.083915,0.06467,-0.022034,-0.0027573,1.4675e-05,-0.022014,0.054754,-0.11212,0.023108,-0.0072555,-0.029551
"M537.533T1295.888",-0.16056,-0.043482,-0.075832,-0.026218,-0.15919,0.047231,-0.19004,0.057833,-0.22769,0.12506,0.069348,-0.06038
"M561.396T1195.638",-0.11042,0.040548,0.086695,-0.27691,-0.00056336,0.10954,0.10324,-0.14923,-0.086858,-0.017581,-0.055476,-0.0050146
"M812.538T1253.346",-0.0838,0.0078587,-0.038316,-0.082658,0.020359,-0.0076801,-0.05799,0.00075636,0.058551,0.2008,0.098337,-0.064648
"M495.298T1036.333",-0.095675,-0.0095192,0.090871,-0.029127,0.11028,-0.13454,-0.1849,0.024425,0.17899,0.16823,-0.08757,-0.0016866
"M617.489T1624.961",0.093392,0.0135,0.020219,-0.030131,0.11615,0.13395,-0.029739,-0.033242,0.085109,0.023662,0.062685,-0.057339
"M535.409T1440.116",0.088145,0.026092,0.030639,-0.028723,-0.053086,-0.023479,0.007608,0.16719,0.043171,-0.10535,-0.03497,0.027412
"M433.152T909.874",0.043643,-0.05731,0.024506,-0.043202,0.064569,-0.029297,0.050517,0.014488,-0.10269,-0.017513,-0.0074087,0.00092219
"M817.317T940.819",0.091893,-0.093219,0.0032996,-0.10268,-0.00095015,0.050212,0.05556,0.12988,0.076317,0.068038,0.1061,-0.0091496
"M438.146T926.75",0.06004,-0.079264,0.1035,0.014989,0.12237,0.024177,-0.030811,-0.028644,-0.11434,-0.083893,0.065136,0.024611
"M535.375T1490.352",0.073296,0.041917,0.036301,-0.089689,-0.0016995,-0.047691,0.051115,0.09632,0.0031035,-0.00057649,-0.067318,-0.0067866
"M808.52T1220.972",-0.10863,0.042307,0.011302,-0.060382,0.14341,0.039459,-0.043061,0.08591,-0.070731,-0.13583,-0.03109,-0.028143
"M577.49T1591.335",0.072941,0.026907,-0.032856,0.0015098,0.084353,0.10716,-0.034194,-0.056468,0.047188,-0.051741,-0.028094,-0.01695
"M813.332T1056.081",0.094456,-0.10156,0.098379,-0.12616,-0.0017841,0.047835,-0.034404,0.080496,-0.14134,0.0077971,0.076605,-0.0017922
"M869.334T919.017",0.067384,-0.073038,0.094487,-0.084114,-0.011501,0.035133,-0.061266,-0.023404,-0.12599,0.091915,0.038952,0.010178
"M325.162T1642.868",0.049991,0.039179,-0.050302,-0.024802,0.074202,-0.083741,0.0011708,0.13596,-0.068369,-0.032276,0.083906,0.02588
"M449.347T1490.033",0.079131,0.080317,0.061153,-0.019781,-0.029835,-0.012415,-0.048077,-0.036685,-0.048767,-0.021303,0.037669,-0.02801
"M374.303T1319.161",-0.11434,-0.050252,0.05152,-0.00099609,-0.10125,0.084736,-0.028919,0.15456,-0.023104,0.088593,0.041271,-0.029462
"M605.427T1212.039",-0.06024,-0.066549,-0.10385,-0.020583,-0.050088,0.054366,0.10492,-0.12957,-0.029397,-0.010225,-0.14925,0.027231
"M504.265T1099.137",-0.095863,0.067911,-0.0016479,-0.019191,0.014481,0.073513,0.10228,0.06063,0.045441,-0.056429,-0.2078,0.010507
"M479.188T913.185",0.12114,-0.15852,0.0062799,-0.0019682,0.028687,0.067953,0.13871,0.13032,0.12345,-0.070137,-0.10629,0.077708
"M291.195T1053.001",-0.063077,-0.1119,0.047452,-0.017135,0.17379,-0.012978,-0.024222,-0.032748,0.08141,-0.11969,-0.072005,0.023915
"M821.505T1179.269",-0.054548,0.076892,0.014992,0.027835,0.1269,0.087872,0.015343,0.010439,-0.011108,-0.086248,0.058911,-0.011554
"M820.327T1006.792",0.078197,-0.1158,0.12561,-0.052864,-0.014602,0.076773,-0.017937,0.0029501,-0.019195,0.019219,-0.047897,0.01166
"M682.262T843.183",-0.043165,-0.1032,0.12153,0.03684,-0.016578,-0.069898,-0.11528,0.038422,0.03306,-0.067318,-0.005255,0.024884
"M576.484T1473.551",0.086118,-0.01449,-0.018437,-0.049094,-0.0069573,0.024606,-0.089504,-0.078689,0.09169,0.060897,-0.0041556,-0.018532
"M764.518T1295.888",-0.02097,0.11252,0.14296,-0.081777,0.10722,-0.0072599,-0.090332,0.056605,0.042401,0.062753,0.046766,-0.011893
"M471.313T1295.888",-0.072711,0.04753,-0.021289,0.068498,-0.11577,-0.040352,-0.049909,-0.094345,0.070387,-0.010771,-0.18193,0.031448
"M617.506T1594.034",0.084998,0.021906,0.024961,-0.063199,0.09321,0.12764,-0.044072,-0.059089,0.095256,0.057439,0.097734,-0.064514
"M534.402T1422.678",0.076786,0.065115,0.055207,-0.11701,-0.013851,-0.099944,0.0098659,-0.021444,0.051525,-0.037253,-0.018298,0.035932
"M765.518T1313.696",-0.049913,0.056293,0.023964,-0.014058,0.069914,0.076233,-0.016261,-0.0024147,0.017711,-0.064644,-0.045311,-0.0048024
"M415.326T1295.888",-0.054404,-0.071598,0.14414,0.035454,-0.012551,0.064378,-0.06232,-0.036211,0.058634,-0.02175,-0.01312,0.0094063
