"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M443.333T1262.042",2.2681,1.9191,1.8852,1.8673,1.8644,1.8634,1.8634,1.8634
"M399.308T1262.042",2.1665,1.8294,1.8086,1.7917,1.7891,1.7883,1.7882,1.7882
"M722.259T892.9",2.1424,1.8093,1.7829,1.7824,1.7837,1.786,1.7858,1.7858
"M951.603T1424.253",2.0982,1.8957,1.9473,1.9312,1.9284,1.9273,1.9272,1.9271
"M537.533T1295.888",1.9889,1.7042,1.7137,1.715,1.7137,1.7127,1.7126,1.7126
"M609.455T1145.906",1.8976,1.629,1.5999,1.5851,1.5831,1.5825,1.5823,1.5823
"M847.517T1163.004",1.8291,1.5389,1.5132,1.4975,1.4953,1.4944,1.4943,1.4943
"M619.438T1245.233",1.7381,1.4624,1.4404,1.4242,1.4232,1.4231,1.423,1.423
"M576.533T1641.124",1.7007,1.4323,1.4044,1.3891,1.388,1.3875,1.3874,1.3873
"M479.188T913.185",1.638,1.3795,1.4479,1.4366,1.437,1.4362,1.4362,1.4362
"M341.283T1305.932",1.6172,1.3613,1.3353,1.335,1.333,1.3327,1.3328,1.3328
"M374.303T1319.161",1.6116,1.359,1.3369,1.3221,1.3201,1.3193,1.3193,1.3193
"M495.298T1036.333",1.5965,1.4624,1.4384,1.423,1.4238,1.4233,1.4231,1.4231
"M771.504T1195.638",1.5933,1.3969,1.3697,1.3693,1.371,1.3702,1.37,1.37
"M787.545T1575.098",1.4754,1.3918,1.3674,1.3508,1.3528,1.3524,1.3525,1.3526
"M542.478T1573.977",1.473,1.2552,1.2342,1.2194,1.2271,1.2264,1.2263,1.2263
"M561.396T1195.638",1.4675,1.2361,1.2122,1.1975,1.2038,1.2062,1.2063,1.2063
"M556.445T1212.039",1.466,1.2572,1.2604,1.2597,1.2629,1.2644,1.2644,1.2644
"M1085.421T973.898",1.4439,1.2947,1.2713,1.2562,1.2544,1.2565,1.2564,1.2564
"M772.55T1170.538",1.4201,1.221,1.2192,1.2048,1.2038,1.2031,1.203,1.203
"M392.284T1436.378",1.4031,1.1849,1.162,1.1495,1.1478,1.1472,1.1471,1.1471
"M475.412T1607.605",1.3725,1.1559,1.1531,1.1396,1.145,1.1446,1.1445,1.1445
"M808.52T1220.972",1.36,1.1647,1.1421,1.1337,1.1335,1.1345,1.1344,1.1344
"M541.474T1573.977",1.3554,1.19,1.2184,1.2105,1.2112,1.2113,1.2112,1.2112
"M629.509T1624.418",1.3187,1.1483,1.1269,1.1159,1.1142,1.1137,1.1138,1.1138
"M629.529T1601.79",1.3153,1.125,1.1201,1.1068,1.1053,1.1047,1.1048,1.1048
"M415.326T1295.888",1.305,1.5292,1.5011,1.4857,1.4836,1.4828,1.4827,1.4827
"M628.514T1473.756",1.3046,1.1066,1.1849,1.1721,1.1705,1.17,1.1699,1.1699
"M817.317T940.819",1.2985,1.1012,1.117,1.1099,1.1083,1.1079,1.1081,1.1081
"M659.418T1406.262",1.2811,1.2785,1.2634,1.2531,1.2513,1.251,1.251,1.251
"M722.581T1518.016",1.269,1.0682,1.1786,1.2022,1.2029,1.2025,1.2027,1.2027
"M545.37T1372.761",1.2511,1.0564,1.0386,1.0444,1.0501,1.0496,1.0495,1.0494
"M589.501T1621.712",1.2367,1.0681,1.0627,1.0921,1.0916,1.0928,1.0928,1.0928
"M533.435T1510.689",1.2355,1.0431,1.0229,1.0126,1.0146,1.0141,1.014,1.014
"M535.409T1440.116",1.2333,1.0427,1.0625,1.0638,1.0626,1.0625,1.0624,1.0624
"M494.563T1509.9",1.2285,1.0702,1.0554,1.0424,1.0409,1.0404,1.0404,1.0404
"M828.538T1289.688",1.225,1.0629,1.1044,1.1107,1.1113,1.1115,1.1114,1.1114
"M576.484T1557.453",1.2074,1.0669,1.0501,1.038,1.0367,1.0365,1.0365,1.0365
"M423.212T1319.031",1.1928,1.1361,1.1458,1.1318,1.1331,1.1333,1.1332,1.1332
"M351.108T857.905",1.1847,1.2026,1.2023,1.1984,1.1976,1.197,1.197,1.197
"M339.172T1490.329",1.167,1.2627,1.2383,1.2252,1.2243,1.2271,1.2271,1.227
"M549.426T1489.95",1.1193,0.94508,0.96789,0.96662,0.96668,0.96618,0.96611,0.9661
"M549.428T1523.962",1.1122,0.93626,0.92099,0.91368,0.91744,0.91692,0.91686,0.91686
"M516.434T1624.418",1.1119,1.0279,1.0418,1.0445,1.048,1.0477,1.0476,1.0476
"M441.224T1179.269",1.0957,0.97262,0.95612,0.96994,0.96856,0.96856,0.96851,0.96851
"M513.25T1338.968",1.0906,1.4607,1.4386,1.4236,1.4217,1.4213,1.4213,1.4213
"M534.444T1557.26",1.0862,0.91499,0.93328,0.94614,0.94492,0.94444,0.94454,0.94453
"M523.599T1382.768",1.0749,0.9781,0.96574,0.95545,0.95401,0.95348,0.95338,0.95339
"M564.208T942.149",1.0649,0.90404,0.88902,0.88683,0.88703,0.88731,0.88743,0.88743
"M549.431T1507.08",1.0634,0.90538,0.88775,0.87704,0.87691,0.87641,0.87635,0.87635
"M504.265T1099.137",1.0618,1.0078,0.99178,0.99874,0.99756,0.99703,0.99713,0.99712
"M535.375T1490.352",1.0509,0.8936,0.90096,0.90192,0.90216,0.90173,0.9017,0.90169
"M605.416T1473.993",1.0484,0.96387,0.96126,0.9595,0.96195,0.9614,0.96136,0.96136
"M605.427T1490.314",1.0255,0.87273,0.86666,0.8604,0.85995,0.85981,0.85973,0.85973
"M329.158T1625.781",1.0252,0.88842,0.87112,0.86048,0.85987,0.85937,0.85933,0.85934
"M576.484T1473.551",1.0218,0.91469,0.92524,0.92443,0.92386,0.92343,0.92333,0.92333
"M534.402T1422.678",1.0212,0.85973,0.85199,0.85585,0.85871,0.85887,0.85882,0.85882
"M465.26T1373.143",1.0212,1.8304,1.8092,1.7869,1.7845,1.7839,1.7838,1.7838
"M291.195T1053.001",1.0101,0.88932,0.88798,0.89077,0.89185,0.89213,0.89205,0.89207
"M841.471T1389.363",1.0086,0.85446,0.84983,0.86161,0.86049,0.86001,0.85993,0.85994
"M682.262T843.183",1.0038,1.1361,1.1349,1.1275,1.1259,1.1254,1.1255,1.1255
"M677.438T1339.916",1.003,0.84397,0.83081,0.85117,0.85696,0.85695,0.85706,0.85707
"M329.157T1608.526",0.99241,0.85242,0.8389,0.83043,0.82947,0.82901,0.82892,0.82891
"M558.46T1591.049",0.9751,0.87483,0.86769,0.87069,0.87396,0.87421,0.87419,0.87419
"M471.336T1557.26",0.9737,0.82256,0.8289,0.82486,0.82607,0.82598,0.82596,0.82596
"M617.489T1624.961",0.97247,1.0099,1.0075,0.99528,0.99454,0.99447,0.99464,0.99463
"M812.538T1253.346",0.96249,0.86669,0.87618,0.87197,0.87546,0.87514,0.87521,0.87521
"M867.584T1358.969",0.95747,1.0664,1.0482,1.1832,1.1816,1.1836,1.1844,1.1844
"M618.492T1624.789",0.95543,0.87671,0.8734,0.86264,0.86133,0.86125,0.86135,0.86135
"M423.211T1338.363",0.95539,0.94113,0.98203,0.97095,0.97105,0.97091,0.97082,0.97082
"M325.162T1642.868",0.95179,0.96083,0.94855,0.94479,0.94349,0.94295,0.94286,0.94286
"M986.591T1195.638",0.9469,0.83024,0.81433,0.80635,0.80604,0.806,0.80614,0.80614
"M471.313T1295.888",0.93205,0.78821,0.79538,0.78622,0.78531,0.78527,0.78551,0.78552
"M471.796T1446.028",0.93007,0.87113,0.8647,0.85403,0.85279,0.85263,0.85254,0.85256
"M585.283T918.479",0.92934,0.8154,0.84618,0.87603,0.8749,0.8744,0.87438,0.87438
"M522.261T1109.944",0.92275,0.83001,0.84056,0.83092,0.82967,0.82968,0.8296,0.82961
"M813.332T1056.081",0.91893,1.0186,1.0176,1.0195,1.019,1.0196,1.0196,1.0196
"M545.456T1607.833",0.91047,0.77845,0.7634,0.76239,0.76318,0.76311,0.76318,0.76322
"M628.528T1608.773",0.90904,0.96644,1.0121,1.0091,1.0076,1.0084,1.0083,1.0083
"M455.315T1295.888",0.8858,0.75698,0.74248,0.73763,0.73698,0.73661,0.73668,0.73668
"M383.284T1439.726",0.88169,0.74975,0.76165,0.75307,0.75204,0.75175,0.75173,0.75173
"M577.49T1591.335",0.87929,0.77994,0.79983,0.78998,0.79115,0.79127,0.79125,0.79124
"M575.481T1540.694",0.87776,0.86314,0.88658,0.88341,0.88207,0.88198,0.88194,0.88193
"M343.224T1621.712",0.87237,0.81261,0.80524,0.82407,0.82296,0.82275,0.8227,0.82269
"M575.479T1473.048",0.87151,0.86201,0.88338,0.87978,0.87844,0.87837,0.87832,0.87831
"M617.506T1594.034",0.86027,0.93689,0.94796,0.93686,0.93544,0.93559,0.93575,0.93575
"M879.468T1338.726",0.8565,0.78012,0.78151,0.77459,0.77589,0.77547,0.77631,0.77631
"M669.531T1507.08",0.85541,0.85746,0.85606,0.85598,0.85632,0.85659,0.85653,0.85653
"M535.447T1540.43",0.85356,0.90731,0.89264,0.89629,0.89493,0.89492,0.89495,0.89494
"M477.407T1590.788",0.84883,0.7432,0.72911,0.72438,0.72822,0.7278,0.72777,0.72777
"M481.362T1591.564",0.84763,0.71329,0.77402,0.79706,0.79597,0.79569,0.79567,0.79571
"M660.517T1423.005",0.84309,0.93997,0.94097,0.93052,0.93471,0.93431,0.93429,0.9343
"M313.161T1621.4",0.84237,1.2576,1.2466,1.2313,1.2297,1.2297,1.2296,1.2296
"M737.493T1439.78",0.83993,0.708,0.70068,0.69223,0.69138,0.69099,0.69168,0.69167
"M549.424T1473.203",0.83729,1.002,0.99832,0.98891,0.98741,0.98798,0.98794,0.98794
"M630.465T1474.173",0.83491,0.71534,0.75905,0.75,0.75163,0.75134,0.75128,0.75127
"M297.239T1626.197",0.82911,0.71525,0.70187,0.69607,0.69502,0.69466,0.695,0.695
"M882.48T1339.403",0.82091,0.77667,0.76545,0.80584,0.80622,0.81137,0.81139,0.81139
"M628.529T1624.373",0.81353,1.0123,1.0807,1.0718,1.0705,1.0716,1.0716,1.0716
"M477.403T1542.988",0.81347,0.72003,0.71762,0.7123,0.71802,0.71766,0.71767,0.71766
"M652.503T1490.314",0.81322,0.82026,0.84664,0.83683,0.83578,0.8353,0.83557,0.83557
"M449.347T1490.033",0.80515,0.86291,0.85263,0.85322,0.85262,0.85235,0.85233,0.85233
"M477.398T1574.327",0.79651,0.67018,0.66194,0.65911,0.66228,0.66209,0.66203,0.66202
"M567.43T1421.35",0.79224,0.6666,0.65845,0.65681,0.66101,0.66103,0.66101,0.66101
"M449.369T1557.545",0.79048,0.80484,0.79593,0.80096,0.80033,0.80025,0.80032,0.80032
"M821.505T1179.269",0.7786,0.66107,0.65494,0.67202,0.67675,0.67698,0.67701,0.67702
"M629.463T1474.173",0.77713,0.67138,0.69611,0.68953,0.68882,0.68848,0.68842,0.68842
"M985.571T1146.934",0.75858,0.78388,0.83222,0.82617,0.8265,0.82628,0.82623,0.82623
"M609.518T1624.418",0.75397,0.76066,0.76538,0.75913,0.75831,0.7586,0.75866,0.75865
"M669.562T1624.559",0.74895,0.80691,0.81342,0.81338,0.81241,0.81222,0.81214,0.81213
"M629.459T1473.698",0.74886,0.63894,0.6312,0.64056,0.64345,0.64308,0.64327,0.64326
"M575.479T1456.772",0.7451,0.75452,0.78586,0.78043,0.77925,0.77982,0.77984,0.77983
"M765.518T1313.696",0.73991,0.63699,0.63349,0.63524,0.63554,0.63603,0.63604,0.63604
"M351.179T1358.969",0.73299,0.72642,0.75782,0.77577,0.77633,0.77615,0.77618,0.77618
"M467.383T1523.593",0.7247,0.92468,0.90858,0.90167,0.90029,0.9001,0.90004,0.90005
"M425.216T1401.37",0.7214,1.0675,1.0485,1.0356,1.0345,1.0341,1.034,1.034
"M722.58T1595.75",0.71572,0.66929,0.81205,0.86472,0.86354,0.86518,0.86548,0.86549
"M669.539T1543.447",0.71404,0.74928,0.74857,0.7537,0.75545,0.75526,0.75518,0.75518
"M629.464T1456.367",0.70243,0.61364,0.64282,0.63598,0.63551,0.63516,0.63509,0.63509
"M764.518T1295.888",0.67905,0.95806,0.94313,0.95771,0.9581,0.95799,0.95804,0.95803
"M578.503T1590.788",0.67612,0.73808,0.76695,0.7593,0.75926,0.75902,0.75896,0.75897
"M764.517T1325.086",0.65712,0.848,0.84054,0.88232,0.88101,0.8806,0.88061,0.88061
"M423.321T1473.286",0.65082,0.57225,0.56822,0.59057,0.59687,0.59683,0.59714,0.59714
"M393.189T1440.567",0.65024,0.80169,0.78755,0.78175,0.78228,0.78203,0.78194,0.78194
"M492.408T1557.26",0.6485,0.59788,0.59084,0.58771,0.58838,0.58818,0.58814,0.58814
"M332.328T1440.13",0.63937,0.54572,0.53625,0.53454,0.53409,0.53387,0.53423,0.53423
"M295.151T1624.873",0.6314,0.53322,0.53884,0.55455,0.55451,0.55514,0.5551,0.5551
"M652.416T1356.524",0.62579,0.54746,0.55438,0.58465,0.58812,0.59064,0.59081,0.59081
"M899.349T990.311",0.61913,0.66966,0.74547,0.73637,0.73537,0.73495,0.73495,0.73495
"M449.365T1540.699",0.61073,0.67274,0.66132,0.67404,0.67416,0.67378,0.67372,0.67372
"M640.557T1608.472",0.59908,0.847,0.86684,0.8573,0.85641,0.85623,0.85622,0.85621
"M487.775T1256.694",0.59131,0.63237,0.62253,0.64519,0.64533,0.64637,0.64679,0.64679
"M331.187T1104.601",0.58091,0.59068,0.57935,0.61972,0.61987,0.62051,0.62047,0.62047
"M510.367T1523.593",0.57802,0.7168,0.70285,0.73946,0.73837,0.73804,0.73809,0.73809
"M425.215T1355.365",0.55207,0.96302,0.9456,0.93394,0.93414,0.93377,0.93367,0.93366
"M465.265T1237.073",0.54357,0.92753,0.92599,0.91802,0.91675,0.91706,0.91697,0.91697
"M433.152T909.874",0.53918,0.45993,0.48461,0.48369,0.48317,0.4829,0.48289,0.48291
"M635.491T1472.841",0.52069,0.89695,0.92657,0.9175,0.91618,0.91574,0.9157,0.9157
"M423.198T1506.423",0.51688,0.66432,0.68671,0.68191,0.6831,0.68335,0.68331,0.68331
"M820.327T1006.792",0.51621,1.1023,1.093,1.0969,1.0955,1.0951,1.0951,1.0951
"M330.263T1492.022",0.51036,0.53107,0.54348,0.55746,0.55666,0.55734,0.55731,0.55731
"M886.353T1006.792",0.50604,0.83916,0.86357,0.85343,0.85241,0.85227,0.85229,0.85229
"M919.292T824.161",0.48767,0.67661,0.67226,0.69059,0.69065,0.69076,0.6907,0.6907
"M330.263T1439.913",0.46749,0.43764,0.42914,0.43816,0.43755,0.43819,0.43815,0.43816
"M533.436T1590.96",0.46368,1.0195,1.004,0.99452,0.99486,0.9943,0.99435,0.99435
"M869.334T919.017",0.45777,0.95322,0.9351,0.94456,0.94685,0.9464,0.94633,0.94633
"M605.427T1212.039",0.45405,0.7908,0.77752,0.79243,0.79128,0.79092,0.79083,0.79083
"M516.411T1568.021",0.45015,0.50778,0.51238,0.50886,0.50945,0.50925,0.5092,0.50919
"M330.262T1456.934",0.41975,0.39561,0.39036,0.39851,0.39834,0.39895,0.39893,0.39895
"M430.319T1557.453",0.39756,0.40043,0.39751,0.4074,0.42105,0.42395,0.42391,0.42391
"M386.164T943.456",0.37346,1.6442,1.6613,1.6484,1.6472,1.6466,1.6465,1.6465
"M956.379T959.199",0.36197,0.9285,0.91556,0.91029,0.90891,0.9097,0.90961,0.90961
"M807.348T918.929",0.33945,1.3415,1.4005,1.4346,1.4343,1.44,1.4408,1.4408
"M330.261T1473.013",0.32928,0.32366,0.31962,0.32829,0.32958,0.32976,0.32976,0.32979
