"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas","Xanthomonas"
"M425.216T1401.37"," 0.07578253"," 0.19664433"," 0.39744986"," 0.04899272"," 0.09537612","-0.01327306","-0.13933379"," 0.02480904"," 0.15055553","-0.45237321","-0.22411962","-0.16051045"
"M430.319T1557.453","-0.407360798","-0.391686696"," 0.071878967"," 0.051576135"," 0.387845541"," 0.112047246","-0.209757097"," 0.253644195"," 0.053741749","-0.008504915","-0.088031593"," 0.174607265"
"M392.284T1436.378"," 0.925178976"," 0.624367270"," 0.003033791","-0.039781991","-0.038917915","-0.014131018","-0.221927859","-0.165483359","-0.365843171","-0.184710708","-0.169712998","-0.352071018"
"M386.164T943.456","-0.61410844","-0.41087704"," 0.88905835"," 0.20124714","-0.05104404"," 0.95833772","-0.44499077"," 0.48907321"," 0.02466997","-0.41668529","-0.24600252","-0.37867828"
"M635.491T1472.841","-0.372507875","-0.297391450","-0.130766974"," 0.006177981","-0.003950940","-0.227293039"," 0.480678236"," 0.123065662"," 0.738721408","-0.053128881","-0.290024834"," 0.026420706"
"M399.308T1262.042"," 1.6898500"," 0.8595075","-0.2356522"," 0.1239903","-0.1859911","-0.1911889","-0.2608113","-0.2711682","-0.4009784","-0.3737798","-0.3353712","-0.4184066"
"M578.503T1590.788","-0.44816491","-0.29521092","-0.08869422","-0.13948355"," 0.17099830","-0.29744477"," 0.47990360"," 0.13042754"," 0.53855402","-0.04705094","-0.29580052"," 0.29196637"
"M549.428T1523.962","-0.57750737","-0.29795588","-0.08908081"," 0.11773511","-0.61732871","-0.12427275"," 0.41515337"," 0.28930127"," 0.40260242"," 0.34046912"," 0.02750812"," 0.11337610"
"M807.348T918.929","-0.96825591","-0.35964686"," 1.30210966","-0.02668066"," 0.38135782"," 1.28840954","-0.23517297","-0.80647748"," 0.03390263","-0.57057504"," 0.28890893","-0.32787967"
"M542.478T1573.977","-0.66093905","-1.21393962","-0.05843727","-0.08672839"," 0.42528322","-0.05365117"," 0.45184227"," 0.52609632"," 0.29305383"," 0.11613971"," 0.09346262"," 0.16781752"
"M522.261T1109.944"," 0.55493187"," 0.75775829","-0.27477645"," 0.22702476","-0.06216880","-0.30042002","-0.28989182","-0.23661757","-0.14726108","-0.50613700","-0.03235563"," 0.30991343"
"M425.215T1355.365"," 0.064951840"," 0.025636018"," 0.346996525","-0.022546556"," 0.176538151"," 0.002076502","-0.075712576"," 0.106033055"," 0.153771597","-0.361266854","-0.205928696","-0.210549006"
"M605.427T1490.314","-0.57707059","-0.24502018","-0.13232513","-0.08074593","-0.33647720","-0.05120601"," 0.32308937"," 0.37902300"," 0.24994907"," 0.39240458"," 0.03235945"," 0.04601957"
"M475.412T1607.605","-0.38190965","-1.20472456","-0.04489128"," 0.16848771"," 0.26214676","-0.27736400"," 0.16068944"," 0.25302127"," 0.49472469"," 0.03138086"," 0.20406651"," 0.33437226"
"M330.263T1492.022"," 0.430001476"," 0.477789641","-0.119866332","-0.237496647","-0.124487707","-0.048520469","-0.271475901","-0.031372810","-0.008257317"," 0.059350741","-0.046277407","-0.079387269"
"M629.463T1474.173","-0.35351902","-0.25404496","-0.03700587","-0.02213661","-0.07822085","-0.45291364"," 0.32006485"," 0.05382658"," 0.57135182"," 0.23118624","-0.16313576"," 0.18454722"
"M722.259T892.9"," 0.8186981"," 2.1999610","-0.1907290","-0.3556964","-0.4353042","-0.2563913","-0.4131749","-0.2222891","-0.2707806","-0.3121101","-0.3306560","-0.2315274"
"M737.493T1439.78","-0.64222773","-0.26532608","-0.15052391","-0.14330616"," 0.33167218","-0.14795117"," 0.20122938"," 0.08105624"," 0.43628581"," 0.16765787"," 0.17716272","-0.04572916"
"M523.599T1382.768"," 0.523993805"," 0.537557915","-0.121172322"," 0.121159314","-0.040336232"," 0.050430096","-0.262688465","-0.172406413"," 0.076706973","-0.523735544","-0.196991315"," 0.007482189"
"M549.431T1507.08","-0.58938038","-0.47034903"," 0.12806314"," 0.02881421","-0.28124504","-0.17476531"," 0.34324656"," 0.20096946"," 0.41710839"," 0.33440405","-0.01655020"," 0.07968416"
"M351.179T1358.969"," 0.10394236"," 0.26810670","-0.11034170"," 0.34684224"," 0.25855840"," 0.28372869","-0.28733196","-0.26887633","-0.17641690","-0.07791407","-0.12768620","-0.21261122"
"M330.262T1456.934"," 0.35261474"," 0.43174709","-0.24900891","-0.07899536","-0.03490010","-0.23693701","-0.13985978"," 0.07076057"," 0.02728496"," 0.14830536"," 0.01441597","-0.30542753"
"M576.484T1557.453","-0.75488394","-0.68316484","-0.03158946"," 0.05978351","-0.01623675"," 0.03458729"," 0.23354783"," 0.36270686"," 0.42734427"," 0.37594820","-0.23924463"," 0.23120166"
"M467.383T1523.593","-0.70423925","-0.47619246"," 0.37172875","-0.13703734"," 0.17998401","-0.08520055"," 0.52210872"," 0.41210647"," 0.02898569"," 0.39673581","-0.23507832","-0.27390153"
"M951.603T1424.253","-0.99465115","-0.77642635","-0.48824026"," 0.48684559"," 0.17648940","-0.76159627"," 0.26026416"," 0.08876913"," 0.58075702"," 0.55617278"," 0.26931599"," 0.60229997"
"M477.403T1542.988","-0.401396055"," 0.008263346","-0.466949179"," 0.020057190","-0.271322100","-0.189159609"," 0.398214208"," 0.056659564"," 0.385025810"," 0.391052679","-0.011293136"," 0.080847281"
"M477.407T1590.788","-0.462606567","-0.059738424","-0.311457167","-0.009552126","-0.336115806","-0.081765178"," 0.304413349"," 0.148608676"," 0.343918220"," 0.375633963"," 0.060956217"," 0.027704843"
"M549.426T1489.95","-0.62860250","-0.26491944"," 0.13827482","-0.32809063","-0.41329898","-0.04499589"," 0.37001882"," 0.19297712"," 0.44967873"," 0.47764191","-0.02290920"," 0.07422525"
"M471.336T1557.26","-0.59711047","-0.23483825"," 0.09063927","-0.08724028","-0.47291545","-0.08717052"," 0.28223125"," 0.38390028"," 0.36452443"," 0.45274803","-0.01376427","-0.08100400"
"M330.263T1439.913"," 0.38295515"," 0.44238609","-0.19512130","-0.12633721","-0.02442376","-0.23083443","-0.13581321"," 0.07061472","-0.01939229"," 0.10198169"," 0.01930696","-0.28532240"
