"","correlation","t-stat","p-value","FDR"
"M561.396T1195.638",0.30721,1.0208,0.33139,0.55823
"M423.212T1319.031",0.30595,1.0162,0.33348,0.55823
"M545.456T1607.833",-0.30479,-1.012,0.3354,0.55823
"M652.416T1356.524",-0.30322,-1.0062,0.33803,0.55823
"M577.49T1591.335",-0.30233,-1.003,0.33951,0.55823
"M589.501T1621.712",-0.29593,-0.97971,0.35034,0.55918
"M329.158T1625.781",-0.29544,-0.9779,0.35119,0.55918
"M438.146T926.75",-0.29448,-0.97442,0.35283,0.55918
"M477.403T1542.988",-0.29343,-0.97065,0.35462,0.55918
"M737.493T1439.78",-0.28947,-0.95634,0.36145,0.55918
"M722.259T892.9",0.28885,0.95409,0.36253,0.55918
"M487.775T1256.694",0.28859,0.95317,0.36298,0.55918
"M576.484T1473.551",-0.28598,-0.94376,0.36753,0.56115
"M504.265T1099.137",0.28189,0.9291,0.37472,0.56705
"M956.379T959.199",-0.27846,-0.91682,0.38082,0.57122
"M455.315T1295.888",0.27466,0.90329,0.38761,0.57628
"M343.224T1621.712",-0.27225,-0.89474,0.39196,0.57628
"M832.307T992.353",-0.27028,-0.88775,0.39553,0.57628
"M479.188T913.185",-0.26766,-0.87847,0.40031,0.57628
"M374.303T1319.161",0.26551,0.87087,0.40425,0.57628
"M392.284T1436.378",0.26475,0.86818,0.40565,0.57628
"M425.215T1355.365",-0.26202,-0.85857,0.41069,0.57628
"M399.308T1262.042",0.26177,0.8577,0.41114,0.57628
"M765.518T1313.696",0.2584,0.84584,0.41742,0.58032
"M332.328T1440.13",0.25415,0.83099,0.42538,0.5834
"M297.239T1626.197",-0.25181,-0.82282,0.4298,0.5834
"M386.164T943.456",-0.2514,-0.82137,0.43058,0.5834
"M443.333T1262.042",0.24997,0.8164,0.43329,0.5834
"M821.505T1179.269",0.22023,0.71397,0.49157,0.65169
"M423.211T1338.363",0.21805,0.70653,0.49599,0.65169
"M475.412T1607.605",-0.21746,-0.70454,0.49717,0.65169
"M330.262T1456.934",0.21644,0.70107,0.49924,0.65169
"M330.263T1439.913",0.20982,0.67862,0.51278,0.66068
"M545.37T1372.761",0.2076,0.67112,0.51735,0.66068
"M817.317T940.819",-0.20742,-0.67049,0.51773,0.66068
"M393.189T1440.567",0.19885,0.64164,0.53554,0.6754
"M494.565T1319.161",0.19808,0.63903,0.53716,0.6754
"M441.224T1179.269",0.18988,0.61159,0.55446,0.69139
"M494.563T1509.9",-0.18824,-0.60609,0.55796,0.69139
"M764.517T1325.086",-0.18495,-0.59512,0.56499,0.69402
"M889.305T842.452",0.18059,0.58062,0.57434,0.69402
"M341.283T1305.932",0.1804,0.58,0.57475,0.69402
"M330.261T1473.013",0.17967,0.57758,0.57632,0.69402
"M494.565T1422.678",0.17362,0.5575,0.58945,0.70486
"M471.313T1295.888",0.17029,0.54648,0.59672,0.7086
"M659.418T1406.262",-0.15844,-0.50745,0.62284,0.73072
"M628.514T1473.756",-0.15797,-0.5059,0.62389,0.73072
"M523.36T1271.932",-0.15147,-0.4846,0.6384,0.74263
"M329.157T1608.526",-0.14513,-0.46385,0.65269,0.75412
"M513.25T1338.968",0.13915,0.44437,0.66624,0.76217
"M828.538T1289.688",0.13813,0.44103,0.66857,0.76217
"M677.438T1339.916",-0.1321,-0.42142,0.68236,0.77032
"M682.262T843.183",0.13106,0.41807,0.68473,0.77032
"M691.433T1253.346",0.11847,0.37728,0.71385,0.7942
"M433.152T909.874",-0.11787,-0.37534,0.71525,0.7942
"M471.796T1446.028",0.10085,0.32056,0.75514,0.82999
"M339.172T1490.329",0.097939,0.31121,0.76203,0.82999
"M1085.421T973.898",-0.09766,-0.31031,0.76269,0.82999
"M564.208T942.149",-0.09589,-0.30463,0.76689,0.82999
"M764.518T1295.888",-0.085945,-0.27279,0.79057,0.85023
"M425.216T1401.37",-0.06312,-0.2,0.84549,0.90362
"M807.348T918.929",-0.051144,-0.16194,0.87457,0.9289
"M325.162T1642.868",-0.030952,-0.097925,0.92393,0.97485
"M313.161T1621.4",0.026697,0.084453,0.93436,0.97485
"M423.198T1506.423",-0.026458,-0.083698,0.93495,0.97485
"M691.436T1356.203",0.020077,0.063503,0.95062,0.97779
"M722.58T1595.75",0.018695,0.059128,0.95401,0.97779
"M951.603T1424.253",0.018327,0.057966,0.95492,0.97779
"M430.319T1557.453",-0.011511,-0.036405,0.97168,0.97884
"M415.326T1295.888",-0.011199,-0.035415,0.97245,0.97884
"M787.545T1575.098",0.010926,0.034554,0.97312,0.97884
"M722.581T1518.016",-0.0022869,-0.0072318,0.99437,0.99437
