"","filter","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"M423.321T1473.286",57793.96465,75042.0928,122243.36,132115.457,125752.174,150000,76825.723,1e+05,188000,172924.572,59938.5917,215623.5,80350.2737,92691.7378,153000,99748.928,179577,115116.94,139000
"M722.581T1518.016",89119.142525,142789.4453,661379.548,241856.626,19930.577,91500,116437.166,31400,217000,105520.273,44265.7752,84421.232,47099.9778,93372.2935,217000,47076.318,21778.636,87920.263,76800
"M535.447T1540.43",26556.612,63646.6289,65862.823,65775.467,86982.884,92400,65632.346,77100,153000,150770.061,62284.7386,141824.758,62173.2235,86278.9036,88500,92215.672,104541.856,73961.272,92000
"M477.398T1574.327",23671.908675,75046.8231,72226.53,93786.975,79089.542,99800,77171.896,90100,128000,113245.367,65287.2167,116774.079,63482.4869,69188.0151,84700,87163.759,120210.907,92936.348,97600
"M691.433T1253.346",89256.95075,112036.4451,461054.068,487173.897,255155.928,295000,323104.094,239000,423000,299154.633,25347.4399,334288.159,32157.0411,283373.5272,315000,258046.071,345790.688,343169.594,348000
"M605.416T1473.993",208876.957,258877.2488,383026.192,430211.396,459252.562,443000,341523.101,495000,619000,557797.8,727046.9594,644246.252,375816.3278,298576.8053,620000,445219.322,856729.368,510172.743,495000
"M465.26T1373.143",147399.33775,92200.4021,328441.186,250170.08,542486.65,252000,297676.278,515000,309000,319469.439,114542.2592,288515.694,122595.0778,523502.6854,2e+05,475235.688,171731.882,229152.335,143000
"M341.283T1305.932",21496.44375,94925.3883,710584.568,226058.778,98908.37,112000,94421.857,152000,99000,99290.489,98014.9341,90301.759,102105.6752,119120.7285,90400,117029.894,94122.998,94227.35,82000
"M330.261T1473.013",9581.18255,105049.7819,129928.674,132830.97,102728.976,107000,105959.531,103000,109000,110712.569,104715.9323,104960.973,114084.608,114707.6804,105000,122322.8,119751.591,113404.789,92400
"M533.435T1510.689",136676.5285,111506.5893,119812.417,169071.218,232634.937,241000,141291.555,197000,357000,290883.999,91753.9153,323057.24,93120.4339,213414.2624,550000,200664.837,313520.786,212281.659,267000
"M471.796T1446.028",10780.47875,71932.4534,78027.506,79433.054,61844.365,64600,61707.709,56600,58700,64973.94,61354.4435,47934.917,59552.6854,48642.4666,52500,80100.653,53266.635,57763.849,44200
"M339.172T1490.329",8580.8343,44191.5894,27250.668,21719.252,39829.137,37300,34150.477,31900,41500,24189.409,55847.73,40215.54,37688.7671,41072.9414,48600,41165.102,41205.431,55429.678,45400
"M558.46T1591.049",31622.5334,38984.1541,62144.719,44283.216,61180.083,70600,76624.284,65900,112000,128617.082,39705.4734,118520.72,47473.8686,57387.7458,216000,70507.457,93177.818,65245.291,80300
"M516.434T1624.418",8725.026125,23248.0178,26270.274,14785.57,27051.209,23800,25916.103,28500,41400,40075.024,28431.9173,30100.883,29023.3547,36687.3785,103000,27331.968,28231.307,39930.565,30700
"M722.58T1595.75",133959.3871,173867.8575,681369.65,226303.011,35607.335,133000,121063.593,46300,256000,115757.716,48079.4746,198076.047,56231.0037,145237.4102,333000,51338.254,63565.439,159812.65,107000
"M477.343T1423.013",8178.0526,48754.9512,56632,58826.353,54302.075,56600,50316.099,52100,60700,65143.335,38625.1666,59394.568,36096.3154,43198.3125,53800,48512.315,53518.854,57553.721,50600
"M332.328T1440.13",10554.714875,115359.5825,142796.475,167103.206,118710.287,113000,125971.397,121000,122000,114870.313,129346.2146,107630.86,118662.2812,115954.1101,121000,124275.19,111378.278,130734.828,105000
"M494.563T1509.9",57393.358875,304154.6608,234099.816,171452.201,274363.253,322000,291615.877,303000,359000,314190.655,489330.3933,396602.79,321096.2535,350573.4375,350000,309628.402,442772.659,298333.334,394000
"M481.362T1591.564",15767.431975,33792.0262,45292.622,33077.863,44825.319,41600,34704.152,65600,95200,85785.75,42591.8727,51280.622,46768.8111,47650.3954,51600,60754.966,60368.219,54566.008,46100
"M443.333T1262.042",56101.9355,40654.5627,2291206.757,726799.035,189027.685,179000,167800.688,171000,125000,123040.332,81901.0392,90706.526,129068.699,119173.7738,135000,170192.512,118782.977,113333.931,93500
"M510.367T1523.593",15999.81,139590.3329,86069.976,86114.553,89218.123,84500,81016.558,96100,133000,113300.223,79412.1113,253461.846,83273.7186,93472.3433,99300,89226.494,103007.907,92108.115,97300
"M545.456T1607.833",18034.93,108912.1658,73195.075,68086.862,104034.303,93600,82007.949,91500,115000,109342.913,106818.1635,143797.685,108125.3894,133002.0623,109000,96305.374,91129.673,86335.237,145000
"M669.539T1543.447",37802.727125,121295.6002,80496.051,105264.368,98310.4,145000,70367.84,88300,150000,158046.374,64128.0678,224496.822,72368.8783,129836.0651,118000,94692.887,114652.56,108839.517,117000
"M669.531T1507.08",43407.593675,111179.8598,65231.819,86689.232,92604.528,131000,61504.121,73700,135000,152131.341,60730.7014,210952.262,65684.4322,121139.8689,118000,88537.921,110019.144,89638.834,113000
"M629.509T1624.418",40766.477675,68883.945,36845.905,26087.509,81966.423,61200,45004.318,49600,94000,67930.5,63716.3871,132209.991,36696.5618,88570.8139,191000,39246.698,74554.581,53347.412,91200
"M383.284T1439.726",18990.51225,125217.2578,251315.529,205205.782,154353.278,180000,165413.507,152000,149000,160963.186,148961.4287,142025.401,141114.1729,130752.7509,176000,161584.933,146863.405,150923.835,145000
"M589.501T1621.712",40662.48835,261732,73577.312,55522.835,56077.757,70000,47558.667,39700,216000,67764.741,8998.775,326276.896,24637.5779,48466.1092,81200,53215.549,85230.062,92011.256,159000
"M534.444T1557.26",49792.267225,85462.7331,77456.066,71460.738,111317.126,1e+05,59693.29,110000,132000,146223.226,62296.0866,178976.951,65764.097,115738.0799,148000,104581.114,133144.723,105068.925,121000
"M494.565T1422.678",87383.198275,263375.7243,463612.2,367002.545,254955.065,293000,249733.748,274000,336000,271628.714,439102.2024,360053.818,273742.5189,325184.7454,3e+05,268767.01,409578.048,275449.132,358000
"M516.411T1568.021",18036.48075,88993.9342,84427.6,75145.801,103981.971,94700,88536.028,105000,98300,102807.769,70346.1439,106801.531,70696.563,104259.754,210000,84690.577,88970.229,98507.953,91200
"M492.408T1557.26",18871.594175,88898.1434,76676.183,78014.495,104446.089,96100,74349.02,77600,117000,94245.562,70098.3239,116073.73,87970.1383,111788.8165,99500,88688.289,90659.751,91034.47,99000
"M533.436T1590.96",93001.0595,101784.618,100098.164,148208.219,214078.525,203000,119231.337,180000,216000,257160.185,82687.2612,289821.86,84664.0203,197133.8428,551000,185699.619,151712.772,190092.899,118000
"M628.514T1473.756",76772.76975,202758.526,60715.106,76300.966,85137.417,141000,125862.221,63500,168000,128562.401,80562.001,168881.047,62235.8812,83230.2603,225000,78756.574,157640.934,111852.762,151000
"M628.529T1624.373",38446.132025,95022.1837,51475.421,38980.46,54749.425,72600,66772.644,50400,136000,63634.778,29484.7294,199474.376,37500.2752,151255.4423,413000,59715.716,67180.439,53555.76,76700
"M609.518T1624.418",8428.7572,60609.9359,55474.255,35151.344,60977.184,62300,53759.67,53900,98700,72865.323,37909.5555,73531.533,54735.6979,62616.9089,59900,56540.859,61880.592,53509.726,63200
"M465.265T1237.073",76366.2,42836.1105,242014.038,261681.816,201901.283,236000,203943.557,230000,234000,262652.716,81968.7926,235810.566,107135.9163,146463.6862,159000,158988.966,207875.858,178654.975,180000
"M669.562T1624.559",42073.4977,112516.2246,82034.788,89255.332,96450.225,134000,82197.756,90300,141000,152135.013,74306.5594,213995.17,77672.6016,124359.9868,185000,97865.827,113216.553,100227.563,118000
"M628.528T1608.773",35767.85955,94996.2604,61053.226,38796.487,59801.524,70000,76980.331,56700,148000,73397.183,33376.5809,216509.498,42938.4281,158993.0043,416000,66102.17,77990.288,58205.273,92500
