"","filter","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"M919.292T824.161",30646.525,18116.16,79143.518,98309.012,125706.736,124000,100252.272,109000,83400,101938.209,25439.9825,80671.3,20505.3414,93212.574,113000,95871.306,124151.225,129258.78,107000
"M545.37T1372.761",38333.59875,64437.8885,302206.961,501401.305,135805.933,108000,91537.25,118000,133000,97473.122,32301.4517,126419.267,61524.2045,100815.4162,90200,103419.773,139966.701,112248.603,104000
"M1085.421T973.898",21686.21225,2067.7404,16936.01,42844.698,39370.151,59800,43807.161,46000,52500,85924.806,3957.2852,57430.33,1964.0316,63343.8351,60800,55622.957,71519.151,68305.752,62300
"M1114.854T834.347",18062.633,1632.2042,18760.064,39563.037,51423.471,38500,38679.597,32400,21700,23021.589,5239.2299,10167.475,16697.9195,28041.9727,33900,30195.053,34730.724,45129.218,30700
"M441.224T1179.269",19332.36625,21410.8204,204453.412,236661.998,71925.386,67900,101269.672,89600,98500,90716.888,19551.3025,75087.616,15295.1596,83939.4958,92200,91236.93,82182.654,91593.239,82400
"M899.349T990.311",19140.39975,9439.3442,36165.836,46198.488,80806.453,59500,55254.179,95800,63700,70914.6,6700.3149,70731.452,7022.509,63950.9175,64900,65914.277,55894.897,68165.655,62900
"M659.418T1406.262",33518.884,20041.8402,41430.614,45006.678,62706.236,79700,63426.708,48300,98800,86844.916,24062.352,45771.089,25324.895,63719.4718,73700,67784.269,96218.587,75766.659,92100
"M841.471T1389.363",21889.36025,11133.0174,49892.71,48079.15,60880.243,50200,52988.957,63100,79800,67697.389,4701.369,98147.197,12351.9222,62567.3732,72800,69035.571,75696.56,60264.215,78100
"M575.479T1473.048",233906.7915,53767.9902,330893.103,375060.77,616729.292,582000,604621.6,483000,673000,619324.84,49585.9596,644739.478,10280.1445,493930.3513,394000,480147.216,709622.62,446816.53,563000
"M575.481T1540.694",233312.759,55946.6022,330893.103,375060.77,616845.483,589000,604896.897,483000,676000,619595.562,49567.2153,643868.214,10281.0416,493930.3513,397000,480239.923,709890.255,447113.369,571000
"M331.187T1104.601",165844.0465,23353.744,294471.293,357966.739,354493.088,326000,401204.188,343000,171000,230103.078,26853.907,170578.066,22405.6023,401873.1447,279000,423320.611,262856.22,328619.036,290000
"M423.211T1338.363",40343.919425,122076.2597,310222.07,269250.678,189278.809,189000,263841.304,187000,191000,179991.11,94977.372,215295.112,114683.9707,211481.4517,172000,220211.816,180229.806,146713.112,192000
"M886.353T1006.792",17093.174025,9396.4631,35386.349,54429.982,87661.627,53600,62524.275,84600,73200,74981.799,7985.6678,82175.224,12367.085,64002.6781,55500,57012.543,57339.016,60500.361,62000
"M585.283T918.479",28760.1635,4197.5368,57708.363,67834.892,46107.503,70100,57735.618,45500,27600,29533.315,4625.1565,25711.265,4650.5535,25439.9773,56200,34259.819,30407.499,51174.449,49500
"M956.379T959.199",22870.94085,14181.0908,48687.792,84594.569,134121.394,105000,91598.976,130000,92900,115383.971,7025.1252,111144.508,13239.1722,80937.1736,96400,97436.087,85661.455,80593.021,99200
"M329.157T1608.526",19457.026025,122997.5359,94952.883,85513.005,123320.676,141000,102079.73,118000,123000,148481.04,128071.1241,160809.376,131589.0839,145660.0344,122000,141941.88,126411.515,152113.222,137000
"M351.108T857.905",71491.90675,21445.2347,289118.119,176069.92,255208.657,236000,214382.285,193000,109000,128616.234,16492.6358,153354.746,13940.7375,148098.7458,132000,144541.355,113495.353,148254.396,156000
"M640.557T1608.472",26319.2165,52851.229,54887.321,61274.378,78178.298,82600,99667.144,81100,91400,95379.421,45035.0672,115510.812,58549.35,80158.4933,67700,71857.501,94407.514,69764.604,71500
"M423.212T1319.031",52843.78565,126128.3267,320811.701,278610.073,194131.083,189000,263685.58,197000,165000,179869.195,100973.0051,182964.435,120480.4626,211316.6492,172000,220024.692,151524.935,138495.594,192000
"M541.474T1573.977",104378.60125,5777.828,52112.167,58834.071,124532.059,169000,226777.296,1e+05,227000,261700.702,9605.7539,174759.356,7623.7215,124988.6426,150000,99261.45,179022.931,144732.186,145000
"M629.459T1473.698",98951.291,154737.2125,288053.576,279524.287,315554.708,317000,212653.253,226000,432000,338296.082,97407.3634,400797.367,88275.6055,285452.661,301000,258083.082,377048.767,296942.408,344000
"M847.517T1163.004",211222.965925,2174.9207,874899.681,875194.389,279290.478,192000,224740.629,348000,117000,102017.624,6572.7834,174655.045,6238.8333,328151.5409,157000,423660.328,109854.253,162387.237,307000
"M652.416T1356.524",62286.149,28020.5514,162743.201,209119.406,179345.927,174000,193038.666,187000,233000,253448.438,17937.724,246905.74,38683.3068,201532.9432,164000,230921.226,176182.552,222380.918,237000
"M449.365T1540.699",49812.7476,155479.3609,174479.126,204876.936,208962.22,225000,163592.969,196000,341000,277249.221,156073.219,317794.473,177806.3072,185330.088,231000,204355.953,205463.853,208933.328,232000
"M537.533T1295.888",8785.14075,8050.1714,68647.361,58469.949,9693.615,38800,16166.711,13300,7970,8347.275,9502.7629,1281.699,10747.8212,18270.7546,17700,9084.323,6408.495,13261.754,9820
"M561.396T1195.638",19710.01375,17371.921,85726.851,778915.499,71730.84,48900,68542.446,51500,57000,41886.214,34395.2096,37385.455,24687.1412,51353.1282,51000,63529.138,62164.298,48253.015,54300
"M812.538T1253.346",26245.4745,24249.117,81771.399,99545.275,41197.952,68700,59027.318,61400,41800,37960.585,11133.278,39303.614,16771.6336,55497.2738,69600,67563.564,54445.107,57125.786,46800
"M495.298T1036.333",44186.11975,3108.3069,141614.109,135255.078,77717.034,102000,58880.389,87900,28300,41769.5,621.66138,69761.11,621.66138,80532.315,63100,70780.1,52455.281,61529.43,33600
"M617.489T1624.961",121287.56125,89331.7896,117002.527,178159.556,230807.574,247000,336486.533,262000,325000,322768.168,71725.8192,467331.438,137437.2228,246421.2727,365000,236456.361,280149.602,228825.193,276000
"M535.409T1440.116",74163.3265,109958.9858,99747.134,110307.357,168446.347,147000,117830.612,156000,215000,273711.83,52800.0806,218933.963,48198.5045,131365.0613,166000,171975.474,191143.505,203617.327,165000
"M433.152T909.874",22033.66775,20073.2842,105837.269,133651.158,182470.379,148000,139902.719,170000,154000,141835.375,17192.1315,143724.638,21948.066,146051.6071,167000,157188.962,139308.006,156829.265,167000
"M817.317T940.819",72800.706,14439.3851,44197.551,97452.08,157911.83,152000,153473.812,239000,160000,200632.057,30482.1778,149283.049,31295.8318,155674.9852,181000,183947.371,195643.671,217119.934,154000
"M438.146T926.75",33373.94375,3205.8092,50703.909,69619.004,145821.692,97200,98395.849,134000,93700,104474.432,2844.2707,110000.288,6159.4053,87106.5401,82200,87350.213,69568.122,76117.177,109000
"M535.375T1490.352",75014.4395,127001.4741,120584.546,172386.853,194845.03,176000,137076.318,177000,247000,231613.795,79513.8467,263495.049,67239.6344,156692.304,188000,205164.368,220938.216,227138.556,197000
"M808.52T1220.972",24544.64775,8213.0399,120697.147,159858.192,50551.562,52500,63695.341,45200,30800,45389.747,10077.1133,46258.9,15597.0669,47163.1337,37200,46740.931,28625.011,58426.197,59300
"M577.49T1591.335",80252.791,135842.0042,152439.223,164729.178,216002.902,216000,279259.416,190000,270000,254996.071,102007.6504,309666.434,106120.8037,231100.4514,228000,226531.979,243198.698,211319.359,254000
"M813.332T1056.081",27066.68775,3272.8688,11942.724,42455.745,85113.502,70900,44266.014,88200,67200,87189.783,503.12378,54107.162,2515.6189,55681.0671,90400,53796.629,50424.292,56288.423,60500
"M869.334T919.017",31665.59025,13744.4729,53492.947,107737.704,165720.877,156000,108493.753,162000,152000,139916.306,12469.3783,117993.47,14597.4355,113498.765,132000,125126.982,116718.456,105782.951,117000
"M325.162T1642.868",12571.996625,62595.2188,53372.833,52510.533,55710.815,65000,51374.225,61100,67200,67326.473,70168.1062,75954.806,62743.3394,70106.8105,68200,51083.457,61720.052,74763.776,82500
"M449.347T1490.033",44728.219825,113243.658,110810.716,125642.701,149596.968,158000,113759.953,136000,253000,214091.118,104197.3027,244854.871,121515.8769,131822.7661,163000,133005.351,178415.271,123539.49,168000
