Id,Label
M494.565T1422.678,M494.565T1422.678
M516.411T1568.021,M516.411T1568.021
M492.408T1557.26,M492.408T1557.26
M533.436T1590.96,M533.436T1590.96
M628.514T1473.756,M628.514T1473.756
M628.529T1624.373,M628.529T1624.373
M609.518T1624.418,M609.518T1624.418
M465.265T1237.073,M465.265T1237.073
M669.562T1624.559,M669.562T1624.559
M628.528T1608.773,M628.528T1608.773
