"",F.stat,p.value,-log10(p),FDR
M619.438T1245.233,62.534,6.7722e-06,5.1693,0.0011106
M576.533T1641.124,52.696,1.2989e-05,4.8864,0.0011106
M392.284T1436.378,47.013,1.9987e-05,4.6993,0.0011392
M443.333T1262.042,33.755,6.8618e-05,4.1636,0.0029334
M441.224T1179.269,28.481,0.0001276,3.8941,0.004364
M399.308T1262.042,24.235,0.00022799,3.6421,0.0060975
M609.455T1145.906,23.626,0.00024961,3.6027,0.0060975
M545.37T1372.761,21.58,0.00034381,3.4637,0.0067178
M535.447T1540.43,21.409,0.00035357,3.4515,0.0067178
M535.409T1440.116,19.828,0.00046237,3.335,0.0079065
M330.263T1492.022,19,0.00053609,3.2708,0.0083337
M542.478T1573.977,17.168,0.00075955,3.1194,0.010824
M576.484T1557.453,16.253,0.00091479,3.0387,0.012033
M722.259T892.9,14.379,0.0013787,2.8605,0.015903
M558.46T1591.049,14.1,0.0014708,2.8325,0.015903
M449.365T1540.699,14.051,0.001488,2.8274,0.015903
M847.517T1163.004,13.705,0.0016151,2.7918,0.016246
M449.347T1490.033,12.603,0.002123,2.6731,0.018222
M549.431T1507.08,12.501,0.0021791,2.6617,0.018222
M479.188T913.185,12.414,0.0022291,2.6519,0.018222
M331.187T1104.601,12.399,0.0022378,2.6502,0.018222
M771.504T1195.638,12.016,0.002475,2.6064,0.018441
M541.474T1573.977,12.008,0.0024803,2.6055,0.018441
M504.265T1099.137,11.219,0.0030792,2.5116,0.020283
M341.283T1305.932,11.088,0.0031951,2.4955,0.020283
M383.284T1439.726,11.072,0.0032097,2.4935,0.020283
M605.427T1490.314,10.918,0.0033546,2.4744,0.020283
M415.326T1295.888,10.878,0.0033933,2.4694,0.020283
M455.315T1295.888,10.831,0.0034398,2.4635,0.020283
M691.433T1253.346,9.3293,0.0054477,2.2638,0.029549
M812.538T1253.346,9.2878,0.0055215,2.2579,0.029549
M569.292T994.771,9.2833,0.0055297,2.2573,0.029549
M576.484T1473.551,9.1473,0.0057815,2.238,0.029887
M765.518T1313.696,9.017,0.0060362,2.2192,0.029887
M329.158T1625.781,8.9476,0.0061778,2.2092,0.029887
M330.263T1439.913,8.8458,0.0063927,2.1943,0.029887
M535.375T1490.352,8.7853,0.0065249,2.1854,0.029887
M808.52T1220.972,8.6822,0.0067582,2.1702,0.029887
M523.599T1382.768,8.6572,0.0068163,2.1665,0.029887
M343.224T1621.712,8.3564,0.0075672,2.1211,0.031107
M635.491T1472.841,8.3194,0.0076665,2.1154,0.031107
M629.529T1601.79,8.2771,0.0077819,2.1089,0.031107
M533.435T1510.689,8.2265,0.0079231,2.1011,0.031107
M609.518T1624.418,8.198,0.0080042,2.0967,0.031107
M617.489T1624.961,8.0458,0.0084538,2.0729,0.031668
M817.317T940.819,7.9296,0.0088187,2.0546,0.031668
M986.591T1195.638,7.8934,0.0089365,2.0488,0.031668
M494.563T1509.9,7.8249,0.0091644,2.0379,0.031668
M772.55T1170.538,7.8227,0.009172,2.0375,0.031668
M549.424T1473.203,7.7749,0.0093355,2.0299,0.031668
M351.179T1358.969,7.7299,0.0094928,2.0226,0.031668
M575.481T1540.694,7.6531,0.0097692,2.0101,0.031668
M575.479T1473.048,7.6405,0.0098153,2.0081,0.031668
M585.283T918.479,7.5032,0.010338,1.9856,0.032737
M841.471T1389.363,7.3555,0.010939,1.961,0.034012
M332.328T1440.13,7.3012,0.011171,1.9519,0.034113
M423.212T1319.031,7.2298,0.011486,1.9398,0.034457
M475.412T1607.605,7.1056,0.01206,1.9187,0.035556
M537.533T1295.888,6.8359,0.013435,1.8718,0.038497
M820.327T1006.792,6.8041,0.013609,1.8662,0.038497
M549.428T1523.962,6.7716,0.01379,1.8604,0.038497
M577.49T1591.335,6.7163,0.014106,1.8506,0.038497
M295.151T1624.873,6.6946,0.014232,1.8467,0.038497
M513.307T1059.952,6.6247,0.014649,1.8342,0.038497
M471.796T1446.028,6.597,0.014818,1.8292,0.038497
M629.509T1624.418,6.5905,0.014859,1.828,0.038497
M516.434T1624.418,6.3681,0.016316,1.7874,0.040283
M374.303T1319.161,6.3352,0.016546,1.7813,0.040283
M516.411T1568.021,6.3085,0.016737,1.7763,0.040283
M556.445T1212.039,6.287,0.016891,1.7723,0.040283
M629.464T1456.367,6.2782,0.016955,1.7707,0.040283
M330.262T1456.934,6.2704,0.017012,1.7692,0.040283
M465.265T1237.073,6.2161,0.017415,1.7591,0.040283
M691.436T1356.203,6.1996,0.017539,1.756,0.040283
M291.195T1053.001,6.1136,0.018209,1.7397,0.040283
M534.444T1557.26,6.0976,0.018336,1.7367,0.040283
M669.562T1624.559,6.0632,0.018615,1.7301,0.040283
M285.134T1052.907,6.0578,0.01866,1.7291,0.040283
M477.398T1574.327,6.0323,0.01887,1.7242,0.040283
M495.298T1036.333,5.975,0.019355,1.7132,0.040283
M329.157T1608.526,5.9574,0.019507,1.7098,0.040283
M677.438T1339.916,5.9573,0.019507,1.7098,0.040283
M351.108T857.905,5.9514,0.019559,1.7087,0.040283
M985.571T1146.934,5.9185,0.019848,1.7023,0.040283
M477.343T1423.013,5.8988,0.020024,1.6985,0.040283
M477.407T1590.788,5.7859,0.021067,1.6764,0.041277
M640.557T1608.472,5.7602,0.021315,1.6713,0.041277
M951.603T1424.253,5.7586,0.02133,1.671,0.041277
M549.426T1489.95,5.7428,0.021484,1.6679,0.041277
M438.146T926.75,5.6993,0.021915,1.6593,0.041399
M487.775T1256.694,5.6877,0.022031,1.657,0.041399
M867.584T1358.969,5.6081,0.022853,1.6411,0.042476
M425.215T1355.365,5.5558,0.023414,1.6305,0.043051
M618.492T1624.789,5.4831,0.024223,1.6158,0.044065
M351.253T1019.694,5.4183,0.024973,1.6025,0.044951
M605.427T1212.039,5.3597,0.025676,1.5905,0.045404
M471.336T1557.26,5.3348,0.025983,1.5853,0.045404
M325.162T1642.868,5.3317,0.026021,1.5847,0.045404
M494.565T1319.161,5.2997,0.026422,1.578,0.045638
M339.172T1490.329,5.2507,0.02705,1.5678,0.045662
M522.261T1109.944,5.2389,0.027206,1.5653,0.045662
M449.369T1557.545,5.2365,0.027237,1.5648,0.045662
M617.506T1594.034,5.1994,0.02773,1.557,0.046038
M764.517T1325.086,5.166,0.028182,1.55,0.046157
M430.319T1557.453,5.1544,0.028342,1.5476,0.046157
M523.36T1271.932,5.1156,0.028885,1.5393,0.046495
M652.416T1356.524,5.1009,0.029094,1.5362,0.046495
M578.503T1590.788,5.0312,0.030109,1.5213,0.047672
M899.349T990.311,4.9988,0.030596,1.5143,0.047999
M513.25T1338.968,4.9028,0.032099,1.4935,0.049288
M313.161T1621.4,4.8959,0.03221,1.492,0.049288
M919.292T824.161,4.8795,0.032478,1.4884,0.049288
M465.26T1373.143,4.8382,0.033162,1.4794,0.049288
M737.493T1439.78,4.8355,0.033208,1.4788,0.049288
M669.531T1507.08,4.8337,0.033237,1.4784,0.049288
M629.459T1473.698,4.822,0.033435,1.4758,0.049288
M882.48T1339.403,4.7926,0.033938,1.4693,0.049447
M1085.421T973.898,4.7264,0.035107,1.4546,0.049447
M567.43T1421.35,4.6908,0.035755,1.4467,0.049447
M564.208T942.149,4.6295,0.036908,1.4329,0.049447
M425.216T1401.37,4.6269,0.036958,1.4323,0.049447
M628.514T1473.756,4.6251,0.036993,1.4319,0.049447
M481.362T1591.564,4.5988,0.037502,1.4259,0.049447
M669.539T1543.447,4.5458,0.038557,1.4139,0.049447
M828.538T1289.688,4.5272,0.038937,1.4096,0.049447
M886.353T1006.792,4.5165,0.039156,1.4072,0.049447
M467.383T1523.593,4.5126,0.039237,1.4063,0.049447
M1123.351T817.469,4.5048,0.039399,1.4045,0.049447
M821.505T1179.269,4.4907,0.039694,1.4013,0.049447
M471.313T1295.888,4.4827,0.039862,1.3994,0.049447
M869.334T919.017,4.4804,0.039911,1.3989,0.049447
M510.367T1523.593,4.4726,0.040075,1.3971,0.049447
M533.436T1590.96,4.4488,0.040586,1.3916,0.049447
M1102.351T817.469,4.4216,0.041178,1.3853,0.049447
M682.262T843.183,4.407,0.0415,1.382,0.049447
M629.463T1474.173,4.4036,0.041576,1.3812,0.049447
M423.198T1506.423,4.4026,0.041597,1.3809,0.049447
M534.402T1422.678,4.4017,0.041617,1.3807,0.049447
M813.332T1056.081,4.3823,0.042052,1.3762,0.049447
M423.211T1338.363,4.3536,0.042707,1.3695,0.049447
M979.313T847.893,4.3469,0.042859,1.368,0.049447
