sample,condition,Sodium_Formate,M222.962T20.134,M247.083T835.562,M367.151T397.982,M516.891T17.488,M573.464T1458.338,M575.48T1424.867,M591.475T1442.976,M631.468T1459.998,M632.472T1474.795,M633.474T1424.866,M634.485T1424.862,M647.463T1427.898,M648.465T1441.075,M649.479T1424.057,M650.482T1423.88,M671.358T17.117,M681.468T1391.964,M771.505T1357.807,M799.252T819.392,M817.264T834.906,M827.834T17.122,M831.338T16.12,M835.826T17.121,M839.337T903.707,M856.823T18.124,M890.804T18.126,M931.815T16.119,M950.801T18.122,M967.818T12.107,M1021.326T836.385,M1023.307T13.116,M1059.426T884.067,M1120.777T16.117,M1132.772T17.119,M1141.772T16.116,M1160.766T17.121,M1298.242T13.11,M1342.731T13.115,M1355.738T13.11,M1501.706T13.11,M1505.382T13.111
X15.3,xvm_15,3528207.642,7870.689,94526.177,1679394.86,14200.624,303896.783,346509.731,304918.857,546436.595,234663.029,1082308.632,420364.249,752690.395,246467.416,1108443.893,608857.391,10886.562,374464.406,491085.214,128527.864,168222.674,16259.644,7162.632,14012.797,155911.986,19565.705,10376.944,16805.539,13719.45,8504.046,102989.619,13135.288,127332.376,20144.252,9662.931,10019.959,10284.645,16692,15021.117,22096.287,11446.236,17115.994
X15.4,xvm_15,4862691.729,13717.592,59994.781,11394.817,16082.773,346276.033,280209.753,307750.901,607188.14,260219.535,1063437.314,441385.31,755237.19,340799.551,1379719.805,605583.853,14557.21,403315.203,1805801.018,67530.69,87638.102,33134.4,11805.354,14324.471,46360.963,35806.197,19089.675,20475.851,19346.369,9545.296,51542.937,18952.281,75280.395,32348.715,14866.466,18226.489,15780.952,19616.339,13992.149,30778.496,17217.694,20623.849
BLANK_2_Dup1,bla_0,3667732.211,7831.761,35107.675,10528.091,17577.984,20605.445,0,16810.167,35823.561,14085.932,189213.783,86014.864,42309.9,23735.956,73211.515,38286.463,8700.364,92833.65,30094.836,54362.585,58129.098,21316.159,7479.989,17558.157,0,25122.819,12146.985,17809.686,14846.167,8332.057,46060.809,14497.833,2835.284,22220.736,11992.646,12445.667,8816.394,12998.223,13330.477,25483.793,15429.675,16450.41
BLANK_2_Dup2,bla_0,3667732.211,7831.761,35107.675,10528.091,17577.984,20605.445,0,16810.167,35823.561,14085.932,189213.783,86014.864,42309.9,23735.956,73211.515,38286.463,8700.364,92833.65,30094.836,54362.585,58129.098,21316.159,7479.989,17558.157,0,25122.819,12146.985,17809.686,14846.167,8332.057,46060.809,14497.833,2835.284,22220.736,11992.646,12445.667,8816.394,12998.223,13330.477,25483.793,15429.675,16450.41
BLANK_2_Dup3,bla_0,3667732.211,7831.761,35107.675,10528.091,17577.984,20605.445,0,16810.167,35823.561,14085.932,189213.783,86014.864,42309.9,23735.956,73211.515,38286.463,8700.364,92833.65,30094.836,54362.585,58129.098,21316.159,7479.989,17558.157,0,25122.819,12146.985,17809.686,14846.167,8332.057,46060.809,14497.833,2835.284,22220.736,11992.646,12445.667,8816.394,12998.223,13330.477,25483.793,15429.675,16450.41
BLANK_2,bla_0,3667732.211,7831.761,35107.675,10528.091,17577.984,20605.445,0,16810.167,35823.561,14085.932,189213.783,86014.864,42309.9,23735.956,73211.515,38286.463,8700.364,92833.65,30094.836,54362.585,58129.098,21316.159,7479.989,17558.157,0,25122.819,12146.985,17809.686,14846.167,8332.057,46060.809,14497.833,2835.284,22220.736,11992.646,12445.667,8816.394,12998.223,13330.477,25483.793,15429.675,16450.41
QC.1.Dup,qcs_0,4024050.372,7984.255,92799.441,113055.739,17205.017,259700.468,252221.125,244904.274,428102.64,182312.62,862578.989,334435.465,604254.039,270241.102,1192119.493,400334.764,11950.046,326568.65,1603853.621,99579.614,150994.67,22115.159,8250.68,27068.413,155735.781,25801.509,13099.031,18788.201,21557.069,13227.564,107782.972,16493.747,103592.794,25181.743,17987.598,17181.394,14269.071,11073.186,19266.645,24069.6,17979.885,16154.534
QC.1,qcs_0,4024050.372,7984.255,92799.441,113055.739,17205.017,259700.468,252221.125,244904.274,428102.64,182312.62,862578.989,334435.465,604254.039,270241.102,1192119.493,400334.764,11950.046,326568.65,1603853.621,99579.614,150994.67,22115.159,8250.68,27068.413,155735.781,25801.509,13099.031,18788.201,21557.069,13227.564,107782.972,16493.747,103592.794,25181.743,17987.598,17181.394,14269.071,11073.186,19266.645,24069.6,17979.885,16154.534
QC.2,qcs_0,3845070.71,9227.6,113814.467,122763.122,21103.12,321061.515,224998.555,276211.158,556866.495,243774.772,977765.202,389255.557,565803.547,224830.209,1233121.891,539948.68,11689.959,468223.4,815041.755,122719.926,145453.14,25315.72,9968.077,20627.698,152606.725,30292.606,17336.967,19630.716,17636.752,7315.223,112465.155,16151.318,134671.911,28437.056,15477.755,13116.739,13241.718,16406.191,12754.619,27024.922,16764.726,18274.66
QC.3,qcs_0,4035455.455,11494.011,125296.99,143189.111,22159.131,261907.533,262074.165,214161.082,448276.645,199040.549,827106.209,310459.911,574278.682,244654.32,889505.676,462658.645,6190.516,486713.026,1716776.571,130975.531,144796.629,29057.3,11596.379,19122.821,128916.179,32302.029,17925.069,24047.943,19613.414,8934.724,133933.508,15963.985,91528.611,25639.59,15832.206,14398.202,14795.803,15071.206,14553.722,27174.277,18404.762,16750.018
