"","Comp 1","Comp 2","Comp 3","Comp 4"
"M375.104T216.821",0.040054,-0.0073538,-0.020789,0.024002
"M384.097T310.658",0.026895,-0.0037359,-0.0056703,0.040034
"M351.085T316.423",0.033665,0.0065643,-0.0008699,0.0083744
"M460.969T105.772",0.032623,0.041643,-0.0061914,0.033779
"M665.267T889.419",0.033578,-0.010881,-0.014433,0.044119
"M969.939T315.438",0.03014,0.051283,0.061118,-0.027937
"M289.065T88.687",0.035463,0.021342,-0.068132,0.024785
"M289.086T1163.856",0.031416,-0.039413,-0.030233,-0.0011492
"M655.873T943.419",0.025222,0.018327,0.008973,0.025686
"M642.242T817.768",0.035352,0.0035143,0.015094,-0.0377
"M695.12T755.765",-0.031513,-0.04321,0.0059336,0.13527
"M487.016T806.181",0.025836,-0.041314,0.04046,0.018628
"M967.561T1349.704",0.035684,0.0053412,-0.020583,-0.021261
"M821.606T900.199",0.048289,0.0095833,0.0050205,-0.008634
"M1095.063T894.34",-0.036075,-0.01227,-0.010865,0.0361
"M279.139T1150.344",0.040536,0.064954,-0.02141,-0.093576
"M579.301T894.416",0.033063,0.021133,-0.025196,-0.0034485
"M593.947T757.746",-0.036788,-0.024317,0.015416,0.13166
"M367.102T765.544",0.044395,0.0074102,0.0096606,0.019783
"M585.15T892.945",0.040441,-0.0042309,0.0056006,0.049361
"M988.312T316.465",0.035534,-0.017977,-0.0013241,0.0068767
"M735.437T1351.512",0.027166,0.028425,-0.027909,0.017223
"M851.154T319.552",0.025141,0.0097762,-0.0053335,0.028624
"M265.093T134.502",0.036063,0.0099789,-0.0071663,-0.024909
"M575.708T1045.732",-0.0078318,0.010944,0.028947,0.087103
"M657.063T941.851",0.0016154,0.071503,0.031044,0.036679
"M632.663T319.55",0.034618,-0.021105,-0.00041803,-0.0063295
"M809.433T1339.33",0.022722,0.012635,0.041787,0.015026
"M654.008T318.692",0.041191,-0.024253,0.02725,0.023251
"M923.402T931.508",0.056182,-0.032515,-0.0097136,-0.0070009
"M428.2T856.891",0.051713,-0.010375,-0.00013087,0.022612
"M281.069T746.743",0.026278,0.01336,0.0030093,-0.0070713
"M703.247T844.715",0.039479,-0.0054899,-0.0015011,-0.033514
"M590.015T907.684",-0.034689,-0.010865,-0.015684,0.060913
"M455.081T704.884",0.01833,-0.012945,-0.0052267,0.067591
"M970.813T317.253",0.039595,-0.0066316,-0.0055194,-0.019268
"M997.575T1403.78",0.034708,0.036284,-0.024292,-0.016721
"M1053.286T316.584",0.036835,-0.015882,0.0079712,-0.0065614
"M1163.085T907.707",-0.079013,-0.054757,-0.0064682,0.06493
"M421.636T753.774",-0.0034332,0.0092566,0.068141,0.063646
"M709.31T874.193",0.03815,-0.0060299,-0.02124,0.0036615
"M361.589T316.501",0.033203,0.020445,0.013404,-0.0060293
"M517.099T802.454",-0.01219,-0.021577,-0.028165,0.0046108
"M982.374T904.236",0.043786,-0.019354,0.0085642,-0.0086773
"M383.433T314.152",0.016251,0.018399,-0.0089322,0.05686
"M362.298T315.255",0.023423,0.017877,-0.044134,-0.019958
"M481.183T769.795",0.022968,0.029675,-0.020957,0.077542
"M407.173T414.983",-0.003071,0.0028152,-0.12192,0.01024
"M1297.451T316.098",0.044475,-0.03755,-0.0045792,-0.023611
"M727.283T864.823",0.047292,0.0083053,-0.0051544,0.00096643
"M847.495T1389.03",0.019225,0.032993,-0.039477,-0.0015332
"M1031.84T1213.333",0.013502,0.029292,-0.041746,-0.0081706
"M937.515T1306.76",0.031962,-0.010668,-0.013762,-0.016503
"M570.518T894.146",-0.013405,0.030237,-0.064043,0.0092063
"M1162.717T895.445",-0.016735,0.02293,0.0098853,0.030833
"M289.446T802.654",-0.023285,0.014816,0.039611,0.055855
"M970.001T316.098",0.028596,0.031087,0.017677,-0.010721
"M647.193T836.421",0.032173,-0.038886,0.020674,-0.020924
"M968.365T965.957",0.041728,-0.063646,0.019278,-0.047027
"M863.184T809.21",-0.015573,0.034504,-0.043244,0.034667
"M565.23T844.341",0.029748,0.026194,-0.019551,0.012008
"M293.118T1042.937",0.04674,0.023911,0.1077,-0.083185
"M483.209T897.853",0.041929,0.0024659,-0.004478,-0.003368
"M1094.047T894.516",-0.032848,-0.0088713,-0.019575,0.049733
"M317.087T121.975",0.031809,-0.010336,-0.0029902,0.035275
"M909.388T926.435",0.049229,-0.073503,0.027435,-0.0094065
