"","FC","log2(FC)","raw.pval","-log10(p)"
"M507.209T930.4",0.26344,-1.9244,0.04292,1.3673
"M1197.439T886.215",0.33443,-1.5802,0.042981,1.3667
"M329.089T195.942",0.48024,-1.0582,0.043102,1.3655
"M1106.454T890.453",0.43566,-1.1987,0.043882,1.3577
"M545.846T78.22",0.48529,-1.0431,0.044027,1.3563
"M703.247T844.715",0.43997,-1.1845,0.045125,1.3456
"M456.197T892.811",0.47414,-1.0766,0.046471,1.3328
"M295.104T156.471",0.47072,-1.0871,0.046749,1.3302
"M567.333T903.822",3.2293,1.6912,0.047595,1.3224
"M702.255T837.404",0.47861,-1.0631,0.048361,1.3155
"M463.182T861.112",0.36617,-1.4494,0.048476,1.3145
"M1308.415T315.705",0.36072,-1.471,0.049445,1.3059
"M1044.425T908.907",0.22615,-2.1447,0.049579,1.3047
"M1007.203T89.251",0.34524,-1.5343,0.049823,1.3026
"M399.165T851.906",0.47961,-1.0601,0.049843,1.3024
"M795.27T865.806",0.32889,-1.6043,0.050039,1.3007
"M919.334T939.971",0.45161,-1.1468,0.052415,1.2805
"M693.424T1336.51",0.32951,-1.6016,0.052578,1.2792
"M819.254T316.358",0.47819,-1.0643,0.053025,1.2755
"M693.278T872.306",0.40656,-1.2985,0.05306,1.2752
"M653.913T316.046",0.4589,-1.1237,0.053212,1.274
"M460.969T105.772",0.43734,-1.1932,0.053575,1.271
"M851.338T916.834",0.44031,-1.1834,0.05365,1.2704
"M1167.557T907.179",2.6866,1.4258,0.053834,1.2689
"M311.138T170.155",0.45293,-1.1426,0.054371,1.2646
"M427.197T838.449",0.38715,-1.369,0.055103,1.2588
"M387.034T831.689",0.13662,-2.8717,0.055868,1.2528
"M982.374T904.236",0.40513,-1.3035,0.055935,1.2523
"M354.093T469.671",0.27761,-1.8489,0.056016,1.2517
"M683.129T316.242",0.409,-1.2898,0.056544,1.2476
"M688.263T861.089",0.34258,-1.5455,0.056917,1.2448
"M410.078T615.621",0.091904,-3.4437,0.057651,1.2392
"M1014.782T1351.411",0.44037,-1.1832,0.058006,1.2365
"M433.784T801.352",0.34932,-1.5174,0.058073,1.236
"M413.108T298.268",0.35349,-1.5002,0.058802,1.2306
"M203.083T418.775",0.24891,-2.0063,0.058913,1.2298
"M1007.373T920.82",0.42256,-1.2428,0.059596,1.2248
"M1031.347T966.014",0.41236,-1.278,0.06036,1.2192
"M333.041T419.397",0.20992,-2.2521,0.060985,1.2148
"M1005.392T917.562",0.44409,-1.1711,0.061046,1.2143
"M485.178T783.442",0.43465,-1.2021,0.061273,1.2127
"M206.082T164.917",2.5569,1.3544,0.061667,1.2099
"M642.242T817.768",0.48086,-1.0563,0.062489,1.2042
"M969.939T315.438",0.41059,-1.2842,0.062497,1.2041
"M375.07T470.729",0.2923,-1.7745,0.062562,1.2037
"M293.177T1099.499",0.38434,-1.3795,0.06297,1.2009
"M333.926T91.902",0.37246,-1.4248,0.063194,1.1993
"M483.178T941.182",0.31593,-1.6623,0.063294,1.1986
"M405.167T106.416",0.37922,-1.3989,0.063539,1.197
"M649.302T900.549",0.49013,-1.0288,0.063671,1.1961
"M483.183T857.732",0.29915,-1.7411,0.063991,1.1939
"M455.021T825.04",0.15803,-2.6617,0.064474,1.1906
"M708.241T861.396",0.44846,-1.157,0.065611,1.183
"M664.226T813.714",0.34926,-1.5176,0.065832,1.1816
"M1014.419T974.744",0.17334,-2.5283,0.06597,1.1807
"M319.076T917.392",0.14068,-2.8296,0.066084,1.1799
"M495.025T292.616",0.31355,-1.6732,0.066618,1.1764
"M445.207T780.093",0.4539,-1.1395,0.068056,1.1671
"M497.261T974.778",0.42261,-1.2426,0.068496,1.1643
"M402.187T763.436",0.42313,-1.2408,0.068788,1.1625
"M277.129T811.716",0.4523,-1.1446,0.069837,1.1559
"M861.166T878.352",0.42227,-1.2438,0.070103,1.1543
"M969.317T316.321",0.44636,-1.1637,0.070338,1.1528
"M751.173T317.266",0.47818,-1.0644,0.070394,1.1525
"M420.95T86.132",0.38436,-1.3795,0.072066,1.1423
"M447.959T106.92",0.32796,-1.6084,0.073688,1.1326
"M373.167T930.605",0.41606,-1.2651,0.074059,1.1304
"M428.2T856.891",0.25201,-1.9885,0.074325,1.1289
"M923.402T931.508",0.25839,-1.9524,0.074666,1.1269
"M473.196T813.174",0.31753,-1.655,0.074804,1.1261
"M1192.04T901.764",4.9192,2.2984,0.075045,1.1247
"M487.146T735.656",0.20683,-2.2735,0.07525,1.1235
"M1143.444T941.11",0.30597,-1.7086,0.075464,1.1223
"M367.08T114.463",0.41642,-1.2639,0.076081,1.1187
"M443.058T752.856",0.46319,-1.1103,0.076227,1.1179
"M375.104T216.821",0.43457,-1.2023,0.076686,1.1153
"M413.179T861.909",0.080186,-3.6405,0.076742,1.115
"M1095.063T894.34",2.2136,1.1464,0.077452,1.111
"M626.212T761.224",0.47766,-1.0659,0.07929,1.1008
"M617.247T870.852",0.35234,-1.505,0.079309,1.1007
"M455.193T892.238",0.27617,-1.8564,0.079767,1.0982
"M417.764T850.924",0.42458,-1.2359,0.080566,1.0938
"M549.205T845.853",0.36896,-1.4385,0.080704,1.0931
"M501.195T803.697",0.31202,-1.6803,0.081056,1.0912
"M712.22T783.012",0.23037,-2.118,0.081058,1.0912
"M1095.906T894.31",0.4517,-1.1466,0.081166,1.0906
"M471.152T726.342",0.37038,-1.4329,0.082327,1.0845
"M339.058T415.891",0.30258,-1.7246,0.082634,1.0828
"M997.575T1403.78",0.42748,-1.2261,0.083502,1.0783
"M367.102T765.544",0.33062,-1.5968,0.084589,1.0727
"M784.154T761.471",0.46873,-1.0932,0.084666,1.0723
"M437.041T470.729",0.29464,-1.763,0.085146,1.0698
"M333.191T983.058",0.25198,-1.9886,0.086599,1.0625
"M951.343T881.927",0.31143,-1.683,0.0868,1.0615
"M768.448T1315.096",0.39461,-1.3415,0.087371,1.0586
"M389.108T489.956",0.2491,-2.0052,0.08776,1.0567
"M621.037T758.225",0.42807,-1.2241,0.087884,1.0561
"M695.298T853.355",0.39376,-1.3446,0.088367,1.0537
