"","PC1","PC2","PC3","PC4","PC5"
"M799.191T949.166",0.012465,-0.040535,-0.021773,0.046605,-0.0063277
"M1263.489T907.902",-0.023104,0.02513,0.054698,0.015236,-0.0026345
"M451.174T880.577",0.048117,0.057368,0.017758,0.012347,0.0029353
"M405.08T802.267",0.025685,-0.024806,0.00231,-0.038376,0.00010959
"M309.119T137.634",0.044296,0.028488,-0.024304,0.002635,0.005462
"M385.077T746.611",-0.026005,0.02851,0.014753,0.029253,0.0064662
"M1030.642T1193.369",0.02012,0.0040525,0.021535,0.032034,0.000992
"M429.414T851.13",0.039199,0.055301,-0.022208,-0.030223,0.016112
"M723.577T942.094",-0.010591,-0.071246,0.051646,0.0053185,0.00074566
"M1071.439T878.893",0.050859,0.050518,-0.0071897,0.0050725,0.0011461
"M1069.501T1402.821",0.028866,-0.044467,-0.017821,-0.048431,0.0050351
"M281.07T709.104",0.0071319,-0.022803,0.043746,0.023738,-0.00096682
"M577.137T781.037",-0.032253,0.0036974,0.02894,-0.06409,0.013026
"M397.075T138.684",0.031575,0.010809,0.027549,0.018543,0.0085414
"M653.861T317.501",0.032683,0.0016741,0.011748,0.00090646,0.0071531
"M375.104T216.821",0.039523,-0.0054559,0.024997,0.018562,0.0058116
"M384.097T310.658",0.026498,-0.0036582,0.040133,0.0019632,0.0013156
"M351.085T316.423",0.032734,-0.01305,0.0077868,-0.0039854,-0.0028969
"M460.969T105.772",0.030342,-0.04811,0.031761,-0.012281,0.0052417
"M665.267T889.419",0.033319,-8.6224e-06,0.044937,0.012214,0.0072031
"M969.939T315.438",0.02758,-0.041425,-0.033702,-0.076589,0.0017248
"M289.065T88.687",0.033873,-0.041878,0.02696,0.055963,-0.00081863
"M289.086T1163.856",0.032302,0.025482,0.001995,0.040963,-0.0013041
"M655.873T943.419",0.024008,-0.021064,0.024053,-0.018451,0.0014124
"M642.242T817.768",0.034517,-0.0060487,-0.038844,-0.015066,0.00044679
"M695.12T755.765",-0.029194,0.045345,0.1368,-0.00073746,-0.0048053
"M487.016T806.181",0.026956,0.04257,0.018144,-0.029311,0.0093762
"M967.561T1349.704",0.034747,-0.015655,-0.020679,0.018118,0.0074278
"M821.606T900.199",0.046951,-0.017089,-0.0097442,-0.01027,0.00031513
"M1095.063T894.34",-0.034881,0.015476,0.037442,0.013953,-0.00030255
"M279.139T1150.344",0.037178,-0.072055,-0.095532,0.0049082,-0.0048394
"M579.301T894.416",0.031559,-0.031641,-0.0033968,0.016178,-0.0048974
"M593.947T757.746",-0.035093,0.030331,0.13188,-0.015683,0.0068368
"M367.102T765.544",0.043224,-0.01398,0.018471,-0.0162,0.0077374
"M585.15T892.945",0.039799,-0.0036375,0.048741,-0.010538,0.0057616
"M988.312T316.465",0.035522,0.010009,0.007445,0.0045435,-0.00065734
"M735.437T1351.512",0.025495,-0.038548,0.01706,0.015125,0.0065876
"M851.154T319.552",0.024253,-0.015909,0.028129,-0.0017818,0.0042775
"M265.093T134.502",0.034946,-0.017291,-0.025237,0.003652,0.0036271
