"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M245.094T862.962",1.2931,1.3192,1.3216,1.3216
"M557.187T899.436",1.2926,1.2897,1.2884,1.2884
"M795.27T865.806",1.2886,1.2109,1.2096,1.2096
"M421.069T767.549",1.2882,1.228,1.228,1.228
"M415.161T821.344",1.2841,1.2068,1.2051,1.2051
"M529.154T821.794",1.2829,1.2085,1.2069,1.2069
"M473.196T813.174",1.2806,1.2036,1.204,1.204
"M650.407T1378.088",1.2802,1.2049,1.2032,1.2032
"M289.056T250.757",1.2794,1.2504,1.2527,1.2527
"M693.424T1336.51",1.2784,1.2975,1.2976,1.2976
"M549.258T834.983",1.2773,1.3108,1.3101,1.3101
"M688.263T861.089",1.2736,1.2008,1.1995,1.1995
"M1035.367T890.845",1.2718,1.1955,1.1941,1.1941
"M645.252T899.393",1.2642,1.1879,1.1864,1.1864
"M447.959T106.92",1.2627,1.1871,1.1884,1.1884
"M664.226T813.714",1.2606,1.1924,1.1911,1.1911
"M714.253T913.384",1.2573,1.1823,1.1807,1.1807
"M413.108T298.268",1.2571,1.2018,1.2032,1.2032
"M617.247T870.852",1.252,1.1895,1.1895,1.1895
"M968.386T889.852",1.2515,1.1767,1.1752,1.1752
"M1308.415T315.705",1.2489,1.177,1.1754,1.1754
"M433.784T801.352",1.2454,1.1879,1.1867,1.1867
"M964.359T921.966",1.2444,1.2976,1.2976,1.2976
"M1130.433T884.599",1.2408,1.169,1.1676,1.1676
"M999.268T316.316",1.2389,1.1684,1.1673,1.1673
"M337.092T724.593",1.2381,1.1839,1.1849,1.1849
"M852.339T915.443",1.2366,1.1631,1.1616,1.1616
"M590.274T907.848",1.2342,1.1796,1.178,1.178
"M489.187T785.097",1.2331,1.221,1.221,1.221
"M625.024T106.841",1.2323,1.1808,1.1798,1.1798
"M549.205T845.853",1.2317,1.1594,1.161,1.161
"M1243.514T983.057",1.2309,1.1625,1.1665,1.1665
"M806.978T940.468",1.2308,1.2159,1.2145,1.2145
"M447.05T875.673",1.2305,1.1577,1.1563,1.1563
"M1059.606T1053.565",1.2295,1.2346,1.233,1.233
"M1035.397T978.889",1.2279,1.2138,1.2121,1.2121
"M1614.109T935.709",1.2277,1.1541,1.1527,1.1527
"M463.182T861.112",1.2277,1.1938,1.1945,1.1945
"M502.995T105.736",1.2271,1.163,1.1614,1.1614
"M516.992T825.04",1.2229,1.1547,1.1545,1.1545
"M475.366T1425.395",1.2227,1.1866,1.1853,1.1853
"M696.3T853.355",1.2209,1.1771,1.178,1.178
"M333.926T91.902",1.218,1.169,1.1677,1.1677
"M661.142T919.275",1.2174,1.1815,1.18,1.18
"M830.24T316.247",1.2166,1.1606,1.1613,1.1613
"M1103.384T928.554",1.2159,1.1858,1.1841,1.1841
"M324.072T215.478",1.2089,1.232,1.2302,1.2302
"M1015.483T980.936",1.2062,1.3314,1.3296,1.3296
"M419.228T901.259",1.2042,1.2307,1.2292,1.2291
"M221.066T891.624",1.2038,1.132,1.1306,1.1306
