"","Comp 1","Comp 2","Comp 3","Comp 4"
"X02.C12.2.neg",-6.9519,-3.6357,5.8937,-2.704
"X18.C12.3.neg",-13.76,6.0944,-1.0734,2.7153
"X33.C12.4.neg",-3.0066,-6.3349,-5.3026,-0.022208
"X32.X12.2.neg",10.368,4.0934,-1.2799,-6.1517
"X41.X12.1.neg",13.351,-0.21717,1.7622,6.1625
