"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M1236.259T13.113,3.1917,0.031403,1.503,0.08405,Test-Second
M1132.772T17.119,3.1762,0.031972,1.4952,0.084639,Test-Second
M950.808T12.104,3.1749,0.032019,1.4946,0.084639,Second-First
M1200.098T13.111,3.1748,0.032022,1.4946,0.084639,""
M1146.766T17.123,3.1687,0.03225,1.4915,0.084709,Second-First
M1083.794T13.109,3.1669,0.032314,1.4906,0.084709,Test-Second
M1287.246T13.111,3.1572,0.032678,1.4857,0.085097,Second-First
M1110.456T13.116,3.1512,0.032904,1.4827,0.085097,Test-Second
M767.841T12.14,3.15,0.032951,1.4821,0.085097,Test-Second
M1390.227T13.111,3.1488,0.032997,1.4815,0.085097,""
M1172.771T13.11,3.1382,0.033405,1.4762,0.085803,Test-Second
M1052.794T12.108,3.1332,0.033598,1.4737,0.085952,Test-Second
M660.874T12.107,3.1124,0.034412,1.4633,0.087681,Third-Second
M974.312T13.112,3.1063,0.034656,1.4602,0.087952,""
M1378.067T13.109,3.0968,0.035038,1.4555,0.088335,Third-Second
M1213.266T13.111,3.0923,0.035221,1.4532,0.088335,Second-First
M705.862T12.108,3.0922,0.035223,1.4532,0.088335,Test-Second
M748.852T11.107,3.0872,0.035429,1.4506,0.088495,Second-First
M794.18T13.113,3.0839,0.035565,1.449,0.088495,Second-First
M1473.715T13.11,3.0785,0.035785,1.4463,0.088697,Second-First
M1254.751T15.127,3.073,0.036017,1.4435,0.088926,Test-Second
M1529.701T14.614,3.0632,0.036425,1.4386,0.089299,Test-Second
M1611.434T12.108,3.0537,0.036829,1.4338,0.089299,Second-First
M1722.982T13.11,3.0533,0.036847,1.4336,0.089299,Test-Second
M286.907T1578.052,3.0531,0.036852,1.4335,0.089299,Test-Second
M1187.772T13.11,3.0527,0.036869,1.4333,0.089299,""
M1502.707T13.11,3.0406,0.037388,1.4273,0.090214,Test-Second
M1447.213T13.111,3.0373,0.037532,1.4256,0.090219,Third-Second
