"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M322.92T21.56"," 0.01664018","-0.18721042","-0.18721042","-0.11159583"," 0.40233816"," 0.46290248"," 0.20602339"," 0.05604841"," 0.21387824"," 0.09839211"," 0.02128995"," 0.11661468"," 0.04487404","-0.05114958"," 0.03462485","-0.29963784"," 0.24519252","-0.11218527"," 0.01310489","-0.41207416","-0.57086037"
"M324.92T20.56","-5.117737e-01","-6.430372e-03","-6.430372e-03"," 1.130399e-01"," 4.338321e-01"," 8.816931e-02"," 9.625211e-02"," 1.541973e-05","-8.098176e-02"," 8.763957e-02","-2.159248e-02","-1.323204e-01"," 2.006184e-02"," 2.474643e-01"," 7.177405e-02"," 1.294411e-01"," 2.803585e-01","-1.424254e-01"," 2.749679e-01","-6.508824e-01","-2.901793e-01"
"M326.38T1622.84","-0.101943396"," 0.087099161"," 0.087099161"," 0.052375033","-0.200671883"," 0.040068576"," 0.267260768"," 0.375661146","-0.104023885"," 0.393599010","-0.069252928","-0.086832606","-0.087526991","-0.198355742","-0.243405190","-0.005941248"," 0.093545124","-0.159237914"," 0.234311659"," 0.185183512","-0.559011365"
"M337.06T22.56","-0.57224721","-0.22602660","-0.22602660"," 0.26842819","-0.12250569"," 0.22446172"," 0.09616221"," 0.26979985"," 0.08691324"," 0.15863487"," 0.06079505","-0.10676742","-0.03166207","-0.11411874"," 0.19021306"," 0.25418654","-0.04087019"," 0.05322932"," 0.38666025","-0.04786669","-0.56139308"
"M338.34T1639.2","-0.68061319","-0.01599596","-0.01599596","-0.33679546"," 0.08449098","-0.50551756"," 1.04475179"," 1.57030569","-0.66502820","-0.09123021","-0.09181959","-0.43349874","-0.45699050"," 0.02331151"," 0.74638264","-0.09819566","-0.32581517","-0.49541309"," 0.10063234"," 0.17696448"," 0.46606986"
"M341.27T1369.82","-0.4938088","-0.4191975","-0.4191975","-0.2976619","-0.3364285","-0.4964561"," 0.5350775"," 0.5300330","-0.5510128"," 0.3670356"," 0.2008000"," 0.5517192","-0.2490903"," 0.8008144"," 0.6456165"," 0.4329513","-0.6591220","-0.3410664"," 0.1440481","-0.1414254"," 0.1963717"
"M349.25T12.55","-0.0011870311","-0.6612607285","-0.6612607285"," 0.1873104071"," 0.2052494370"," 0.3921553719","-0.2175417876"," 0.2321834066"," 0.0588444071","-0.1609542110","-0.4137163752"," 0.0827478432"," 0.1804679398","-0.1430676916"," 0.0677761401","-0.0008065983"," 0.2577810399"," 0.2583234771","-0.0541630295"," 0.1691979506"," 0.2219207609"
"M352.92T20.57","-0.194638207","-0.082432032","-0.082432032","-0.145424005"," 0.103935916"," 0.434664326"," 0.176564800","-0.005225398","-0.125245658"," 0.199595449"," 0.166935939","-0.177749637"," 0.208981366"," 0.019842530"," 0.001397885"," 0.195733923"," 0.139083097","-0.538485485"," 0.087676242","-0.521366319"," 0.138587301"
"M360.93T17.56","-0.723990903","-0.354375072","-0.354375072","-0.186758947","-0.148913665","-0.056161247"," 0.177451770","-0.071081206","-0.212713066"," 0.656221208"," 0.217830310","-0.417082457"," 0.213308220"," 0.691851542"," 0.090285568"," 0.669687483","-0.048444492"," 0.040616786"," 0.198734599","-0.380048164","-0.002043194"
"M372.36T1639.49","-0.21133342","-0.02879256","-0.02879256"," 0.13999003","-0.44272419","-0.37804019","-0.07927186"," 0.06343454"," 0.14349787","-0.12965602"," 0.52055515","-0.27222601"," 0.67676627"," 0.15595891","-0.11316794"," 0.08733537","-0.27703745","-0.02760669","-0.29864397"," 0.41683123"," 0.08292351"
