"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M1484.04T13.55","9887.968","10031.746","10031.746","10814.346","12282.096","10636.525","12752.876","9850","7819.388","11127.2705","7277.213","10184.139","6267.5","11986.693","11911.611","11839.6","11943.565","7681.448","11641.144","9665.126","9769.056"
"M1485.45T13.55","10417.706","10353.334","10353.334","9480.356","12133.194","13160.209","10796.292","13700","10112.246","11092.4629","10766.438","12639.299","9740.984","11052.275","12093.556","12667.843","11489.287","8144.31","12015.957","10427.71","11944.758"
"M1487.43T13.54","8083.839","7807.352","7807.352","8521.488","9541.781","8853.247","8496.888","9200","8797.525","9157.8113","9608.519","9766.389","9476.603","7992.63","9293.006","9228.999","9624.775","9020.811","9284.855","8245.054","12248.001"
"M1488.71T12.55","10774.967","14838.416","14838.416","11711.028","13222.453","13042.355","13566.542","11500","10941.736","10601.491","9287.16","11735.936","11572.043","11270.648","7743.16","12725.924","12268.482","11681.539","12820.532","10435.052","8947.797"
"M1491.21T13.55","15049.68","13430.837","13430.837","18310.768","16140.494","16694.294","16011.743","15800","16880.813","16278.5494","15366.231","15263.863","15895.64","18023.619","16178.604","16771.623","17768.353","16363.378","16420.992","14033.623","20813.656"
"M1492.71T13.55","13899.971","14558.431","14558.431","15717.01","15665.44","14089.046","16150.702","13300","9761.196","16050.8168","15610.581","14261.367","14610.859","16378.99","15146.048","15906.069","10333.195","14615.284","13744.579","12017.294","17344.54"
"M1493.71T16.56","3371.321","6251.455","6251.455","4934.76","4675.733","4806.701","4403.333","8250","4438.172","5392.81","5400.738","4785.26","5519.158","5166.812","5265.162","4798.727","4957.788","4265.612","4817.719","3020.202","6265.419"
"M1494.7T17.06","3187.912","7067.321","7067.321","5997.94","6362.559","5494.518","4391.274","6290","6237.229","6398.0642","5334.458","11756.189","6468.172","6043.02","5169.462","5804.62","7910.537","5591.194","6074.7","3823.32","9907.17"
"M1495.71T13.55","10391.624","12655.434","12655.434","10872.52","12171.194","6682.67","11146.456","9570","5580.692","10574.2348","10734.166","11814.358","11514.353","9244.622","10392.479","10950.278","11685.598","11571.519","7895.616","8899.77","8221.867"
"M1496.04T13.55","27498.228","25876.181","25876.181","32952.562","31278.099","29441.081","31634.62","28700","31957.615","31105.1463","30807.936","30718.487","34656.34","29328.394","29867.623","29133.034","28450.95","28171.757","31455.659","27888.495","36058.682"
"M1497.05T13.55","12230.5","12653.643","12653.643","14499.368","12770.61","12659.669","13159.908","11000","15095.788","12190.7497","12210.214","14199.438","12342.042","13015.56","13968.391","14011.735","14194.182","11801.387","14183.723","10441.23","15723.505"
"M1497.42T13.54","12500.61","11172.77","11172.77","12874.508","13638.406","12535.679","12712.206","10700","12416.235","11614.1656","12997.109","12496.46","12640.098","13281.955","13857.388","13938.89","17755.899","13470.584","13122.38","11500.131","16803.688"
"M1497.96T13.55","13462.132","12146.33","12146.33","13793.256","15719.597","13976.751","14462.644","13300","13958.208","13406.7882","15009.893","14639.828","14645.981","13971.346","12381.666","15585.169","15527.637","12574.923","13528.992","12880.824","19168.135"
"M1498.21T13.55","14576.797","12744.712","12744.712","15897.55","17193.718","15033.984","17618.752","14300","17416.168","17432.9809","18307.117","18840.792","17554.748","17433.06","16489.682","18461.444","15734.368","16958.884","17203.755","15581.61","19795.272"
"M1500.7T17.55","4693.85","6494.133","6494.133","5432.248","6368.143","7665.021","5762.512","5910","5308.65","7607.0868","6754.122","5311.234","8088.854","5250.247","6638.914","5902.732","5039.415","5256.33","6219.248","3330.578","8717.908"
"M1502.46T13.55","10573.925","10383.912","10383.912","9540.536","12086.122","11168.28","10385.062","8290","10225.314","10783.4965","9131.421","10003.446","10553.368","11315.363","10933.495","12323.357","11382.272","8519.245","9038.467","9690.188","10183.929"
"M1502.71T13.55","12898.391","13514.931","13514.931","12260.672","13547.173","13647.886","14608.241","11500","14048.623","12720.9124","12835.556","12761.241","13258.382","12139.313","13422.814","15234.647","9873.897","8337.279","14750.133","11078.359","9234.999"
"M1504.04T13.55","7957.735","9490.734","9490.734","7825.406","9050.101","8803.147","7401.48","6970","10129.382","8630.2091","8014.384","8201.057","8776.786","7430.421","7819.994","8958.618","6041.319","6324.221","8832.823","8404.065","8748.99"
"M1505.38T13.55","16388.305","16154.534","16154.534","18274.66","17620.758","17191.723","19821.704","16400","17123.325","17152.0793","17309.318","19266.029","17362.257","18976.874","17740.859","19388.823","20251.713","17869.525","18056.021","16050","20535.605"
"M1507.7T16.55","4377.396","8594.282","8594.282","5971.862","9395.167","6547.006","6805.252","6040","5796.751","6950.1369","5583.213","5506.722","5772.217","6078.411","5046.791","6550.937","5635.731","4851.448","6566.376","4514.357","6979.219"
"M1509.45T13.55","8065.531","10903.529","10903.529","11564.59","10249.638","11197.265","10296.798","9470","11353.346","10355.5167","10915.738","11571.159","6618.505","8963.508","10498.241","11398.054","11083.147","10225.858","11084.502","8488.444","12597.174"
"M1510.46T13.05","6346.566","9192.581","9192.581","6579.68","6120.306","6011.632","5459.766","5250","6504.384","6479.3506","5779.987","6157.283","6737.713","6158.28","5981.662","6745.759","5964.229","5377.473","5100.752","6038.92","5520.684"
"M1514.96T13.55","11691.943","10602.755","10602.755","13672.896","14240.516","14135.156","13172.901","13000","12810.725","13545.9101","14267.325","13030.427","13051.885","13895.044","12169.054","13532.117","14574.959","12561.765","13013.201","9841.436","15739.949"
"M1515.2T13.55","10366.266","10658.821","10658.821","10649.854","13081.946","9728.953","11879.532","7580","9800.282","10810.9155","11911.68","11351.267","10571.445","10792.887","12263.768","11356.883","11334.521","9430.691","14207.787","10783.444","15144.56"
