"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54"
"M974.312T13.112",-0.0053683,0.025371,-0.027885,-0.040138,0.0020261,0.024034,-0.038466,0.020012,0.032806,0.021868,0.077771,-0.0022815,0.019203,-0.005105,-0.043951,-0.012414,0.067625,0.005272,0.033093,0.0023052,0.021744,0.025561,0.014943,-0.036965,0.032748,0.022532,0.061775,-0.03558,0.023851,-0.055235,-0.00054098,0.0063933,-0.0038819,-0.010052,-0.01544,-0.026832,-0.0011036,0.048556,0.051852,-0.0039312,-0.063085,-0.024608,-0.025458,-0.069632,0.083888,0.14252,0.049414,-0.0024386,0.013625,9.3146e-05,0.014492,0.020734,0.040634,0.0054511
"M976.139T15.118",0.0003068,0.037463,-0.016371,-0.06813,0.0037851,-0.0028675,0.013997,0.0071814,0.02055,0.016266,-0.021173,0.0082057,0.057824,-0.031993,0.082714,0.035146,0.046426,0.029511,-0.0083398,0.012291,-0.022021,-0.024991,0.058835,0.001222,0.0023982,0.017249,0.050801,0.0062942,0.024276,0.00049885,-0.021116,-0.035591,0.085027,0.098102,0.062506,0.022957,-0.020662,-0.015118,-0.026467,0.062768,-0.057234,0.0038169,-0.014531,-0.010426,0.053391,-0.041918,-0.0028984,-0.017208,-0.030528,0.02529,0.0075638,0.023304,0.0020176,-0.0017233
"M976.471T16.081",0.015952,0.052061,-0.065022,-0.011793,0.064271,0.045406,-0.0028008,-0.010935,-0.018664,-0.064437,0.10164,0.089144,0.042108,-0.044191,0.041436,-0.0010018,0.067622,0.096637,-0.016889,0.010802,0.024684,0.0038834,0.0061826,0.02101,-0.085282,0.017653,0.065764,0.021121,0.0249,-0.0074982,-0.058867,0.070511,-0.060342,0.031122,-0.015487,0.066422,-0.010006,0.015607,0.0050647,-0.012072,-0.020657,0.073328,0.036261,0.0080357,0.024264,-0.014841,0.03524,-0.0039676,0.02865,0.017277,0.010898,0.017816,0.03486,0.018012
"M977.8T13.648",-0.014888,0.0020015,0.040324,-0.048746,0.051018,0.038437,0.058838,0.022319,-0.017646,0.015413,0.095014,-0.028941,0.070651,-0.022363,-0.027232,0.0095784,0.043885,-0.0092116,0.061241,0.08872,0.00040471,-0.008592,0.049883,0.00022914,0.014736,-0.03401,-0.063674,0.025343,-0.00042261,0.053506,-0.0097102,0.02481,-0.05227,0.019533,0.036954,0.011328,0.013362,-0.068784,0.00041884,0.025002,-0.045321,0.040239,0.039785,0.072036,-0.058826,0.0044334,0.0024697,0.029767,0.00097637,0.0067068,-0.017633,-0.011782,-0.0096659,-0.00060551
"M978.791T18.125",-0.00018499,0.084473,0.028692,0.033613,-0.0060267,0.00021353,0.022815,-0.069944,0.066347,-0.052271,0.03557,0.0017473,0.040795,-0.021605,0.019137,-0.014736,0.011013,-0.025508,0.014108,0.0076878,0.03309,-0.016087,-0.0061106,0.047023,0.0028726,0.041028,-0.014409,0.04049,-0.001584,-0.01296,-0.00010517,0.028574,0.0008433,0.011361,0.012874,0.013006,0.023375,0.00099323,0.0099483,-0.047393,-0.01095,0.025848,-0.010865,-0.0068795,0.0041109,0.014711,-0.03514,0.059074,-0.027134,-0.0035935,0.0051061,0.00040269,0.023458,-9.789e-05
"M978.802T11.597",0.0016689,-0.027973,0.11086,-0.0043057,-0.021938,0.050715,-0.008199,-0.0097848,-0.008139,0.00092332,-0.014543,-0.033591,0.026128,0.030209,-0.048014,0.028042,-0.038341,0.033003,-0.042069,-0.015297,-0.020774,0.030341,0.0059893,-0.0063497,-0.0094467,0.022273,-0.023887,-0.0045127,-0.028627,0.066653,0.058411,-0.0014855,0.013057,0.022193,0.00083522,0.047733,0.038254,0.091383,0.0062249,-0.036195,-0.075571,0.0045861,0.01341,0.011316,0.0092771,-0.03085,0.015789,-0.0078016,-0.0036466,0.017135,-0.017624,-0.0043792,-0.033926,-0.022385
"M980.799T16.971",0.031889,0.01954,0.0050407,0.014699,0.0020098,0.010636,0.054383,0.0024269,-0.024687,-0.0084563,0.0080064,-0.013664,0.04039,-0.032537,-0.034879,-0.022125,0.042967,0.085962,0.047744,0.0069004,-0.033188,0.051553,-0.05228,-0.023381,0.023769,0.077096,-0.027878,-0.01082,0.0097781,0.028437,0.028388,-0.014436,-0.02171,0.083866,0.046192,0.024262,0.028652,0.037189,-0.008224,0.038311,0.031982,-0.028712,-0.017424,-0.00020237,0.009924,-0.00047014,-0.062385,-0.01681,0.099632,0.029301,-0.0060118,0.0038826,-0.014759,-0.025399
"M981.798T18.124",0.045721,0.074663,0.019542,0.052274,-0.065126,0.012094,-0.046091,0.019573,0.04077,0.012565,-0.0091107,-0.020877,-0.013412,-0.052075,0.051072,0.011278,-0.057782,0.06984,0.032212,-0.042247,-0.052697,-0.032391,0.0093447,0.034551,-0.0031636,0.051907,0.015327,0.011277,-0.026088,0.027596,-0.026482,-0.056403,-0.00033484,0.037608,0.0089334,-0.010999,0.028998,0.023214,0.028076,0.0032545,0.02602,-0.049834,-0.075524,0.030493,0.007323,0.024488,-0.0013603,0.023747,-0.036385,0.0073651,-0.013097,-0.019662,0.015288,-0.006717
"M984.48T13.584",0.0155,0.026203,0.02894,-0.012845,0.0035898,0.0042673,0.012313,0.022904,0.03392,-0.015461,-0.016755,0.016637,0.014454,0.02821,0.013227,0.047906,-0.017285,-0.006745,-0.039722,0.0025311,0.0040268,0.026202,-0.038406,-0.010741,0.054621,0.026326,0.011074,0.036814,0.0069776,0.012665,0.042533,0.048318,-0.049732,-0.0077878,0.0097085,0.0048316,-0.0027194,-0.034934,0.022477,0.037174,0.014846,0.025623,0.092385,0.0005923,-0.020481,-0.08609,0.0064955,0.011698,0.023034,0.0072669,-0.0016871,0.0078079,0.019168,0.0087687
"M984.807T12.108",0.0022748,-0.0061039,-0.0011168,-0.020678,-0.002735,-0.077217,-0.10663,-0.032425,-0.0036386,-0.039302,0.014259,-0.0055987,-0.089377,-0.049962,-0.048632,0.006691,0.025722,-0.018847,0.065772,0.010689,-0.058082,-0.0034201,-0.063097,0.021065,0.0045309,0.031278,0.0034027,-0.018959,-0.010844,0.045009,-0.027385,0.040375,-0.046914,-0.0094458,0.021272,0.010476,-0.040617,0.061885,0.00021113,-0.017177,0.00079938,-0.032386,-0.0018415,0.0057076,-0.0037714,-0.017681,-0.0019092,-0.021745,0.041232,-0.010182,0.0086483,-0.0068377,0.0010438,0.0056649
"M985.47T16.119",-0.00065913,0.012735,-0.00084834,0.012911,0.035194,0.014401,-0.030128,-0.010441,0.0061758,-0.043143,-0.033802,0.085777,-0.049066,0.012098,0.0037203,0.017996,0.063498,-0.024732,0.0029988,-0.071001,0.048559,-0.056514,0.065703,0.081684,0.049901,-0.0059586,0.039718,0.10807,-0.012502,-0.003197,0.062357,-0.079527,0.028787,-0.024724,0.026849,-0.013471,-0.085455,-0.03774,0.10192,0.030673,-0.031939,-0.01194,0.0006976,0.084906,-0.0062122,0.029817,-0.02183,0.034665,-0.013661,-0.021923,0.013634,0.021323,-0.012399,0.0093288
"M985.476T12.109",0.0065899,-0.018305,0.045131,-0.048408,-0.021238,-0.052507,-0.018921,-0.023453,-0.050433,-0.0048446,0.035603,-0.067151,-0.053663,-0.035417,0.070527,-0.11584,-0.013565,0.038392,-0.099587,0.069788,-0.05341,-0.12394,0.044906,-0.077856,-0.020982,0.030243,0.01417,0.010697,0.013585,-0.060259,0.011708,-0.0085515,0.00032489,0.0071629,0.037878,0.075599,-0.024348,-0.032959,0.0099605,-0.010375,-0.013804,0.026179,0.022538,0.041954,0.058791,-0.032634,-0.023413,0.020953,-0.021592,0.020552,0.022365,0.025925,0.0084909,0.0071585
"M986.795T18.125",0.018136,0.047776,0.063697,0.025782,-0.033709,0.068204,0.009392,-0.022914,-0.015006,0.088053,-0.014796,-0.013617,-0.058552,0.0077048,0.010453,0.0013728,-0.0013035,0.042195,0.021016,0.00025989,-0.018893,0.018725,0.013913,-0.01446,7.1015e-05,-0.011676,0.0041067,-0.017922,-0.015548,-0.0064295,0.014613,0.014599,-0.0040201,-0.027016,0.02452,6.2215e-05,0.01168,-0.013625,0.016357,0.019433,-0.0014399,-0.041093,0.0041527,0.011913,0.035947,0.0066598,-0.011809,0.027838,0.017529,0.0033812,-0.017045,-0.015154,-0.010026,-0.012736
"M990.139T15.006",-0.011169,-0.01348,0.017865,-0.014022,0.011727,-0.045993,0.091414,-0.0032251,-0.0091638,-0.023258,0.061617,-0.021835,0.0066614,-0.06302,0.10398,0.073048,-0.10174,0.027564,-0.036406,0.01045,-0.047231,-0.04843,-0.03479,0.025884,0.058162,-0.024901,-0.002617,-0.064146,0.10161,0.0042811,-0.13186,0.019158,-0.034816,-0.086183,0.00088466,0.03702,-0.10391,0.017943,0.032382,-0.079455,-0.024523,-0.047862,0.090557,-0.012629,-0.028007,-0.00087556,0.025646,-0.05053,0.10033,-0.0076556,0.0037416,0.0050037,-0.0003193,0.018207
"M990.789T18.143",0.028324,0.071247,0.00069085,0.0048093,-0.020549,-0.040541,-0.019042,-0.0071189,-0.030252,0.02496,-0.012665,-0.046224,0.0095997,-0.022066,0.0021898,0.027849,-0.017806,-0.035766,-0.011358,-0.013002,-0.014003,0.021991,0.045136,-0.0077898,-0.069596,0.013956,0.043101,0.033209,-0.057655,0.020299,0.018414,0.0069602,0.011113,-0.0151,0.036366,-0.050779,-0.042704,0.013703,0.040362,0.07383,0.020739,0.033035,0.037296,-0.066433,-0.012019,-0.045147,-0.0027829,0.022534,0.034016,-0.00043989,-0.03066,-0.017912,0.014222,0.014083
