"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"M910.803T18.125","-0.285110344","-0.285110344","-0.285110344","-0.285110344","-0.099177181"," 0.032552738"," 0.109318081"," 0.175713936"," 0.142656285","-0.466364959","-0.192674647"," 0.031946087"," 0.088654406"," 0.182581355","-0.158106889"," 0.069387910"," 0.170893523"," 0.243402321"," 0.004322337","-0.074800275"," 0.123893103"," 0.776578388"," 0.151790136"," 0.035964243"," 0.015376498","-0.529202209","-0.001075434"," 0.085933253"," 0.036014788","-0.466792049","-0.363490446"," 0.151078852","-0.196388079"," 0.493535459"," 0.298950593","-0.088159927"," 0.118456527"," 0.127873144","-0.063757228"," 0.141150582"," 0.141150582"," 0.119393087"," 0.013172441"," 0.017919273","-0.054386618"," 0.058162821","-0.090360628"," 0.115295397","-0.467951930","-0.096132364"," 0.076844484"," 0.214104003","-0.013014829","-0.001789564"
"M910.804T17.517","-0.194541613","-0.194541613","-0.194541613","-0.194541613"," 0.326925471","-0.332554122","-0.199455892"," 0.215755850"," 0.115358047","-0.278768010","-0.027775722"," 0.019530730"," 0.121182327"," 0.180281142"," 0.087968030"," 0.091406266"," 0.080092498"," 0.241084539"," 0.206309374"," 0.492017911"," 0.131686091"," 0.047759303"," 0.163105438","-0.037327890"," 0.084046782","-0.181022824"," 0.058321954"," 0.107576909"," 0.155150885","-0.241510472","-0.682127787"," 0.166075198"," 0.070248535","-0.064376791"," 0.246503094","-0.041310846"," 0.110599212","-1.139648614"," 0.003847676"," 0.215211286"," 0.215211286"," 0.187896302"," 0.099401055"," 0.084459014","-0.036268567","-0.070280539"," 0.011352180"," 0.124048147","-0.314076284","-0.377035317"," 0.133461307"," 0.136928948"," 0.007736932"," 0.063166410"
"M912.805T18.125","-0.343545045","-0.343545045","-0.343545045","-0.343545045"," 0.041749345","-0.183489995"," 0.331429766"," 0.042547105"," 0.460754659","-0.291345921","-0.287907433"," 0.516783533"," 0.164735191"," 0.427733536"," 0.310007791","-0.027008472","-0.002799674"," 0.004002761"," 0.279367854","-0.031426258"," 0.313607067","-0.155511109"," 0.120034008","-0.011191439"," 0.055398426","-0.217063225","-0.207421083"," 0.409679012"," 0.174888938","-0.881607012","-0.357914133"," 0.031161994","-0.007099596"," 0.044939485"," 0.064925553","-0.390093739"," 0.008578060","-0.158905429"," 0.219182305","-0.322156088","-0.322156088"," 0.443234802"," 0.130159823"," 0.299493271"," 0.241338959","-0.118219495"," 0.158647060"," 0.389197735","-0.780781255"," 0.264227618"," 0.325408381","-0.105500816"," 0.101049399","-0.140484995"
"M916.815T17.122","-0.160197237","-0.160197237","-0.160197237","-0.160197237"," 0.051999772","-0.203013293"," 0.138270938"," 0.125359524"," 0.128664726","-0.265205828","-0.339544576"," 0.105552900","-0.372753236","-0.128419099"," 0.102773039"," 0.103077032"," 0.008025598"," 0.169425406"," 0.290317578"," 0.833483556"," 0.043914446","-0.217796854"," 0.069369779"," 0.119524681"," 0.049540791","-0.040800047","-0.123093944"," 0.084087593","-0.045004858","-0.331233740","-0.289647490"," 0.850507065","-0.194017012","-0.277990661"," 0.123039347","-0.069561224"," 0.005537335","-0.198281266"," 0.045578637","-0.146736068","-0.146736068"," 0.458760833"," 0.017197100"," 0.191242171"," 0.330838131","-0.119239243","-0.007356647"," 0.164004841","-0.479035704","-0.251006860"," 0.069242492"," 0.059661528"," 0.040562331"," 0.107703495"
"M916.819T12.108"," 0.028489099"," 0.028489099"," 0.028489099"," 0.028489099","-0.031962681","-0.122632770"," 0.093731575"," 0.295469847"," 0.131911679"," 0.189719800"," 0.083681122","-0.189407121"," 0.005296534"," 0.592176711","-0.441081520","-0.268193866","-0.319625253"," 0.118040327"," 0.334752534"," 0.049421579","-0.163699723"," 0.182429511","-0.049280780","-0.126495906","-0.101145948"," 0.351282428","-0.215653441"," 0.079126293","-0.140850742"," 0.210391541"," 0.104775486","-0.179255527"," 0.101757349","-0.295511159","-0.214504913","-0.191180936","-0.261773046","-0.012808431"," 1.380727021"," 0.043018053"," 0.043018053","-0.222403091"," 0.226630547"," 0.084115270","-0.232763705","-0.374762037","-0.085993895"," 0.375629909","-0.107140712","-0.454479015"," 0.245922430","-0.241764324","-0.263335978","-0.129275477"
"M920.829T13.111"," 0.032708204"," 0.032708204"," 0.032708204"," 0.032708204","-0.075990235"," 0.030157560","-0.068359085"," 0.125948221"," 0.228088223","-0.203742649","-0.329470563"," 0.005284361","-0.010568457","-0.001077886","-0.035276587"," 0.056930552","-0.241367769"," 0.098594471"," 0.216115630","-0.278663324","-0.005901189","-0.088249474"," 0.095729424"," 0.131090337"," 0.262146434"," 0.003680657","-0.114473043"," 0.053731494"," 0.143311111","-0.026348693","-0.030504110"," 0.069431316","-0.202470150"," 0.028762081"," 0.096633937","-0.071766405"," 0.066999623"," 0.277003565","-0.054791966","-0.103439311","-0.103439311","-0.016947297"," 0.088084483"," 0.045261507"," 0.108903721","-0.035875506"," 0.083053119"," 0.120916860","-0.129198028","-0.356519803","-0.099476376","-0.208616140"," 0.239037993"," 0.086803859"
"M921.811T18.125","-0.143902970","-0.143902970","-0.143902970","-0.143902970"," 0.004620415","-0.152236806"," 0.209126162"," 0.176743759"," 0.181078346","-0.389193264","-0.445667357"," 0.164178805"," 0.212564880"," 0.129692151","-0.197202992","-0.067006239"," 0.096344167"," 0.066488994"," 0.001690427","-0.206308499","-0.226718525","-0.423863229"," 0.160955203"," 0.139154667"," 0.215869428","-0.438386023"," 0.071405698"," 0.188742403"," 0.143009657","-0.569086733","-0.291498935"," 0.193602634"," 0.050589064","-0.004820589"," 0.231469992","-0.051182270"," 0.327483553","-0.075665493"," 0.028710599"," 0.049184624"," 0.049184624"," 0.368382944"," 0.096392433"," 0.180243070"," 0.136000833"," 0.026372306","-0.072033625"," 0.201151380","-0.469148134","-0.031403529"," 0.020988476"," 0.330242129"," 0.100549313"," 0.134820988"
"M921.817T11.166","-0.101892732","-0.101892732","-0.101892732","-0.101892732","-0.429338389","-0.264628999"," 0.302140903"," 0.337785825"," 0.300982159"," 0.048469123"," 0.088908098"," 0.236177780","-0.131523943"," 0.283204955"," 0.272110556"," 0.307788383","-0.456083415","-0.185274527","-0.154545798"," 0.093131337"," 0.714478775"," 0.016752841"," 0.261144321"," 0.007832766"," 0.171784018"," 0.188630704","-0.101695375"," 0.319983959"," 0.005650414"," 0.005568128"," 0.092620569","-0.124552852"," 0.088036293","-0.357557956"," 0.326922143","-0.166501716"," 0.287776536"," 0.296562976"," 0.056129952","-0.205766501","-0.205766501","-0.087554487","-0.184625463"," 0.111654814","-0.018768071","-0.562141297","-0.385035161"," 0.209301848"," 0.127257655","-0.404706810","-0.079039593","-0.221358181","-0.218848615","-0.205903251"
"M921.819T12.109"," 0.138879998"," 0.138879998"," 0.138879998"," 0.138879998","-0.316660869","-0.114836935"," 0.078414125"," 0.111341368"," 0.072698703","-0.188251248","-0.146369214"," 0.005662740","-0.002367977"," 0.055698938","-0.560484344"," 0.080204874","-0.263492696"," 0.024648364","-0.009072687","-0.141995269"," 0.157770754","-0.221099323"," 0.032830121"," 0.123416162","-0.061175275","-0.164450126"," 0.023573847","-0.316667853"," 0.215025447"," 0.164920650"," 0.271096765"," 0.019096473","-0.148534988","-0.182248277"," 0.100246436","-0.046108287"," 0.059527861"," 0.068328225"," 0.114205534"," 0.804297866"," 0.804297866"," 0.121580688","-0.007973084","-0.122810783","-0.257685732","-0.692481171","-0.185251204","-0.016947501"," 0.253045951","-0.223600194"," 0.071250398","-0.002854432"," 0.019312722","-0.014593404"
"M923.818T13.11"," 0.06384323"," 0.06384323"," 0.06384323"," 0.06384323","-0.21867391"," 0.19643842"," 0.06903923"," 0.06202258","-0.05249970"," 0.10231070","-0.69448408","-0.06601686"," 0.04123805","-0.10089028","-0.28198183","-0.20737471","-0.03763878"," 0.06448314"," 0.01216769","-0.07950960","-0.10607745","-0.14516208","-0.33868881","-0.13637746","-0.10154371"," 0.25027270","-0.30450181"," 0.60200814"," 0.05313490"," 0.39003749"," 0.31052371"," 0.66751955","-0.72104024"," 0.01271332","-0.21696476"," 0.64580548","-0.10111789"," 0.66110231","-0.29746493"," 0.20404631"," 0.20404631","-0.04159014"," 0.07074474","-0.41846443","-0.17132589"," 0.52534186","-0.12778122","-0.26778442"," 0.28282360","-0.46460117","-0.11541266","-0.01647733"," 0.09525334"," 0.05299972"
