"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54"
"X12.1",3.4692,1.3754,-0.65789,-0.40872,1.0951,-0.17191,-0.20457,0.26932,-1.3672,0.22318,-1.9685,0.24553,0.64678,-1.7539,0.88283,-0.74873,0.4952,-0.28179,0.0042614,0.1085,0.32526,1.0335,-0.72603,-0.52974,0.72872,-1.0585,-0.17364,0.39465,-0.94575,0.58779,-0.34712,-0.82906,1.306,-0.86466,-1.0971,0.23992,-0.64047,-1.2201,1.4769,0.51828,0.17968,-0.68759,-1.0704,-0.23095,0.057527,0.62866,-0.26469,-0.048588,0.095865,2.0865e-15,1.2143e-15,1.5125e-15,-4.5536e-16,-1.9654e-15
"X12.2",2.5978,1.4379,0.11638,-1.1699,-0.63122,-0.14928,0.33444,0.79389,0.22566,0.016111,0.68488,-0.27436,0.16144,-0.42406,0.36679,-0.75685,0.635,-0.18335,1.3491,-0.85994,-1.3034,-0.96996,-0.72146,1.302,-0.89455,-0.19,1.4117,-0.029021,-1.2811,1.5341,0.22601,-0.71671,-0.13515,-1.1619,0.67791,0.048131,-0.89364,0.86612,-0.81422,1.0192,-0.16551,-0.79147,1.153,0.2689,0.15094,0.4407,0.24359,0.23435,0.49497,-1.2636e-15,6.6977e-16,-2.19e-15,-1.1959e-16,1.4836e-15
"X12.3",2.3191,-0.51693,-0.45025,1.4505,1.0673,-0.15578,1.2273,-0.21986,-1.1482,0.42953,1.3478,-0.41156,-1.3264,-0.8402,0.18522,-4.056,-0.33937,-0.49846,-0.90381,0.46369,-0.48667,-2.2265,0.61655,-0.84168,0.16026,0.39527,0.01395,0.47469,0.021012,-0.42173,0.69828,-0.48531,0.19812,0.30256,-0.043906,0.29358,-0.11573,-0.1601,-0.16432,-0.76031,0.20712,0.42147,-0.0046979,-0.089379,0.43626,-0.0081848,-0.58792,0.5406,-0.18361,1.1115e-15,-1.2798e-15,-7.9185e-16,1.3088e-15,-7.1639e-16
"X15.1",3.2145,-0.97307,0.30813,-0.72273,1.2565,0.13693,0.84524,0.16159,1.213,-0.25628,-0.49532,1.2437,-0.40589,-0.13508,0.60338,1.0877,-0.78402,-0.12358,-1.9807,-1.3161,-0.084518,-0.27011,0.077863,0.17001,1.0527,1.5816,-0.57833,-0.73461,-1.3878,0.27618,0.54898,0.61825,-1.0759,0.5028,0.27006,-0.026248,0.0050184,-0.30223,-0.35344,0.027241,-1.0531,-0.76272,-0.59881,-0.048614,0.71443,0.49436,-1.1333,-0.032981,0.99406,1.0505e-15,-3.9118e-16,-1.6161e-15,2.858e-16,-6.0347e-16
"X15.2",3.2088,1.0404,0.24692,-0.43143,1.2054,0.41433,-0.947,-0.22685,1.8123,0.58817,-0.66448,1.693,-0.21714,-0.44018,-0.1428,-0.32935,-1.3481,-0.41749,-1.5951,0.30911,0.029811,1.0168,0.60696,0.74611,0.39635,-0.37064,1.1612,-0.21592,0.93658,-1.3536,-0.33992,-0.14934,0.76877,0.36557,-0.23229,-0.10612,-1.0785,0.20242,-0.1573,-0.27282,1.0115,-1.0046,1.2006,0.23138,-0.054922,-0.63711,0.89657,0.81241,0.59359,7.3834e-17,5.3993e-16,1.0105e-15,-1.3297e-15,-1.1636e-15
"X15.3",1.3808,-5.6958,1.6893,-1.2134,1.8517,-0.14329,1.4037,0.013989,1.9769,-0.45377,0.85785,-0.03473,-1.2239,1.6329,0.75257,0.37988,-0.73666,-0.23755,0.85851,2.3392,0.49476,0.739,-1.2245,-1.1413,-0.090714,-0.010703,0.47698,0.92395,-0.96539,0.24932,0.25236,0.71819,1.1343,-0.13388,0.45583,0.1107,-0.17495,-0.1146,-0.41865,-0.045586,0.67331,0.27733,0.182,-0.39214,-0.25637,0.52513,-0.24319,-0.51098,0.15465,2.5435e-16,2.0318e-16,-2.0034e-15,2.7148e-16,4.6252e-16
"X15.4",0.87889,-1.3172,-4.2865,5.3596,-0.30525,0.088878,-2.5839,-1.1091,0.58805,-0.38448,-0.28288,0.39038,-2.2906,-0.518,-2.4235,0.73227,-0.39419,-0.52217,0.90281,0.26544,-0.45009,0.03531,-1.1201,0.075039,-0.23251,0.43603,-0.21988,-0.1758,-0.91979,0.27497,-0.17504,-0.0076863,0.11243,-0.044443,-0.23546,0.86424,0.2526,0.28366,0.18241,-0.20671,-0.022862,-0.075804,-0.18918,-0.10978,0.25695,-0.12801,0.26607,0.17361,0.27822,2.7138e-16,1.8267e-15,1.7577e-15,2.7929e-16,6.5659e-16
"X9.1",2.6025,0.57105,-1.1583,0.47363,-0.61433,0.36247,0.28267,-2.8049e-05,-0.89474,-0.5357,-0.63724,-0.3357,0.38199,0.32667,0.36897,1.3677,-0.57151,0.084989,-0.19765,-1.0451,-0.046574,-0.58822,-1.7864,0.30087,-0.86527,-0.19864,0.089212,1.8258,1.6458,-0.29341,0.59964,-1.3379,-0.48481,1.0801,-0.025844,-0.21114,-0.49173,-1.1876,-0.61342,-0.45844,0.28743,0.74961,0.44879,-1.1741,0.10731,0.76573,-0.01003,-0.17879,0.7121,2.1841e-15,-8.6237e-16,5.2671e-16,-1.3214e-15,-6.2472e-16
"X9.2",1.6982,0.18408,-1.7099,0.42567,-1.4898,0.67611,0.96803,0.33254,0.5239,-0.429,-0.33452,0.49678,0.12397,0.85191,0.55925,0.36264,-0.65328,0.65784,-0.20098,1.2763,0.46074,-1.2022,-0.32013,1.6189,0.025288,-1.0703,0.33986,0.83959,0.39726,-0.59358,0.33825,0.050826,-0.20575,-0.20554,-0.68301,-0.29519,0.0045357,1.6347,-0.060225,0.4762,-0.33327,-1.1452,-1.5085,-0.97867,-0.20328,-0.67083,-0.89166,0.28382,-0.88079,2.0098e-16,-1.6311e-15,6.0732e-16,1.1396e-15,-1.1117e-15
"X9.3",1.4631,1.0793,0.11285,-1.3375,-0.051972,0.46985,0.48984,0.85809,-0.13196,0.017012,0.29765,-0.041612,0.63405,0.8477,-0.41735,0.86302,-0.34027,-0.31727,0.23006,-0.098971,2.1014,-1.3387,-0.36845,-0.18852,1.8653,-0.13409,0.12723,-0.42085,-0.24385,0.52418,0.16612,-0.16806,0.19645,-0.62843,0.49147,1.273,0.51091,-0.60749,-0.32119,-0.090839,-0.47716,0.68936,-0.26237,-0.41015,0.37618,-0.30602,1.636,1.6684,-0.29376,6.5845e-16,6.6153e-16,2.7751e-15,-2.3084e-16,-5.7066e-16
"X9.4",2.5065,0.31329,0.33745,-0.30496,0.14515,-0.44413,0.4179,-0.62658,-0.28689,0.23488,1.127,-0.89053,0.57971,-0.66365,-0.40198,-0.29156,-1.7405,-1.3048,0.535,-0.0033758,-0.10352,0.9337,-0.52425,0.41691,0.035614,0.13016,1.6221,-1.709,-0.10358,-1.5699,0.56709,0.11495,-1.2562,0.4454,-0.58312,0.59306,-0.62926,-0.25473,0.29975,1.3812,-0.37997,1.1562,-0.57356,-0.039785,-0.31912,0.41163,0.15593,-0.6932,-0.65371,3.3651e-16,3.9682e-17,-9.4542e-16,-7.2143e-16,-5.6476e-16
