"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54"
"C15.4",0.38266,-2.1279,-1.516,1.1593,-1.0596,-1.751,0.098131,0.80987,-0.62357,-0.1326,-0.60689,-1.4273,-0.1427,0.22687,0.24215,0.13312,1.5493,-0.76937,-0.52996,1.9982,0.71055,0.18615,-0.12455,1.4439,0.79618,1.9941,0.23167,-1.2572,0.98308,0.79868,0.59455,-0.50783,0.32682,0.03245,0.15562,-1.4762,-0.76809,-0.66903,-0.25704,-0.50253,-0.25786,-0.33868,-0.072128,0.5995,-0.50226,0.12563,0.25375,-0.13603,-0.18242,1.0013e-15,4.3455e-16,-6.6743e-16,-4.6317e-16,-7.3682e-16
"C9.1",-0.13633,0.54871,0.23381,-0.57552,-0.99331,-1.4022,-1.7028,-0.35821,-0.24821,-0.69005,0.89229,-0.69782,-0.93078,-0.77517,-0.50806,1.2106,-0.4049,-0.40217,-0.59701,0.17127,0.77557,-0.65214,2.2271,0.21628,-1.6709,-1.0848,0.12233,-0.34009,0.18364,0.058487,-0.1746,1.2636,0.79794,-1.1628,0.5742,-0.63919,-0.63557,-1.1797,-0.16656,0.51524,-0.13962,0.58729,-0.14239,-0.90162,0.1614,0.17533,-0.88131,0.54199,0.37814,4.9933e-16,1.2991e-15,6.065e-16,2.1641e-16,-5.1066e-16
"C9.2",-0.32327,1.8826,0.26064,-0.66739,-0.55978,1.0981,0.32616,0.2593,-1.2594,0.15402,0.78684,-0.5828,0.63556,1.3847,-1.1193,-0.14787,0.42364,-1.1887,-0.29639,-1.1433,0.47439,0.40726,-0.014759,-0.13717,-0.50971,2.3601,0.01879,1.3802,0.52923,0.51552,-0.2215,1.4176,1.2101,0.5188,-0.3219,1.2137,-1.004,0.35424,0.98899,0.62212,-0.14209,-0.57383,0.32082,-0.33152,-0.208,-0.70484,-0.37314,-0.16825,-0.19341,-2.1402e-16,-1.275e-16,6.0325e-16,7.1471e-16,-1.1202e-15
"C9.3",1.5229,1.3929,-0.11125,-0.63425,-2.0399,0.14644,0.9671,0.41237,-0.29977,0.13707,-0.58768,-1.3554,0.88478,-0.029115,-0.24491,0.22652,-0.17664,1.8462,-0.52963,1.5872,-0.65839,-0.90984,-1.0265,-0.84118,-1.3799,0.70912,-1.5563,-0.64068,-0.9677,-1.8017,-1.2053,0.57993,-0.23564,0.037646,0.18788,0.033645,-0.64024,-0.28952,0.24647,0.32142,0.2191,-0.5242,0.32224,0.3867,0.80311,0.27343,0.71509,0.29575,0.04676,1.1466e-15,-1.4422e-15,-6.4792e-16,6.2689e-16,-7.7477e-16
"C9.4",1.8965,0.57093,-2.4864,1.8785,-1.1878,-0.23552,1.0869,-0.1976,-1.0102,-0.27856,-0.47676,0.16587,0.50364,-0.50862,0.72867,-1.0448,-2.1868,1.6091,-0.54129,0.0029072,0.31583,1.3296,-0.51686,-0.93274,-0.011975,-0.37919,0.67263,-0.36537,1.0211,1.6159,0.096696,1.1099,0.52732,0.39236,0.96636,-0.62725,1.3673,0.054899,0.044396,0.88412,-0.70467,-0.016634,0.82484,0.23378,0.33221,-0.18209,0.0064474,0.020469,-0.15579,1.0634e-15,-1.7447e-15,8.9208e-16,-8.8254e-16,1.7187e-15
"D12.1",3.0965,0.3542,-0.26945,-0.25197,0.38724,-0.10577,-0.51646,0.20511,0.84797,0.58829,-0.57151,1.5105,0.34051,0.40511,0.41435,-0.21132,0.55724,-0.70936,1.0532,0.014526,-0.80456,1.5197,0.59532,-0.13439,-1.2974,0.78708,-0.15735,1.5215,-0.15253,0.093387,0.59054,0.63675,-0.9384,-0.1937,-0.73295,-1.0337,0.079082,-0.63578,-0.50044,-0.20594,-0.36677,0.48379,-0.32568,0.62755,1.1698,0.15332,0.3168,1.2801,-1.3588,-6.3832e-17,-1.8005e-15,-2.2816e-15,5.8352e-16,-2.7409e-16
"D12.2",2.8885,-1.1461,-1.3162,3.4638,1.1396,-0.21245,1.9951,0.57163,0.44457,-0.019787,-0.34881,1.4492,0.15092,0.27111,1.693,0.14671,2.525,-0.48214,0.41815,-0.25753,0.90995,-0.44688,0.79962,-0.64511,-0.93593,0.077669,0.97054,-0.28797,0.34905,-1.0794,-1.8678,0.10025,-0.49165,-0.14576,0.087717,0.50888,0.59053,-0.14984,0.14433,0.33059,-0.88659,0.095469,0.46652,-0.33151,-0.74363,0.040769,0.11077,-0.15979,0.34498,1.4088e-15,1.1085e-15,1.3791e-15,-7.8756e-16,-5.5164e-16
"D12.3",2.3785,1.3533,0.203,-1.2792,0.25295,-0.47266,-1.0907,-0.86681,-0.46221,0.3375,-0.25772,0.076972,-1.0911,-0.022435,0.84012,-0.15399,0.38651,-0.94096,0.40905,1.6279,-1.3236,0.039442,0.77076,0.96547,1.9534,-0.60187,-1.8727,0.90345,0.73328,0.53371,-1.028,0.42906,-1.0907,0.74958,0.73318,0.44031,-0.14187,0.36391,0.46967,1.1292,-0.35421,0.52735,0.78533,-0.58221,0.15492,0.23369,0.24623,-0.26719,0.095672,5.0112e-16,1.6306e-16,3.9031e-18,3.296e-17,4.3281e-16
"D12.4",2.6615,1.334,0.69503,-1.8502,-0.12449,-0.78961,-1.2148,-0.51552,0.36852,1.1938,1.5508,1.1447,-0.25786,-2.8061,0.88719,0.90652,-0.10268,0.085051,0.65684,0.12977,1.0771,-0.28681,-0.67077,-1.0499,-0.55558,1.5082,-1.2529,0.1393,1.1098,-0.30104,0.32668,-0.89336,0.72099,-0.33572,-0.14349,-0.23762,0.63114,1.3462,-0.44576,0.65183,-0.05446,0.30041,-0.48285,0.54686,-0.64298,-0.079115,-0.061119,0.082918,0.3671,-4.6797e-15,5.6405e-15,5.5208e-15,-4.1894e-15,1.7555e-15
"D15.1",-6.3183,2.163,0.6847,0.50316,-1.1093,-4.9278,1.303,-3.5409,2.5208,1.4611,-1.3059,-0.13412,1.4792,0.35987,-0.12635,-0.59177,-0.13613,-0.24258,0.19004,-0.38245,0.43855,-0.65559,-0.20562,0.41421,-0.081197,-0.088516,-0.045686,0.49739,-0.36101,0.26772,0.1754,0.16041,0.18122,0.29654,-0.11447,0.35534,0.12894,0.016711,0.3921,-0.29435,0.017509,0.14317,0.034749,0.057086,-0.12659,0.098599,-0.056208,0.080851,0.20477,-5.0303e-15,-1.7504e-15,-2.0139e-15,1.7194e-15,-1.6119e-16
"D15.2",3.1085,0.99731,0.56632,0.42293,1.8177,0.39932,-1.9152,0.12921,2.1309,0.28165,-0.24983,-0.18146,0.22783,1.8378,-0.18489,-0.81538,1.4408,1.8912,-0.73285,-1.0514,-1.4765,-0.72244,-0.98444,0.073642,0.36496,0.18113,0.087361,-1.0578,1.3011,0.39135,-0.24382,0.54698,0.568,-0.45554,0.11244,-0.18151,-0.0097283,-0.14721,0.11599,0.8665,0.91061,1.1775,-1.0072,0.067691,-0.24348,0.1179,-0.26865,0.12928,-0.12369,1.5919e-15,-1.1072e-15,2.4815e-15,-1.6822e-15,-6.6787e-17
"D15.3",-7.3444,3.0157,0.39543,0.68131,2.0462,-3.9471,-1.4367,4.9489,-0.98889,0.29452,-0.57213,0.12625,-0.80996,0.90175,0.55222,-0.12034,-1.1548,-0.11125,0.20571,-0.30233,-0.076965,0.025204,-0.37965,-0.13771,-0.2372,-0.25831,-0.32546,-0.036744,-0.11169,-0.44827,-0.035565,0.15793,0.053548,0.28033,-0.33676,0.20508,0.040719,0.49189,-0.32656,-0.025391,-0.1991,0.03396,0.031417,-0.0072103,0.097868,-0.1586,0.019521,-0.23798,0.051736,-5.5262e-16,-6.9045e-16,-7.8599e-16,7.8063e-18,1.1459e-15
"D15.4",-3.3804,2.5486,-0.41607,0.27956,1.5067,2.3408,-3.1629,-1.8328,-0.0026016,0.66759,0.34136,-1.4139,-0.37347,2.2225,2.1177,-0.18143,-1.0701,0.75756,0.34482,0.13766,1.481,-0.44494,0.67502,-0.17975,-0.51601,0.34966,0.28522,-0.022982,-0.86468,0.13705,-0.16797,-1.2404,-0.35453,0.39677,-0.32216,-0.65097,-0.078011,-0.10684,0.73431,0.092817,-0.70243,-0.27233,0.40381,0.4989,-0.10617,0.11711,-0.062272,-0.013049,0.018938,1.7061e-15,-3.76e-16,-4.5536e-17,1.2317e-16,-1.9936e-15
"D9.1",1.435,0.59477,-0.44737,-0.64495,-0.38043,0.53424,0.63689,0.13023,-0.089996,0.38433,0.25486,0.49653,0.35242,0.41377,-0.52862,0.14778,0.083236,-0.18105,0.74865,0.19311,1.1088,0.074604,-0.23743,0.56476,0.35395,-0.72625,0.34283,-0.19243,0.74421,0.027354,-1.1549,-0.32399,0.2949,-0.446,0.085935,0.14457,-0.70219,0.53294,0.065367,-0.97353,-0.21731,1.0761,-0.18342,1.4563,2.29,-0.5764,-0.97271,-1.0821,0.50097,1.4955e-15,4.9852e-16,9.766e-16,5.1174e-17,-1.2945e-16
"D9.2",0.87696,1.3551,0.14397,-1.0808,-0.53642,0.08362,-0.080427,-0.011739,-0.097288,0.29012,0.87203,0.28323,-0.42497,0.54956,-1.3555,-1.3132,-0.52836,-0.7892,-1.2911,-0.35804,0.50875,0.4098,-1.0011,-0.75394,-0.29483,-0.6614,-0.17777,0.82556,-0.010155,0.63823,-1.1967,0.50586,-1.7244,-1.2286,0.40666,-1.266,-0.41774,0.22622,0.20191,-0.99881,-0.45041,-0.11269,-0.92148,0.16383,-1.3082,-0.016266,0.92091,-0.49465,0.4375,-6e-16,-3.9205e-16,3.5952e-16,-1.726e-16,2.7972e-16
"D9.3",1.57,-3.5468,0.0072121,-1.4828,0.91957,-1.1138,-0.96941,0.13374,-0.43506,-0.64676,0.35846,-0.14364,-0.17966,-1.3588,-0.21916,-0.31485,1.5927,2.8593,-0.47275,0.17506,1.3903,0.79585,0.39442,0.53602,-0.80074,-0.51354,0.4239,0.16432,-0.31402,0.82289,0.74263,0.5405,-1.0875,1.2996,-0.35724,1.2101,-0.88214,0.80845,0.54637,-0.76704,-0.072984,0.38869,0.019691,-0.099306,-0.10515,0.10403,0.38691,0.16143,0.034695,1.1842e-15,5.5945e-17,4.7445e-16,-9.6451e-16,2.3766e-16
"D9.4",0.9117,-0.17059,-1.023,0.81966,-1.8276,0.34475,1.1107,0.6183,0.73465,-0.35411,0.73534,0.85176,-0.28336,1.0657,0.39799,0.78961,-0.52478,-0.35188,-1.1932,0.092107,-0.33592,-0.80284,1.5929,-0.41803,-0.57657,-0.83593,-0.91617,-0.13916,0.38106,1.2406,0.83917,-0.29535,0.035514,-0.087515,-1.7153,1.1006,0.041368,-0.31708,-0.18654,0.48182,0.67566,-0.12431,-0.019164,1.3822,-0.25342,0.70467,0.89671,-1.0457,-0.12391,8.3809e-17,-9.9877e-16,-6.7654e-17,1.0248e-15,-4.7054e-17
"F12.1",3.1446,0.50159,-1.3077,1.7401,0.67439,-0.30164,-0.16031,-0.46437,-0.38018,0.042005,-1.3817,-1.081,0.88736,0.0071355,0.10564,0.1676,-0.30372,1.0439,-0.010237,-0.79486,0.23493,0.77591,1.7922,-0.55917,0.97144,0.82397,-0.33925,0.87968,-0.48722,-0.9048,0.86175,-0.30837,-0.052303,-1.8127,1.1404,0.26617,-0.57018,0.82863,-1.0165,-0.24593,0.57064,0.1946,0.031556,-0.63106,0.047258,-0.019945,0.47729,-1.2803,-0.48105,2.8298e-17,5.1261e-16,2.7062e-16,2.5761e-16,-2.7756e-16
"F12.2",2.783,-1.0713,0.099787,-0.44049,0.74322,0.11104,0.47924,-0.20083,-0.40203,-0.4025,-1.0513,0.27063,0.21809,-0.26672,0.49659,0.51987,-0.91948,-0.0678,0.082587,-0.23108,-0.48653,-0.085186,-0.43611,0.57193,-0.74698,-0.3532,-1.157,-0.40314,-0.72388,0.50041,-0.33429,-0.56861,-0.23807,0.030638,0.74328,0.82571,-0.46722,-0.99021,-0.44621,-0.44318,0.16976,0.58623,0.44556,0.93892,-1.5662,-2.0448,-1.038,0.19372,-0.83706,2.3977e-16,1.7529e-15,1.7616e-15,-3.502e-16,-3.8673e-16
"F12.3",-6.459,-5.0663,0.0059892,-1.7513,1.242,-0.012163,0.65123,0.070904,0.17769,-0.033209,-0.26311,-0.20658,0.096759,0.30754,-1.3199,0.23938,-0.060358,0.06916,-1.7431,0.69502,-1.0983,0.7737,0.1648,0.18469,-0.93819,0.46012,0.14033,0.25173,0.76167,-0.11212,0.18003,-1.9876,-0.30195,-1.554,0.23512,0.65073,1.0356,0.20748,1.1688,0.53369,-0.87419,0.2127,0.39209,-0.27119,0.45946,-0.15934,-0.11585,0.29448,0.010307,-1.8523e-15,6.6527e-16,-2.9143e-16,1.1961e-15,0
"F12.4",1.6804,-3.7824,0.60455,-1.3181,2.6473,0.2892,0.27209,-0.97264,0.31934,-0.87711,-0.76195,-1.2896,-0.048369,0.06114,-1.1323,-0.77834,0.018197,-0.21288,1.5117,-1.1363,-0.015618,-0.48889,-0.019018,0.11044,-0.35329,-1.1082,-1.4021,-0.62386,1.2055,-0.58919,0.52142,0.57022,0.87186,0.21274,-0.58376,-0.34072,0.022198,-0.15525,-0.71706,-0.12049,-1.7568,-1.2317,0.10789,0.16095,0.05235,-0.034918,0.66469,-0.44547,-0.012552,1.1696e-15,7.8236e-16,-8.5869e-16,3.9552e-16,2.7062e-16
"F15.1",-4.8907,5.0266,1.0791,-0.59789,1.2596,1.0954,3.0075,-1.3146,-1.6786,2.2342,-1.2186,0.0346,-3.5032,-0.043688,-0.76126,1.3963,0.935,0.81892,0.20058,-0.0071027,-0.090947,0.20352,-0.073422,-0.57219,-0.0024483,-0.27736,0.64048,-0.51759,0.40423,0.16717,0.56028,0.19552,-0.33165,-0.035781,0.0028718,-0.1907,-0.34413,-0.026096,-0.38287,0.23959,0.35639,-0.24633,-0.11912,0.1175,-0.02842,-0.061261,-0.014209,0.12737,-0.26582,-1.8623e-15,-1.9841e-15,-1.4567e-15,2.1502e-15,-1.8956e-15
"F15.2",-2.431,0.12229,-0.71072,-0.85104,-0.81333,0.16476,-2.1791,-1.1576,-0.60298,-0.1356,-0.043837,-0.68274,0.78505,-0.14796,1.3805,0.5848,2.0225,-1.757,-1.9366,0.2583,-0.58515,0.049532,-1.3803,-1.7436,0.16075,-1.1485,0.50211,-0.61386,-0.37721,-0.12699,0.74558,0.61873,-0.048913,-0.039845,-0.50527,0.22353,0.23874,0.622,-1.0365,-0.31917,-0.18385,-0.084586,0.62408,-0.37535,0.55103,-0.779,-0.13089,-0.28932,-0.369,6.2537e-16,-3.4564e-16,1.4442e-16,-7.1644e-16,-1.216e-15
