"","FC","log2(FC)","raw.pval","-log10(p)"
"M357.108T784.337",0.47236,-1.082,0.040478,1.3928
"M679.277T1051.577",0.095344,-3.3907,0.040885,1.3884
"M754.827T67.274",3.802,1.9268,0.042237,1.3743
"M269.05T89.726",0.30215,-1.7267,0.042344,1.3732
"M988.804T68.066",4.1988,2.07,0.04348,1.3617
"M180.067T785.272",0.38122,-1.3913,0.043877,1.3578
"M279.124T874.724",0.39482,-1.3407,0.044327,1.3533
"M683.887T67.591",5.0623,2.3398,0.046584,1.3318
"M206.082T164.917",0.28339,-1.8191,0.046861,1.3292
"M518.153T824.178",0.37622,-1.4104,0.047219,1.3259
"M333.109T769.719",0.28439,-1.8141,0.047229,1.3258
"M324.072T215.478",0.2937,-1.7676,0.04779,1.3207
"M319.083T845.914",0.27498,-1.8626,0.048685,1.3126
"M1197.439T886.215",0.44888,-1.1556,0.049207,1.308
"M587.201T848.147",0.49312,-1.02,0.049508,1.3053
"M507.209T930.4",0.37141,-1.4289,0.050858,1.2936
"M1105.431T888.552",0.49433,-1.0165,0.051526,1.288
"M349.056T728.324",0.3514,-1.5088,0.052402,1.2807
"M951.397T1014.118",0.2128,-2.2324,0.052442,1.2803
"M759.145T875.232",0.12891,-2.9556,0.053915,1.2683
"M806.921T938.616",0.35542,-1.4924,0.054475,1.2638
"M503.143T589.731",0.28745,-1.7986,0.055043,1.2593
"M857.325T1034.658",0.12916,-2.9527,0.056312,1.2494
"M279.139T1150.344",0.17282,-2.5326,0.056936,1.2446
"M645.252T899.393",0.46768,-1.0964,0.058032,1.2363
"M693.278T872.306",0.42861,-1.2223,0.058194,1.2351
"M870.809T67.494",5.7403,2.5211,0.059816,1.2232
"M643.245T933.361",0.31106,-1.6847,0.061324,1.2124
"M895.304T938.238",0.40751,-1.2951,0.061602,1.2104
"M711.218T782.65",0.37428,-1.4178,0.06173,1.2095
"M508.215T930.69",0.4989,-1.0032,0.0621,1.2069
"M1432.595T1048.493",0.30347,-1.7204,0.066365,1.1781
"M1613.665T937.741",0.26603,-1.9103,0.069564,1.1576
"M1161.883T894.146",2.0321,1.023,0.070396,1.1525
"M538.221T942.724",0.3032,-1.7216,0.071618,1.145
"M1043.424T909.662",0.47339,-1.0789,0.072841,1.1376
"M293.177T1099.499",0.49869,-1.0038,0.072892,1.1373
"M851.276T990.376",0.36805,-1.442,0.073108,1.136
"M640.844T67.188",2.6875,1.4263,0.075454,1.1223
"M823.337T914.416",0.41074,-1.2837,0.076723,1.1151
"M272.959T67.281",2.3417,1.2275,0.077534,1.1105
"M735.222T927.83",0.4689,-1.0926,0.079621,1.099
"M969.698T320.725",0.17072,-2.5503,0.080028,1.0968
"M1130.437T924.326",0.38057,-1.3938,0.080536,1.094
"M696.3T853.355",0.43816,-1.1905,0.082504,1.0835
"M578.43T1675.044",0.29125,-1.7797,0.082516,1.0835
"M1014.419T974.744",0.2767,-1.8536,0.083548,1.0781
"M714.826T66.684",2.0001,1.0001,0.084724,1.072
"M728.269T963.544",0.29748,-1.7491,0.086145,1.0648
"M809.324T904.082",0.46216,-1.1135,0.086248,1.0643
"M808.342T938.944",0.46425,-1.107,0.086305,1.064
"M461.037T823.98",0.33096,-1.5953,0.086626,1.0623
"M369.569T765.536",2.2674,1.181,0.087134,1.0598
"M938.802T67.374",4.3771,2.13,0.089386,1.0487
"M747.22T952.211",0.38429,-1.3797,0.091577,1.0382
"M806.978T940.468",0.31472,-1.6679,0.092149,1.0355
