"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M618.794T905.184",0.86849,0.85288,0.8537,0.8537,0.8537
"M545.297T1155.639",0.86835,0.85209,0.85198,0.85198,0.85198
"M455.081T704.884",0.86773,0.84956,0.8494,0.8494,0.8494
"M340.859T1719.351",0.86721,0.85631,0.85617,0.85617,0.85617
"M743.85T66.912",0.86592,0.86936,0.86959,0.86959,0.86959
"M951.343T881.927",0.86208,0.85241,0.85262,0.85262,0.85262
"M548.979T106.308",0.86194,0.85496,0.85495,0.85495,0.85495
"M609.054T106.871",0.86181,0.84644,0.84648,0.84648,0.84648
"M1032.753T1226.13",0.86162,0.84444,0.84437,0.84437,0.84437
"M569.35T895.921",0.85996,0.84463,0.84449,0.84449,0.84449
"M353.228T471.773",0.8588,0.85608,0.85603,0.85603,0.85603
"M323.042T818.446",0.85831,0.85438,0.85427,0.85427,0.85427
"M429.25T1071.941",0.8568,0.83874,0.83858,0.83858,0.83858
"M549.205T845.853",0.85626,0.86621,0.86616,0.86616,0.86616
"M357.49T758.525",0.85513,0.94078,0.9406,0.9406,0.9406
"M700.328T66.684",0.8539,0.91971,0.91953,0.91953,0.91953
"M811.459T986.188",0.84806,0.85413,0.85479,0.85479,0.85479
"M1036.399T977.849",0.84729,0.85717,0.85824,0.85824,0.85824
"M389.108T489.956",0.84587,0.98942,0.9893,0.9893,0.9893
"M366.994T111.318",0.8441,0.82647,0.82669,0.82669,0.82669
"M836.743T1479.398",0.84365,0.82596,0.82599,0.82599,0.82599
"M387.02T108.554",0.84306,0.84033,0.84017,0.84017,0.84017
"M387.165T771.864",0.84244,0.82466,0.82542,0.82542,0.82542
"M1093.54T895.081",0.83814,0.82394,0.82379,0.82379,0.82379
"M664.226T813.714",0.83793,0.82058,0.82111,0.82111,0.82111
"M481.183T807.444",0.83715,0.8551,0.85507,0.85507,0.85507
"M455.193T892.238",0.83578,0.84493,0.84494,0.84494,0.84494
"M642.242T817.768",0.83533,0.81989,0.81977,0.81977,0.81977
"M397.075T138.684",0.83418,0.82838,0.82825,0.82825,0.82825
"M524.981T106.871",0.83097,0.85398,0.85417,0.85417,0.85417
"M483.178T941.182",0.83053,0.82149,0.82171,0.82171,0.82171
"M418.894T1736.453",0.82917,0.81616,0.81616,0.81615,0.81615
"M699.004T983.059",0.82667,0.8197,0.82021,0.82021,0.82021
"M407.9T66.13",0.8209,0.80357,0.80345,0.80345,0.80345
"M1094.211T893.809",0.81869,0.81722,0.81929,0.81929,0.81929
"M751.173T317.266",0.81239,0.80125,0.80116,0.80116,0.80116
"M560.837T67.188",0.8113,0.79461,0.79457,0.79457,0.79457
"M863.184T809.21",0.80766,0.80049,0.80049,0.80049,0.80049
"M289.084T863.831",0.80718,0.81382,0.81367,0.81367,0.81367
"M570.518T894.146",0.80643,0.7901,0.79043,0.79043,0.79043
"M575.926T1053.198",0.80205,0.7883,0.78815,0.78815,0.78815
"M861.166T878.352",0.79978,0.81866,0.81852,0.81852,0.81852
"M281.07T709.104",0.7991,0.79295,0.7928,0.7928,0.7928
"M937.388T970.431",0.79908,0.80607,0.80635,0.80635,0.80635
"M404.065T806.181",0.79902,0.80749,0.8077,0.8077,0.8077
"M384.097T310.658",0.79652,0.78461,0.78447,0.78447,0.78447
"M316.385T321.843",0.7946,0.77906,0.77891,0.77891,0.77891
"M870.702T1303.064",0.79251,0.77948,0.77934,0.77934,0.77934
"M549.174T847.493",0.78891,0.77541,0.77529,0.77529,0.77529
"M427.009T107.872",0.78784,0.77144,0.7714,0.7714,0.7714
"M781.183T974.609",0.78662,0.77033,0.77031,0.77031,0.77031
"M753.298T903.043",0.78565,0.81185,0.81169,0.81169,0.81169
"M572.874T67.143",0.78415,0.83753,0.83737,0.83737,0.83737
"M998.861T1404.179",0.78411,0.77625,0.77624,0.77624,0.77624
"M470.098T771.956",0.78233,0.76611,0.76602,0.76602,0.76602
"M617.133T750.744",0.782,0.76554,0.76605,0.76605,0.76605
"M969.4T973.77",0.78097,0.8135,0.81376,0.81376,0.81376
"M633.053T106.254",0.78019,0.76702,0.7669,0.7669,0.7669
"M272.963T113.946",0.77897,0.76266,0.76276,0.76276,0.76276
"M565.054T1199.484",0.77794,0.76716,0.76727,0.76728,0.76728
"M451.007T107.467",0.77684,0.77241,0.77228,0.77228,0.77228
"M650.407T1378.088",0.77527,0.78834,0.78831,0.78831,0.78831
"M354.957T108.842",0.77142,0.75845,0.75831,0.75831,0.75831
"M501.375T66.858",0.76789,0.94299,0.94284,0.94284,0.94284
"M421.636T753.774",0.76673,0.7643,0.76439,0.76439,0.76439
"M419.228T901.259",0.76427,0.83365,0.83357,0.83357,0.83357
"M847.188T757.14",0.7633,0.74793,0.74791,0.74791,0.74791
"M1162.051T893.06",0.763,0.74885,0.74895,0.74895,0.74895
"M435.217T805.716",0.7618,0.79852,0.79864,0.79864,0.79864
"M433.777T806.208",0.76112,0.76388,0.7641,0.7641,0.7641
"M415.225T881.978",0.76077,0.74487,0.74503,0.74503,0.74503
"M547.234T852.079",0.75931,0.79926,0.79911,0.79911,0.79911
"M743.317T783.373",0.75815,0.82265,0.82301,0.82301,0.82301
"M323.019T128.103",0.75727,0.75954,0.75939,0.75939,0.75939
"M287.076T110.312",0.75676,0.74378,0.74365,0.74365,0.74365
"M517.099T802.454",0.755,0.74804,0.74801,0.74801,0.74801
"M564.68T1183.74",0.75489,0.77227,0.77221,0.77221,0.77221
"M613.854T887.38",0.75459,0.73987,0.73976,0.73976,0.73976
"M593.763T756.056",0.75439,0.77496,0.77483,0.77483,0.77483
"M431.769T791.594",0.75172,0.84883,0.84877,0.84877,0.84877
"M456.197T892.811",0.75079,0.76014,0.76,0.76,0.76
"M569.273T895.199",0.74836,0.73574,0.73568,0.73568,0.73568
"M395.048T106.9",0.74763,0.74154,0.7418,0.7418,0.7418
"M533.169T900.984",0.74701,0.73748,0.73752,0.73752,0.73752
"M1035.397T978.889",0.74633,0.7586,0.75946,0.75946,0.75946
"M377.049T427.197",0.74538,0.74883,0.74891,0.74891,0.74891
"M613.564T887.981",0.74373,0.73102,0.73108,0.73108,0.73108
"M1097.561T894.34",0.74288,0.72733,0.72731,0.72731,0.72731
"M1063.398T908.83",0.7423,0.76516,0.76505,0.76505,0.76505
"M377.181T797.379",0.73968,0.72656,0.72659,0.72659,0.72659
"M313.093T320.692",0.73478,0.72096,0.72093,0.72093,0.72093
"M693.424T1336.51",0.7345,0.71915,0.71923,0.71923,0.71923
"M255.115T921.266",0.73204,0.76472,0.76488,0.76488,0.76488
"M870.649T1317.21",0.73054,0.71621,0.71615,0.71615,0.71615
"M497.175T1191.749",0.72937,0.71496,0.71489,0.71489,0.71489
"M1094.293T897.844",0.72855,0.72675,0.72684,0.72684,0.72684
"M643.851T67.124",0.72816,0.77313,0.77321,0.77321,0.77321
"M967.561T1349.704",0.7273,0.73569,0.73555,0.73555,0.73555
"M649.302T900.549",0.72728,0.72154,0.7214,0.7214,0.7214
"M432.997T107.064",0.72697,0.72542,0.72546,0.72546,0.72546
"M371.133T805.134",0.72677,0.80583,0.80573,0.80573,0.80573
"M630.879T67.545",0.72589,0.80624,0.80608,0.80608,0.80608
"M631.877T67.938",0.72527,0.80955,0.80946,0.80946,0.80946
"M581.283T805.632",0.72484,0.75446,0.75432,0.75432,0.75432
"M630.629T315.233",0.72477,0.74108,0.74151,0.74151,0.74151
"M497.261T974.778",0.7231,0.74367,0.74361,0.74361,0.74361
"M359.098T671.316",0.72288,0.72325,0.72314,0.72314,0.72314
"M454.975T107.571",0.71959,0.70556,0.70543,0.70543,0.70543
"M173.008T106.871",0.71944,0.70698,0.70692,0.70692,0.70692
"M351.13T801.057",0.71542,0.73022,0.73007,0.73007,0.73007
"M795.27T865.806",0.71038,0.72569,0.72581,0.72581,0.72581
"M1323.575T889.628",0.70924,0.71658,0.71662,0.71662,0.71662
"M947.485T901.595",0.70798,0.6932,0.69341,0.69341,0.69341
"M590.015T907.684",0.70797,0.69351,0.69346,0.69346,0.69346
"M776.814T66.22",0.70719,0.71784,0.71781,0.71781,0.71781
"M997.575T1403.78",0.70666,0.69232,0.6922,0.6922,0.6922
"M1085.513T1348.399",0.7043,0.70981,0.70968,0.70968,0.70968
"M1161.526T895.081",0.70293,0.70117,0.70111,0.70111,0.70111
"M409.045T138.763",0.70189,0.70978,0.70969,0.70969,0.70969
"M355.571T782.72",0.70134,0.7016,0.70199,0.70199,0.70199
"M625.178T776.712",0.7001,0.7029,0.70343,0.70343,0.70343
"M325.2T1323.486",0.69873,0.68416,0.68403,0.68403,0.68403
"M271.021T88.704",0.69729,0.69867,0.69878,0.69878,0.69878
"M1071.559T892.477",0.69727,0.69298,0.69285,0.69285,0.69285
"M519.896T67.425",0.69567,0.74268,0.74254,0.74254,0.74254
"M611.538T834.844",0.69536,0.77156,0.7715,0.7715,0.7715
"M428.2T856.891",0.69285,0.70589,0.70586,0.70586,0.70586
"M433.376T793.769",0.69237,0.70433,0.70469,0.70469,0.70469
"M203.204T105.674",0.69151,0.67704,0.67706,0.67706,0.67706
"M854.516T1290.85",0.69028,0.67962,0.67956,0.67956,0.67956
"M385.113T791.317",0.68688,0.67648,0.6768,0.6768,0.6768
"M653.935T315.929",0.68622,0.71058,0.71047,0.71047,0.71047
"M1013.86T1346.532",0.68512,0.68267,0.68265,0.68265,0.68265
"M1059.606T1053.565",0.68329,0.67379,0.67369,0.67369,0.67369
"M443.191T791.98",0.68179,0.7099,0.70981,0.70981,0.70981
"M180.971T1182.798",0.68133,0.67113,0.6713,0.6713,0.6713
"M1125.418T877.844",0.67966,0.76616,0.76613,0.76613,0.76613
"M445.037T424.564",0.67707,0.66295,0.66287,0.66287,0.66287
"M621.221T884.304",0.67341,0.69987,0.69997,0.69997,0.69997
"M819.254T316.358",0.67227,0.69735,0.69745,0.69745,0.69745
"M559.066T758.189",0.66987,0.65821,0.65825,0.65825,0.65825
"M347.091T1147.321",0.66964,0.70069,0.70114,0.70114,0.70114
"M1000.263T316.358",0.66906,0.68527,0.68597,0.68597,0.68597
"M435.959T107.38",0.66737,0.65335,0.6541,0.6541,0.6541
"M1137.546T907.004",0.66552,0.73085,0.73076,0.73076,0.73076
"M1103.415T879.391",0.66512,0.74088,0.74092,0.74092,0.74092
"M559.667T1200.71",0.66497,0.66482,0.66479,0.66479,0.66479
"M657.169T756.884",0.66457,0.66277,0.66343,0.66343,0.66343
"M209.025T89.634",0.66332,0.65314,0.65387,0.65387,0.65387
"M1611.697T937.933",0.6632,0.80733,0.80722,0.80722,0.80722
"M289.056T250.757",0.66226,0.65979,0.66003,0.66003,0.66003
"M524.183T892.811",0.66192,0.68694,0.68685,0.68685,0.68685
"M579.301T894.416",0.66136,0.65402,0.65406,0.65406,0.65406
"M579.151T798.32",0.66121,0.64725,0.64714,0.64714,0.64714
"M351.085T316.423",0.65897,0.6613,0.66119,0.66119,0.66119
"M466.978T106.664",0.65831,0.65699,0.65691,0.65691,0.65691
"M569.91T66.858",0.65818,0.70108,0.70094,0.70094,0.70094
"M609.153T789.212",0.65466,0.6419,0.64225,0.64225,0.64225
"M999.268T316.316",0.65453,0.66609,0.66628,0.66628,0.66628
"M310.974T92.682",0.65372,0.65742,0.6577,0.6577,0.6577
"M441.162T763.637",0.65243,0.74178,0.74167,0.74167,0.74167
"M991.316T318.206",0.65162,0.67849,0.67839,0.67839,0.67839
"M1095.872T896.96",0.65097,0.69829,0.6982,0.6982,0.6982
"M345.082T140.774",0.6504,0.6496,0.64985,0.64985,0.64985
"M383.609T322.831",0.64969,0.636,0.63592,0.63592,0.63592
"M643.188T893.85",0.64932,0.64016,0.64004,0.64004,0.64004
"M1097.514T1402.931",0.64857,0.64093,0.6408,0.6408,0.6408
"M567.171T792.05",0.64599,0.66808,0.668,0.668,0.668
"M139.002T112.479",0.64568,0.6376,0.63814,0.63814,0.63814
"M1031.288T315.245",0.64384,0.70238,0.70249,0.70249,0.70249
"M419.115T799.29",0.64235,0.6386,0.63853,0.63853,0.63853
"M806.159T933.966",0.63957,0.73202,0.7319,0.7319,0.7319
"M1037.324T316.098",0.63895,0.67401,0.67403,0.67403,0.67403
"M444.872T67.426",0.63886,0.62759,0.62757,0.62757,0.62757
"M443.058T752.856",0.63844,0.6281,0.62817,0.62817,0.62817
"M812.842T69.273",0.63778,0.70158,0.70167,0.70167,0.70167
"M453.099T792.789",0.63661,0.62402,0.62454,0.62454,0.62454
"M806.073T940.272",0.63509,0.6681,0.66798,0.66798,0.66798
"M467.051T320.771",0.63484,0.62298,0.6234,0.6234,0.6234
"M1053.286T316.584",0.6346,0.67124,0.67117,0.67117,0.67117
"M409.075T744.412",0.63304,0.62083,0.62072,0.62072,0.62072
"M429.504T310.912",0.63274,0.6237,0.62359,0.62359,0.62359
"M564.961T1199.656",0.63269,0.65056,0.65044,0.65044,0.65044
"M970.813T317.253",0.63216,0.67875,0.67903,0.67903,0.67903
"M483.129T913.248",0.6307,0.68807,0.68808,0.68809,0.68809
"M619.26T816.529",0.63062,0.63025,0.63013,0.63013,0.63013
"M426.882T91.046",0.62828,0.62316,0.62306,0.62306,0.62306
"M695.298T853.355",0.62642,0.64497,0.64585,0.64585,0.64585
"M511.24T944.134",0.62551,0.63353,0.63344,0.63344,0.63344
"M1363.57T899.951",0.62409,0.62069,0.6217,0.6217,0.6217
"M292.991T104.104",0.62292,0.61381,0.61396,0.61396,0.61396
"M768.448T1315.096",0.62276,0.6275,0.62762,0.62762,0.62762
"M383.058T256.181",0.62276,0.62696,0.62688,0.62688,0.62688
"M698.988T986.183",0.62112,0.66434,0.66502,0.66502,0.66502
"M676.309T1245.665",0.6206,0.60867,0.60868,0.60868,0.60868
"M967.394T924.933",0.61879,0.67505,0.67516,0.67516,0.67516
"M1131.537T924.362",0.61779,0.60585,0.60573,0.60573,0.60573
"M727.414T1292.189",0.61758,0.60495,0.60495,0.60495,0.60495
"M383.555T317.319",0.61584,0.60485,0.60474,0.60474,0.60474
"M775.809T66.684",0.61579,0.68733,0.68724,0.68724,0.68724
"M540.867T1245.744",0.61575,0.63091,0.63084,0.63084,0.63084
"M1069.501T1402.821",0.61555,0.60263,0.60256,0.60256,0.60256
"M345.37T608.086",0.61535,0.6047,0.60603,0.60603,0.60603
"M671.034T89.795",0.61449,0.61091,0.61086,0.61086,0.61086
"M457.136T788.61",0.61433,0.65308,0.6534,0.6534,0.6534
"M429.121T110.997",0.61336,0.60992,0.60982,0.60982,0.60982
"M372.9T1734.569",0.61225,0.59947,0.59936,0.59936,0.59936
"M593.709T851.665",0.61095,0.59813,0.59892,0.59892,0.59892
"M593.543T760.107",0.61093,0.64337,0.64356,0.64356,0.64356
"M630.654T314.128",0.61069,0.64284,0.64319,0.64319,0.64319
"M728.286T863.521",0.60914,0.64211,0.64218,0.64218,0.64218
"M615.195T761.983",0.60648,0.60235,0.60282,0.60282,0.60282
"M541.046T1246.429",0.60622,0.59374,0.59366,0.59366,0.59366
"M442.823T96.43",0.6062,0.60268,0.60288,0.60288,0.60288
"M344.099T126.621",0.60595,0.66886,0.66875,0.66875,0.66875
"M610.849T834.902",0.60586,0.79256,0.79241,0.79241,0.79241
"M476.876T67.016",0.60429,0.6146,0.61449,0.61449,0.61449
"M851.154T319.552",0.60371,0.59679,0.59669,0.59669,0.59669
"M515.105T113.414",0.60331,0.59058,0.59173,0.59173,0.59173
"M192.103T133.173",0.60268,0.61458,0.61474,0.61474,0.61474
"M575.708T1045.732",0.60166,0.59527,0.59523,0.59523,0.59523
"M420.999T106.905",0.59966,0.66776,0.66791,0.66791,0.66791
"M387.346T67.938",0.59849,0.65474,0.65469,0.65469,0.65469
"M633.572T315.643",0.59828,0.60863,0.6086,0.6086,0.6086
"M569.181T807.905",0.59769,0.64994,0.64986,0.64986,0.64986
"M1354.628T902.5",0.5965,0.62055,0.62061,0.62061,0.62061
"M621.052T106.9",0.59594,0.58759,0.58786,0.58786,0.58786
"M561.217T921.818",0.5954,0.59791,0.59785,0.59785,0.59785
"M311.138T170.155",0.59025,0.59797,0.59788,0.59788,0.59788
"M569.775T895.343",0.58999,0.58452,0.58444,0.58445,0.58445
"M683.129T316.242",0.58743,0.59396,0.59444,0.59444,0.59444
"M311.104T1075.82",0.58532,0.64731,0.64773,0.64773,0.64773
"M440.855T1728.569",0.58512,0.60898,0.61049,0.61049,0.61049
"M447.959T106.92",0.58334,0.58473,0.58568,0.58568,0.58568
"M375.104T216.821",0.58308,0.60916,0.60905,0.60905,0.60905
"M653.717T312.26",0.58159,0.61462,0.61543,0.61543,0.61543
"M601.172T845.875",0.58147,0.59445,0.59451,0.59451,0.59451
"M403.064T798.991",0.58024,0.6148,0.61516,0.61516,0.61516
"M471.897T67.543",0.58,0.6389,0.63881,0.63881,0.63881
"M323.187T1016.246",0.57971,0.5675,0.56746,0.56746,0.56746
"M306.936T1813.234",0.57922,0.5781,0.57828,0.57828,0.57828
"M1209.581T888.373",0.57624,0.57701,0.57812,0.57812,0.57812
"M389.182T799.355",0.5761,0.56896,0.56893,0.56893,0.56893
"M726.808T67.734",0.57559,0.59978,0.60025,0.60025,0.60025
"M333.191T983.058",0.57272,0.56073,0.56111,0.56111,0.56111
"M481.224T887.168",0.57192,0.57958,0.57952,0.57952,0.57952
"M447.151T677.76",0.57012,0.56642,0.56717,0.56717,0.56717
"M653.783T316.318",0.56937,0.59038,0.59077,0.59077,0.59077
"M289.065T88.687",0.56805,0.56065,0.56102,0.56102,0.56102
"M353.181T807.324",0.56691,0.63366,0.63386,0.63386,0.63386
"M438.263T1164.917",0.56628,0.56601,0.56591,0.56591,0.56591
"M1013.583T1347.533",0.56573,0.58517,0.58507,0.58507,0.58507
"M643.847T66.912",0.5645,0.59466,0.59474,0.59474,0.59474
"M1255.613T888.434",0.5635,0.56953,0.56964,0.56964,0.56964
"M425.103T1191.927",0.56015,0.55855,0.55882,0.55882,0.55882
"M885.489T1408.277",0.55835,0.57037,0.57037,0.57037,0.57037
"M266.946T113.686",0.55776,0.55456,0.55479,0.55479,0.55479
"M1014.585T1348.471",0.55744,0.59523,0.59513,0.59513,0.59513
"M285.909T1803.837",0.55588,0.54441,0.54431,0.54431,0.54431
"M655.189T778.866",0.55556,0.5529,0.55297,0.55297,0.55297
"M559.04T89.345",0.55544,0.54383,0.54488,0.54488,0.54488
"M1048.557T894.929",0.55488,0.58717,0.58732,0.58732,0.58732
"M1204.491T868.846",0.55449,0.56871,0.5691,0.5691,0.5691
"M349.072T1165.294",0.55426,0.66214,0.66237,0.66237,0.66237
"M982.374T904.236",0.55335,0.59568,0.59579,0.59579,0.59579
"M321.216T1624.59",0.55265,0.54358,0.54372,0.54372,0.54372
"M316.508T323.984",0.55144,0.5425,0.54244,0.54244,0.54244
"M1201.918T909.936",0.54939,0.57016,0.57005,0.57005,0.57005
"M461.152T871.999",0.54869,0.54293,0.54309,0.54309,0.54309
"M393.176T847.594",0.54835,0.5822,0.58209,0.58209,0.58209
"M343.102T681.368",0.54716,0.58999,0.59029,0.59029,0.59029
"M567.333T903.822",0.54191,0.54965,0.55146,0.55146,0.55146
"M209.961T64.78",0.54015,0.52944,0.52941,0.52941,0.52941
"M315.108T761.986",0.53982,0.64248,0.64238,0.64238,0.64238
"M475.146T746.942",0.53808,0.56859,0.569,0.569,0.569
"M429.486T320.767",0.53785,0.53142,0.53134,0.53134,0.53134
"M417.764T850.924",0.53634,0.62962,0.62951,0.62951,0.62951
"M413.192T1370.63",0.5353,0.5257,0.52561,0.52561,0.52561
"M429.419T313.767",0.53516,0.52813,0.52947,0.52947,0.52947
"M669.182T316.584",0.53452,0.55793,0.55803,0.55803,0.55803
"M706.816T67.734",0.53292,0.57624,0.57645,0.57645,0.57645
"M433.351T780.04",0.53261,0.53065,0.53091,0.53091,0.53091
"M385.188T793.619",0.52849,0.53268,0.53276,0.53276,0.53276
"M688.854T66.858",0.52571,0.63687,0.6368,0.6368,0.6368
"M1323.386T316.247",0.52441,0.61568,0.61579,0.61579,0.61579
"M429.646T308.971",0.52416,0.55748,0.55772,0.55772,0.55772
"M968.386T889.852",0.52075,0.51717,0.51722,0.51722,0.51722
"M631.863T318.629",0.51751,0.5379,0.53805,0.53805,0.53805
"M359.061T194.361",0.51498,0.51658,0.51723,0.51723,0.51723
"M333.926T91.902",0.51238,0.52451,0.52465,0.52465,0.52465
"M633.753T316.098",0.5117,0.57701,0.57733,0.57733,0.57733
"M969.939T315.438",0.51106,0.53781,0.538,0.538,0.538
"M723.346T899.128",0.50974,0.5207,0.52066,0.52066,0.52066
"M522.878T65.745",0.50885,0.52655,0.52659,0.52659,0.52659
"M1015.586T1347.819",0.50621,0.54732,0.54725,0.54725,0.54725
"M413.081T316.361",0.50603,0.50167,0.50165,0.50165,0.50165
"M281.049T89.959",0.50391,0.54475,0.5447,0.5447,0.5447
"M1087.412T876.684",0.50075,0.54021,0.54011,0.54011,0.54011
"M1395.396T991.455",0.50003,0.4973,0.49842,0.49842,0.49842
"M293.179T1541.097",0.49937,0.49011,0.49012,0.49012,0.49012
"M279.164T1571.945",0.49746,0.48753,0.48772,0.48772,0.48772
"M331.103T255.151",0.49734,0.51918,0.51939,0.51939,0.51939
"M485.168T916.74",0.4967,0.56474,0.56466,0.56466,0.56466
"M221.066T891.624",0.49414,0.48536,0.48537,0.48537,0.48537
"M437.065T776.272",0.49303,0.49904,0.49946,0.49946,0.49946
"M343.103T489.112",0.49185,0.62217,0.62224,0.62224,0.62224
"M771.203T760.252",0.49018,0.48112,0.48285,0.48285,0.48285
"M502.995T105.736",0.48845,0.48676,0.48673,0.48673,0.48673
"M204.975T113.721",0.48522,0.50458,0.5047,0.5047,0.5047
"M657.832T67.374",0.48208,0.60559,0.60551,0.60551,0.60551
"M1097.037T893.528",0.47898,0.56024,0.5609,0.5609,0.5609
"M448.965T106.062",0.47855,0.47051,0.47108,0.47108,0.47108
"M772.366T884.107",0.47701,0.48761,0.48779,0.48779,0.48779
"M1057.411T880.24",0.4767,0.5647,0.56496,0.56496,0.56496
"M313.094T115.286",0.47489,0.47578,0.47609,0.47609,0.47609
"M449.202T630.506",0.46748,0.47441,0.47446,0.47446,0.47446
"M697.753T1005.082",0.4665,0.45725,0.45786,0.45786,0.45786
"M465.141T849.089",0.4661,0.60701,0.60692,0.60692,0.60692
"M419.03T798.766",0.46575,0.50697,0.5072,0.5072,0.5072
"M654.601T316.399",0.46425,0.48036,0.48133,0.48133,0.48133
"M632.783T316.499",0.46369,0.50131,0.50186,0.50186,0.50186
"M586.884T67.938",0.46196,0.63084,0.63076,0.63076,0.63076
"M988.312T316.465",0.4598,0.51742,0.51784,0.51784,0.51784
"M609.959T835.516",0.45944,0.65899,0.65887,0.65887,0.65887
"M970.768T318.573",0.45692,0.50294,0.50313,0.50313,0.50313
"M1117.54T932.512",0.45596,0.46662,0.46829,0.46829,0.46829
"M815.832T67.938",0.45492,0.65653,0.65641,0.65641,0.65641
"M969.317T316.321",0.45313,0.54298,0.54343,0.54343,0.54343
"M643.245T813.714",0.44931,0.48568,0.48563,0.48563,0.48563
"M611.22T783.374",0.4488,0.47296,0.47442,0.47442,0.47442
"M1308.932T316.358",0.44848,0.54044,0.54069,0.54069,0.54069
"M621.125T857.148",0.44621,0.46938,0.47037,0.47038,0.47038
"M600.854T66.846",0.44319,0.49928,0.49938,0.49938,0.49938
"M329.088T425.59",0.44175,0.47703,0.47746,0.47746,0.47746
"M1162.845T896.125",0.441,0.46133,0.46147,0.46147,0.46147
"M309.118T727.508",0.44054,0.45212,0.4525,0.4525,0.4525
"M656.833T67.115",0.43924,0.51498,0.5149,0.5149,0.5149
"M1053.272T316.465",0.43859,0.47123,0.47184,0.47184,0.47184
"M485.063T759.194",0.43539,0.44663,0.44658,0.44658,0.44658
"M305.082T1122.457",0.43363,0.49025,0.49334,0.49334,0.49334
"M1308.415T315.705",0.43212,0.50851,0.50851,0.50851,0.50851
"M1331.507T909.803",0.43142,0.42958,0.4297,0.4297,0.4297
"M1045.593T1289.364",0.43081,0.48176,0.48177,0.48177,0.48177
"M703.247T844.715",0.43034,0.4478,0.44844,0.44844,0.44844
"M969.321T316.442",0.42887,0.52421,0.52466,0.52466,0.52466
"M438.049T766.588",0.42651,0.42309,0.42318,0.42318,0.42318
"M345.119T282.765",0.42528,0.42241,0.4249,0.4249,0.4249
"M453.101T88.055",0.42525,0.4187,0.42015,0.42015,0.42015
"M836.522T1479.692",0.42339,0.41446,0.41448,0.41448,0.41448
"M434.871T1737.903",0.41452,0.4431,0.44306,0.44306,0.44306
"M919.493T1102.884",0.41094,0.40232,0.40232,0.40232,0.40232
"M311.065T863.883",0.40866,0.44196,0.44188,0.44188,0.44188
"M531.078T845.355",0.40855,0.4141,0.4143,0.4143,0.4143
"M757.441T1176.453",0.40222,0.43525,0.43533,0.43533,0.43533
"M613.774T885.363",0.40209,0.4056,0.40562,0.40562,0.40562
"M246.886T1784.096",0.40035,0.40542,0.40534,0.40534,0.40534
"M615.152T88.13",0.39874,0.39077,0.39086,0.39086,0.39086
"M439.009T107.459",0.39863,0.40302,0.40296,0.40296,0.40296
"M632.993T321.252",0.39684,0.42702,0.42778,0.42777,0.42777
"M354.093T469.671",0.3953,0.48112,0.48144,0.48144,0.48144
"M661.253T876.035",0.39243,0.44995,0.4502,0.4502,0.4502
"M429.387T309.562",0.39226,0.4737,0.47482,0.47482,0.47482
"M653.752T320.843",0.39156,0.3839,0.38504,0.38504,0.38504
"M695.289T1193.403",0.39084,0.41994,0.42187,0.42187,0.42187
"M821.506T1329.663",0.3879,0.45676,0.45699,0.45699,0.45699
"M983.568T1252.43",0.38718,0.38449,0.38443,0.38443,0.38443
"M361.589T316.501",0.38348,0.3994,0.39933,0.39933,0.39933
"M317.087T121.975",0.3825,0.43964,0.43972,0.43972,0.43972
"M861.451T1062.153",0.38151,0.37816,0.37815,0.37815,0.37815
"M479.19T902.518",0.37958,0.51937,0.51946,0.51946,0.51946
"M745.161T766.586",0.3785,0.48259,0.48261,0.48261,0.48261
"M354.093T750.969",0.37785,0.37015,0.3705,0.3705,0.3705
"M985.784T316.247",0.37413,0.50675,0.50733,0.50733,0.50733
"M658.83T67.591",0.37349,0.40267,0.40259,0.40259,0.40259
"M487.016T806.181",0.37247,0.42711,0.42771,0.42771,0.42771
"M521.022T764.729",0.37184,0.36521,0.36746,0.36746,0.36746
"M251.019T152.27",0.3705,0.36371,0.36531,0.36531,0.36531
"M1297.451T316.098",0.36849,0.53402,0.53419,0.53419,0.53419
"M465.105T746.988",0.36843,0.40271,0.40352,0.40352,0.40352
"M367.103T818.837",0.36746,0.4277,0.42765,0.42765,0.42765
"M375.07T470.729",0.36601,0.45325,0.45376,0.45376,0.45376
"M585.878T68.251",0.36474,0.50516,0.50507,0.50507,0.50507
"M643.039T106.784",0.36241,0.43133,0.43193,0.43193,0.43193
"M625.024T106.841",0.36107,0.35531,0.35637,0.35637,0.35637
"M1305.428T315.265",0.35774,0.46951,0.47027,0.47027,0.47027
"M565.23T844.341",0.35763,0.36,0.36092,0.36092,0.36092
"M385.077T649.201",0.35632,0.35152,0.35155,0.35155,0.35155
"M723.577T942.094",0.35322,0.39996,0.40283,0.40283,0.40283
"M322.871T96.154",0.35051,0.38316,0.38611,0.38611,0.38611
"M524.849T67.744",0.3483,0.37274,0.37273,0.37273,0.37273
"M392.068T765.784",0.34716,0.35847,0.35851,0.35851,0.35851
"M433.661T789.942",0.34699,0.42367,0.42364,0.42364,0.42364
"M851.819T1425.446",0.34682,0.36047,0.36042,0.36043,0.36043
"M293.177T1149.195",0.34146,0.36871,0.37029,0.37029,0.37029
"M741.841T67.938",0.34088,0.46673,0.46664,0.46664,0.46664
"M353.082T316.368",0.33648,0.37146,0.37221,0.37221,0.37221
