"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M728.269T963.544",1.6157,1.5982,1.598,1.598,1.598
"M395.28T1470.273",1.6121,1.5795,1.5792,1.5792,1.5792
"M341.259T618.637",1.6063,1.5727,1.5726,1.5726,1.5726
"M1197.053T906.963",1.5995,1.5743,1.5752,1.5752,1.5752
"M943.39T965.159",1.5949,1.5805,1.5802,1.5802,1.5802
"M937.334T882.127",1.5946,1.5623,1.5622,1.5622,1.5622
"M538.221T942.724",1.592,1.579,1.5787,1.5787,1.5787
"M1163.56T905.015",1.5836,1.5575,1.5578,1.5578,1.5578
"M341.088T304.64",1.5807,1.5481,1.5478,1.5478,1.5478
"M289.12T769.482",1.58,1.5479,1.5476,1.5476,1.5476
"M967.36T964.868",1.5773,1.5695,1.5692,1.5692,1.5692
"M461.037T823.98",1.575,1.5643,1.5641,1.5641,1.5641
"M559.276T958.275",1.5672,1.5366,1.5363,1.5363,1.5363
"M503.143T589.731",1.5566,1.5283,1.528,1.528,1.528
"M481.183T769.795",1.5508,1.5265,1.5262,1.5262,1.5262
"M299.259T1433.689",1.5355,1.5179,1.5177,1.5177,1.5177
"M789.663T1119.968",1.5247,1.4966,1.4963,1.4963,1.4963
"M1176.528T983.06",1.5237,1.5463,1.546,1.546,1.546
"M1163.085T907.707",1.5223,1.4917,1.492,1.492,1.492
"M938.802T67.374",1.5175,1.5285,1.5282,1.5282,1.5282
"M269.05T89.726",1.5167,1.495,1.4947,1.4947,1.4947
"M806.978T940.468",1.5071,1.4796,1.4797,1.4797,1.4797
"M893.38T934.735",1.5047,1.4956,1.4954,1.4954,1.4954
"M578.43T1675.044",1.501,1.4974,1.4971,1.4971,1.4971
"M712.22T783.012",1.499,1.4674,1.4675,1.4675,1.4675
"M206.082T164.917",1.4989,1.4699,1.4696,1.4696,1.4696
"M273.314T67.476",1.4879,1.5685,1.5681,1.5681,1.5681
"M1162.58T906.276",1.4809,1.4509,1.4518,1.4518,1.4518
"M319.083T845.914",1.4798,1.4489,1.449,1.449,1.449
"M806.921T938.616",1.4778,1.4515,1.4513,1.4513,1.4513
"M1163.579T906.602",1.4739,1.4435,1.4445,1.4445,1.4445
"M871.351T913.248",1.4739,1.446,1.4458,1.4458,1.4458
"M851.276T990.376",1.4717,1.4448,1.4447,1.4447,1.4447
"M543.282T933.008",1.437,1.4159,1.4156,1.4156,1.4156
"M405.177T839.252",1.4369,1.4083,1.4082,1.4082,1.4082
"M852.339T915.443",1.4168,1.388,1.3877,1.3877,1.3877
"M1130.437T924.326",1.4138,1.4054,1.4052,1.4052,1.4052
"M507.209T930.4",1.4131,1.3856,1.3856,1.3856,1.3856
