"","PC1","PC2","PC3","PC4","PC5","PC6"
"X12.D12.2.neg",-11.199,0.11213,0.97183,7.6236,3.5686,8.5536e-15
"X28.D12.3.neg",-9.4719,0.44669,7.9453,-5.851,-1.3759,6.3417e-15
"X52.D12.4.neg",-6.3187,-6.2152,-8.8796,-2.6728,-2.1235,3.2419e-15
"X02.C12.2.neg",8.1792,4.5866,-2.5042,-3.8229,6.5851,-1.9762e-15
"X18.C12.3.neg",14.183,-7.9794,4.092,2.3524,-1,-1.1831e-14
"X33.C12.4.neg",4.6272,9.0492,-1.6254,2.3707,-5.6543,-4.3491e-15
