"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M577.49T1591.335",0.79294,0.80022,0.79948,0.7998,0.7998
"M471.796T1446.028",0.77493,0.76557,0.76528,0.76518,0.76518
"M985.571T1146.934",0.77451,0.76843,0.76787,0.768,0.76801
"M332.328T1440.13",0.77123,0.76311,0.76253,0.76256,0.76255
"M329.158T1625.781",0.75877,0.75551,0.75602,0.75609,0.75609
"M545.456T1607.833",0.75811,0.74958,0.7498,0.7497,0.7497
"M979.313T847.893",0.75208,0.74333,0.74462,0.74455,0.74456
"M330.261T1473.013",0.75121,0.742,0.74126,0.74114,0.74114
"M513.307T1059.952",0.74851,0.77918,0.77849,0.77854,0.77854
"M433.152T909.874",0.7459,0.75043,0.74969,0.74959,0.74958
"M329.157T1608.526",0.74136,0.73267,0.73211,0.73228,0.73228
"M533.436T1590.96",0.72809,0.75777,0.75715,0.75708,0.75708
"M1123.351T817.469",0.72749,0.77013,0.76991,0.76979,0.76978
"M737.493T1439.78",0.71209,0.71306,0.71304,0.71355,0.71355
"M1114.854T834.347",0.70984,0.72821,0.72865,0.72959,0.72959
"M533.435T1510.689",0.70035,0.72025,0.7197,0.71964,0.71965
"M652.503T1490.314",0.68602,0.68095,0.6826,0.68257,0.68257
"M628.529T1624.373",0.68454,0.71968,0.71943,0.71933,0.71933
"M919.292T824.161",0.68339,0.68283,0.68238,0.68228,0.68228
"M628.514T1473.756",0.68055,0.69877,0.69865,0.6989,0.69893
"M628.528T1608.773",0.65678,0.7117,0.71157,0.71146,0.71146
"M558.46T1591.049",0.65641,0.70213,0.70146,0.7014,0.70139
"M516.411T1568.021",0.65096,0.64297,0.64234,0.64239,0.64239
"M516.434T1624.418",0.64891,0.6635,0.66309,0.66329,0.6633
"M609.518T1624.418",0.64038,0.64708,0.64893,0.6491,0.64909
"M635.491T1472.841",0.61271,0.61201,0.61149,0.61148,0.61148
"M578.503T1590.788",0.59472,0.59642,0.59627,0.59699,0.59698
"M549.426T1489.95",0.55784,0.61077,0.61042,0.61035,0.61035
"M605.427T1490.314",0.55316,0.55936,0.56,0.55995,0.55995
"M465.26T1373.143",0.54228,0.55982,0.55987,0.55986,0.55991
"M471.336T1557.26",0.53928,0.58618,0.58588,0.5858,0.5858
"M535.447T1540.43",0.53556,0.53409,0.53467,0.53481,0.53482
"M465.265T1237.073",0.53495,0.52856,0.53025,0.53031,0.53032
"M882.48T1339.403",0.51368,0.51699,0.51653,0.51966,0.51965
"M549.428T1523.962",0.49325,0.52264,0.52212,0.52261,0.52263
"M589.501T1621.712",0.493,0.48806,0.49778,0.49777,0.49779
"M841.471T1389.363",0.4877,0.48394,0.48365,0.48359,0.4836
"M534.444T1557.26",0.47571,0.5091,0.50878,0.50991,0.50991
"M423.198T1506.423",0.46753,0.4711,0.47068,0.47086,0.47086
"M449.369T1557.545",0.46701,0.522,0.52152,0.52143,0.52143
"M1102.351T817.469",0.46361,0.50005,0.50105,0.50097,0.50097
"M449.347T1490.033",0.44684,0.45785,0.45774,0.4578,0.45782
"M285.134T1052.907",0.44341,0.46418,0.46387,0.46385,0.46392
"M535.375T1490.352",0.41265,0.46771,0.46724,0.46717,0.46717
"M630.465T1474.173",0.39796,0.39399,0.3966,0.39689,0.39693
"M477.343T1423.013",0.39738,0.39572,0.39558,0.39553,0.39554
"M585.283T918.479",0.39711,0.40416,0.40389,0.40386,0.40391
"M879.468T1338.726",0.37962,0.3765,0.38489,0.38589,0.38591
"M423.321T1473.286",0.36532,0.40956,0.41315,0.41359,0.41364
"M297.239T1626.197",0.36207,0.35781,0.36886,0.36898,0.36898
"M481.362T1591.564",0.35125,0.34724,0.35309,0.35587,0.35588
"M669.562T1624.559",0.35016,0.34623,0.34603,0.34644,0.34651
"M569.292T994.771",0.34886,0.38165,0.38129,0.38168,0.38169
"M629.463T1474.173",0.34181,0.33763,0.34644,0.34706,0.34706
"M682.262T843.183",0.33951,0.40115,0.40133,0.40187,0.40188
"M492.408T1557.26",0.33491,0.35636,0.36683,0.36677,0.36678
"M629.464T1456.367",0.33415,0.33436,0.33636,0.3369,0.33691
"M605.427T1212.039",0.32052,0.31928,0.32657,0.32957,0.32958
"M325.162T1642.868",0.30274,0.29957,0.30118,0.30222,0.30225
"M313.161T1621.4",0.29853,0.30562,0.30665,0.30805,0.30805
"M331.187T1104.601",0.26921,0.26896,0.26934,0.27108,0.27108
"M669.531T1507.08",0.26571,0.29986,0.30157,0.30188,0.30199
"M513.25T1338.968",0.24695,0.32385,0.32375,0.32493,0.32496
"M629.459T1473.698",0.23565,0.2773,0.29409,0.29412,0.29415
"M534.402T1422.678",0.23396,0.37597,0.37582,0.37576,0.37578
"M343.224T1621.712",0.21912,0.27009,0.27809,0.27824,0.27828
"M291.195T1053.001",0.21189,0.26043,0.26163,0.26398,0.26403
"M425.215T1355.365",0.16264,0.17019,0.18352,0.18452,0.18453
"M477.407T1590.788",0.15957,0.17523,0.18811,0.18842,0.18847
"M605.416T1473.993",0.15599,0.24015,0.24182,0.24276,0.24277
"M567.43T1421.35",0.15568,0.19869,0.20306,0.20313,0.20321
"M295.151T1624.873",0.13247,0.20049,0.21627,0.21677,0.21677
"M477.398T1574.327",0.10411,0.11353,0.12988,0.13028,0.13041
"M449.365T1540.699",0.099551,0.17982,0.17986,0.18016,0.18022
"M669.539T1543.447",0.092656,0.16069,0.16095,0.16209,0.16232
"M652.416T1356.524",0.066534,0.072623,0.086417,0.089126,0.089133
"M477.403T1542.988",0.062607,0.061929,0.10085,0.10114,0.1013
"M351.108T857.905",0.055691,0.10499,0.15166,0.15194,0.15194
"M510.367T1523.593",0.030324,0.073267,0.08443,0.085842,0.085844
"M393.189T1440.567",0.028497,0.17144,0.17141,0.17151,0.17151
"M351.179T1358.969",0.017653,0.11758,0.14863,0.14898,0.14902
"M415.326T1295.888",0.01697,0.17215,0.17214,0.17231,0.17239
"M425.216T1401.37",0.0086021,0.14996,0.16986,0.17109,0.17109
