"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"M765.518T1313.696",-0.065281,0.013918,0.018956,-0.081035,-0.0026524
"M415.326T1295.888",0.0046582,-0.086192,0.029496,-0.0087624,-0.11117
"M1102.351T817.469",0.042437,-0.11027,0.064488,0.0023321,0.0063125
"M549.424T1473.203",0.081472,-0.10098,-0.028611,-0.014493,-0.0079528
"M787.545T1575.098",0.097469,0.094136,-0.10879,0.10857,-0.068964
"M567.43T1421.35",0.016279,-0.04842,-0.086303,-0.0022613,0.12464
"M764.517T1325.086",-0.073566,-0.08685,0.057865,0.039586,-0.012971
"M487.775T1256.694",0.063753,0.094676,0.13468,-0.0189,-0.048627
"M677.438T1339.916",0.10288,-0.077313,-0.0067036,0.066403,0.031681
"M832.307T992.353",0.13117,-0.15764,0.042257,-0.0062112,0.022701
"M455.315T1295.888",-0.066381,-0.011349,-0.070716,0.084912,0.0060001
"M297.239T1626.197",0.028087,0.022407,-0.1793,0.039841,0.037779
"M425.216T1401.37",0.0045468,-0.048656,-0.095628,-0.082267,-0.021077
"M430.319T1557.453",0.05969,0.057552,0.053167,-0.042653,-0.021121
"M392.284T1436.378",-0.098808,-0.010078,-0.059808,0.032062,-0.026517
"M386.164T943.456",0.12833,-0.12641,-0.0023795,0.099554,-0.083541
"M635.491T1472.841",0.043688,0.047881,0.0023858,-0.055975,0.054573
"M399.308T1262.042",-0.16755,0.037123,-0.13641,0.11118,0.013096
"M578.503T1590.788",0.041889,0.057601,0.023405,-0.13215,0.0040182
"M549.428T1523.962",0.044296,-0.093366,-0.045086,0.077495,0.1095
"M807.348T918.929",0.17488,-0.15985,0.080102,-0.0061886,-0.18019
"M542.478T1573.977",0.11016,0.15946,0.0054945,-0.0098081,-0.066386
"M522.261T1109.944",-0.092598,-0.0052956,-0.0020642,-0.033414,0.1087
"M425.215T1355.365",0.014391,-0.0062399,-0.079524,-0.068874,-0.054255
"M605.427T1490.314",0.046468,-0.069919,0.047812,0.019439,0.04873
"M475.412T1607.605",0.088212,0.17706,-0.10997,0.025004,-0.0051327
"M330.263T1492.022",-0.06419,-0.035633,0.013996,-0.0040889,-0.025689
"M629.463T1474.173",0.026017,0.02606,-0.092119,-0.10574,0.062473
"M722.259T892.9",-0.18967,-0.22662,0.10211,-0.14622,0.066119
"M737.493T1439.78",0.050377,0.04782,0.11386,-0.12672,0.0012557
"M523.599T1382.768",-0.070853,-0.01782,0.018939,0.032616,0.036475
"M549.431T1507.08",0.067899,-0.035735,-0.082759,-0.0047311,0.038559
"M351.179T1358.969",-0.0026921,0.028889,0.13477,0.028308,0.070229
"M330.262T1456.934",-0.063105,0.0028181,0.013995,-0.032636,0.02659
"M576.484T1557.453",0.094706,0.02637,0.03388,0.013219,0.019986
"M467.383T1523.593",0.088612,-0.0066854,-0.034103,-0.11487,-0.046316
"M951.603T1424.253",0.085988,0.15902,0.0024718,-0.11928,0.22154
"M477.403T1542.988",-0.0049038,-0.022889,0.12076,0.0040252,0.12391
"M477.407T1590.788",0.014865,-0.058697,0.095324,0.025532,0.094161
"M549.426T1489.95",0.051819,-0.12355,-0.017357,-0.018696,-0.036741
"M471.336T1557.26",0.049746,-0.11417,-0.040381,0.010253,0.037099
"M330.263T1439.913",-0.063673,-0.0015699,0.0044488,-0.038223,0.010979
"M629.529T1601.79",0.073032,0.039588,-0.19371,0.0079306,0.055973
"M449.369T1557.545",0.044207,-0.12152,0.012261,0.0020271,-0.023644
"M576.533T1641.124",0.12213,0.08638,-0.00064255,0.061875,-0.032924
"M619.438T1245.233",-0.13904,-0.052891,-0.016707,-0.037655,0.020874
"M652.503T1490.314",0.050118,0.050372,-0.11764,0.034354,0.040182
"M313.161T1621.4",0.020036,0.030512,-0.010732,0.13321,-0.033138
"M295.151T1624.873",0.015411,-0.049258,-0.10923,-0.065283,0.004638
"M772.55T1170.538",-0.088363,-0.070916,-0.081372,-0.058764,-0.11258
"M494.565T1319.161",-0.094063,-0.0092812,-0.067278,0.10328,0.037157
"M423.321T1473.286",-0.021202,-0.077192,-0.13965,0.054523,0.13654
"M722.581T1518.016",-0.1695,0.17005,0.013224,-0.0029475,0.081005
"M535.447T1540.43",0.043517,-0.025516,-0.090394,0.046454,0.083849
"M477.398T1574.327",0.0096339,-0.043043,0.087545,0.014526,0.1255
"M691.433T1253.346",-0.086797,0.023447,0.0077078,-0.071873,0.044097
"M605.416T1473.993",0.018333,-0.099508,0.0080447,0.083415,0.036281
"M465.26T1373.143",0.047128,-0.071689,-0.064196,0.080235,-0.167
"M341.283T1305.932",-0.12856,0.027742,-0.078293,0.17338,-0.059697
"M330.261T1473.013",-0.057389,-0.0010521,0.0088439,-0.02322,0.03213
"M533.435T1510.689",0.06053,-0.093423,-0.045881,0.015588,0.10589
"M471.796T1446.028",-0.058732,0.00077835,-0.031821,-0.040439,0.047191
"M339.172T1490.329",0.066357,0.054522,-0.10728,0.0072423,0.0096105
"M558.46T1591.049",0.040828,0.1299,-0.0054134,0.035642,-0.0019083
"M516.434T1624.418",0.043661,0.089645,-0.072301,0.10515,-0.084643
"M722.58T1595.75",-0.15272,0.15751,-0.044899,0.034094,0.085052
"M477.343T1423.013",-0.02864,-0.020201,-0.029387,-0.0072039,0.073053
"M332.328T1440.13",-0.057404,-0.027351,0.059391,-0.065347,0.0061939
"M494.563T1509.9",0.062815,0.088443,-0.017737,0.077924,0.015973
"M481.362T1591.564",0.027362,-0.027335,0.022825,0.20449,-0.066852
"M443.333T1262.042",-0.16528,0.016157,-0.13957,0.077795,-0.044353
"M510.367T1523.593",0.0046433,-0.045694,0.040871,0.068777,-0.013671
"M545.456T1607.833",0.059157,-0.0049121,-0.078312,0.025027,0.0085667
"M669.539T1543.447",0.011677,-0.061066,-0.058992,0.037791,0.18679
"M669.531T1507.08",0.025361,-0.060325,-0.088985,0.018005,0.18632
"M629.509T1624.418",0.086744,0.010075,-0.19119,0.032318,-0.0029273
"M383.284T1439.726",-0.068724,0.042302,-0.050438,0.019737,0.038646
"M589.501T1621.712",-0.038847,0.047025,-0.18895,0.010967,0.10494
"M534.444T1557.26",0.04319,-0.091639,-0.09463,0.14322,0.020723
"M494.565T1422.678",-0.077863,0.010761,-0.043664,0.064215,0.024234
"M516.411T1568.021",0.049751,0.0013243,-0.033685,0.065352,-0.022927
"M492.408T1557.26",0.030218,-0.037654,-0.15022,-0.018313,0.065284
"M533.436T1590.96",0.06398,-0.11252,-0.042326,0.016711,0.088217
"M628.514T1473.756",0.045407,0.10216,-0.0031636,-0.13143,0.15546
"M628.529T1624.373",0.043779,0.12873,-0.053283,0.0018513,0.068181
"M609.518T1624.418",0.044226,0.084316,-0.13521,0.079278,3.9601e-05
"M465.265T1237.073",-0.040443,-0.021485,0.057845,0.035486,0.074226
"M669.562T1624.559",0.027333,-0.0046881,-0.053326,0.038209,0.15734
"M628.528T1608.773",0.04005,0.15212,-0.056085,0.013547,0.0047707
