"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4"
"Label","Control","Control","Drought","Drought","Drought","Drought"
"M285.134T1052.907"," 0.04418015"," 0.30014113","-0.42962589"," 0.40255468"," 0.12733216","-0.44458223"
"M569.292T994.771"," 0.06622642"," 0.20467238","-0.31443447"," 0.14050353"," 0.26686416","-0.36383201"
"M867.584T1358.969","-0.36380408","-0.27212030"," 0.42401662"," 0.52414795"," 0.09308618","-0.40532638"
"M1123.351T817.469","-0.561791538","-0.003127207"," 0.450887767"," 0.228661300","-0.251988669"," 0.137358347"
"M985.571T1146.934"," 0.24238874"," 0.35904656","-0.07867448","-0.55894112"," 0.02313423"," 0.01304608"
"M986.591T1195.638"," 0.27352145"," 0.48259363","-0.42075637","-0.29436359"," 0.06223763","-0.10323275"
"M423.198T1506.423"," 0.1849383"," 0.1781125","-0.1946935","-0.0910850"," 0.1672499","-0.2445222"
"M879.468T1338.726","-0.64422900"," 0.34943973","-0.12607931"," 0.13565871"," 0.25439084"," 0.03081902"
"M556.445T1212.039","-0.10401341"," 1.12848281","-0.52917660","-0.11578184","-0.05581524","-0.32369573"
"M618.492T1624.789","-0.62257130","-0.06317195"," 0.11471964"," 0.12337443"," 0.39249470"," 0.05515448"
"M393.189T1440.567"," 0.10081809","-0.07868887","-0.16020205"," 0.08522944"," 0.23372554","-0.18088216"
"M629.464T1456.367","-0.21630747","-0.04317134"," 0.07674074"," 0.20313499"," 0.22206952","-0.24246644"
"M889.305T842.452","-0.76374362","-0.06938912"," 0.40235380"," 0.13872925"," 0.07383530"," 0.21821440"
"M513.307T1059.952"," 0.2902527"," 0.2909912","-0.5193131"," 0.1212039"," 0.2948761","-0.4780108"
"M513.25T1338.968","-0.02346768"," 0.21523535","-0.35519051"," 0.14748574"," 0.41759490","-0.40165780"
"M630.465T1474.173","-0.34241564"," 0.03338665"," 0.13158690"," 0.37826148"," 0.08406126","-0.28488065"
"M329.158T1625.781","-0.10940027","-0.47980990"," 0.16271789"," 0.41341142"," 0.02572658","-0.01264572"
"M660.517T1423.005","-0.53273161","-0.09013241"," 0.32850599"," 0.45461332","-0.11594735","-0.04430794"
"M882.48T1339.403","-0.21531695"," 0.61420574","-0.02582311","-0.32904369"," 0.27881164","-0.32283362"
"M564.208T942.149","-0.79499240"," 0.03489214"," 0.16791048"," 0.34672149"," 0.06922620"," 0.17624209"
"M343.224T1621.712"," 0.04915963"," 0.12099674"," 0.14790292"," 0.27511802","-0.37421227","-0.21896504"
"M609.455T1145.906"," 0.85391299"," 0.66140800","-0.44695931","-0.66957730","-0.06446414","-0.33432025"
"M771.504T1195.638"," 1.01562322"," 0.38772498","-0.45645897","-0.50918277","-0.02074117","-0.41696529"
"M828.538T1289.688"," 0.52010897"," 0.38126383"," 0.05074922","-0.40333577","-0.64730681"," 0.09852056"
"M523.36T1271.932","-0.1591909","-1.0791585"," 0.3068744"," 0.1839741"," 0.3267450"," 0.4207559"
"M351.253T1019.694"," 0.3015566"," 0.3752960","-0.5939572"," 0.1100263"," 0.2720300","-0.4649517"
"M979.313T847.893","-0.60516559"," 0.02115205"," 0.03365924"," 0.26524998"," 0.14302047"," 0.14208386"
"M691.436T1356.203"," 0.2866135"," 0.3756769","-0.3783775","-0.2002303"," 0.1542276","-0.2379103"
"M575.479T1456.772","-0.4204164","-0.2215376"," 0.2515087"," 0.2017932"," 0.3110025","-0.1223503"
