T1,T2
M425.15T917.809,M593.485T1401.37
M822.329T941.141,M593.49T1490.213
M793.328T942.609,M549.19T901.604
M798.337T946.991,M519.225T1025.439
M991.383T954.894,M530.218T901.604
M623.426T1405.986,M330.261T1473.013
M862.322T959.199,M549.424T1386.472
M566.199T909.479,M297.239T1626.197
M621.422T1335.803,M576.484T1557.453
M664.461T1422.743,M547.402T1437.709
M1018.384T812.644,M822.526T1212.039
M883.336T936.403,M987.579T1163.004
M555.456T1423.317,M435.346T1540.43
M833.305T975.822,
M660.517T1423.005,
M471.218T918.479,
M936.359T886.012,
M1025.558T1119.866,
M673.587T1576.856,
M804.315T943.327,
M874.349T992.353,
M889.348T1006.792,
M603.41T1440.081,
M907.344T940.951,
M861.313T812.644,
M894.333T843.183,
M603.424T1440.046,
M914.341T957.42,
M538.212T908.195,
M471.317T1423.334,
M970.4T881.272,
M907.342T857.905,
M327.177T1330.308,
M833.318T940.951,
M885.332T901.88,
M805.331T872.624,
M564.206T918.312,
M855.342T925.437,
M555.447T1456.772,
M984.375T812.644,
M885.34T952.01,
M817.32T1025.439,
M847.319T941.78,
M861.315T941.124,
M593.49T1539.529,
M967.385T975.822,
M961.369T857.905,
M436.428T1590.788,
M593.49T1490.213,
M973.671T1456.538,
M298.885T1775.701,
M917.354T941.124,
M637.412T1422.711,
M989.369T828.514,
M701.265T828.514,
M979.612T1358.969,
M505.179T828.514,
M447.25T1372.484,
M1023.387T857.905,
M770.29T919.58,
M753.276T940.951,
M433.151T843.183,
M890.353T1023.188,
M963.375T943.327,
M1070.408T957.42,
M713.458T1120.063,
M566.215T813.875,
M808.349T959.178,
M785.299T924.482,
M942.381T940.951,
M1002.908T1006.792,
M894.338T940.951,
M787.312T881.272,
M594.494T1539.529,
M698.269T891.807,
M593.485T1401.37,
M1000.38T828.514,
M960.389T959.199,
M973.381T919.58,
M734.268T924.482,
M711.444T1322.388,
M997.379T940.951,
M555.454T1439.586,
M237.94T1826.038,
M869.334T919.017,
M837.332T895.326,
M654.247T924.482,
M899.333T857.905,
M699.264T863.447,
M679.449T1212.039,
M979.319T755.275,
M512.175T909.479,
M666.233T924.482,
M1132.44T940.951,
M503.18T942.609,
M574.468T1330.445,
M950.358T940.951,
M879.863T1006.792,
M565.21T891.79,
M975.373T872.624,
M427.172T904.493,
M973.388T942.139,
M521.363T1439.751,
M855.334T832.505,
M757.24T725.919,
M850.324T910.27,
M936.366T908.195,
M564.208T942.149,
M634.244T942.609,
M455.319T1542.988,
M1013.365T908.018,
M439.317T1401.37,
M713.457T1306.323,
M871.347T798.136,
M832.325T857.905,
M811.324T926.047,
M1031.387T924.482,
M896.342T959.199,
M613.48T1389.147,
M439.315T1490.286,
M937.361T940.951,
M951.367T943.327,
M1001.706T1624.867,
M821.327T902.328,
M818.274T858.699,
M1054.431T975.822,
M592.477T1456.705,
M1033.405T908.018,
M933.368T973.898,
M1051.398T857.905,
M508.198T891.652,
M593.489T1431.043,
M1014.372T940.951,
M866.86T1039.673,
M816.307T940.951,
M670.245T959.199,
M905.343T902.791,
M814.33T1025.439,
M888.347T872.624,
M923.356T940.951,
M209.153T884.787,
M592.477T1439.652,
M993.379T943.327,
M1087.424T940.951,
M873.342T973.898,
M471.315T1439.847,
M985.385T959.199,
M867.357T1023.188,
M631.469T1456.902,
M1147.442T940.951,
M503.174T828.514,
M689.269T924.637,
M995.371T941.78,
M547.402T1437.709,
M836.312T942.609,
M871.337T832.505,
M593.49T1557.453,
M589.459T1264.044,
M652.249T924.637,
M433.152T909.874,
M1121.44T843.183,
M820.314T857.905,
M403.243T1438.94,
M824.341T924.482,
M551.201T893.689,
M893.342T812.644,
M500.359T1492.083,
M719.539T1371.072,
M646.454T1406.122,
M473.199T864.231,
M715.234T828.282,
