"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M385.113T835.894",0.042838,0.015418,-0.071873,0.0076416,0.051854,0.056831,-0.010866,-0.050572
"M627.229T851.009",0.043326,0.0071589,-0.0034905,-0.042608,0.025793,0.038778,0.0018716,-0.023006
"M885.489T1408.277",0.04031,-0.013734,0.01118,-0.019411,-0.013723,0.010078,-0.0068386,0.0060493
"M645.124T781.203",0.035445,-0.08358,0.020397,-0.017405,-0.010333,0.060466,-0.016443,-0.00042357
"M942.469T1308.469",0.034907,-0.0096895,0.024642,-0.027538,-0.045646,0.042912,-0.0019984,0.0060633
"M421.069T767.549",0.04379,0.00033119,0.06206,-0.022682,0.015591,0.0041669,-0.042625,0.023849
"M643.245T813.714",0.036745,-0.0052583,-0.0039104,-0.0042497,0.035793,-0.0051739,0.022341,-0.05525
"M745.161T766.586",0.041261,-0.013352,0.039923,-0.037203,0.025381,-0.013353,0.013685,0.012368
"M316.508T323.984",0.032837,-0.0241,0.017311,-0.0042014,-0.021628,0.026009,-0.017604,0.013917
"M729.273T847.264",0.040689,-0.010393,0.041339,-0.02619,0.035375,0.0071148,-0.018564,-0.040546
"M417.764T850.924",0.037923,0.015452,-0.0042967,-0.033003,-0.017471,-0.00080482,0.015083,0.032559
"M653.752T320.843",0.030162,-0.020781,0.040529,-0.021513,0.042301,0.010724,0.010772,-0.013468
"M683.129T316.242",0.037033,0.0070882,0.038225,-0.0074476,-0.024999,0.023355,-0.017611,0.049676
"M653.783T316.318",0.0311,-0.0047268,0.0057446,0.0038501,0.0075363,0.0090634,-0.0016518,0.015363
"M489.058T766.222",0.046306,0.023845,0.027288,-0.0079468,-0.0090576,0.0043322,-0.028423,-0.030634
"M851.819T1425.446",0.040604,0.0028097,0.035987,-0.012321,0.0060621,0.011048,-0.02827,0.0084316
"M530.968T106.005",0.037048,-0.01097,0.031545,-0.022556,-0.025521,-0.0074738,-0.012035,0.0083986
"M1009.607T1323.757",0.034155,0.00080479,0.025863,-0.041696,-0.024706,0.049176,-0.0048868,0.0010383
"M653.717T312.26",0.025074,-0.048272,0.014498,-0.026135,0.011354,-0.016799,0.036738,0.027234
"M1031.899T1225.646",0.025431,-0.0047049,0.0097389,-0.026151,0.014545,0.017035,-0.065709,-0.019176
"M297.119T136.686",0.039138,-0.022404,0.0096041,-0.025508,-0.0068117,0.016978,-0.040178,0.0090295
"M769.419T945.253",0.037803,0.00055849,0.0061674,0.019153,0.042032,0.011598,-0.0045694,-0.018718
