"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M645.848T67.545",0.81168,0.59868,0.5918,0.58488,0.59663,0.59736,0.59771,0.59771
"M455.081T744.378",0.81031,0.75077,0.72053,0.711,0.72341,0.7241,0.72429,0.72429
"M267.196T1364.412",0.81017,0.59512,0.59287,0.60511,0.60454,0.6045,0.60459,0.60459
"M279.164T1614.563",0.80942,0.70319,0.67554,0.67966,0.68604,0.68581,0.68582,0.68582
"M515.105T113.414",0.80747,0.62664,0.65186,0.64859,0.64982,0.64991,0.65008,0.65008
"M357.576T759.445",0.80713,0.72098,0.6987,0.69052,0.689,0.68928,0.68925,0.68924
"M521.022T764.729",0.80652,0.69302,0.78702,0.78096,0.78012,0.77991,0.77998,0.77998
"M426.882T91.046",0.80578,0.61858,0.59572,0.59034,0.58986,0.58977,0.58979,0.58979
"M293.179T1541.097",0.80421,0.736,0.73,0.72419,0.72517,0.72474,0.7247,0.7247
"M539.134T89.251",0.80115,0.72404,0.6943,0.695,0.69329,0.69308,0.69305,0.69305
"M915.823T68.606",0.80088,0.78455,0.95574,0.96035,0.97689,0.97852,0.97876,0.97876
"M408.822T1801.685",0.80057,0.82354,0.81097,0.80061,0.79898,0.79901,0.79902,0.79902
"M203.083T418.775",0.7973,0.66425,0.63699,0.76652,0.81696,0.81648,0.81647,0.81647
"M657.063T941.851",0.79511,0.7141,0.94404,0.93356,0.93144,0.93163,0.93167,0.93167
"M379.101T757.973",0.79385,0.64062,0.62064,0.61243,0.61206,0.61204,0.61207,0.61207
"M811.459T986.188",0.79252,0.75196,0.88616,0.88626,0.88649,0.88641,0.88637,0.88637
"M387.02T108.554",0.79068,0.65923,0.65241,0.64376,0.64221,0.64326,0.64325,0.64325
"M333.083T110.42",0.78951,0.83396,0.80254,0.79322,0.79151,0.79136,0.79133,0.79133
"M238.892T97.993",0.78571,0.91124,0.87398,0.86313,0.86098,0.86046,0.86043,0.86043
"M591.465T1235.608",0.78457,0.72123,0.70195,0.69879,0.71731,0.72035,0.72036,0.72036
"M321.216T1624.59",0.78414,0.72918,0.69922,0.70085,0.70586,0.70559,0.70557,0.70557
"M851.154T319.552",0.78282,0.70696,0.67792,0.67348,0.67342,0.67336,0.67334,0.67334
"M409.075T744.412",0.78262,0.78729,0.7573,0.75216,0.75559,0.7556,0.75565,0.75565
"M1094.293T897.844",0.78196,0.87742,0.91963,0.90818,0.90611,0.90568,0.90565,0.90565
"M309.478T1627.463",0.78127,0.65478,0.65058,0.67352,0.67543,0.67523,0.67534,0.67533
"M429.486T320.767",0.77994,0.67745,0.66063,0.6551,0.6539,0.65433,0.65432,0.65432
"M429.141T889.195",0.7787,0.63694,0.62071,0.67286,0.67775,0.67815,0.67822,0.67822
"M329.088T474.939",0.77628,0.77954,0.75914,0.75014,0.74854,0.74825,0.74822,0.74822
"M1105.431T888.552",0.77232,0.69324,0.71665,0.71749,0.71655,0.71656,0.71653,0.71653
"M287.076T110.312",0.77224,0.71245,0.68547,0.6781,0.67828,0.67791,0.6779,0.6779
"M630.879T67.545",0.77198,0.92138,0.88655,0.88119,0.8829,0.8857,0.88586,0.88586
"M697.905T994.286",0.77167,0.91512,0.87846,0.86681,0.86586,0.86639,0.86639,0.86639
"M240.933T64.89",0.77072,2.7375,2.6414,2.6123,2.6058,2.6044,2.6043,2.6043
"M1432.595T1048.493",0.7689,0.92651,0.89406,0.90343,0.90504,0.9068,0.90676,0.90677
"M522.878T65.745",0.76538,0.69208,0.66707,0.66351,0.66602,0.66828,0.66843,0.66843
"M653.752T320.843",0.76532,0.59651,0.64127,0.6334,0.63903,0.63878,0.63876,0.63875
"M356.995T88.504",0.76443,0.86095,0.82875,0.83903,0.83829,0.84139,0.84135,0.84135
"M325.2T1323.486",0.7641,0.58191,0.56178,0.55437,0.55398,0.5539,0.55392,0.55393
"M407.045T415.442",0.76196,0.60967,0.60156,0.62744,0.63733,0.63703,0.63704,0.63704
"M333.041T419.397",0.76031,0.63823,0.65502,0.73461,0.80723,0.80676,0.80675,0.80675
"M901.161T984.095",0.75754,0.7481,0.83914,0.83898,0.84352,0.84358,0.84376,0.84376
"M732.876T67.374",0.75622,1.1009,1.0724,1.0687,1.0708,1.0758,1.0759,1.0759
"M715.392T322.783",0.75532,0.80061,0.81234,0.81808,0.81604,0.81598,0.81603,0.81604
"M419.115T799.29",0.75485,0.748,0.7992,0.79281,0.79195,0.79197,0.79194,0.79194
"M701.195T940.853",0.75395,0.94978,0.94016,0.92937,0.92725,0.92711,0.92707,0.92707
"M333.06T88.804",0.75195,1.0201,0.98262,0.98284,0.9827,0.98373,0.98369,0.9837
"M444.872T67.426",0.75173,0.59223,0.56908,0.56273,0.56269,0.56329,0.56332,0.56332
"M316.508T323.984",0.7517,0.68302,0.66115,0.65349,0.65235,0.65232,0.6523,0.6523
"M481.224T887.168",0.75042,0.66346,0.63842,0.63773,0.63956,0.63947,0.63945,0.63946
"M869.849T1307.413",0.7504,0.78626,0.7557,0.76259,0.76069,0.7609,0.76089,0.76089
"M1255.613T888.434",0.74557,0.89158,0.92005,0.91299,0.91101,0.91046,0.91044,0.91044
"M505.3T1291.082",0.74543,0.57038,0.55223,0.55213,0.56211,0.56464,0.56464,0.56464
"M357.108T784.337",0.74499,0.93112,0.89675,0.89184,0.89004,0.88961,0.88958,0.88958
"M997.975T1403.846",0.74318,0.70237,0.6745,0.67333,0.6758,0.67703,0.67708,0.67707
"M518.153T824.178",0.74303,0.76795,0.84164,0.83242,0.83287,0.8324,0.83242,0.83242
"M593.934T851.064",0.73755,1.2123,1.1908,1.1796,1.1772,1.1772,1.1772,1.1772
"M206.988T126.118",0.73404,0.71294,0.687,0.68491,0.68329,0.68332,0.68332,0.68332
"M727.414T1292.189",0.73273,0.62477,0.61322,0.60514,0.60411,0.6058,0.60577,0.60578
"M383.433T314.152",0.7326,0.73693,0.72081,0.71898,0.72096,0.72054,0.72052,0.72053
"M471.897T67.543",0.72989,0.58926,0.61839,0.61108,0.61847,0.62008,0.62011,0.62011
"M281.069T746.743",0.72905,0.7366,0.74292,0.73527,0.73986,0.73949,0.73954,0.73954
"M799.191T949.166",0.72815,0.91049,0.87599,0.87,0.86787,0.87041,0.87038,0.87038
"M334.932T113.331",0.7276,0.77335,0.75339,0.74681,0.74571,0.74528,0.74524,0.74524
"M1030.586T1195.906",0.72525,0.62983,0.61465,0.62795,0.62737,0.62776,0.62773,0.62773
"M847.495T1389.03",0.72191,0.70593,0.67949,0.68602,0.68529,0.68778,0.68775,0.68775
"M798.851T67.54",0.72167,0.62738,0.67771,0.68854,0.68814,0.69228,0.69232,0.69237
"M385.113T791.317",0.72105,0.71347,0.68437,0.67581,0.67761,0.67721,0.67718,0.67718
"M399.275T1363.391",0.71962,0.90956,0.87271,0.86364,0.86159,0.86159,0.86158,0.86158
"M613.774T885.363",0.71771,0.81973,0.78776,0.78529,0.78375,0.78401,0.78403,0.78403
"M359.061T194.361",0.71291,0.77404,0.8867,0.87581,0.87762,0.87711,0.87712,0.87712
"M865.489T1291.829",0.71152,0.68061,0.65521,0.67731,0.67594,0.67646,0.67647,0.67647
"M409.002T109.878",0.71152,0.74023,0.71074,0.70385,0.7021,0.70266,0.70263,0.70263
"M455.081T704.884",0.70891,0.76707,0.74367,0.73517,0.73432,0.73496,0.73497,0.73497
"M859.153T942.886",0.70634,0.68677,0.69707,0.69784,0.69864,0.69871,0.69874,0.69874
"M947.485T901.595",0.70284,1.0337,0.99479,0.98486,0.98269,0.98213,0.98225,0.98224
"M1323.575T889.628",0.70218,0.95694,0.96888,0.95938,0.95885,0.95844,0.9584,0.9584
"M757.441T1176.453",0.70197,0.64687,0.90831,0.89713,0.90011,0.90149,0.90147,0.90147
"M610.83T67.188",0.70055,0.61149,0.59502,0.58726,0.58688,0.58781,0.58787,0.58787
"M397.002T110.368",0.69926,0.82215,0.79333,0.78664,0.78714,0.78717,0.78715,0.78715
"M349.056T728.324",0.6985,0.81667,0.78427,0.81542,0.81395,0.8141,0.81425,0.81425
"M408.906T66.13",0.69692,0.52473,0.73374,0.72597,0.72417,0.72472,0.72472,0.72472
"M1031.84T1213.333",0.69684,0.65657,0.64275,0.63437,0.63321,0.63474,0.63471,0.63471
"M765.729T983.05",0.68948,0.77881,0.88856,0.901,0.90047,0.90127,0.90123,0.90123
"M377.049T427.197",0.68049,0.82654,0.80373,0.79313,0.79201,0.79163,0.79166,0.79166
"M369.569T765.536",0.67958,0.59781,0.81772,0.81569,0.81523,0.81548,0.81576,0.81576
"M338.162T1582.434",0.67811,0.72256,0.69469,0.71428,0.71504,0.7154,0.71541,0.71541
"M377.162T1630.7",0.67339,0.90332,0.8706,0.86707,0.86621,0.86659,0.86656,0.86656
"M676.309T1245.665",0.67066,0.60795,0.5959,0.58802,0.59037,0.59023,0.59031,0.59031
"M1162.945T896.606",0.66751,0.89479,0.86342,0.92092,0.91891,0.9184,0.91837,0.91836
"M1031.899T1225.646",0.66629,0.50382,0.48563,0.48932,0.48896,0.48867,0.48899,0.48899
"M365.136T768.138",0.66622,0.7783,0.74673,0.84118,0.83979,0.83933,0.8393,0.83929
"M139.002T112.479",0.66605,0.87477,0.83894,0.82813,0.82911,0.82873,0.82869,0.82869
"M1030.642T1193.369",0.66292,0.49614,0.6301,0.62404,0.62697,0.62695,0.62719,0.62719
"M560.841T1187.938",0.66227,0.48672,0.73323,0.72462,0.72879,0.72937,0.72961,0.72961
"M323.042T818.446",0.6594,0.98645,0.95498,0.95182,0.95039,0.95015,0.95017,0.95017
"M613.854T887.38",0.6588,0.68565,0.66927,0.6604,0.66099,0.66231,0.66235,0.66235
"M392.068T765.784",0.65777,0.85104,0.82825,0.82591,0.82388,0.8234,0.82345,0.82345
"M413.104T602.912",0.65572,0.77953,0.78206,0.77184,0.77041,0.77,0.76997,0.76996
"M1134.038T907.684",0.65197,2.2575,2.1699,2.1434,2.1417,2.1404,2.1403,2.1403
"M391.065T766.545",0.64842,0.64874,0.62296,0.62609,0.62481,0.62444,0.62444,0.62444
"M1048.557T894.929",0.64703,1.0049,1.0282,1.0165,1.014,1.0134,1.0134,1.0134
"M272.963T113.946",0.64202,0.90408,0.86957,0.8582,0.8572,0.8568,0.85677,0.85676
"M1209.581T888.373",0.64133,0.90475,0.91436,0.908,0.90616,0.90626,0.90624,0.90624
"M437.065T776.272",0.64043,0.8552,0.83497,0.82792,0.82589,0.8254,0.8254,0.8254
"M655.655T928.688",0.63991,0.82687,0.79687,0.78826,0.78631,0.78762,0.78762,0.78762
