"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M1097.037T893.528",0.03733,0.053778,-0.051061,-0.01082,0.016451,0.073508,-0.031159,-0.0524,-0.077063,0.03577,0.038269,0.013318
"M869.849T1307.413",0.034291,0.028727,0.00077527,-0.018024,0.02231,0.020082,0.0046944,0.01962,0.019992,-0.033756,0.06726,-0.005262
"M1071.559T892.477",0.036602,0.051133,-0.044531,0.00049738,0.0056814,0.021756,-0.0027312,-0.024571,-0.028103,0.01457,0.02337,-0.0043375
"M1000.263T316.358",0.031773,-0.0037753,-0.0044363,-0.0071768,-0.0068936,-0.025773,-0.0016605,0.084243,0.011987,0.011419,0.0013385,-0.0035203
"M767.194T317.413",0.033728,0.025193,0.030761,0.015542,0.0044135,0.064635,-0.044229,-0.029894,-0.031639,0.0013851,-0.00641,-0.0090216
"M650.407T1378.088",0.042446,0.0029733,0.016838,-0.021982,-0.0071315,-0.0071003,0.024939,0.013077,-0.015899,-0.024007,0.012255,-0.00050045
"M653.891T318.024",0.034629,-0.0097759,0.013093,-0.038453,0.014173,-0.025758,0.012507,-0.020245,-0.024845,-0.03109,0.020506,0.0025228
"M560.841T1187.938",0.022124,0.048549,0.016531,0.044102,-0.081433,-0.045922,0.027178,-0.025177,0.010472,0.065134,0.010248,0.0084234
"M354.957T108.842",0.035426,0.004753,-0.010099,-0.028661,0.019238,0.020349,-0.0046096,0.004589,-0.0036753,-0.029955,-0.0038463,0.001622
"M590.775T907.789",0.027383,0.070825,-0.045537,-0.020902,0.057001,-0.02797,0.046727,0.03408,0.044745,0.040023,-0.039224,0.0086419
"M206.082T164.917",-0.018127,-0.063936,-0.060986,0.0022708,0.12688,0.017698,-0.033828,0.092819,0.022552,-0.028277,0.077624,0.042723
"M1161.521T895.466",0.034631,0.060689,-0.03901,-0.013506,0.0034942,0.022949,0.011131,-0.0099936,-0.0022543,-0.027992,0.014101,-0.010596
"M418.218T902.438",0.039201,0.010891,0.038397,0.002657,0.029737,0.049899,-0.0049343,0.028961,0.031116,-0.0067788,-0.012541,0.0056188
"M632.783T316.499",0.028435,0.0041494,0.023014,0.0012262,-0.020216,-0.035403,-0.014938,0.030112,0.030951,0.01602,0.11722,-0.010911
"M451.218T291.531",0.040015,0.029784,0.022305,0.012614,0.02001,0.013667,-0.011633,-0.0071029,0.012665,0.0057462,0.0058233,-0.010157
"M344.099T126.621",0.036572,1.738e-05,0.015012,0.0030751,0.011682,0.0068909,0.011203,0.027275,0.028962,0.014425,0.0087855,0.010611
"M385.113T835.894",0.040079,-0.039227,0.018073,0.034319,0.063956,0.0084485,0.049816,-0.024116,-0.045691,0.063709,-0.0096766,-0.022598
"M627.229T851.009",0.040828,0.010313,0.037267,0.0054749,0.040017,0.0055557,0.037025,0.055113,-0.029071,0.030356,-0.0029347,0.014194
"M885.489T1408.277",0.03863,0.012236,0.0066217,-0.014959,0.010862,0.02437,-0.010681,-0.013857,0.015511,-0.011371,-0.00027643,0.0068386
"M645.124T781.203",0.036212,0.046684,-0.054566,-0.018023,0.052139,-0.008449,0.03888,-0.028048,0.0036369,0.029822,0.0022822,-0.0066203
"M942.469T1308.469",0.03339,0.017122,0.0095553,-0.051015,0.017773,0.02714,0.0019369,0.012659,0.016017,0.00087059,0.0019489,0.0039612
"M421.069T767.549",0.041507,0.0275,0.029458,-0.014958,0.0044081,-0.028903,-0.045956,-0.046409,-0.012651,-0.010035,0.01649,-0.022787
"M643.245T813.714",0.03498,0.00035274,0.010477,0.028105,-0.012141,0.012818,0.023978,0.0081278,-0.040984,0.034187,-0.018782,0.0060908
"M745.161T766.586",0.039532,0.033536,0.0224,0.011819,-0.0091441,-0.046469,0.041209,-0.015592,0.00066957,-0.0072769,0.024515,0.0061719
"M316.508T323.984",0.031876,0.012545,-0.011118,-0.026546,0.016984,-0.012911,0.001465,-0.0052218,0.0029963,-0.0027274,0.0065542,0.00018399
"M729.273T847.264",0.038897,0.028326,0.020915,0.0087511,0.0033655,0.046123,-0.054665,-0.0022215,-0.041671,0.028682,-0.023758,0.010805
"M417.764T850.924",0.035448,-0.00017721,0.034824,-0.012645,0.0079315,0.0047449,0.013422,0.017642,0.059909,0.0039405,-0.010736,-0.0067072
"M653.752T320.843",0.029247,0.032586,0.0079536,0.016652,-0.0042423,0.059064,-0.049756,-0.035253,-0.029203,0.012726,0.046084,-0.0053948
"M683.129T316.242",0.034884,0.0066967,0.019824,-0.041317,0.005147,-0.022263,-0.045779,0.069967,0.0095544,0.0082107,0.01788,0.0061387
"M653.783T316.318",0.029619,-0.0014981,0.0037266,-0.00095719,0.0046396,-0.039332,0.0070517,0.055692,-0.013639,0.017019,0.0094291,-0.0068881
"M489.058T766.222",0.04314,-0.0045832,0.03761,-0.024942,-0.0080076,-0.039918,0.018122,-0.017125,-0.048759,-0.019128,-0.01507,0.010413
"M851.819T1425.446",0.0384,0.011922,0.022468,-0.015075,0.0068791,-0.1012,0.056916,-0.061449,-0.01823,-0.0035308,0.0083715,0.0045041
"M530.968T106.005",0.035461,0.019535,0.010642,-0.024586,-0.00622,-0.027625,0.019526,-0.0056847,0.0041952,-0.03912,-0.0024332,0.0028312
"M1009.607T1323.757",0.032349,0.020877,0.026572,-0.040456,0.029136,0.022476,0.012686,0.002212,0.0039783,0.0045237,0.011201,0.0025234
"M653.717T312.26",0.025277,0.03636,-0.020385,0.020249,-0.0074955,-0.010861,0.043974,0.058451,-0.013512,-0.066807,0.082658,0.00054838
"M1031.899T1225.646",0.024249,0.014831,0.015957,-0.0014978,0.046097,-0.014185,-0.003729,0.03945,-0.079227,-0.067609,0.0098415,-0.018162
"M297.119T136.686",0.037791,0.018957,0.0019258,-0.011846,0.038104,-0.0044518,-0.0020985,-0.011989,0.0046486,-0.020546,-0.014888,0.0071029
"M769.419T945.253",0.035805,-0.0091322,0.0071687,0.019125,-0.0022663,-0.018953,-0.010695,-0.05056,-0.027751,0.056819,0.0013329,-0.002098
"M1201.918T909.936",0.034644,0.020916,-0.036571,0.030931,0.013707,-0.019277,-0.042944,-0.016323,0.067576,-0.00073083,-0.023414,0.01524
"M864.188T806.912",0.036335,0.063745,-0.020201,0.00047461,-0.00035988,0.018851,-0.0032207,0.010584,-0.023143,0.045305,0.0046239,0.0023097
"M865.489T1291.829",0.031064,0.037084,0.0051935,-0.039755,0.034166,0.041498,-0.020841,-0.02755,-0.00049516,-0.016069,0.0046936,0.0073899
"M799.191T949.166",0.036579,-0.0010941,-0.03814,-0.03192,0.026318,0.022125,0.0088389,0.024111,-0.0059236,0.055609,0.0237,0.016286
"M1263.489T907.902",0.029013,0.031933,-0.066922,0.023749,-0.041795,0.0033914,0.020855,-0.0063538,0.022808,-0.0045183,-0.0069828,-0.0009196
"M451.174T880.577",0.048423,0.015295,0.027473,0.046159,0.018991,-0.0039052,-0.00091803,0.0087122,0.028197,-0.005925,0.02173,-0.0028837
"M405.08T802.267",0.033441,0.027799,0.013859,-0.048207,0.044716,-0.0064133,0.0060192,-0.020538,-0.010081,-0.025574,-0.017538,0.014472
"M309.119T137.634",0.037939,-0.02076,0.023693,0.0083611,0.030675,0.011522,0.028453,-0.0070103,0.018458,0.0021557,-0.0069574,3.4437e-05
"M385.077T746.611",0.025592,0.024627,-0.064933,0.0050353,0.0069027,-0.01745,0.05321,0.029762,0.031454,0.018361,-0.04018,0.0057451
"M1030.642T1193.369",0.024276,0.024832,-6.4859e-06,0.035913,-0.057997,-0.062777,0.030381,0.06556,-0.021426,0.017986,0.06209,-0.0061327
"M429.414T851.13",0.032858,-0.0037164,0.033276,0.019631,0.052437,-0.024051,0.054942,-0.045505,0.058376,0.015664,0.052432,-0.0031728
"M723.577T942.094",0.031116,0.024742,-0.054737,-0.048722,-0.042301,-0.045052,-0.0058176,0.038048,-0.021691,-0.005124,0.011767,-0.014422
"M1071.439T878.893",0.042143,0.0030228,0.046427,0.044159,0.003908,-0.014589,0.035119,0.0088633,0.022045,-0.014646,0.027105,-0.011839
"M1069.501T1402.821",0.032708,0.0064411,0.015597,-0.052128,0.044782,-0.030061,-0.0085207,-0.024312,-0.040145,0.029139,0.021753,-0.00177
"M281.07T709.104",0.03309,0.0075754,-0.039373,0.0039438,-0.010431,0.020972,-0.0354,0.0030563,-0.021632,0.025815,-0.0305,-0.0086068
"M577.137T781.037",0.036892,0.052485,-0.070324,0.0023434,0.018295,-0.0062895,0.0011853,-0.069467,-0.01746,0.063619,0.035832,0.009817
"M397.075T138.684",0.034996,0.0023358,-0.0060731,-0.0065619,0.0091984,0.01794,-0.01556,-0.015197,0.054774,0.035393,0.0049651,0.0078726
"M653.861T317.501",0.033392,0.020185,0.019737,0.010329,-0.0072115,0.044288,-0.026689,-0.024428,-0.029187,-0.012917,0.022718,-0.0048684
"M375.104T216.821",0.038145,0.0071273,0.020199,-0.018386,0.0053811,0.016506,-0.019286,0.0087821,0.019565,-0.027043,-0.0014824,0.00038044
"M384.097T310.658",0.034275,0.003186,-0.0083545,-0.017761,0.0054562,0.0063851,-0.012849,0.00041041,0.011345,-0.058832,0.0025087,-0.0061794
"M351.085T316.423",0.034471,0.0042259,0.0081129,-0.022849,0.014686,-0.0082321,0.00023293,0.0064863,-0.0038529,-0.017674,-0.0044416,0.0072361
"M460.969T105.772",0.036072,0.0019697,-0.0015938,-0.055935,-0.013103,-0.0065299,-0.012946,-0.013741,0.010153,-0.029001,0.024147,-0.010341
"M665.267T889.419",0.03863,0.03527,0.019502,-0.0028787,0.0075558,-0.013662,-0.027471,0.023625,0.0029573,-0.018484,0.013077,0.00050989
"M969.939T315.438",0.030135,0.00061608,0.018952,0.0033628,-0.0071739,-0.049415,-0.019088,-0.042493,-0.13358,0.059091,0.020055,-0.0066688
"M289.065T88.687",0.032184,0.0038846,0.017041,-0.037059,-0.043702,0.019654,-0.03276,0.045509,0.034522,0.047439,-0.045534,-0.016094
"M289.086T1163.856",0.036546,0.02519,0.02325,0.00084201,0.041258,0.018781,0.0032721,0.04169,0.0041107,-0.023167,-0.038818,-0.0017817
"M655.873T943.419",0.03774,0.032794,-0.0013134,-0.044183,0.044236,-0.01636,0.0057912,0.00051938,0.010793,-0.0098504,-0.027479,0.002541
"M642.242T817.768",0.030705,-0.021317,0.00054465,0.032504,-0.053581,0.019813,0.02503,-0.033581,-0.058751,0.044346,0.094312,0.0021299
"M695.12T755.765",0.033355,0.070069,-0.087104,0.057655,-0.063367,-0.023838,-0.053396,-0.021438,0.071176,-0.071569,0.038083,-0.011363
"M487.016T806.181",0.036113,0.031818,0.0010928,0.034652,-0.047463,-0.049461,0.063357,-0.011876,0.0094486,-0.014547,0.054288,0.0090296
"M967.561T1349.704",0.035492,-0.00027692,0.012938,-0.03443,0.022345,0.02283,0.021726,0.0088547,0.0026924,0.0013034,0.00064332,-0.0043238
"M821.606T900.199",0.043045,-0.017801,0.0074853,0.0075659,-0.028038,0.02972,-0.021565,-0.038904,-0.03247,0.050655,0.018907,0.0080368
"M1095.063T894.34",0.034453,0.06401,-0.057317,0.0060268,-0.00039103,0.032072,0.019229,-0.0060363,-0.016419,-0.023317,0.021085,0.014368
"M279.139T1150.344",0.063815,-0.010153,-0.021695,-0.028395,0.013747,0.11341,0.006259,-0.025973,-0.15832,0.023432,0.04651,-0.01584
"M579.301T894.416",0.028828,9.6421e-05,0.017004,-0.044458,-0.017171,0.0097904,0.020776,0.0046899,0.01985,0.0074889,0.011257,-0.0036135
"M593.947T757.746",0.033136,0.060353,-0.10797,0.032257,-0.06443,-0.044212,-0.030856,-0.037251,0.086216,-0.041192,0.031415,0.031776
"M367.102T765.544",0.035963,0.028556,0.047629,-0.032383,-0.0096133,-0.012998,0.0054947,-0.018537,0.016524,-0.023188,-0.036565,0.018805
"M585.15T892.945",0.036839,-0.0051055,0.01099,-0.016453,0.0066295,-0.034976,-0.044369,-0.0067939,0.049919,-0.0014476,-0.019651,0.0060751
"M988.312T316.465",0.030618,-0.00053845,0.016062,0.016152,-0.010922,-0.054954,0.015974,0.037522,0.0073256,0.012497,0.037653,-0.00047443
"M735.437T1351.512",0.03333,0.030536,0.014127,-0.044057,0.027144,0.036458,-0.025769,-0.0038047,-0.0058491,-0.0071337,0.040033,-0.0029913
"M851.154T319.552",0.032973,0.0113,-0.0079462,-0.032409,0.020457,-0.00085334,-0.0050505,-0.0043452,0.02088,-0.012325,0.0064583,-0.0044194
"M265.093T134.502",0.032811,-0.010699,0.014801,-0.016703,0.010522,0.0074801,0.006911,0.0086703,-0.02924,0.022773,-0.052437,-0.0058608
"M575.708T1045.732",0.028434,0.02,-0.051113,-0.024251,0.043514,-0.051515,-0.060114,-0.014037,0.033171,-0.032131,0.0097524,0.0013698
"M657.063T941.851",0.034114,0.035245,-0.027099,-0.03889,0.0092536,-0.012,-0.044743,-0.039924,-0.059928,0.021493,0.018323,-0.014719
"M632.663T319.55",0.033104,0.018887,0.030171,0.014923,-0.0083431,0.039913,0.0039292,-0.0096214,-0.034756,-0.040771,0.0095603,-0.0057722
"M809.433T1339.33",0.034456,0.024379,-0.0017928,-0.025357,0.031266,0.0033173,-0.00046163,-0.040819,-0.0075872,-0.012873,0.020572,-0.0010216
"M654.008T318.692",0.035696,0.0097262,0.035914,0.0038938,0.0092471,-0.0086462,-0.0041657,-0.023011,0.011366,-0.069723,0.054337,0.00071605
"M923.402T931.508",0.041794,-0.059198,0.011183,0.028506,-0.017872,0.0031892,-0.00028534,0.015837,0.012831,-0.0062922,0.017136,-0.0015982
"M428.2T856.891",0.040918,0.0027157,0.038491,0.010024,-0.029326,0.0018139,-0.03276,-0.022627,0.018813,0.031429,0.016378,0.012983
"M281.069T746.743",0.032457,-0.0092735,-0.016143,-0.037091,0.028828,-0.0028693,0.022784,0.0042538,-0.0012812,-0.032133,-0.043866,-0.00044985
"M703.247T844.715",0.038915,0.0064925,0.02079,0.013462,-0.0035478,0.039445,0.0066367,-0.01516,-0.049984,0.031804,0.040516,-0.0079785
"M590.015T907.684",0.03267,0.059345,-0.06506,-0.00071318,0.029362,0.018326,-0.024613,0.0078222,0.0036601,-0.019581,0.0015274,0.012259
"M455.081T704.884",0.033118,0.0052958,-0.025136,0.0078705,-0.0061955,0.00031284,-0.055646,-0.0099759,0.025799,0.00135,-0.054698,-0.0012704
"M970.813T317.253",0.032582,-0.0087797,0.021366,0.014351,0.01259,-0.063482,0.015084,0.068633,-0.041472,0.015265,0.046354,0.0064887
"M997.575T1403.78",0.031553,-0.00089079,0.022199,-0.047942,0.011145,0.023792,-0.011803,0.0077614,-0.027755,0.027278,-0.00036515,0.0071738
