"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M344.099T126.621","4209.6954","2810.6242","7609.1869","4972.6586","4442.9401","562.12484","5919.401","5613.6855","4529.2206","5193.5745","6770.9821","562.12484","4092.0895","4198.8717","3953.5203","562.12484","5920.398","5631.34"
"M385.113T835.894","6350.0369","800.3892","3694.5229","4819.7889","6187.1871","299.66201","7487.259","6128.3662","5137.994","7886.8804","10792.4016","59.932402","3187.6318","6603.5918","4014.8847","59.932402","9017.9177","3209.7254"
"M627.229T851.009","9020.5673","3965.2632","15536.131","8801.7938","7918.7276","91.29454","6142.6076","13811.6223","11975.6197","17404.1576","18648.1261","456.4727","10435.3359","11233.3785","11491.9607","91.29454","20447.6359","9423.5534"
"M885.489T1408.277","6298.6341","5370.9186","8869.1298","5359.9581","7651.2405","347.02699","8465.3338","8782.2877","9646.512","8779.6667","8996.199","1405.4549","6062.796","7239.2268","6913.8993","885","7626.9482","8967.8881"
"M645.124T781.203","10654.7213","9743.8165","6864.2463","6942.1107","6354.3831","662.88956","5950.6101","9582.3217","17680.9579","6717.549","14240.743","662.88956","5522.743","7677.6965","5214.7659","662.88956","3693.9308","3314.4478"
"M942.469T1308.469","10808.807","14401.3773","18006.3879","11824.0872","15613.4515","254.32103","13217.535","13966.5189","14579.3663","12238.4428","13702.9059","353.8814","12762.7025","12611.732","14748.4036","50.864206","18459.7209","14153.1009"
"M421.069T767.549","20065.5675","15868.9223","15594.8064","11932.4381","17758.286","2386.48762","15398.4178","34492.0746","32686.8903","31224.1838","36520.2827","2386.48762","12116.4459","17371.2858","20604.5925","2386.48762","24261.494","51126.5195"
"M643.245T813.714","3906.4315","2199.3296","4658.3859","2825.5996","2437.5947","770.75771","5807.5897","3585.5347","2683.5919","4968.0469","5848.3869","378.5342","2176.2325","3719.5867","3614.27","260","4946.4221","3229.2269"
"M745.161T766.586","6205.0958","2848.6208","4974.0715","3911.6931","1888.3812","377.67624","3436.1025","6641.9786","6489.8474","5627.8954","6867.6891","377.67624","6013.3735","5353.6393","7304.0452","377.67624","5100.4961","6827.7287"
"M316.508T323.984","9528.7428","10030.0117","10033.2625","9690.8634","9166.3934","1006.6204","11310.2702","9240.6186","7274.7181","8338.6001","10576.5967","1006.6204","9785.7648","9002.5866","5033.102","1006.6204","8975.8205","8876.1763"
"M729.273T847.264","4374.9019","4393.1104","7325.9853","2036.1538","5263.0554","407.23076","5516.9799","6931.7535","6235.3348","9894.17","11739.3343","407.23076","5757.6545","4856.4992","5046.7366","407.23076","6924.2711","7109.1188"
"M417.764T850.924","4191.7056","2662.3884","8193.2447","5017.8899","4759.05","233.5256","5254.7986","4717.7189","5072.8872","4555.1184","5698.0613","46.70512","5042.038","5971.8966","4034.0622","46.70512","7150.8377","7884.7851"
"M653.752T320.843","23793.65","23636.5805","29726.8734","8555.2885","19254.123","1016.85858","30955.6255","29532.9899","13245.1257","20612.0906","27573.0164","842.3687","24055.4942","24828.753","18745.271","675","20695.3503","23136.7953"
