"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas"
"M277.129T811.716","-0.3152573","-0.8357803","-0.1915573","-0.5415365","-0.1553511","-0.7909591"," 0.3434272"," 0.8770951"," 0.7494132"," 0.4500629"," 0.1414982"," 0.2689449"
"M1097.561T894.34"," 0.03480105"," 0.17134805","-0.41958950","-0.06495732","-0.29374223","-0.79111863"," 0.42483450"," 1.44153449"," 0.23341056"," 0.62667313","-1.09895937","-0.26423474"
"M921.374T936.829","-0.5326921136","-1.2233392535","-0.3710989713"," 0.0361352867","-0.2012324819","-0.3025667599"," 0.3998200864"," 1.2482670485"," 0.7335256449"," 0.3718207981","-0.1594069757"," 0.0007676914"
"M451.007T107.467","-0.59562690","-0.49710388","-0.17749513"," 0.03200732"," 0.18415519","-0.40760428"," 0.34718239"," 1.07929461"," 0.44047007"," 0.13306443","-0.02293818","-0.51540564"
"M1100.582T1225.322","-0.47421661","-0.54886171","-0.11408279","-0.37577049","-0.05885522","-0.49042241"," 0.28214686"," 1.21341175"," 0.42198935"," 0.06992256"," 0.03882213"," 0.03591657"
"M649.302T900.549","-0.5497541","-0.6309252","-0.3419209","-0.2322357","-0.1795317","-0.3624647"," 0.2852377"," 1.1745043"," 0.4773614"," 0.1491675","-0.0238241"," 0.2343856"
"M286.972T107.919","-0.552947398","-0.433983485","-0.305232269"," 0.131603398","-0.008604198","-0.305379358"," 0.317973010"," 1.207935057"," 0.335083415"," 0.139427295","-0.171185051","-0.354690417"
"M581.318T900.123","-0.53185191","-0.61276850","-0.08438527","-0.25650359","-0.48409384","-0.63003548"," 0.35715696"," 1.09747345"," 0.42994194"," 0.34765393"," 0.15635126"," 0.21106106"
"M1014.585T1348.471","-0.4982740","-0.7789925","-0.2654318","-0.2268892","-0.1142890","-0.5295009"," 0.3667874"," 1.0762890"," 0.4590458"," 0.1470258"," 0.2248878"," 0.1393415"
"M799.289T814.54","-0.1518408","-0.4087635","-0.5074459","-0.1284870","-0.2742164","-0.7445192"," 0.4805320"," 0.4411059"," 0.4811267"," 0.3272251"," 0.1584674"," 0.3268157"
"M1053.272T316.465","-0.6139631","-0.6068172","-0.3268901","-0.0446507","-0.4293169","-0.5710366"," 0.3927767"," 0.8188885"," 0.7212149"," 0.2504449"," 0.2291082"," 0.1802415"
"M1097.037T893.528","-0.35203594"," 0.06645359","-0.52391536","-0.91514630","-0.11353563","-0.36756422"," 0.73057001"," 1.42753275"," 0.55333976"," 0.57149628","-0.48632380","-0.59087114"
"M869.849T1307.413","-0.482565308","-0.442502442","-0.105899472","-0.230883230","-0.169843476","-0.702613572"," 0.712433025"," 1.169014707"," 0.384917720"," 0.097860600","-0.226031652","-0.003886901"
"M1071.559T892.477","-0.29131347","-0.08431013","-0.36075774","-0.50626529","-0.36307205","-0.46641366"," 0.58834607"," 1.39986549"," 0.49861418"," 0.53912490","-0.57926404","-0.37455427"
"M1000.263T316.358","-0.80360810","-0.58763491","-0.10829473"," 0.24799860","-0.27973664","-0.45084664"," 0.30565395"," 0.82906465"," 0.53701428"," 0.43405886","-0.10345610","-0.02021322"
"M767.194T317.413","-0.36530362","-0.61482842","-0.15924036","-0.93414873","-0.08918269","-0.45616221"," 0.42253910"," 0.95608851"," 0.63883613"," 0.34827091"," 0.02552725"," 0.22760412"
"M650.407T1378.088","-0.6238436","-0.7965481","-0.4484812","-0.0942266","-0.3434976","-0.5802287"," 0.4737632"," 1.3088626"," 0.6937591"," 0.1783788"," 0.1139538"," 0.1181082"
"M653.891T318.024","-0.46365474","-0.66168779","-0.70251393"," 0.03512446","-0.05743527","-0.49026296"," 0.42354578"," 1.05883311"," 0.53006472"," 0.04954380"," 0.12805918"," 0.15038365"
"M560.841T1187.938"," 0.01536226","-0.23572560","-0.04259834","-0.40561314","-1.11929296","-0.24067977"," 0.23589524"," 0.75796085"," 0.09041365"," 0.64517877","-0.06942179"," 0.36852084"
"M354.957T108.842","-0.58686292","-0.50975610","-0.37710967","-0.14472800"," 0.03589045","-0.45521569"," 0.36523788"," 1.20492337"," 0.58763928"," 0.13856444","-0.18041236","-0.07817067"
"M590.775T907.789","-0.05603621"," 0.13025758"," 0.05616757"," 0.04770722","-0.28739201","-1.01500427"," 0.12439832"," 1.37701772"," 0.09964217"," 0.61035528","-0.60333837","-0.48377499"
"M206.082T164.917","-0.17326182","-0.09272951"," 0.22114705"," 0.89688162"," 1.18406602"," 0.30526056"," 0.26533964","-0.93021898","-0.16709916","-0.18868162","-0.51546784","-0.80523597"
"M1161.521T895.466","-0.27714899"," 0.03867778","-0.18359570","-0.42376184","-0.39492291","-0.62474890"," 0.51023696"," 1.47035263"," 0.48449520"," 0.27569818","-0.59539161","-0.27989080"
