"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought"
"sodium_formate","3985225","3922751","3861917","4036646","3843867","3845185","4021608"
"M589.459T1372.544"," 22898.17"," 83715.58","104461.69","226027.72","228000.00","126610.21","124000.00"
"M285.134T1052.907"," 10686.98","221176.58","269413.68","153462.07","292000.00","232329.91","151000.00"
"M569.292T994.771","  1421.487","116906.609","125497.818"," 94825.907","120000.000","129907.456"," 91600.000"
"M637.414T1384.421"," 53442.26","143299.11","151115.55","211600.27","195000.00","152124.45","175000.00"
"M867.584T1358.969","18354.29","32761.05","35158.16","70727.56","74000.00","49353.93","32300.00"
"M593.485T1401.37","156741.0","216680.4","263561.9","282573.7","306000.0","315815.6","279000.0"
"M985.571T1146.934","  1537.353","178876.252","191828.130","145460.725"," 97400.000","149300.626","155000.000"
"M593.49T1490.213","171483.4","224110.0","270191.1","289759.2","325000.0","329718.7","291000.0"
"M639.424T1291.55"," 13470.63","114977.20","139862.17","136206.79","109000.00","101587.38"," 89700.00"
"M986.591T1195.638","  6681.598","148335.411","172198.193"," 88307.664"," 92900.000","123095.507","113000.000"
"M926.605T1358.969"," 8431.946","11644.476","25191.321","21307.465","29900.000","47911.428","24300.000"
"M593.49T1557.453","180130.2","227135.2","272513.5","299213.9","330000.0","336005.7","302000.0"
"M587.442T1269.605","13190.03","76765.52","79488.41","63126.52","74100.00","52482.37","46900.00"
"M593.49T1539.529","168190.2","225122.3","254580.1","292686.3","320000.0","336590.3","297000.0"
"M423.198T1506.423","593411.8","738161.9","724434.3","637786.9","637000.0","717697.4","621000.0"
"M547.402T1437.709","200879.6","230201.9","172494.0","351511.7","333000.0","251916.9","285000.0"
"M879.468T1338.726"," 3205.691","44184.472","98451.371","69612.409","82200.000","90657.927","78900.000"
"M556.445T1212.039","  3942.292"," 31930.752","163353.676"," 18602.835"," 30800.000"," 33383.517"," 24400.000"
"M668.509T1456.373"," 46595.93"," 71107.66"," 95899.97","116576.69","143000.00"," 96121.83"," 93800.00"
"M618.492T1624.789"," 50694.60"," 70032.29","106798.06","128297.16","123000.00","151873.74","122000.00"
"M393.189T1440.567","146768.0","169388.2","155747.6","157820.8","165000.0","174654.8","156000.0"
"M629.464T1456.367","156744.3","286333.2","305526.0","337661.7","341000.0","344133.6","290000.0"
"M555.454T1439.586"," 86625.48","158662.42","198439.43","264694.25","223000.00","177272.73","193000.00"
"M592.477T1439.652"," 53174.35","129919.41","189541.22","198719.12","218000.00","175740.26","185000.00"
"M889.305T842.452"," 5406.244","32551.846","61297.672","99537.774","74100.000","69766.621","83500.000"
"M513.307T1059.952","     0.0","942716.4","928715.8","467060.4","793000.0","927941.2","483000.0"
"M630.465T1474.173"," 58363.92"," 95043.93","118291.15","131454.34","146000.00","121561.38","101000.00"
"M329.158T1625.781","115728.44"," 94952.88"," 72574.31","117679.49","133000.00","102079.73","104000.00"
"M660.517T1423.005"," 44944.44"," 59501.12"," 83916.64","123230.60","130000.00"," 81819.60"," 90700.00"
"M670.538T1472.8"," 90766.67"," 79878.44","110017.90","141942.00","135000.00"," 99916.29","119000.00"
"M513.251T1355.541"," 22679.43","226532.94","284481.15","173294.40","255000.00","196237.03","174000.00"
"M882.48T1339.403"," 2833.867","41238.903","83587.362","50047.893","36600.000","62152.400","38500.000"
"M839.506T1306.415"," 21629.35","123667.66","134406.40","100146.09","110000.00","147035.78","120000.00"
"M575.477T1491.784"," 51828.37","396062.43","474009.31","611083.55","575000.00","599231.77","478000.00"
"M564.206T918.312","     0.00"," 72246.03","159157.71","184154.15","216000.00","162588.28","193000.00"
"M564.208T942.149","     0.00"," 72261.71","154063.08","182264.91","205000.00","158378.46","183000.00"
"M343.224T1621.712","92913.62","74256.78","76141.65","80808.97","82700.00","57266.22","65400.00"
"M609.455T1145.906","  6740.162","213102.146","159285.699"," 34086.016"," 23600.000"," 56132.184"," 39900.000"
"M771.504T1195.638","  15659.56","2245550.87"," 923252.55"," 298331.09"," 264000.00"," 520888.17"," 314000.00"
"M523.36T1271.932","     0.00"," 90698.73"," 26915.41","171328.28","139000.00","167483.68","198000.00"
"M660.514T1439.78"," 53435.12"," 64048.51"," 84776.99","125330.57","138000.00"," 85843.71"," 88300.00"
"M351.253T1019.694","  1520.072","527161.428","557457.259","227626.276","429000.000","502151.661","257000.000"
"M949.553T1173.004","  6534.166","287701.910","304004.312","176281.393","192000.000","236564.455","198000.000"
"M875.492T1306.216","  8245.217","155010.606","163775.175","103790.238","126000.000","151978.813","101000.000"
"M979.313T847.893"," 19186.61"," 92208.48","141842.26","149586.98","168000.00","154039.91","161000.00"
"M349.196T1335.803"," 75647.58","276402.41","325289.76","388023.08","313000.00","304952.73","285000.00"
"M691.436T1356.203","154783.6","474924.6","498460.4","303062.3","328000.0","423289.8","334000.0"
"M575.479T1456.772"," 48282.8","370685.5","418133.8","604087.9","556000.0","599343.2","466000.0"
"M919.292T824.161"," 18116.16"," 79143.52"," 98309.01","125706.74","124000.00","100252.27","109000.00"
"M545.37T1372.761"," 64437.89","302206.96","501401.30","135805.93","108000.00"," 91537.25","118000.00"
"M1085.421T973.898"," 2067.74","16936.01","42844.70","39370.15","59800.00","43807.16","46000.00"
"M1114.854T834.347"," 1632.204","18760.064","39563.037","51423.471","38500.000","38679.597","32400.000"
"M987.579T1163.004","  3790.84","262791.61","292594.35","175855.76","138000.00","219407.72","149000.00"
"M441.224T1179.269"," 21410.82","204453.41","236662.00"," 71925.39"," 67900.00","101269.67"," 89600.00"
"M899.349T990.311"," 9439.344","36165.836","46198.488","80806.453","59500.000","55254.179","95800.000"
"M659.418T1406.262","20041.84","41430.61","45006.68","62706.24","79700.00","63426.71","48300.00"
"M841.471T1389.363","11133.02","49892.71","48079.15","60880.24","50200.00","52988.96","63100.00"
"M655.418T1389.36"," 15634.82","135264.74","132831.44","147693.55","143000.00","128895.23","129000.00"
"M575.479T1473.048"," 53767.99","330893.10","375060.77","616729.29","582000.00","604621.60","483000.00"
"M575.481T1540.694"," 55946.6","330893.1","375060.8","616845.5","589000.0","604896.9","483000.0"
"M684.476T1302.601","13097.98","73296.68","89611.49","85455.62","84700.00","74305.47","63500.00"
"M331.187T1104.601"," 23353.74","294471.29","357966.74","354493.09","326000.00","401204.19","343000.00"
"M549.424T1386.472"," 81933.55","177754.68","268521.32","339992.93","284000.00","228902.48","276000.00"
"M423.211T1338.363","122076.3","310222.1","269250.7","189278.8","189000.0","263841.3","187000.0"
"M886.353T1006.792"," 9396.463","35386.349","54429.982","87661.627","53600.000","62524.275","84600.000"
"M585.283T918.479"," 4197.537","57708.363","67834.892","46107.503","70100.000","57735.618","45500.000"
"M956.379T959.199"," 14181.09"," 48687.79"," 84594.57","134121.39","105000.00"," 91598.98","130000.00"
"M329.157T1608.526","122997.54"," 94952.88"," 85513.01","123320.68","141000.00","102079.73","118000.00"
"M549.19T901.604","     0.0","102832.7","274541.6","157257.0","273000.0","135376.5","164000.0"
"M822.526T1212.039"," 20208.26","210598.90","205964.12","118934.35","112000.00","158530.03","124000.00"
"M351.108T857.905"," 21445.23","289118.12","176069.92","255208.66","236000.00","214382.29","193000.00"
"M640.557T1608.472","52851.23","54887.32","61274.38","78178.30","82600.00","99667.14","81100.00"
"M423.212T1319.031","126128.3","320811.7","278610.1","194131.1","189000.0","263685.6","197000.0"
"M541.474T1573.977","  5777.828"," 52112.167"," 58834.071","124532.059","169000.000","226777.296","100000.000"
"M519.225T1025.439","  2596.018"," 34676.039","129507.647","448614.275","190000.000","191944.522","388000.000"
"M817.32T1025.439"," 4833.801","10536.783","41665.759","95930.257","54000.000","46374.544","84900.000"
"M629.459T1473.698","154737.2","288053.6","279524.3","315554.7","317000.0","212653.3","226000.0"
"M847.517T1163.004","  2174.921","874899.681","875194.389","279290.478","192000.000","224740.629","348000.000"
"M898.349T936.403","  9190.388"," 48918.711"," 69643.952","102085.497"," 78500.000"," 75940.387","112000.000"
"M652.416T1356.524"," 28020.55","162743.20","209119.41","179345.93","174000.00","193038.67","187000.00"
"M449.365T1540.699","155479.4","174479.1","204876.9","208962.2","225000.0","163593.0","196000.0"
"M537.533T1295.888"," 8050.171","68647.361","58469.949"," 9693.615","38800.000","16166.711","13300.000"
"M561.396T1195.638"," 17371.92"," 85726.85","778915.50"," 71730.84"," 48900.00"," 68542.45"," 51500.00"
"M530.218T901.604","  1903.154"," 39487.650","108556.667","116481.239","147000.000"," 92985.446","105000.000"
"M812.538T1253.346","24249.12","81771.40","99545.27","41197.95","68700.00","59027.32","61400.00"
"M495.298T1036.333","  3108.307","141614.109","135255.078"," 77717.034","102000.000"," 58880.389"," 87900.000"
"M367.15T410.425"," 23149.31"," 39264.81"," 73062.19","150378.66","202000.00"," 51157.36","188000.00"
"M589.228T896.878"," 2019.591","24321.582","49432.362","69535.283","59500.000","55760.024","62300.000"
"M617.489T1624.961"," 89331.79","117002.53","178159.56","230807.57","247000.00","336486.53","262000.00"
"M535.409T1440.116","109958.99"," 99747.13","110307.36","168446.35","147000.00","117830.61","156000.00"
"M673.432T1355.711"," 13628.26","163104.37","174641.86","161917.57","159000.00","170442.84","157000.00"
"M817.317T940.819"," 14439.39"," 44197.55"," 97452.08","157911.83","152000.00","153473.81","239000.00"
