"","FC","log2(FC)","raw.pval","-log10(p)"
"M847.517T1163.004",0.29369,-1.7676,0.0017418,2.759
"M441.224T1179.269",0.3708,-1.4313,0.0023138,2.6357
"M609.455T1145.906",0.20458,-2.2893,0.0026283,2.5803
"M504.265T1099.137",0.39172,-1.3521,0.0043978,2.3568
"M541.474T1573.977",2.7816,1.4759,0.010999,1.9586
"M605.432T1239.559",0.49284,-1.0208,0.011445,1.9414
"M479.188T913.185",7.5765,2.9215,0.017093,1.7672
"M537.533T1295.888",0.30648,-1.7061,0.019901,1.7011
"M619.438T1245.233",0.24095,-2.0532,0.020741,1.6832
"M677.438T1339.916",2.1782,1.1231,0.028401,1.5467
"M808.52T1220.972",0.37406,-1.4187,0.043241,1.3641
"M807.348T918.929",13.569,3.7623,0.047399,1.3242
"M951.603T1424.253",3.3633,1.7499,0.080241,1.0956
