"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"Sodium_Formate","3667732","3667732","3667732","3667732","3963239","3909794","3819856","3934423","3867787","3442128","3960498","4034768","3834774","3778849","4038728","3998858","3805402","3801631","3974273","4037492","3920796","4069493","3868514","3927945","3923776","3741009","4053882","3999728","3766924","3339944","3555483","3964440","4037002","4030309","3922006","3890744","4045781","3879945","4104744","4024050","4024050","3845071","4035455","3797963","3837318","3790177","3735045","3901010","3528208","4862692","3959808","3945214","3800063","4006431"
"M1094.782T12.105"," 9555.659"," 9555.659"," 9555.659"," 9555.659"," 8133.047"," 9170.449"," 7604.667"," 9464.172"," 8881.045"," 8043.794","10435.212","12318.542"," 8407.797"," 9030.556"," 8620.880"," 9856.336"," 7896.255","11376.587","12100.973"," 9103.893","11621.826","11340.837","10025.193"," 8164.566"," 8347.291","11351.034"," 8813.901"," 9468.393"," 9910.144"," 8453.261"," 9186.544"," 9327.494","12632.829","10657.886","10040.034"," 8516.462"," 8989.980","10429.747"," 9760.551","15668.268","15668.268"," 9205.810","12234.594","11305.567","11654.860","10252.547","11038.822"," 9734.126"," 8123.184"," 9165.221"," 9683.037"," 9038.915"," 9733.701","11395.552"
"M1097.789T13.111","27621.27","27621.27","27621.27","27621.27","28677.47","33676.73","29792.42","31200.04","30555.15","24429.35","29136.62","31012.43","30049.88","32085.29","30209.85","31069.37","28521.12","31660.28","31457.67","31811.40","30582.14","30885.82","30171.33","28367.67","29584.34","26893.63","32223.28","30211.86","32019.99","25001.89","27534.67","32726.93","31944.70","29624.15","32291.07","25898.32","30012.33","30634.95","30049.16","33585.42","33585.42","29582.48","30305.91","30044.86","30122.65","30010.30","29047.00","31001.59","25575.32","36521.19","31683.90","31223.37","27282.89","32114.74"
"M1097.792T13.11","27621.27","27621.27","27621.27","27621.27","28677.47","33646.46","29905.37","31214.02","30801.02","25265.18","31040.27","31022.79","29779.47","32086.60","30209.85","31069.74","26947.96","31372.22","31461.57","29808.59","30833.11","29376.38","29831.10","28960.53","29609.89","28727.16","32531.22","29981.19","31033.86","25001.89","27524.76","32709.05","31976.75","29612.92","32467.73","25898.32","28403.78","30643.66","30074.00","34416.28","34416.28","29691.12","30305.63","29898.46","30149.12","27938.04","29149.68","28849.32","25714.72","36181.23","31807.64","31107.04","28219.35","32090.66"
"M1098.786T12.1","10656.155","10656.155","10656.155","10656.155","10995.641","11540.768","12255.870","12429.747","11796.611","11833.941","12948.671","14831.412","11495.803","10380.146","10101.338","14403.080","10411.926","11379.359","14300.220","13573.688","16048.424","14499.683","10610.782","12196.723","12859.883","13780.054","10354.428","11562.868","15254.594","12052.654","12061.477","10671.456","16828.404","12186.263","13025.122","10868.468","12375.764","14650.908","32216.360","18583.315","18583.315","11765.435","11658.872","10848.849","11634.258"," 9688.597","14291.906","15416.110","16075.277","10205.539","12559.567","14407.092","11882.935","11058.991"
"M1100.789T13.111","24946.17","24946.17","24946.17","24946.17","24692.34","23274.74","26734.23","27127.59","23493.48","23128.40","12150.34","25267.61","26353.78","25308.09","26776.59","28580.65","25301.72","26658.95","24683.77","26980.51","20546.70","24147.60","27778.59","26963.24","25510.03","21791.81","24116.21","23744.85","24706.82","21274.79","23564.30","24599.95","24823.17","26309.43","12655.34","27270.73","26005.16","26149.28","25763.03","25880.84","25880.84","27647.55","29902.74","17262.77","26799.76","16138.27","26251.40","25930.75","21604.06","19223.31","27230.61","26233.92","27399.80","26209.66"
"M1101.782T16.121","17417.85","17417.85","17417.85","17417.85","36968.44","19405.57","23172.02","22861.89","21486.01","15770.40","22088.41","22573.26","35385.84","22066.08","24662.12","23306.79","33112.07","22991.42","23668.79","16443.98","19641.89","17680.03","24052.53","21098.60","21666.68","15666.82","20576.72","37025.68","19866.57","15172.07","17141.04","22101.30","16529.44","36511.91","24662.58","21869.77","21731.00","20249.92","34220.95","20206.99","20206.99","17195.43","22680.08","21292.23","21558.05","20360.27","21757.67","22443.33","31192.40","25130.34","22915.78","22111.61","22342.83","24605.60"
"M1102.787T15.091","54540.26","54540.26","54540.26","54540.26","61723.24","54916.25","29197.33","27622.13","40401.10","29269.73","56337.69","38324.98","56623.24","27888.79","59721.94","33564.39","53331.40","38703.76","30918.03","61434.52","38967.18","60887.07","29975.77","58770.83","31285.13","32797.05","38716.97","30709.96","56843.74","48060.11","32247.63","63624.55","30525.30","57898.32","38558.94","35409.79","63595.99","33136.52","61511.98","62508.54","62508.54","60872.13","39281.91","36990.64","31785.07","39872.92","62014.52","64482.45","51792.06","77940.89","59743.03","56859.28","61263.24","37536.27"
"M1103.284T17.121"," 8989.730"," 8989.730"," 8989.730"," 8989.730","11205.452","10229.546","11700.359","12298.923","11490.855"," 7542.351","11031.746","11559.207","10737.285","11699.610","14812.081","12183.490","11077.713","12083.155","13427.024","10546.150","11191.029","10441.437","11920.212","12818.464","10630.162"," 8641.007","10423.302","14013.269","10549.562"," 5868.299"," 8384.984","13363.539","11928.755","12231.999","11916.334","11081.452","11176.697","11154.623","11871.767"," 9821.750"," 9821.750","11533.115","13720.766","12304.999","11417.651","10390.368","10861.272","12724.920"," 8197.149","15069.106","12602.218","10653.241","13310.309","11999.871"
"M1103.78T17.122","11494.599","11494.599","11494.599","11494.599","13717.133","12573.750","15124.732","15020.438","15132.547"," 8467.911","11130.244","13816.913","13722.694","14187.917","14863.490","13305.149","13151.073","13114.159","14790.906","11166.178","16211.170"," 9845.162","15395.228","14561.829","13042.486"," 9489.507","13650.216","12987.358","12321.769"," 8968.075","11402.325","15017.421","13667.620","14401.393","14213.286","10444.243","13568.584","13862.083","14263.039","14806.290","14806.290","14932.965","14779.758","14451.224","13848.832","12830.502","10657.228","14706.129","11176.957","15723.489","13827.309","12916.583","14086.132","14246.087"
"M1105.455T13.111","42547.18","42547.18","42547.18","42547.18","46316.10","48764.25","48355.40","51400.25","58719.02","47539.18","41029.64","48202.98","45140.09","52416.30","40460.89","51413.98","32780.45","44031.07","55603.64","49271.50","54603.45","41371.06","46768.66","55059.05","58213.04","42649.92","41103.02","53126.10","48863.64","47907.34","48704.77","42682.08","53348.40","44643.82","55243.82","47586.39","56335.16","56139.92","48727.53","42310.35","42310.35","54929.54","57721.43","55715.11","46892.84","39859.43","51637.04","51802.97","32485.30","41580.59","39994.34","50600.72","59921.27","54875.57"
