"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","con_12","con_12","con_12","dro_12","dro_12","dro_12","dro_12","foc_12","foc_12","foc_12","foc_12","xvm_12","xvm_12","xvm_12"
"M496.906T15.036"," 0.613363651","-0.239739849"," 0.009306048","-0.070361683","-0.213435255","-0.266762288","-0.239921850","-0.088807834","-0.217584654"," 0.538580700"," 0.447671628","-0.076265767","-0.042811498","-0.153231350"
"M516.891T17.488"," 0.653739271","-0.191982501"," 0.171114590"," 0.053227803","-0.852912459"," 0.064606729"," 0.195132832"," 0.190438455","-0.071890632","-0.405939598","-0.005413699"," 0.097790200"," 0.020244250"," 0.081844760"
"M516.892T11.105","-0.17380018","-0.21525186","-0.14607880","-0.09329561"," 0.82529532","-0.13174994"," 0.02842467","-0.51760917"," 0.16921204"," 0.18240188"," 0.13136874"," 0.09484706"," 0.10995621","-0.26372036"
"M534.88T16.971"," 0.54464703","-0.18650443","-0.03703530","-0.07385777","-0.11474205"," 0.01839779","-0.01392170","-0.12022808","-0.23344448"," 0.43717628","-0.32535442"," 0.52970646","-0.15215870","-0.27268063"
"M536.899T13.11","-0.11273643","-0.05254955","-0.13008847"," 0.05484956","-0.10430746"," 0.02704314","-0.36281631"," 0.72333051"," 0.01564679"," 0.20822135"," 0.33434132","-0.17299311","-0.34065416","-0.08728718"
"M544.888T18.116"," 0.099314338","-0.260592122"," 0.234880024"," 0.055940041","-0.083186562"," 0.221611628"," 0.281118955"," 0.021325309","-0.152756308","-0.619636432","-0.315187717"," 0.007186328"," 0.299615255"," 0.210367262"
"M573.464T1458.338","-1.31573887","-0.12345990"," 0.15399583"," 0.29362099"," 0.35467666"," 0.22628055"," 0.08657807"," 0.42855329"," 0.36704131","-1.56520542"," 0.27291613"," 0.46109841"," 0.12036943"," 0.23927350"
"M575.48T1424.867","-1.70073846"," 0.05726179"," 0.49147395"," 0.33227225"," 0.60234811"," 0.36974883"," 0.15939627"," 0.28069055"," 0.36389330","-2.11160331"," 0.26447847"," 0.38316717"," 0.22729930"," 0.28031179"
"M591.475T1442.976","-1.06778559","-0.20955529"," 0.11875068"," 0.26193516"," 0.31766604"," 0.14585855"," 0.13201313"," 0.35633664"," 0.40397200","-1.56907190"," 0.41808232"," 0.51548635","-0.03741926"," 0.21373117"
"M602.869T15.948"," 0.5225261995","-0.5451105203"," 0.0432380783","-0.5520278172"," 0.0476669582","-0.1892545486","-0.2119906267","-0.0118121521","-0.0626313178"," 0.4571845125"," 0.4894223179"," 0.0005343144"," 0.0635516324","-0.0512970305"
"M612.874T18.123"," 0.13666048","-0.06116581"," 0.11071661"," 0.02313517","-0.06629156"," 0.18720435"," 0.10218198"," 0.10437086","-0.28157354","-0.52500037","-0.25159146"," 0.25463538"," 0.36726939","-0.10055147"
"M612.876T11.11","-0.18950913","-0.33298898"," 0.04382814"," 0.24231495"," 0.14714979"," 0.21749066"," 0.26313703","-0.21719166","-0.24430785"," 0.14224419","-0.16524292"," 0.14231499"," 0.29524746","-0.34448667"
"M626.856T18.124"," 0.24703876","-0.10435977"," 0.26113995"," 0.03724140","-0.19756122"," 0.09623451"," 0.08222448"," 0.23918625"," 0.07356491","-0.29004811","-0.36468217","-0.01938143"," 0.11070508","-0.17130263"
"M626.858T11.105","-0.04412334"," 0.17970518","-0.35465058","-0.04363882","-0.37487331"," 0.06479648","-0.09735227"," 0.10088797"," 0.08993318"," 0.22475711"," 0.30729142"," 0.50429998","-0.15881522","-0.39821775"
"M631.468T1459.998","-1.372646225","-0.058192367"," 0.220694201"," 0.198478936"," 0.370324234"," 0.072183253"," 0.005519492"," 0.375172867"," 0.300753742","-1.357302243"," 0.425660570"," 0.456593424"," 0.100108215"," 0.262651901"
