"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","con_12","con_12","con_12","dro_12","dro_12","dro_12","dro_12","foc_12","foc_12","foc_12","foc_12","xvm_12","xvm_12","xvm_12"
"M800.829T18.124"," 0.15447189","-0.23998298"," 0.23748393"," 0.11718874"," 0.06083613"," 0.16400266"," 0.12535920"," 0.09306778","-0.11698103","-0.46212769","-0.31281478"," 0.08250388"," 0.12114549","-0.02415323"
"M801.833T16.971"," 0.04895473"," 0.32135189","-0.57943795","-0.76349592"," 0.05741372"," 0.12568357"," 0.09075082","-0.27796956"," 0.30703962","-0.25049709","-0.13839433"," 0.17691795"," 0.51264364"," 0.36903891"
"M802.829T18.125","-0.104720426","-0.247429705"," 0.069154519"," 0.177805104","-0.210298457"," 0.300090220"," 0.123762697"," 0.099491828"," 0.002852237","-0.236641104","-0.556729235"," 0.052943672"," 0.562362042","-0.032643393"
"M802.846T12.108"," 0.026192664","-0.010438983","-0.211197253"," 0.174521047","-0.148970848","-0.243167816"," 0.192145181","-0.125561218","-0.269488977"," 0.509119990"," 0.295979963","-0.003862013","-0.107621046","-0.077650689"
"M807.333T17.122"," 0.01469120"," 0.23889991"," 0.02104767"," 0.02451075"," 0.05811590","-0.29366769","-0.08865730","-0.16105278","-0.17788378","-0.31560530"," 0.63216074","-0.06672369"," 0.05519354"," 0.05897083"
"M807.829T17.13"," 0.05468246"," 0.11180948","-0.05554343"," 0.11276792"," 0.45157518","-0.26940814"," 0.19525092","-0.09563276"," 0.05991669","-0.57179771","-0.16469388"," 0.04313097"," 0.05322476"," 0.07471755"
"M809.85T12.106","-0.13406610"," 0.05636669"," 0.22437238","-0.08374005","-0.23493064"," 0.36528461"," 0.16177930","-0.42608799","-0.04748187"," 0.34245825"," 0.16201151","-0.35413171","-0.01105190","-0.02078248"
"M810.844T12.109","-0.74096679"," 0.29121035"," 0.02116068"," 0.18568724"," 0.06835510"," 0.16618672"," 0.05529941","-0.20522937"," 0.23004833"," 0.16895502"," 0.11657338"," 0.22816871","-0.26785680","-0.31759198"
"M813.834T17.116","-0.115920301","-0.148807480"," 0.106252939"," 0.172076051","-0.098336280"," 0.174646665"," 0.325400035","-0.008965829","-0.089059674","-0.484939375"," 0.145514962"," 0.186940077"," 0.060847382","-0.225649171"
"M816.508T13.111","-0.180943800"," 0.004688526"," 0.127374311","-0.113116955","-0.047941295"," 0.208793649"," 0.146605091"," 0.052871758","-0.083234468"," 0.048258104","-0.108591712","-0.051354634","-0.123374574"," 0.119966000"
"M817.177T13.11","-0.340957547"," 0.041725743","-0.099182817","-0.156003086","-0.161025997"," 0.032198887"," 0.080329664"," 0.008367363"," 0.316211970"," 0.155811555"," 0.168817030"," 0.106594991"," 0.022161216","-0.175048973"
"M817.179T13.109","-0.16542098"," 0.11299635","-0.08704813","-0.48335043","-0.01179693","-0.20199116","-0.04337427","-0.11697671"," 0.09064897"," 0.34018403"," 0.20828256"," 0.29108080"," 0.04960325"," 0.01716264"
"M817.26T833.71","-1.41833597","-0.09536920"," 0.32039687"," 0.43539292"," 0.25505510"," 0.17094442"," 0.33413681"," 0.02664308"," 0.17001430","-0.94101719","-0.18147442"," 0.26714582"," 0.43854582"," 0.21792163"
"M817.264T834.906","-1.37503794","-0.13339401"," 0.37174922"," 0.41228548"," 0.33182500"," 0.13832354"," 0.31954362"," 0.04755045"," 0.13944823","-0.93061579","-0.11499161"," 0.28721803"," 0.33914393"," 0.16695185"
"M817.498T15.117","-0.007316492","-0.073780739","-0.131182544"," 0.022650062","-0.025858301"," 0.147003508"," 0.144303848"," 0.243855968"," 0.136072373","-0.226831922","-0.141396931"," 0.121976678"," 0.145242210","-0.354737720"
"M824.345T903.272","-1.95877699","-0.53100206"," 0.28181151"," 0.76289124"," 0.35663712"," 0.18377263"," 0.63477840"," 0.21248279"," 0.79348341","-1.47430918"," 0.19312365"," 0.10082893"," 0.37308292"," 0.07119562"
"M825.507T13.11","-0.114800680","-0.011707203"," 0.145569815"," 0.006326661","-0.334072398"," 0.010846640"," 0.330469023","-0.343179385"," 0.086013462"," 0.023769628"," 0.086920267"," 0.193011705","-0.029794329","-0.049373206"
"M827.834T17.122"," 0.720854818","-0.142663903"," 0.104645737"," 0.085228234","-0.141460374"," 0.091771512"," 0.090054735"," 0.046681485","-0.116492086","-0.391202399","-0.429435399"," 0.086457381"," 0.006359512","-0.010799254"
"M829.834T17.046"," 0.13592769"," 0.09093456"," 0.29502456","-0.03945581","-0.34199174"," 0.30387637"," 0.09732684","-0.10632968","-0.04154765","-0.13636096","-0.35200656"," 0.11357075"," 0.05431497","-0.07328333"
"M830.837T11.111","-0.417298739","-0.478891354","-0.275992244"," 0.179344478"," 0.084307083"," 0.243327383"," 0.297104735"," 0.035195675"," 0.008556913"," 0.057306893"," 0.020861679"," 0.258703145","-0.234835600"," 0.222309953"
"M831.338T16.12","-0.14367932"," 0.19860353"," 0.06840319"," 0.09384435"," 0.16078355"," 0.18440085"," 0.05937964"," 0.09979568","-0.60155698","-0.38821807","-0.21038530"," 0.18670388"," 0.11886134"," 0.17306366"
"M832.829T11.107","-0.52661071"," 0.05707832"," 0.25632554"," 0.09495685","-0.39828967"," 0.29987264"," 0.35542166"," 0.09742383"," 0.19110987","-0.36934021","-0.11680531"," 0.11121890"," 0.07463333","-0.12699503"
"M832.832T12.107","-0.31398292","-0.13578865"," 0.15006375","-0.11081131","-0.17665688"," 0.57049850"," 0.35295371"," 0.07441338"," 0.07893867","-0.14567587"," 0.12520627","-0.00911591","-0.07055577","-0.38948697"
"M833.496T16.119","-0.01695154","-0.01465788"," 0.30140962"," 0.10382069","-0.16851103"," 0.01657476","-0.18857435","-0.02459724"," 0.08922030","-0.31657889","-0.41340448"," 0.28455354"," 0.24236881"," 0.10532768"
"M834.826T11.107"," 0.08615300","-0.09426890"," 0.21083548","-0.27713800","-0.48664094"," 0.17450978"," 0.36767275","-0.06880439"," 0.33840667","-0.05034886"," 0.23162848","-0.18056386","-0.06031911","-0.19112213"
"M835.826T17.121"," 0.41934755","-0.96583702"," 0.20244805","-0.44673937"," 0.29948693","-0.18214964","-0.17812844"," 0.06119875"," 0.19753628"," 0.19491838","-0.01911427"," 0.24001406"," 0.02143173"," 0.15558701"
"M839.337T903.707","-1.7929720","-0.1593290"," 0.2798424"," 0.5345059"," 0.3149247"," 0.1405891"," 0.4935520"," 0.3062199"," 0.5746573","-1.8510489"," 0.4018630"," 0.1988979"," 0.2766915"," 0.2816063"
"M840.342T13.111","-0.20284916","-0.04859204"," 0.02274523"," 0.01638254","-0.21799538"," 0.25765123"," 0.12997714","-0.12743321"," 0.05223975"," 0.09260903"," 0.16604199"," 0.18961438","-0.17085559","-0.15953592"
"M840.501T14.112","-0.34674176"," 0.11302146","-0.10683346","-0.16849367"," 0.01324381"," 0.31682908","-0.38438830"," 0.15531042","-0.03286289"," 0.11900139"," 0.12707562"," 0.19627578"," 0.09003357","-0.09147103"
"M843.824T18.125"," 0.04883667"," 0.02049753"," 0.24938479"," 0.11683102","-0.01587525","-0.26295289"," 0.15319370"," 0.15371514","-0.38038178","-0.15707382","-0.39133538"," 0.05838403"," 0.32053078"," 0.08624546"
"M848.827T17.121"," 0.026176487","-0.125704397"," 0.231791776"," 0.175570376"," 0.064629629"," 0.268101576"," 0.182061605","-0.125354469","-0.021385362","-0.446459650","-0.326287645","-0.008694839"," 0.196128465","-0.090573554"
"M848.829T12.14"," 1.08922187","-0.19382260","-0.07545431"," 0.15947344"," 0.05556301"," 0.20079376","-0.03686554","-0.19310587","-0.13043949"," 0.08473205","-0.04935989","-0.15107096","-0.40832435","-0.35134113"
"M850.818T18.123"," 0.16411522","-0.02722921"," 0.14508904"," 0.03917284"," 0.09308113"," 0.27535683"," 0.14560477","-0.13615148"," 0.15686968","-0.53339696","-0.43342276"," 0.13385071"," 0.07948567","-0.10242547"
"M853.825T17.626"," 6.655813e-01","-2.245428e-01"," 7.829640e-02"," 4.677921e-02","-9.955559e-02"," 2.054961e-01"," 9.431739e-02","-5.666596e-05","-5.305213e-02","-4.546294e-01","-2.726230e-01"," 9.784218e-02"," 9.111057e-02","-1.749636e-01"
"M853.828T11.107","-0.20168338","-0.14690890"," 0.08678838","-0.04661525","-0.30236519"," 0.86359884","-0.17219932","-0.12408170"," 0.10365541"," 0.06799296"," 0.14045704"," 0.07026239","-0.10224653","-0.23665474"
"M854.81T18.145"," 0.24660729","-0.08768695"," 0.43192883","-0.01899668"," 0.04450538","-0.12045437"," 0.10261334"," 0.24913285","-0.07791656","-0.41528540","-0.43767181"," 0.06960502"," 0.06059352","-0.04697446"
"M855.494T14.083","-0.346238137"," 0.127779534"," 0.176033191"," 0.062187636","-0.131394803","-0.009273596","-0.119604420"," 0.316920710"," 0.038337588","-0.168136053","-0.123603862"," 0.187946334"," 0.088846188","-0.099800310"
"M856.823T18.124"," 0.677013014","-0.068731572"," 0.096449397"," 0.018670939","-0.186322523"," 0.067604254"," 0.066175928"," 0.127682491","-0.138385220","-0.382882183","-0.261921463","-0.027479443"," 0.006950485"," 0.005175896"
"M865.333T16.616"," 0.066592770","-0.198882577"," 0.190376600"," 0.117309926"," 0.030961195"," 0.099567128"," 0.272371119"," 0.251270278","-0.004962543","-0.564579740","-0.284628130","-0.074597073"," 0.006688437"," 0.092512611"
"M867.825T13.11"," 0.723399820","-0.245179231","-0.291850491"," 0.073635986","-0.099852587"," 0.062187560","-0.033604798","-0.173660971","-0.248043443"," 0.098096312"," 0.334833107","-0.276855935"," 0.003621901"," 0.073272770"
"M868.816T18.125"," 0.636684436"," 0.007429492"," 0.070621591"," 0.126660852"," 0.133605820"," 0.037000570"," 0.180680081"," 0.071461862","-0.098218000","-0.167920920","-0.236205130"," 0.102912033","-0.877005137"," 0.012292452"
"M868.822T11.111","-0.25034564"," 0.14733652"," 0.20158175"," 0.08733619","-0.01380675","-0.07761967"," 0.13435939","-0.28634141"," 0.04020315"," 0.37235401"," 0.28876906","-0.23187521","-0.19043882","-0.22151257"
"M869.819T17.127"," 0.50625113","-0.11117955","-0.09324325"," 0.01666900"," 0.04113902"," 0.07713697"," 0.01439044"," 0.06254084","-0.15458181","-0.55011737","-0.31867435"," 0.57410279","-0.01862662","-0.04580725"
"M869.821T17.042"," 0.013640546"," 0.014997904"," 0.195738303","-0.693276897"," 0.193200861","-0.426799841"," 0.148678691"," 0.185645046","-0.005334682","-0.363113346"," 0.011007869"," 0.102338884"," 0.043746027"," 0.579530635"
"M869.824T12.108","-0.317074262","-0.056176813","-0.407682465"," 0.721057447","-0.003959366"," 0.237415261","-0.034054772","-0.272391904"," 0.281115697","-0.038689137"," 0.210509913","-0.227774207"," 0.023980610","-0.116276001"
"M870.834T13.111","-0.229490364","-0.002715001"," 0.093056502"," 0.078319761","-0.341078518"," 0.206712448"," 0.168700344"," 0.051548351"," 0.150341016","-0.031053116","-0.104316861"," 0.010560934"," 0.167506134","-0.218091629"
"M871.491T17.124","-0.00759031","-0.13694078","-0.06269873"," 0.05961716","-0.08689208"," 0.11111098"," 0.35570334"," 0.06487028"," 0.02107143","-0.56961595","-0.53516938"," 0.79136559","-0.15462405"," 0.14979252"
"M871.83T16.541"," 0.002661497","-0.154944390","-0.005145024"," 0.021132689"," 0.006425251","-0.017254386","-0.331458016","-0.095691281","-0.099522761"," 0.789115455","-0.368423653","-0.026182959"," 0.075828244"," 0.203459333"
"M875.812T18.123","-0.25074227"," 0.01244513"," 0.21356444"," 0.20423236","-0.22339288"," 0.31014991"," 0.34428558"," 0.15522912"," 0.02005745","-0.69898881","-0.13702924"," 0.16725593"," 0.36056050","-0.47762724"
"M875.822T12.11","-0.28628350","-0.23886610"," 0.04180537","-0.19605003","-0.21715717","-0.09591785","-0.11614884","-0.09545443"," 0.13823557"," 0.10655564"," 0.68858513","-0.25752462"," 0.87315381","-0.34493300"
"M876.835T12.141"," 0.691157786","-0.189610658","-0.097193581"," 0.269512335","-0.407461955","-0.222680550","-0.107185148","-0.548862687","-0.008676383"," 0.743856122"," 0.085899960"," 0.190515261","-0.170197943","-0.229072560"
"M878.161T13.584"," 0.009643486","-0.135433580"," 0.137811742"," 0.327501608","-0.003248076","-0.445566352"," 0.244965221","-0.647927267"," 0.074886910"," 0.029114163"," 0.138711473"," 0.089925141"," 0.132422348"," 0.047193184"
"M881.821T17.122","-0.02326121","-0.09022339"," 0.12549266"," 0.25555485","-0.16500255"," 0.23244393","-0.06189169","-0.24525152"," 0.01905281","-0.38096365","-0.17656135","-0.05183874"," 0.16593178"," 0.39651806"
"M882.812T18.125"," 0.600532396"," 0.093471533"," 0.005620039"," 0.077999799","-0.103624727"," 0.177925592","-0.033428619","-0.038915086","-0.300903931","-0.449597421","-0.290297653"," 0.132903007"," 0.102892670"," 0.025422402"
"M882.822T11.104","-0.4161549741","-0.1119594001","-0.0006779281"," 0.0784436724","-0.3268823319"," 0.4445210459"," 0.3718489838"," 0.1024246718"," 0.1805621759"," 0.2178907843"," 0.0656620540"," 0.0128986955","-0.2543209835","-0.3642564660"
"M883.492T15.092","-0.25775519","-0.21201770","-0.17988094"," 0.15596089","-0.03715286"," 0.22220992"," 0.14270340","-0.07050294"," 0.17504101"," 0.06996799"," 0.07453295","-0.10708339","-0.11321886"," 0.13719571"
"M888.815T18.125"," 0.670045176","-0.059528062"," 0.112139877","-0.074259221"," 0.095054025"," 0.061527228"," 0.053026489","-0.006228969","-0.200662849","-0.493359280","-0.205048306","-0.024994405"," 0.167645932","-0.095357635"
"M888.824T11.105","-0.31726698"," 0.13336858"," 0.06809867","-0.19337397","-0.31094855"," 0.24974107"," 0.20393085","-0.03359909","-0.16001623","-0.08922052"," 0.24102876","-0.08039766"," 0.23193851"," 0.05671656"
"M890.804T18.126"," 0.017058970","-0.126322683"," 0.251242403","-0.052630836","-0.005370953"," 0.152845514"," 0.076664521"," 0.130438628","-0.201742255","-0.612174091","-0.342068437"," 0.330859638"," 0.097901456"," 0.283298123"
"M891.82T17.128"," 0.101027500"," 0.119432909","-0.017233646"," 0.139869045","-0.069293865"," 0.166668805"," 0.407816812"," 0.006061016","-0.004311975","-0.810709808","-0.316091830"," 0.265780241"," 0.145865810","-0.134881014"
"M893.828T13.11","-0.12581376","-0.19076547"," 0.18456231"," 0.04001468","-0.02613524","-0.32380322"," 0.22484487"," 0.07381902"," 0.12633433"," 0.16710031","-0.67959871"," 0.18027855"," 0.27893360"," 0.07022874"
"M894.156T16.118"," 0.21348192"," 0.26203555"," 0.24107816","-0.39833885"," 0.12576883","-0.20573372"," 0.30280109"," 0.19799130","-0.67020224"," 0.05466175"," 0.15821393"," 0.19778498","-0.43555100","-0.04399171"
"M894.158T15.507","-0.02781720"," 0.20326157"," 0.01913849","-0.48188788"," 0.29259735","-0.19072762"," 0.52220118","-0.30897400"," 0.01539381","-0.07867092","-0.08992129"," 0.05083715"," 0.30511868","-0.23054930"
"M894.49T15.115","-0.05820808"," 0.13858680"," 0.20651808"," 0.23406898","-0.33248586","-0.82384580"," 0.31865002"," 0.15126495"," 0.15464896"," 0.05489687"," 0.09969373","-0.64767747"," 0.28722981"," 0.21665900"
"M896.813T18.124"," 0.11264187","-0.20820306"," 0.27530553","-0.16479225"," 0.34943736","-0.09414324","-0.02460714"," 0.05071347"," 0.02350101","-0.49807909","-0.14933761"," 0.01024329"," 0.21947547"," 0.09784439"
"M896.819T12.104","-0.250606307","-0.002188386"," 0.280825699","-0.121648627","-0.182327690"," 0.064879518"," 0.092890492","-0.291287934"," 0.035501690"," 0.138072773"," 0.426085350","-0.233736398"," 0.130778680","-0.087238859"
"M897.824T12.109","-0.23859860","-0.19718297"," 0.27978604","-0.16532119","-0.25458365","-0.08851857","-0.18528123","-0.23766161","-0.08636661"," 0.06617680"," 0.14390027"," 0.28747684","-0.20176032"," 0.87793478"
"M898.826T12.106","-0.472723106"," 0.175170491"," 0.337195687","-0.195691343"," 0.038938820"," 0.088320153"," 0.286666020"," 0.109340097","-0.120830029"," 0.123193374","-0.105182599","-0.004852418"," 0.090781105","-0.350326252"
"M900.811T18.122","-0.19161841","-0.17419449"," 0.05718932"," 0.31026337"," 0.04071060"," 0.27788589"," 0.09481173"," 0.40831136","-0.08345329","-0.48693312","-0.51386367","-0.01779534"," 0.19657378"," 0.08211228"
"M900.818T12.109"," 0.99280249","-0.05483653"," 0.12520469","-0.13445313","-0.37148434"," 0.02984402","-0.15983599","-0.02086724","-0.07569860"," 0.02284740"," 0.14810446","-0.15788311","-0.08105642","-0.26268771"
"M900.82T12.108","-0.1664938822"," 0.0868569139"," 0.5730937264","-0.0006065605","-0.6099608155"," 0.1797424711","-0.0283174650","-0.3623292835"," 0.0639736124"," 0.1720672956"," 0.3094599411","-0.0324657549"," 0.0591345683","-0.2441547671"
"M901.822T13.115"," 0.56228033","-0.45105049","-0.11446182","-0.33300996","-0.31375458","-0.05450310","-0.03514005","-0.04333905","-0.28393430"," 0.16720422"," 0.23863805"," 0.12848732","-0.03815943"," 0.57074285"
"M902.806T18.126","-0.056646407","-0.209300640","-0.055994328"," 0.265296595"," 0.055170130"," 0.190173662","-0.112140101"," 0.135791647"," 0.045260953","-0.569049188"," 0.017982830"," 0.374261609","-0.089493082"," 0.008686321"
"M903.813T17.124"," 0.003534187"," 0.416087796"," 0.115780365"," 0.070423811","-0.047763640","-0.151659453","-0.225769456","-0.100206479"," 0.116733288","-0.514344579","-0.325174229"," 0.659898087","-0.046370864"," 0.028831166"
"M906.159T13.169","-0.42491276","-0.29911096"," 0.09117968","-0.14431938"," 0.22322305"," 0.23984276"," 0.06837747"," 0.04524607"," 0.13033992"," 0.18046629"," 0.01602494"," 0.05784227","-0.35373566"," 0.16953631"
"M908.151T15.062"," 0.03236064"," 0.15617018"," 0.20283216"," 0.11566466"," 0.08899858"," 0.25787307"," 0.17126924"," 0.10483619"," 0.14023368","-0.15570948"," 0.08907758"," 0.10296883","-0.52740120","-0.77917412"
"M908.329T13.112","-0.07759612","-0.05692806"," 0.13750940"," 0.06335292","-0.08507210"," 0.06358301","-0.06406077","-0.09938389","-0.13050345"," 0.11423235","-0.29568218"," 0.15033529"," 0.15988787"," 0.12032573"
"M910.803T18.125","-0.09715458"," 0.04821500"," 0.13292891"," 0.08886422"," 0.20088013"," 0.28089683"," 0.01706154"," 0.10712273"," 0.05203553","-0.50283222","-0.38883497"," 0.03206634","-0.04772630"," 0.07647684"
"M910.804T17.517"," 0.33760464","-0.30558776","-0.17577691"," 0.10790175"," 0.09686739"," 0.25388358"," 0.21996721"," 0.12367304"," 0.17007212","-0.21679281","-0.64652646"," 0.10112607","-0.01661994","-0.04979191"
"M912.805T18.125"," 0.02517747","-0.18736042"," 0.29852473","-0.03970322","-0.01685953","-0.01044067"," 0.24939809"," 0.37236233"," 0.15080994","-0.84609290","-0.35194721"," 0.26838882"," 0.21351333","-0.12577077"
"M916.815T17.122"," 0.02762962","-0.25513575"," 0.12328948"," 0.08426549","-0.02113016"," 0.15783442"," 0.29188307"," 0.06320948","-0.07993177","-0.39730990","-0.35119800"," 0.18202546"," 0.33681342","-0.16224486"
"M916.819T12.108"," 0.001530516","-0.104189940"," 0.148089005","-0.273912505","-0.333880817"," 0.176432836"," 0.429118002"," 0.131059354","-0.125431906"," 0.284113755"," 0.160966126"," 0.136876464","-0.232601378","-0.398169512"
"M920.829T13.111","-0.10687008"," 0.01178912","-0.09833946"," 0.04171779","-0.29174028"," 0.08829255"," 0.21966568"," 0.03814167"," 0.13827985","-0.05137740","-0.05602260"," 0.02867334"," 0.09981693","-0.06202711"
"M921.811T18.125"," 0.006628866","-0.151814998"," 0.213203375","-0.065722319"," 0.099280469"," 0.069123286"," 0.003669239"," 0.192613409"," 0.146418025","-0.572880838","-0.292485697"," 0.184028095"," 0.139338299"," 0.028600790"
"M921.817T11.166","-0.34001293","-0.18583641"," 0.34469277"," 0.34997915","-0.36504760","-0.11155634","-0.08279256"," 0.36139495"," 0.06716012"," 0.06708310"," 0.14856923"," 0.16638640"," 0.04430302","-0.46432290"
"M921.819T12.109","-0.21905554","-0.02404090"," 0.16269055"," 0.16442089","-0.16768125"," 0.11073862"," 0.07815519","-0.21906229"," 0.29469329"," 0.24627876"," 0.34887309","-0.03174573","-0.16207021","-0.58219447"
"M923.818T13.11","-0.30246600"," 0.11297850","-0.01452307","-0.29115782","-0.12128654","-0.01908282","-0.07144020"," 0.51887596","-0.03044016"," 0.30673373"," 0.22715574","-0.50241453","-0.25508032"," 0.44214755"
"M924.81T18.125","-0.011333503","-0.026681524"," 0.146889231"," 0.110673615","-0.152729362"," 0.303037851","-0.162362349"," 0.233487677","-0.024421958","-0.507566389","-0.246088793"," 0.107673873"," 0.223100105"," 0.006321526"
"M924.816T11.109"," 1.13117182","-0.08480413","-0.23012450","-0.24777405","-0.34774865"," 0.18367113"," 0.07400793"," 0.06249918","-0.10471372","-0.02352604","-0.03639667","-0.12512159","-0.01303696","-0.23810374"
"M924.819T11.107","-0.266969955","-0.419176204"," 0.224480190"," 0.155668330","-0.343973199"," 0.402162310"," 0.248193593","-0.190630938","-0.002161368"," 0.111249376"," 0.093178442","-0.031395182","-0.230535821"," 0.249910426"
"M925.814T17.122","-0.007708773"," 0.023212446"," 0.208045855"," 0.059338664","-0.065255739"," 0.059217999"," 0.131301884"," 0.301442242","-0.278949604","-0.651325441","-0.295377160"," 0.194913841"," 0.418191750","-0.097047964"
"M925.817T16.12"," 0.05451705"," 0.13601220"," 0.04444694","-0.16441037","-0.01250474"," 0.13481491"," 0.24277283"," 0.15799441","-0.20869202","-0.45736816","-0.21414669"," 0.01636546"," 0.31321225","-0.04301407"
"M928.805T18.125","-0.04953802"," 0.12858545"," 0.34459166"," 0.17597755","-0.01021375"," 0.25220435"," 0.23293418"," 0.16855342","-0.08968613","-0.88293626","-0.35414118"," 0.10715432"," 0.13208250","-0.15556811"
"M930.811T17.116","-0.124881103","-0.171514975"," 0.063170799","-0.077115680","-0.176440420","-0.006081739","-0.009327368","-0.088713907"," 0.469529396","-0.519254463"," 0.416285638"," 0.549362590","-0.164955170","-0.160063597"
"M931.149T15.117","-0.15141522","-0.45796231"," 0.14548998"," 0.07509892","-0.70086836"," 0.21465526"," 0.19828157"," 0.18513765"," 0.10236008"," 0.11160404"," 0.03958459"," 0.16739063","-0.07069376"," 0.14133693"
"M931.815T16.119"," 0.63481737","-0.11838178","-0.18371256","-0.01934173"," 0.64521922","-0.12695681","-0.12859608"," 0.02410863","-0.43507329","-0.39300611","-0.14517225"," 0.04606227"," 0.18358690"," 0.01644623"
"M934.803T18.124"," 0.70851406","-0.08698251"," 0.17102476"," 0.03140872","-0.06967943"," 0.10295253"," 0.06951555"," 0.07310370","-0.13815384","-0.53813077","-0.41041683"," 0.15806855","-0.01608513","-0.05513937"
"M937.806T17.14","-0.04255195"," 0.14374576"," 0.04498089","-0.01521961","-0.04585121"," 0.10766891"," 0.18997816"," 0.14995202","-0.06047088","-0.39183803","-0.47661042"," 0.33427157"," 0.08976693","-0.02782216"
"M939.155T13.111","-0.216396023","-0.046197003"," 0.004024713"," 0.144215979"," 0.007610079"," 0.038852693"," 0.186245714","-0.191420577"," 0.220291748","-0.354275609"," 0.128700409","-0.029608078","-0.031946736"," 0.139902689"
"M939.816T16.127","-0.081806180"," 0.182021731"," 0.005018516"," 0.086811159"," 0.803621281"," 0.049510797"," 0.111014688","-0.041162110","-0.065826263","-0.627848900","-0.441841331"," 0.282786503","-0.119602436","-0.142697453"
"M943.307T17.119","-0.14203594","-0.53887942","-0.06648030","-0.03518227","-0.02699717"," 0.13286051","-0.17603293"," 0.06568242","-0.19609453","-0.32067454"," 0.56064610","-0.03624695"," 0.21243574"," 0.56699927"
"M944.821T12.17"," 0.782546219","-0.060866684","-0.174993165","-0.187954430","-0.273985253","-0.086463831","-0.140025892","-0.130273989","-0.031306102"," 0.828350453","-0.044438773","-0.331926455","-0.008973038","-0.139689062"
"M944.823T12.108","-0.32093437","-0.18191743","-0.25475445"," 0.08475495"," 0.08069333"," 0.22231916"," 0.14966114","-0.18045253","-0.08566371"," 0.13140399","-0.06991111"," 0.25226996"," 0.56234161","-0.38981053"
"M948.799T18.126","-0.085509159","-0.419223210"," 0.343865838"," 0.307225831","-0.216719318"," 0.363714157"," 0.177076675"," 0.175818276"," 0.009245347","-0.440182480","-0.609350847"," 0.051375557"," 0.492115770","-0.149452439"
"M950.801T18.122"," 0.621691815"," 0.018532391"," 0.126486361"," 0.112319232","-0.052204157"," 0.124901602"," 0.122116441","-0.769011351"," 0.027004259","-0.295210485","-0.195360106"," 0.003064629"," 0.054929511"," 0.100739857"
"M950.805T17.123"," 0.0568574237","-0.0928906203"," 0.1372169969"," 0.1273438704","-0.0176765260"," 0.1458852283"," 0.1411828437"," 0.1301859906","-0.0004123612","-0.4890988003","-0.3612113972","-0.0382668920"," 0.0773282156"," 0.1835560278"
"M950.808T12.104","-0.36351237"," 0.28064760"," 0.30969117"," 0.34819758","-0.41552304","-0.19208699"," 0.28824201","-0.10139673","-0.02788244"," 0.14748189"," 0.14213517","-0.09647207"," 0.02577422","-0.34529600"
"M952.818T13.111","-0.229466372"," 0.039701941"," 0.270490219","-0.009217338","-0.263820309"," 0.094333856"," 0.117887758"," 0.084276761"," 0.061586078","-0.105796578","-0.088002931"," 0.055296175"," 0.162165802","-0.189435063"
"M954.145T15.118","-0.406148396"," 0.029217928"," 0.008622187","-0.041325545","-0.308889222"," 0.289216484"," 0.134485828","-0.247100087"," 0.295000152"," 0.191184096","-0.048493708","-0.116746414"," 0.181029264"," 0.039947433"
"M954.821T13.111"," 0.06528813"," 0.09455434"," 0.08358661"," 0.16359013"," 0.09050753","-0.50961492"," 0.17319815"," 0.14660399"," 0.15169834"," 0.04205947"," 0.06120914"," 0.14653435"," 0.11889441","-0.82810966"
"M956.305T17.121","-0.022883216"," 0.157916331"," 0.377246666","-0.007301869","-0.197371803"," 0.253564357","-0.479819744","-0.009389342"," 0.007304380","-0.217373108","-0.295368282"," 0.144026845"," 0.177916993"," 0.111531791"
"M956.802T18.02"," 0.08034507","-0.01392361","-0.41826019"," 0.06698829"," 0.12411505"," 0.27754442"," 0.26157350","-0.69176073"," 0.09190533","-0.17198114","-0.13660800"," 0.27461819"," 0.29091354","-0.03546972"
"M958.145T13.111","-0.081964712"," 0.026359991"," 0.140874073"," 0.004725634","-0.166915427"," 0.168379358","-0.034993049","-0.248769470"," 0.169313677"," 0.155032115","-0.049054714"," 0.133010566"," 0.042143311","-0.258141350"
"M958.793T18.125"," 0.05544779","-0.10491585"," 0.19255131"," 0.09057685"," 0.25073444"," 0.01087372","-0.03849944"," 0.23875404","-0.21206233","-0.45830197","-0.27976523"," 0.24072368","-0.02674239"," 0.04062538"
"M958.798T14.205","-0.25122635","-0.03905953"," 0.16660764","-0.11952862","-0.56606802"," 0.11729609","-0.02477826","-0.04938381"," 0.26149789"," 0.21919648"," 0.26040069"," 0.07115383"," 0.15078244","-0.19689044"
"M961.818T13.113","-0.353569099","-0.014801896"," 0.012391490","-0.113659124","-0.001489541","-0.107955263"," 0.389520489","-0.109481603"," 0.071880181","-0.085291843"," 0.127921282","-0.009394829"," 0.071154512"," 0.122775243"
"M966.814T12.106","-0.39154815"," 0.12864656","-0.09562194"," 0.17591917"," 0.01393213"," 0.24134166"," 0.32857135","-0.40503145","-0.10855448"," 0.16688797"," 0.10513698"," 0.38033940","-0.11310061","-0.42691858"
"M966.816T12.107","-0.33440516","-0.19805349","-0.04057739","-0.12154250","-0.48087971"," 0.29399599"," 0.38060580","-0.34779284","-0.05341822"," 0.22007105"," 0.15875794"," 0.08360683"," 0.30060601"," 0.13902570"
