"",F.stat,p.value,-log10(p),FDR
M753.276T940.951,6.3025,0.00059653,3.2244,0.21824
M1095.412T857.905,5.7737,0.0010728,2.9695,0.21824
M438.146T926.75,5.7212,0.0011383,2.9437,0.21824
M1070.417T942.609,5.6312,0.0012603,2.8995,0.21824
M972.391T940.951,5.5558,0.0013731,2.8623,0.21824
M673.286T985.123,5.4646,0.001524,2.817,0.21824
M791.348T1042.058,5.3624,0.0017137,2.7661,0.21824
M833.319T926.75,5.1434,0.0022085,2.6559,0.21824
M801.479T1239.153,5.1425,0.0022108,2.6555,0.21824
M875.33T866.333,5.1195,0.002271,2.6438,0.21824
M988.382T919.58,5.0958,0.0023346,2.6318,0.21824
M613.48T1389.147,5.0532,0.002454,2.6101,0.21824
M894.333T843.183,4.9938,0.0026309,2.5799,0.21824
M698.269T891.807,4.971,0.0027024,2.5683,0.21824
M735.268T909.479,4.9034,0.0029267,2.5336,0.21824
M507.18T901.88,4.8886,0.0029781,2.5261,0.21824
M895.336T836.496,4.7825,0.003377,2.4715,0.21824
M809.342T975.822,4.7723,0.0034182,2.4662,0.21824
M402.157T908.195,4.769,0.003432,2.4645,0.21824
M789.329T927.31,4.7617,0.0034617,2.4607,0.21824
M1051.398T857.905,4.7595,0.003471,2.4595,0.21824
M790.34T953.298,4.7571,0.0034809,2.4583,0.21824
M809.345T958.024,4.7548,0.0034904,2.4571,0.21824
M735.275T891.807,4.7467,0.003524,2.453,0.21824
M833.315T843.183,4.7169,0.0036517,2.4375,0.21824
M883.336T936.403,4.7,0.0037257,2.4288,0.21824
M974.38T936.403,4.6905,0.0037684,2.4238,0.21824
M577.494T1463.866,4.6754,0.0038369,2.416,0.21824
M700.272T813.875,4.5941,0.0042295,2.3737,0.21824
M806.333T896.321,4.5316,0.0045593,2.3411,0.21824
M867.338T941.124,4.5296,0.0045707,2.34,0.21824
M833.318T940.951,4.5257,0.0045922,2.338,0.21824
M894.338T940.951,4.5253,0.0045942,2.3378,0.21824
M893.342T812.644,4.5119,0.004669,2.3308,0.21824
M955.384T902.791,4.4778,0.004865,2.3129,0.21824
M875.328T942.609,4.4768,0.0048708,2.3124,0.21824
M811.341T843.183,4.4717,0.0049011,2.3097,0.21824
M844.318T843.183,4.4597,0.0049725,2.3034,0.21824
M806.336T927.31,4.4487,0.005039,2.2977,0.21824
M507.173T926.047,4.4478,0.0050448,2.2972,0.21824
M402.158T851.401,4.4439,0.0050686,2.2951,0.21824
M424.207T1477.169,4.4315,0.0051451,2.2886,0.21824
M854.343T843.183,4.4223,0.0052028,2.2838,0.21824
M835.333T951.54,4.4067,0.0053021,2.2756,0.21824
M576.483T1456.027,4.4026,0.0053287,2.2734,0.21824
M820.314T857.905,4.3977,0.0053605,2.2708,0.21824
M798.333T1001.921,4.3875,0.0054271,2.2654,0.21824
M833.305T975.822,4.3721,0.0055298,2.2573,0.21824
M519.185T891.73,4.3606,0.0056076,2.2512,0.21824
M867.357T1023.188,4.3595,0.0056149,2.2507,0.21824
M790.331T974.804,4.355,0.0056457,2.2483,0.21824
M921.335T902.791,4.3475,0.0056971,2.2443,0.21824
M798.336T1042.058,4.3401,0.0057492,2.2404,0.21824
M893.333T828.514,4.3368,0.0057721,2.2387,0.21824
M895.359T935.639,4.3154,0.0059247,2.2273,0.21824
M805.331T872.624,4.3016,0.0060247,2.2201,0.21824
M806.333T872.624,4.3006,0.006032,2.2195,0.21824
M809.345T941.458,4.2954,0.0060703,2.2168,0.21824
M869.334T919.017,4.2869,0.0061336,2.2123,0.21824
M519.225T1025.439,4.2727,0.0062413,2.2047,0.21824
M425.15T917.809,4.2577,0.0063566,2.1968,0.21824
M1070.408T957.42,4.238,0.0065116,2.1863,0.21824
M955.379T843.183,4.2035,0.006792,2.168,0.21824
M704.261T784.45,4.1889,0.006915,2.1602,0.21824
M1029.422T872.624,4.1567,0.007194,2.143,0.21824
M838.304T872.624,4.1449,0.0072986,2.1368,0.21824
M386.164T943.456,4.1191,0.0075334,2.123,0.21824
M787.311T955.77,4.1145,0.0075763,2.1205,0.21824
M716.516T1356.112,4.0998,0.007715,2.1127,0.21824
M873.355T919.58,4.0904,0.0078047,2.1076,0.21824
M947.375T872.624,4.0786,0.0079192,2.1013,0.21824
M862.322T959.199,4.0755,0.0079498,2.0996,0.21824
M873.333T828.514,4.0428,0.0082773,2.0821,0.21824
M903.354T957.42,4.0349,0.0083585,2.0779,0.21824
M261.116T1002.572,4.0241,0.0084705,2.0721,0.21824
M700.27T900.968,4.005,0.0086733,2.0618,0.21824
M785.299T924.482,3.9936,0.0087968,2.0557,0.21824
M871.337T832.505,3.9823,0.0089199,2.0496,0.21824
M875.326T913.799,3.9797,0.008949,2.0482,0.21824
M806.333T841.952,3.9707,0.009049,2.0434,0.21824
