"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M805.507T1228.528,9.808,0.043788,1.3586,0.22748,NA
M887.355T973.898,9.79,0.044118,1.3554,0.22811,NA
M683.472T1406.703,9.7878,0.044157,1.355,0.22811,NA
M952.356T828.514,9.7851,0.044208,1.3545,0.22811,NA
M617.489T1624.961,9.7755,0.044384,1.3528,0.2285,NA
M1006.382T812.644,9.7699,0.044487,1.3518,0.22852,NA
M565.417T1439.955,9.7581,0.044706,1.3496,0.22913,NA
M1017.38T900.968,9.7398,0.045046,1.3463,0.23036,NA
M577.49T1591.335,9.6887,0.04601,1.3371,0.23477,NA
M571.201T892.9,9.6821,0.046138,1.3359,0.23489,NA
M813.295T891.652,9.6224,0.047292,1.3252,0.24013,NA
M565.409T1275.021,9.6181,0.047376,1.3244,0.24013,NA
M649.243T924.482,9.5936,0.047858,1.32,0.2417,NA
M773.297T924.482,9.5891,0.047949,1.3192,0.2417,NA
M844.603T1428.316,9.5825,0.048079,1.318,0.2417,NA
M899.349T990.311,9.5811,0.048107,1.3178,0.2417,NA
M901.307T872.2,9.5705,0.048319,1.3159,0.24181,NA
M519.184T799.156,9.5601,0.048526,1.314,0.24181,NA
M1077.42T926.047,9.5593,0.048543,1.3139,0.24181,NA
M367.178T1438.88,9.5589,0.048552,1.3138,0.24181,NA
M370.348T1575.63,9.5493,0.048744,1.3121,0.24206,NA
M858.336T973.898,9.5459,0.048813,1.3115,0.24206,NA
M820.317T975.822,9.5404,0.048923,1.3105,0.24208,NA
M852.32T958.31,9.5206,0.049325,1.3069,0.24315,NA
M439.235T1137.163,9.5163,0.049413,1.3062,0.24315,NA
M659.269T953.298,9.5141,0.049458,1.3058,0.24315,NA
M889.305T842.452,9.4792,0.050177,1.2995,0.24495,NA
M1091.429T900.968,9.4782,0.050198,1.2993,0.24495,NA
M1013.365T908.018,9.4752,0.050259,1.2988,0.24495,NA
M692.263T843.183,9.4735,0.050295,1.2985,0.24495,NA
M574.213T908.018,9.4704,0.050358,1.2979,0.24495,NA
M571.19T841.386,9.4567,0.050644,1.2955,0.24582,NA
M830.512T1280.542,9.45,0.050785,1.2943,0.24598,NA
M209.153T884.787,9.4432,0.050928,1.293,0.24615,NA
M455.152T813.875,9.4328,0.051146,1.2912,0.24669,NA
M1062.403T940.951,9.413,0.051565,1.2876,0.24819,NA
M699.264T863.447,9.4069,0.051695,1.2865,0.24829,NA
M651.516T1408.532,9.389,0.052079,1.2833,0.24961,NA
M671.245T813.875,9.3724,0.052437,1.2804,0.2508,NA
M403.166T832.505,9.3617,0.052667,1.2785,0.25102,NA
M697.459T1191.472,9.3588,0.052731,1.2779,0.25102,NA
M484.189T891.652,9.3481,0.052964,1.276,0.25102,NA
M823.522T1339.243,9.3458,0.053014,1.2756,0.25102,NA
M237.94T1826.038,9.345,0.053031,1.2755,0.25102,NA
M1033.392T828.514,9.3352,0.053247,1.2737,0.25151,NA
M734.268T924.482,9.3303,0.053354,1.2728,0.25151,NA
M1033.405T908.018,9.3118,0.053762,1.2695,0.25291,NA
M439.146T909.479,9.2842,0.054376,1.2646,0.2547,NA
M1111.407T857.905,9.283,0.054403,1.2644,0.2547,NA
M1051.394T940.951,9.2768,0.05454,1.2633,0.2547,NA
M593.201T924.482,9.271,0.054672,1.2622,0.2547,NA
M565.403T1389.183,9.2698,0.054698,1.262,0.2547,NA
M951.383T957.42,9.2519,0.055101,1.2588,0.25584,NA
M1059.429T828.514,9.2441,0.055279,1.2574,0.25584,NA
M831.516T1389.324,9.242,0.055327,1.2571,0.25584,NA
M1011.379T940.951,9.2384,0.055408,1.2564,0.25584,NA
M813.332T1056.081,9.2307,0.055585,1.255,0.25584,NA
M846.507T1289.081,9.2295,0.055612,1.2548,0.25584,NA
M964.375T959.199,9.2186,0.055862,1.2529,0.25647,NA
M440.239T1157.441,9.194,0.05643,1.2485,0.25856,NA
M579.488T1406.122,9.1834,0.056676,1.2466,0.25888,NA
M467.383T1523.593,9.1812,0.056726,1.2462,0.25888,NA
M851.322T857.905,9.1749,0.056873,1.2451,0.259,NA
M732.275T843.183,9.166,0.057082,1.2435,0.259,NA
M1047.412T924.482,9.1619,0.057179,1.2428,0.259,NA
M986.572T1421.54,9.1608,0.057204,1.2426,0.259,NA
M1041.415T857.905,9.1557,0.057323,1.2417,0.25903,NA
M1003.334T806.646,9.1422,0.057641,1.2393,0.25952,NA
M821.502T1286.343,9.1415,0.057659,1.2391,0.25952,NA
M704.522T1355.605,9.127,0.058001,1.2366,0.26055,NA
M642.503T1456.373,9.1153,0.058281,1.2345,0.26126,NA
M646.455T1423.013,9.1102,0.058403,1.2336,0.26126,NA
M589.228T896.878,9.103,0.058575,1.2323,0.26126,NA
M393.189T1440.567,9.0963,0.058737,1.2311,0.26126,NA
M642.507T1561.719,9.088,0.058938,1.2296,0.26126,NA
M439.232T1156.388,9.0859,0.058987,1.2292,0.26126,NA
M607.446T1439.489,9.084,0.059035,1.2289,0.26126,NA
M1072.353T784.45,9.0825,0.059071,1.2286,0.26126,NA
M867.589T1591.283,9.0651,0.059493,1.2255,0.26242,NA
M889.348T1006.792,9.0622,0.059564,1.225,0.26242,NA
M691.436T1356.203,9.0547,0.059748,1.2237,0.26273,NA
M1059.43T783.656,9.0226,0.060537,1.218,0.26569,NA
M877.498T1237.158,9.0068,0.060931,1.2152,0.26691,NA
M809.542T1457.035,8.9809,0.061578,1.2106,0.26923,NA
M693.468T1473.286,8.9547,0.062241,1.2059,0.27154,NA
M919.363T957.42,8.9507,0.062344,1.2052,0.27154,NA
M503.174T828.514,8.9306,0.062857,1.2016,0.27326,NA
M859.337T973.898,8.9147,0.063267,1.1988,0.27429,NA
M706.26T821.568,8.9085,0.063429,1.1977,0.27429,NA
M1153.43T843.183,8.9075,0.063454,1.1975,0.27429,NA
M479.188T913.185,8.9018,0.063601,1.1965,0.27441,NA
M996.384T957.42,8.8861,0.064009,1.1938,0.27527,NA
M867.584T1358.969,8.8823,0.06411,1.1931,0.27527,NA
M863.509T1256.368,8.8803,0.064162,1.1927,0.27527,NA
M447.159T891.807,8.8739,0.064331,1.1916,0.27548,NA
M817.265T776.817,8.842,0.065172,1.1859,0.27856,NA
M702.26T836.496,8.83,0.065493,1.1838,0.27941,NA
M533.202T872.624,8.8176,0.065823,1.1816,0.28007,NA
M877.332T968.992,8.815,0.065893,1.1812,0.28007,NA
M652.499T1471.536,8.8005,0.066285,1.1786,0.28122,NA
M633.478T1401.37,8.7933,0.066478,1.1773,0.28146,NA
M692.264T921.146,8.7893,0.066586,1.1766,0.28146,NA
M1031.387T924.482,8.7769,0.066925,1.1744,0.28237,NA
M593.234T877.183,8.7702,0.067107,1.1732,0.28257,NA
M683.47T1389.183,8.7661,0.067219,1.1725,0.28257,NA
M733.253T876.34,8.7483,0.067709,1.1694,0.28382,NA
M643.247T821.568,8.7425,0.067869,1.1683,0.28382,NA
M542.195T828.514,8.7418,0.067888,1.1682,0.28382,NA
M859.281T850.362,8.7291,0.068238,1.166,0.28399,NA
M702.257T908.018,8.7284,0.068258,1.1658,0.28399,NA
M952.38T957.42,8.7268,0.068302,1.1656,0.28399,NA
M329.322T1280.542,8.6786,0.069655,1.157,0.28858,NA
M884.327T872.624,8.6775,0.069686,1.1569,0.28858,NA
M952.357T909.479,8.674,0.069784,1.1562,0.28858,NA
M521.265T1141.562,8.6636,0.070079,1.1544,0.28928,NA
M748.518T1322.784,8.6584,0.070228,1.1535,0.28937,NA
M683.47T1371.844,8.6469,0.070557,1.1515,0.28987,NA
M439.145T828.514,8.6454,0.070601,1.1512,0.28987,NA
M568.208T909.479,8.6316,0.070996,1.1488,0.29059,NA
M986.584T1323.28,8.6304,0.071031,1.1486,0.29059,NA
M319.224T1130.198,8.6223,0.071265,1.1471,0.29103,NA
M703.261T828.514,8.5916,0.072159,1.1417,0.29288,NA
M497.194T891.652,8.5905,0.07219,1.1415,0.29288,NA
M711.445T1221.644,8.5886,0.072246,1.1412,0.29288,NA
M693.269T926.987,8.5862,0.072316,1.1408,0.29288,NA
M701.265T828.514,8.5849,0.072356,1.1405,0.29288,NA
M884.32T942.609,8.5651,0.072938,1.137,0.29471,NA
M729.452T1109.944,8.5484,0.073433,1.1341,0.29619,NA
M669.243T917.809,8.5344,0.07385,1.1316,0.29735,NA
M285.134T1052.907,8.5006,0.07487,1.1257,0.3009,NA
M535.375T1490.352,8.4945,0.075053,1.1246,0.3009,NA
M609.455T1145.906,8.4921,0.075127,1.1242,0.3009,NA
M841.262T834.347,8.4759,0.075622,1.1214,0.30236,NA
M845.506T1193.498,8.4651,0.075952,1.1195,0.30292,NA
M319.223T1240.387,8.4626,0.076028,1.119,0.30292,NA
M439.314T1352.626,8.4584,0.076159,1.1183,0.30292,NA
M810.529T1306.211,8.4215,0.077303,1.1118,0.30693,NA
M668.492T1305.416,8.4128,0.077574,1.1103,0.30748,NA
M859.275T834.347,8.3915,0.078246,1.1065,0.30961,NA
M979.612T1358.969,8.3704,0.078915,1.1028,0.31169,NA
M476.193T884.787,8.3643,0.079109,1.1018,0.31169,NA
M877.342T1006.792,8.3621,0.079181,1.1014,0.31169,NA
M812.54T1212.039,8.3345,0.080067,1.0965,0.31464,NA
M937.593T1423.395,8.3282,0.080268,1.0955,0.3147,NA
M758.22T1573.977,8.3255,0.080357,1.095,0.3147,NA
M699.266T892.331,8.3195,0.08055,1.0939,0.31491,NA
M319.222T1221.035,8.2913,0.081473,1.089,0.31786,NA
M465.26T1373.143,8.288,0.081582,1.0884,0.31786,NA
M593.489T1519.555,8.2794,0.081863,1.0869,0.31842,NA
M986.593T1340.539,8.2677,0.082251,1.0849,0.31923,NA
M823.519T1322.979,8.2647,0.082349,1.0843,0.31923,NA
M773.519T1472.663,8.2577,0.082582,1.0831,0.31959,NA
M933.56T1145.906,8.2316,0.083454,1.0786,0.32242,NA
M575.477T1491.784,8.226,0.083643,1.0776,0.3226,NA
M440.232T1219.408,8.2182,0.083904,1.0762,0.32307,NA
M516.434T1624.418,8.21,0.084181,1.0748,0.32359,NA
M576.484T1473.551,8.204,0.084386,1.0737,0.32383,NA
M931.349T957.42,8.189,0.084894,1.0711,0.32485,NA
M1071.697T1308.231,8.1879,0.084934,1.0709,0.32485,NA
M601.496T1459.491,8.1574,0.085979,1.0656,0.3283,NA
M574.468T1330.445,8.1384,0.086639,1.0623,0.33027,NA
M651.489T1456.786,8.1243,0.08713,1.0598,0.33107,NA
M694.269T843.183,8.124,0.087139,1.0598,0.33107,NA
M651.489T1406.004,8.1017,0.087924,1.0559,0.33331,NA
M642.504T1347.309,8.0989,0.088021,1.0554,0.33331,NA
M488.187T973.898,8.0715,0.088992,1.0506,0.33617,NA
M877.506T1205.117,8.0684,0.089105,1.0501,0.33617,NA
M877.322T926.75,8.0639,0.089264,1.0493,0.33617,NA
M536.574T1557.26,8.0612,0.089362,1.0488,0.33617,NA
M823.518T1283.896,8.0404,0.090108,1.0452,0.33842,NA
M607.458T1423.366,8.0356,0.090284,1.0444,0.33853,NA
M572.199T910.079,8.0203,0.090837,1.0417,0.34005,NA
M985.571T1146.934,8.0132,0.091096,1.0405,0.34046,NA
M703.256T884.128,8.0018,0.091514,1.0385,0.34146,NA
M607.448T1423.334,7.9663,0.09282,1.0324,0.34554,NA
M713.46T1208.68,7.9637,0.092915,1.0319,0.34554,NA
M718.535T1356.181,7.9599,0.093059,1.0312,0.34554,NA
M689.269T924.637,7.9488,0.093473,1.0293,0.34651,NA
M1012.372T940.951,7.9394,0.093824,1.0277,0.34725,NA
M589.459T1264.044,7.9161,0.094701,1.0236,0.34969,NA
M487.304T1423.366,7.9138,0.094787,1.0233,0.34969,NA
M863.512T1152.355,7.9042,0.095151,1.0216,0.35047,NA
M773.52T1456.872,7.8937,0.095552,1.0198,0.35138,NA
M821.505T1179.269,7.881,0.096036,1.0176,0.35199,NA
M869.577T1456.932,7.8795,0.096094,1.0173,0.35199,NA
M484.186T924.637,7.8773,0.096179,1.0169,0.35199,NA
M572.206T940.951,7.8721,0.096377,1.016,0.35215,NA
M835.478T1356.237,7.8603,0.096831,1.014,0.35325,NA
M985.575T1306.148,7.8406,0.097594,1.0106,0.35546,NA
M571.192T859.75,7.8196,0.098416,1.0069,0.35769,NA
M749.513T1384.421,7.817,0.098518,1.0065,0.35769,NA
M687.444T1312.999,7.8065,0.09893,1.0047,0.3583,NA
M861.603T1557.588,7.8048,0.098997,1.0044,0.3583,NA
M279.157T1436.378,7.7906,0.099555,1.0019,0.35975,NA
M592.477T1456.705,7.7833,0.099847,1.0007,0.36023,NA
M863.512T1205.117,7.7763,0.10012,0.99946,0.36067,NA
M1001.706T1624.867,7.7633,0.10064,0.99721,0.36148,NA
M532.193T923.948,7.7627,0.10067,0.99712,0.36148,NA
M534.447T1523.593,7.7487,0.10123,0.99469,0.36294,NA
M823.524T1220.972,7.7391,0.10162,0.99304,0.36375,NA
M933.558T1114.912,7.7326,0.10188,0.99192,0.36412,NA
M852.321T857.905,7.7234,0.10225,0.99033,0.36442,NA
M571.365T1456.373,7.7225,0.10229,0.99017,0.36442,NA
M349.188T1656.418,7.7188,0.10244,0.98954,0.36442,NA
M449.365T1540.699,7.7007,0.10318,0.98641,0.36559,NA
M625.472T1308.231,7.6992,0.10324,0.98615,0.36559,NA
M809.533T1473.254,7.699,0.10325,0.98613,0.36559,NA
M591.473T1440.13,7.6813,0.10398,0.98306,0.36748,NA
M1019.379T940.951,7.6783,0.1041,0.98255,0.36748,NA
M649.479T1423.325,7.6712,0.10439,0.98133,0.36795,NA
M702.262T869.338,7.6555,0.10504,0.97863,0.36967,NA
M657.232T799.156,7.6358,0.10587,0.97524,0.37199,NA
M952.367T926.75,7.631,0.10607,0.9744,0.37214,NA
M711.566T1557.453,7.6209,0.1065,0.97267,0.37306,NA
M989.67T1341.992,7.6072,0.10707,0.97031,0.37398,NA
M586.241T903.94,7.607,0.10708,0.97028,0.37398,NA
M954.596T1492.083,7.5756,0.10842,0.96489,0.37746,NA
M536.575T1540.7,7.5706,0.10864,0.96402,0.37746,NA
M861.595T1526.07,7.5689,0.10871,0.96373,0.37746,NA
M862.498T1168.702,7.5657,0.10885,0.96318,0.37746,NA
M575.479T1456.772,7.5644,0.1089,0.96296,0.37746,NA
M395.287T1352.626,7.5533,0.10938,0.96106,0.37854,NA
M820.327T1006.792,7.5465,0.10967,0.95989,0.37898,NA
M773.52T1405.986,7.5419,0.10988,0.9591,0.37911,NA
M822.526T1338.796,7.5177,0.11093,0.95494,0.38182,NA
M652.249T924.637,7.5162,0.111,0.95469,0.38182,NA
M575.479T1473.048,7.5071,0.1114,0.95312,0.38263,NA
M535.447T1540.43,7.4978,0.11181,0.95153,0.38346,NA
M534.402T1422.678,7.4887,0.11221,0.94998,0.38426,NA
M846.506T1146.934,7.4785,0.11266,0.94823,0.38523,NA
M393.201T1439.586,7.4483,0.11401,0.94306,0.38915,NA
M497.195T864.231,7.4453,0.11415,0.94254,0.38915,NA
M601.255T812.644,7.4323,0.11473,0.94032,0.39048,NA
M567.43T1421.35,7.4291,0.11488,0.93977,0.39048,NA
M903.587T1358.969,7.4233,0.11514,0.93877,0.39079,NA
M909.347T843.183,7.4189,0.11534,0.93803,0.39088,NA
M919.314T784.45,7.4019,0.11611,0.93511,0.39145,NA
M511.167T891.652,7.3991,0.11624,0.93463,0.39145,NA
M512.41T1575.482,7.3982,0.11628,0.93448,0.39145,NA
M555.363T1275.021,7.3975,0.11631,0.93437,0.39145,NA
M682.262T843.183,7.3966,0.11636,0.93421,0.39145,NA
M945.367T957.42,7.391,0.11661,0.93325,0.39156,NA
M530.218T901.604,7.383,0.11698,0.93189,0.39156,NA
M575.481T1540.694,7.3827,0.11699,0.93184,0.39156,NA
M532.196T942.609,7.381,0.11707,0.93154,0.39156,NA
M863.511T1188.313,7.3646,0.11783,0.92874,0.39351,NA
M553.172T831.535,7.36,0.11804,0.92796,0.39364,NA
M757.232T831.535,7.353,0.11837,0.92676,0.39413,NA
M853.581T1456.932,7.3495,0.11853,0.92616,0.39413,NA
M383.28T1313.696,7.3446,0.11876,0.92533,0.39432,NA
M854.583T1499.87,7.3354,0.11919,0.92375,0.39471,NA
M644.53T1558.978,7.3347,0.11922,0.92364,0.39471,NA
M594.494T1539.529,7.3245,0.1197,0.9219,0.39572,NA
M319.223T1203.571,7.314,0.1202,0.9201,0.39652,NA
M645.528T1574.126,7.3058,0.12058,0.91871,0.39652,NA
M1159.542T903.94,7.3022,0.12076,0.91809,0.39652,NA
M557.469T1325.086,7.3015,0.12079,0.91797,0.39652,NA
M625.448T1228.528,7.3004,0.12084,0.91779,0.39652,NA
M900.587T1474.354,7.2953,0.12108,0.91692,0.39652,NA
M439.317T1401.37,7.2934,0.12117,0.9166,0.39652,NA
M650.482T1423.013,7.2901,0.12133,0.91604,0.39652,NA
M877.495T1300.456,7.2693,0.12232,0.9125,0.39882,NA
M635.491T1472.841,7.2682,0.12238,0.9123,0.39882,NA
M844.601T1526.07,7.2613,0.12271,0.91112,0.39912,NA
M557.203T893.494,7.259,0.12282,0.91074,0.39912,NA
M872.596T1490.371,7.2536,0.12308,0.90981,0.39933,NA
M822.528T1302.363,7.2504,0.12323,0.90927,0.39933,NA
M681.469T1389.183,7.2408,0.1237,0.90764,0.40027,NA
M817.264T804.01,7.225,0.12446,0.90495,0.40198,NA
M514.422T1505.037,7.2227,0.12458,0.90456,0.40198,NA
M673.587T1576.856,7.2131,0.12505,0.90292,0.40293,NA
M945.39T951.54,7.1878,0.12629,0.89863,0.40547,NA
M587.442T1269.605,7.1867,0.12635,0.89844,0.40547,NA
M681.469T1408.485,7.1863,0.12637,0.89837,0.40547,NA
M788.505T1179.269,7.1758,0.12689,0.89658,0.40657,NA
M592.48T1325.086,7.1547,0.12794,0.89301,0.40883,NA
M587.368T1406.262,7.1544,0.12795,0.89297,0.40883,NA
M295.151T1624.873,7.1498,0.12818,0.89218,0.409,NA
M481.361T1422.828,7.1449,0.12842,0.89135,0.40921,NA
M679.553T1406.451,7.1083,0.13027,0.88514,0.41452,NA
M591.474T1402.346,7.0893,0.13124,0.88193,0.41703,NA
M650.482T1439.948,7.0729,0.13209,0.87914,0.41885,NA
M826.526T1130.872,7.071,0.13218,0.87883,0.41885,NA
M723.435T1322.772,7.0617,0.13266,0.87725,0.41955,NA
M642.51T1439.707,7.0597,0.13277,0.8769,0.41955,NA
M543.443T1588.441,7.0238,0.13464,0.87083,0.42435,NA
M643.247T769.174,7.0234,0.13466,0.87077,0.42435,NA
M592.477T1439.652,7.0161,0.13504,0.86954,0.42443,NA
M986.584T1288.291,7.0158,0.13506,0.86949,0.42443,NA
M591.474T1330.445,7.0042,0.13566,0.86753,0.42576,NA
M861.497T1170,6.9942,0.1362,0.86584,0.42657,NA
M769.495T1343.802,6.9923,0.13629,0.86552,0.42657,NA
M349.193T1607.528,6.9869,0.13658,0.86461,0.42689,NA
M703.255T909.479,6.9833,0.13677,0.86399,0.42691,NA
M323.109T600.082,6.9789,0.13701,0.86325,0.42706,NA
M809.538T1490.286,6.9689,0.13754,0.86157,0.42813,NA
M589.434T1295.888,6.9627,0.13787,0.86053,0.42858,NA
M609.269T1439.891,6.957,0.13818,0.85956,0.42895,NA
M648.466T1423.012,6.9451,0.13882,0.85756,0.43035,NA
M817.317T940.819,6.9414,0.13902,0.85694,0.43038,NA
M926.605T1358.969,6.93,0.13964,0.855,0.43165,NA
M523.36T1271.932,6.9269,0.1398,0.85449,0.43165,NA
M729.452T1207.169,6.914,0.1405,0.85231,0.43323,NA
M1049.412T957.42,6.8942,0.14158,0.84898,0.43598,NA
M862.499T1272.244,6.8902,0.14181,0.8483,0.43608,NA
M660.517T1313.696,6.8787,0.14244,0.84637,0.43744,NA
M592.476T1352.626,6.8723,0.14279,0.8453,0.43793,NA
M711.565T1605.092,6.866,0.14314,0.84424,0.43841,NA
M519.246T1106.56,6.858,0.14359,0.84288,0.4392,NA
M424.212T1357.137,6.8491,0.14408,0.84139,0.44001,NA
M367.199T1319.161,6.8463,0.14424,0.84092,0.44001,NA
M644.512T1474.173,6.8371,0.14475,0.83938,0.44019,NA
M821.503T1322.584,6.8359,0.14482,0.83917,0.44019,NA
M327.176T1435.338,6.832,0.14503,0.83853,0.44019,NA
M515.408T1574.181,6.8315,0.14506,0.83844,0.44019,NA
M651.489T1439.586,6.8273,0.1453,0.83774,0.44032,NA
M298.939T128.158,6.8176,0.14584,0.83611,0.44092,NA
M625.264T1339.593,6.817,0.14588,0.83599,0.44092,NA
M812.538T1253.346,6.8004,0.14682,0.83322,0.44316,NA
M578.503T1590.788,6.7932,0.14723,0.83201,0.44381,NA
M1019.703T1376.163,6.7811,0.14792,0.82998,0.44487,NA
M931.58T1440.166,6.7764,0.14819,0.82918,0.44487,NA
M863.507T1099.137,6.7745,0.1483,0.82887,0.44487,NA
M676.511T1297.075,6.7735,0.14836,0.8287,0.44487,NA
M325.876T1824.647,6.7665,0.14875,0.82754,0.44548,NA
M674.232T924.482,6.7468,0.14989,0.82423,0.4483,NA
M1122.429T942.609,6.7392,0.15033,0.82295,0.44903,NA
M432.238T1237.746,6.7289,0.15093,0.82123,0.44999,NA
M807.525T1306.532,6.7248,0.15117,0.82055,0.44999,NA
M647.463T1423.013,6.7203,0.15143,0.81979,0.44999,NA
M515.359T1439.799,6.7187,0.15152,0.81952,0.44999,NA
M877.49T1272.035,6.7168,0.15163,0.8192,0.44999,NA
M427.236T1595.406,6.7111,0.15197,0.81825,0.45039,NA
M862.501T1125.643,6.6945,0.15294,0.81547,0.4527,NA
M425.215T1355.365,6.6901,0.1532,0.81474,0.45288,NA
M788.509T1338.968,6.6675,0.15454,0.81097,0.45624,NA
M515.356T1423.01,6.6626,0.15483,0.81014,0.45652,NA
M1143.432T957.42,6.6592,0.15503,0.80958,0.45652,NA
M644.519T1506.823,6.654,0.15534,0.80871,0.45686,NA
M985.569T1283.896,6.6289,0.15685,0.80452,0.46001,NA
M557.461T1262.042,6.6288,0.15685,0.8045,0.46001,NA
M507.38T1474.624,6.6261,0.15702,0.80405,0.46001,NA
M670.537T1352.626,6.619,0.15744,0.80287,0.46051,NA
M860.602T1524.995,6.6166,0.15759,0.80247,0.46051,NA
M303.178T1312.999,6.5958,0.15885,0.79901,0.46315,NA
M832.52T1373.493,6.5951,0.1589,0.79888,0.46315,NA
M574.467T1456.399,6.5859,0.15946,0.79735,0.46419,NA
M481.362T1439.996,6.5775,0.15997,0.79596,0.46425,NA
M736.521T1490.314,6.576,0.16007,0.7957,0.46425,NA
M623.265T920.434,6.5737,0.1602,0.79533,0.46425,NA
M691.269T827.274,6.5711,0.16036,0.79489,0.46425,NA
M605.218T850.472,6.5691,0.16049,0.79455,0.46425,NA
M346.253T1607.605,6.5596,0.16108,0.79297,0.46535,NA
M541.47T1540.699,6.5501,0.16166,0.7914,0.46641,NA
M558.46T1591.049,6.5471,0.16185,0.79089,0.46641,NA
M533.435T1510.689,6.5429,0.16211,0.7902,0.46656,NA
M769.488T1114.912,6.5319,0.16279,0.78836,0.4674,NA
M883.58T1438.11,6.5317,0.1628,0.78833,0.4674,NA
M594.498T1557.26,6.5009,0.16474,0.78321,0.47203,NA
M356.284T1591.049,6.4972,0.16497,0.7826,0.47203,NA
M841.471T1389.363,6.4936,0.1652,0.782,0.47203,NA
M861.498T1154.618,6.4929,0.16524,0.78188,0.47203,NA
M571.362T1440.098,6.4645,0.16704,0.77718,0.47658,NA
M854.583T1456.932,6.453,0.16778,0.77526,0.47809,NA
M433.222T1389.363,6.4492,0.16802,0.77463,0.47818,NA
M903.583T1473.64,6.4427,0.16843,0.77357,0.4782,NA
M616.21T891.652,6.4426,0.16845,0.77354,0.4782,NA
M639.424T1423.012,6.4321,0.16912,0.7718,0.4787,NA
M795.538T1275.021,6.431,0.16919,0.77162,0.4787,NA
M1003.384T957.42,6.4275,0.16942,0.77104,0.4787,NA
M293.17T1476.452,6.4237,0.16966,0.77041,0.4787,NA
M580.199T843.183,6.4236,0.16967,0.7704,0.4787,NA
M623.428T1439.576,6.4175,0.17006,0.76939,0.47923,NA
M630.465T1474.173,6.3891,0.17191,0.76469,0.48336,NA
M383.187T1473.566,6.3885,0.17195,0.76459,0.48336,NA
M1091.419T843.183,6.3722,0.17302,0.76189,0.48578,NA
M536.576T1574.556,6.3589,0.1739,0.75969,0.48689,NA
M1000.719T1341.992,6.3575,0.17399,0.75947,0.48689,NA
M623.428T1423.013,6.3566,0.17406,0.75931,0.48689,NA
M921.307T891.652,6.3523,0.17434,0.75861,0.48698,NA
M527.227T886.063,6.3496,0.17451,0.75817,0.48698,NA
M889.313T769.174,6.3368,0.17537,0.75605,0.48877,NA
M298.885T1775.701,6.3291,0.17588,0.75478,0.48905,NA
M557.468T1423.166,6.3289,0.1759,0.75475,0.48905,NA
M1114.43T957.42,6.3245,0.17619,0.75401,0.48928,NA
M775.526T1457.082,6.3206,0.17645,0.75337,0.48941,NA
M944.365T940.951,6.3128,0.17697,0.7521,0.49002,NA
M439.316T1312.999,6.3109,0.1771,0.75178,0.49002,NA
M771.505T1321.652,6.2976,0.178,0.74958,0.49192,NA
M699.455T1253.346,6.2744,0.17957,0.74576,0.49461,NA
M383.199T1456.651,6.2716,0.17976,0.7453,0.49461,NA
M787.501T1338.968,6.2711,0.1798,0.74521,0.49461,NA
M539.282T935.356,6.2678,0.18002,0.74468,0.49461,NA
M631.469T1330.308,6.2673,0.18006,0.74459,0.49461,NA
M329.158T1439.992,6.2634,0.18032,0.74395,0.49467,NA
M438.207T1136.982,6.2607,0.18051,0.74351,0.49467,NA
M682.472T1373.006,6.2453,0.18156,0.74097,0.49697,NA
M886.58T1457.506,6.2392,0.18198,0.73997,0.49752,NA
M451.316T1407.26,6.234,0.18234,0.73911,0.49791,NA
M695.447T1189.727,6.2252,0.18295,0.73767,0.49897,NA
M914.571T1376.163,6.2217,0.18319,0.7371,0.49904,NA
M465.265T1336.902,6.2097,0.18403,0.73512,0.49993,NA
M479.357T1373.389,6.209,0.18408,0.735,0.49993,NA
M708.266T910.27,6.2076,0.18418,0.73477,0.49993,NA
M627.462T1239.559,6.1752,0.18644,0.72946,0.50549,NA
M822.526T1356.611,6.1648,0.18717,0.72776,0.50678,NA
M711.567T1574.614,6.1619,0.18738,0.72727,0.50678,NA
M823.52T1195.638,6.1589,0.18759,0.72679,0.50678,NA
M660.517T1423.005,6.1559,0.1878,0.7263,0.50678,NA
M371.26T1411.481,6.1424,0.18876,0.72408,0.50869,NA
M413.182T880.56,6.1397,0.18895,0.72364,0.50869,NA
M1141.384T769.852,6.1312,0.18956,0.72224,0.50876,NA
M675.252T926.047,6.1298,0.18966,0.72202,0.50876,NA
M670.528T1488.279,6.1275,0.18983,0.72164,0.50876,NA
M521.219T985.794,6.1269,0.18987,0.72154,0.50876,NA
M854.586T1475.069,6.1149,0.19073,0.71958,0.5096,NA
M829.508T1389.189,6.1148,0.19074,0.71957,0.5096,NA
M1103.343T817.469,6.1133,0.19085,0.71931,0.5096,NA
M878.315T828.514,6.0918,0.1924,0.71581,0.51313,NA
M351.108T857.905,6.0829,0.19304,0.71434,0.51426,NA
M571.45T1291.55,6.076,0.19355,0.71321,0.515,NA
M590.446T1338.898,6.0707,0.19393,0.71236,0.51542,NA
M312.324T1609.304,6.0623,0.19455,0.71098,0.51558,NA
M862.516T1212.039,6.0622,0.19455,0.71096,0.51558,NA
M829.507T1405.065,6.0606,0.19467,0.71071,0.51558,NA
M674.519T1442.536,6.039,0.19625,0.70719,0.51918,NA
M340.355T1382.768,6.033,0.19669,0.70621,0.51944,NA
M1013.72T1325.086,6.0316,0.1968,0.70597,0.51944,NA
M463.356T1471.536,6.0279,0.19707,0.70537,0.51956,NA
