"",chi.squared,p.value,-log10(p),FDR,Post-Hoc
M854.343T843.183,14.072,0.0070701,2.1506,0.14176,NA
M832.307T992.353,14.065,0.0070889,2.1494,0.14176,NA
M947.38T990.311,14.044,0.0071565,2.1453,0.14176,NA
M790.34T953.298,14.039,0.0071713,2.1444,0.14176,NA
M819.312T959.199,14.013,0.0072527,2.1395,0.14176,NA
M835.333T951.54,14.002,0.0072891,2.1373,0.14176,NA
M789.338T955.098,13.995,0.0073097,2.1361,0.14176,NA
M789.339T976.015,13.953,0.0074451,2.1281,0.14176,NA
M987.384T843.183,13.935,0.0075067,2.1246,0.14176,NA
M744.276T1008.897,13.894,0.0076427,2.1168,0.14176,NA
M873.355T919.58,13.862,0.0077471,2.1109,0.14176,NA
M905.364T942.609,13.826,0.0078732,2.1038,0.14176,NA
M855.334T832.505,13.81,0.0079271,2.1009,0.14176,NA
M955.384T902.791,13.808,0.0079331,2.1006,0.14176,NA
M820.314T857.905,13.796,0.0079766,2.0982,0.14176,NA
M1009.394T924.637,13.787,0.0080077,2.0965,0.14176,NA
M1085.421T973.898,13.785,0.0080128,2.0962,0.14176,NA
M871.347T798.136,13.745,0.008155,2.0886,0.14176,NA
M538.212T908.195,13.728,0.0082164,2.0853,0.14176,NA
M806.333T872.624,13.712,0.0082743,2.0823,0.14176,NA
M790.331T974.804,13.702,0.0083079,2.0805,0.14176,NA
M1121.44T843.183,13.685,0.0083707,2.0772,0.14176,NA
M1076.413T957.42,13.668,0.0084347,2.0739,0.14176,NA
M848.316T959.199,13.664,0.0084468,2.0733,0.14176,NA
M835.332T872.624,13.65,0.0084986,2.0707,0.14176,NA
M838.304T872.624,13.646,0.0085156,2.0698,0.14176,NA
M867.357T1023.188,13.643,0.0085269,2.0692,0.14176,NA
M1147.442T940.951,13.627,0.0085843,2.0663,0.14176,NA
M861.315T941.124,13.626,0.0085888,2.0661,0.14176,NA
M927.368T919.58,13.626,0.0085895,2.066,0.14176,NA
M825.34T905.493,13.622,0.0086028,2.0654,0.14176,NA
M704.261T784.45,13.602,0.0086784,2.0616,0.14176,NA
M1023.385T959.199,13.593,0.0087159,2.0597,0.14176,NA
M1023.387T857.905,13.59,0.0087245,2.0593,0.14176,NA
M861.313T812.644,13.587,0.0087378,2.0586,0.14176,NA
M844.318T843.183,13.583,0.0087519,2.0579,0.14176,NA
M806.333T841.952,13.574,0.0087866,2.0562,0.14176,NA
M1070.408T957.42,13.57,0.0088029,2.0554,0.14176,NA
M402.158T851.401,13.561,0.0088367,2.0537,0.14176,NA
M508.198T891.652,13.512,0.0090282,2.0444,0.14176,NA
M947.375T872.624,13.476,0.0091693,2.0377,0.14176,NA
M770.29T919.58,13.457,0.0092444,2.0341,0.14176,NA
M697.259T909.874,13.45,0.0092731,2.0328,0.14176,NA
M402.157T908.195,13.44,0.0093152,2.0308,0.14176,NA
M864.319T940.951,13.418,0.0094058,2.0266,0.14176,NA
M753.276T940.951,13.403,0.0094649,2.0239,0.14176,NA
M980.373T973.898,13.397,0.0094886,2.0228,0.14176,NA
M888.347T872.624,13.387,0.0095319,2.0208,0.14176,NA
M949.356T902.335,13.369,0.0096062,2.0174,0.14176,NA
M849.325T990.311,13.368,0.0096111,2.0172,0.14176,NA
M803.312T872.624,13.358,0.0096511,2.0154,0.14176,NA
M837.318T945.789,13.352,0.0096785,2.0142,0.14176,NA
M1119.432T843.183,13.345,0.0097081,2.0129,0.14176,NA
M513.176T893.689,13.341,0.0097262,2.0121,0.14176,NA
M873.333T828.514,13.326,0.0097868,2.0094,0.14176,NA
M514.174T908.018,13.324,0.0097986,2.0088,0.14176,NA
M955.379T843.183,13.311,0.0098524,2.0065,0.14176,NA
M855.342T925.437,13.307,0.0098701,2.0057,0.14176,NA
M917.354T941.124,13.302,0.00989,2.0048,0.14176,NA
M1005.378T843.183,13.287,0.0099541,2.002,0.14176,NA
M903.341T917.809,13.275,0.010007,1.9997,0.14176,NA
M885.34T952.01,13.275,0.010008,1.9997,0.14176,NA
M988.369T843.183,13.271,0.010024,1.999,0.14176,NA
M662.261T828.514,13.236,0.010178,1.9924,0.14263,NA
M904.333T924.482,13.229,0.01021,1.991,0.14263,NA
