"","FC","log2(FC)","raw.pval","-log10(p)"
"M830.837T11.111",1.4145,0.5003,0.001319,2.8798
"M883.492T15.092",1.1321,0.17896,0.0052099,2.2832
"M367.151T397.982",8.3986,3.0701,0.0094445,2.0248
