"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"C12.1",-0.68794,0.16585,-0.074741,0.054687,-0.091166,-0.018897,1.3791e-16
"C12.3",-0.40292,-0.017129,0.032173,0.11235,0.17121,-0.0040916,1.2056e-16
"C12.4",-0.522,-0.060764,0.14598,-0.16304,-0.022049,-0.0232,8.0665e-17
"D12.1",0.49561,-0.11044,-0.010262,0.080333,-0.058243,-0.11339,1.5309e-16
"D12.2",0.62603,0.073604,0.14282,0.065688,-0.04368,0.082566,1.275e-16
"D12.3",-0.11891,-0.15819,-0.1336,-0.011488,-0.033143,0.094973,1.5656e-16
"D12.4",0.61013,0.10707,-0.10238,-0.13853,0.077075,-0.017956,1.2837e-16
