"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M854.516T1290.85"," 0.016553058","-0.552171656"," 0.159027097"," 0.126692638"," 0.086989659"," 1.116915387","-0.143758017"," 0.170832862"," 0.040104959"," 0.638579770","-0.012137907"," 0.662748027","-0.005140464"," 0.462050458","-2.578211910","-0.057632769","-0.112142717","-0.019298476"
"M1013.86T1346.532"," 0.110510575","-0.220013065"," 0.092016498"," 0.054286607","-0.030312345"," 1.146052330"," 0.061428310","-0.109768279","-0.032871734"," 0.440110267"," 0.042374587"," 0.726407133"," 0.113257807"," 0.324389024","-2.737123143"," 0.005012926"," 0.017802190","-0.003559688"
"M852.067T1329.714"," 0.12652281"," 0.02224293"," 0.34218866"," 0.20859157","-0.04607560"," 1.05456508"," 0.09584979","-0.25184994"," 0.10531136"," 0.68076994","-0.12586198"," 0.64657216","-0.11882960"," 0.21214059","-2.69825545","-0.04982842","-0.13381868","-0.07023522"
"M627.643T1193.32"," 0.07944905"," 0.08952493"," 0.13830355"," 0.04222039"," 0.26613131"," 1.12067266"," 0.03469599","-0.67970753","-0.32463741"," 0.96525283","-0.12014543"," 0.45065325","-0.09310228"," 0.32964044","-2.00463319"," 0.01120718","-0.07445031","-0.23107541"
"M941.508T1318.851"," 0.011690047"," 0.046356715"," 0.415983510"," 0.272241941"," 0.196943291"," 1.185153410","-0.146557961","-0.441865853"," 0.002841011"," 0.526502659","-0.126676497"," 0.602440122","-0.196843992"," 0.187712707","-1.697148019","-0.335098004","-0.322536325","-0.181138760"
"M701.418T1268.098"," 0.15880333"," 0.13433756"," 0.52898792"," 0.18844211","-0.33426422"," 1.24137103","-0.01206848","-0.08708634","-0.21103982"," 0.55474247","-0.35057239"," 0.75625473","-0.36309391"," 0.11301949","-1.43392595","-0.03604261","-0.28387389","-0.56399102"
"M1013.583T1248.821"," 0.01989347","-0.34308959"," 0.19937858"," 0.25750872"," 0.11126427"," 1.23753718"," 0.04508809","-0.07322931"," 0.01054514"," 0.47880199","-0.01839118"," 0.57864524","-0.05553252"," 0.31427260","-2.38671977","-0.09568376","-0.18842787","-0.09186127"
"M968.577T1247.645"," 0.07658847","-1.34153132"," 0.12106429"," 0.31593395"," 0.10185580"," 1.37438116","-0.06213695"," 0.02007189","-0.09855435"," 0.59922168","-0.09621077"," 0.66943762","-0.08584629"," 0.38356174","-1.41568128","-0.09678273","-0.30424209","-0.16113081"
"M559.618T1204.987"," 0.253952833","-0.021393909"," 0.553223247","-0.307520637"," 0.174261532"," 0.992084293","-0.003035616","-0.497893893","-0.883952864"," 0.873447774"," 0.037339879"," 0.910854531"," 0.606206048"," 0.052471242","-1.936462482","-0.081990038"," 0.225886554","-0.947478494"
"M923.451T1327.672","-0.06095442"," 0.02069567"," 0.39267349"," 0.22169234","-0.17386993"," 1.27267361","-0.06795867","-0.14238665"," 0.03042055"," 0.60682669","-0.35110909"," 0.73221670","-0.38357732"," 0.16060439","-1.46280848","-0.13763868","-0.33603635","-0.32146384"
"M917.49T1360.024","-0.41740549"," 0.05656413"," 0.35526244"," 0.15398672","-0.14656738"," 1.25555209","-0.04455448"," 0.27807254"," 0.05318815"," 0.59966227","-0.24740344"," 0.74290538","-0.28433791"," 0.22248875","-1.55784058","-0.25051274","-0.23760334","-0.53145711"
"M875.467T1241.171"," 0.16769609","-0.82123982"," 0.36985243"," 0.11339039","-0.03838324"," 1.22417247"," 0.09152253"," 0.24780298"," 0.05437593"," 0.24192410","-0.18224589"," 0.72315965"," 0.01274717"," 0.24292131","-2.40600274"," 0.03101969","-0.09387523"," 0.02116217"
"M1085.513T1348.399","-0.01044344","-0.35962893"," 0.21270260"," 0.05152319"," 0.26630278"," 1.16725291"," 0.03474038","-0.07006240"," 0.12745569"," 0.43139328"," 0.02492435"," 0.67182191"," 0.03257500"," 0.33258064","-2.66642064","-0.06213957","-0.11357010","-0.07100763"
"M466.978T106.664","-0.22355811","-0.14363822"," 0.21040704"," 0.49536262"," 0.05700376"," 1.16889150"," 0.27918788","-0.50093363","-0.03831059"," 0.61751723","-0.07470211"," 0.23324002"," 0.06018889"," 0.44856399","-1.45382442","-0.41093355","-0.39554675","-0.32891554"
"M851.519T1328.051"," 0.09961875"," 0.12325380"," 0.39712676"," 0.25097808","-0.13766651"," 1.07047236"," 0.01939581"," 0.04823872"," 0.07761252"," 0.49451552","-0.17112780"," 0.66209216","-0.14512180"," 0.21682059","-2.66439066","-0.10507219","-0.16879151","-0.06795460"
"M861.451T1062.153","-0.14322626","-0.31438423"," 0.55957252","-0.10053562","-0.34771510"," 1.56423863","-0.13556370"," 0.13773883","-0.03089126"," 0.19397088","-0.51090648"," 0.44258834","-0.41761960"," 0.44039615","-0.89245119","-0.13526255","-0.26358341","-0.04636597"
"M559.975T1203.448"," 0.13252643"," 1.36450024"," 0.37216827","-0.28027609"," 0.53226621"," 0.86960769","-0.48290091","-1.03474162","-0.58090234"," 0.55958828"," 0.20441281"," 0.59660813"," 0.42649211","-0.12220710","-1.84262423","-0.26962752"," 0.06886919","-0.51375954"
"M545.297T1155.639"," 0.26056432"," 0.07086198"," 0.28302606"," 0.22502016"," 0.23758314"," 1.07438775","-0.20615248","-0.61503896","-0.66379692"," 0.73560189","-0.04971977","-0.17379873","-0.15618446"," 0.11453523","-1.32560170"," 0.08624762","-0.25100538"," 0.35347024"
"M1059.606T1053.565"," 0.548240377","-0.090726308"," 0.688800699"," 0.793454598","-0.154091100"," 1.140024223"," 0.006550398","-0.536699718","-0.565548436"," 0.861588646","-0.141226598"," 0.621791610"," 0.322655515","-0.198763345","-1.436599219","-2.188936950"," 0.053480069"," 0.276005537"
"M1096.195T893.605","-0.29530684","-0.62265646"," 0.42454850"," 0.39876436","-0.08023812"," 1.54672252","-0.01009244","-0.03243870","-0.06059715"," 0.84284860","-0.42148630"," 0.65078478","-0.29321488"," 0.13624533","-1.79495465","-0.33620302"," 0.01905757","-0.07178310"
"M180.067T785.272","-0.183171858","-1.984560625"," 0.138915016","-0.539498484"," 0.005551268"," 1.033492606"," 0.133573109"," 0.147422777","-0.135676628"," 1.080811346","-0.256762368"," 0.261976956"," 0.226716284"," 0.591528225","-1.067495122","-0.190205887"," 0.265047569"," 0.472335814"
"M849.51T1359.918"," 0.03035785"," 0.06689028"," 0.40818660"," 0.16507960","-0.23085488"," 1.26936684","-0.08373653","-0.07919550"," 0.03748178"," 0.49246836","-0.26725374"," 0.78423309","-0.27034887"," 0.20836166","-1.58280494","-0.30855939","-0.38372885","-0.25594337"
"M633.053T106.254","-0.34485257","-0.12002136"," 0.19091875"," 0.01778913"," 0.24320448"," 1.27218465"," 0.13917133","-0.24184419","-0.09839173"," 0.82975536","-0.16066875"," 0.50155115","-0.18342523"," 0.27625207","-1.49435306","-0.37278726","-0.27871229","-0.17577047"
"M1014.89T1344.191"," 0.188784517","-0.393073193"," 0.161310154","-0.200390612"," 0.355175077"," 1.186920115"," 0.086574184","-0.130103024"," 0.042492065"," 0.282293512"," 0.157444118"," 0.582311594","-0.063085523"," 0.408616553","-2.546350598","-0.073904784","-0.035148176","-0.009865979"
"M473.173T806.642"," 0.232946656","-0.538526156"," 0.134889741","-0.005130009"," 0.699801448"," 1.163226258"," 0.088570279"," 0.003040005","-0.454709762"," 0.774954732"," 0.002877826"," 0.647632748"," 0.181258048"," 0.134450446","-1.619977337","-0.687359892","-0.034833347","-0.723111685"
"M1269.507T907.7","-0.18360692"," 0.05899518"," 0.36561386"," 0.20410054"," 0.13086115"," 0.78270686","-0.08882284","-0.35705822"," 0.08520072"," 0.75568290","-0.14086731"," 0.36529540"," 0.20406972"," 0.40870155","-2.58430991","-0.02278954","-0.09154857"," 0.10777544"
"M985.574T1225.672"," 0.19191646","-0.44195041"," 0.25069044"," 0.06087649"," 0.29657139"," 1.01744005"," 0.05528860","-0.23839333"," 0.18130492"," 0.60304685"," 0.06534781"," 0.72532300","-0.06397945"," 0.37141108","-2.73455719"," 0.01000563","-0.30783685","-0.04250549"
"M1030.586T1195.906"," 0.097411629","-0.337818839"," 0.261981675"," 0.068868467"," 0.157099240"," 1.223719452","-0.001588776","-0.123487109","-0.040960773"," 0.689149441","-0.054485558"," 0.657154785","-0.185902717"," 0.326530486","-2.223081186","-0.091310227","-0.258958500","-0.164321489"
"M1097.549T894.492","-0.126030361","-0.556642093"," 0.450462086"," 0.206766231"," 0.048081028"," 1.184414722"," 0.187140961","-0.033648600","-0.161095049"," 0.848752737","-0.162788467"," 0.576175652","-0.498853274"," 0.259459036","-2.269454442","-0.020049008","-0.008847753"," 0.076156594"
"M901.267T743.636"," 0.04008728","-0.07450049"," 0.59467571"," 0.23699414","-2.11466678"," 1.10175394","-0.18972403"," 0.20802827"," 0.21013842"," 0.94034017","-0.27677330"," 0.55262890"," 0.14098607"," 0.27747459","-1.53807527"," 0.26888579","-0.15821613","-0.22003728"
"M779.462T1401.836"," 0.187053303"," 0.429158416"," 0.684727015"," 0.318553312","-0.424449659"," 1.080525397","-0.082838828"," 0.015788334"," 0.172628516"," 0.388051967","-0.251821530"," 0.404521924","-0.555785828"," 0.174398161","-2.193072108","-0.123534436","-0.228231892"," 0.004327936"
