"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M1167.685T1193.412"," 0.202457692","-2.356887840"," 0.366913144"," 0.469892026"," 0.527477526"," 1.130646270"," 0.240433456","-0.293007144","-0.544818516"," 1.130309395"," 0.066117148"," 0.071584300"," 0.007443266"," 0.412902845","-1.579494600"," 0.072629288","-0.079851598"," 0.155253343"
"M771.369T883.552","-0.189706746","-0.907534625"," 0.604477567"," 0.150647522"," 0.267277668"," 1.009686583","-0.294599684","-0.428489008"," 0.006084786"," 1.371328091"," 0.034108582"," 0.420336406"," 0.060717365"," 0.406432994","-2.140941612"," 0.019758686","-0.240927938","-0.148656635"
"M673.289T892.945","-0.113941324","-0.421285823"," 0.025705847","-0.011505194"," 0.060691647"," 1.197600194","-0.164751697"," 0.007426506"," 0.091608042"," 0.893346493"," 0.005355767"," 0.434518665","-0.010620048"," 0.447482720","-2.205333599","-0.066289872","-0.167358242","-0.002650080"
"M833.365T968.818","-0.1113949","-2.3384473"," 0.4528465","-0.1516607","-0.5695852"," 0.7929406","-0.4935444"," 0.4548147"," 0.2798131"," 0.2648482"," 0.1119352"," 1.3839518"," 0.1800575"," 0.8468350","-1.5798653"," 0.1048786"," 0.0772006"," 0.2943758"
"M656.69T947.865","-0.050149231"," 0.002569348"," 0.375726359"," 0.066185070"," 0.394789914"," 1.426192824","-0.004730155","-0.106836456"," 0.204229251"," 0.623063836","-0.021705887"," 0.362689998","-0.098983659"," 0.196744458","-2.474389177"," 0.116517366"," 0.174257102","-1.186170961"
"M1294.437T316.362"," 0.35200261","-2.36300763"," 0.03356724","-0.15911280"," 0.74149529"," 0.70186874"," 0.66266801"," 0.76361773"," 0.50835461","-0.06065945","-0.35739976"," 0.59909796"," 0.21073035"," 0.09057350","-1.55574180","-0.19499151","-0.05232049"," 0.07925741"
"M893.38T934.735"," 0.17156177","-1.62363818"," 0.23923033","-0.21076610"," 0.17353045"," 1.07632563","-0.14398543","-0.06902264"," 0.19399394"," 0.99106596"," 0.14258790"," 0.57079254"," 0.06096006"," 0.50559428","-2.17013764"," 0.12849998"," 0.06504229","-0.10163514"
"M350.125T836.957","-1.0154041"," 0.2097703"," 0.5319727"," 0.6808560"," 0.4493734"," 0.9602367","-0.4358908"," 0.3416164","-1.7443449"," 1.1064347"," 0.2744860"," 0.5383048","-1.8393835"," 0.6890247","-1.1480934"," 0.2685713"," 0.4233871","-0.2909175"
"M1509.388T983.04","-0.18160905","-0.19644479"," 0.59235051","-1.74363114","-0.48384732"," 1.23540120"," 0.08036716","-0.16353507"," 0.02716711"," 1.15332519","-0.09009358"," 0.41554099"," 0.66297385","-0.49244158","-0.58108972","-0.04729113"," 0.08797073","-0.27511336"
"M393.176T847.594"," 0.02681706","-0.57335036"," 0.35807323"," 0.02109916","-0.04981481"," 0.91032660","-0.16475192","-0.34734600"," 0.21539454"," 0.75356679","-0.16322538"," 0.76398493"," 0.16301768"," 0.43834035","-2.21085899"," 0.04756483","-0.21471512"," 0.02587742"
"M1031.994T1223.73"," 0.19647610","-0.47461487"," 0.13990659"," 0.16469891"," 0.47723960"," 1.19057979","-0.07010329","-0.08024136"," 0.16985515"," 0.49029835"," 0.04858331"," 0.67154432","-0.42984680"," 0.18125938","-2.26973289","-0.14008699","-0.12370545","-0.14210986"
"M981.364T901.259"," 0.03889559","-2.42196930"," 0.28226819","-0.29115976"," 0.20224243"," 0.87081019","-0.18673962"," 0.08800934"," 0.12390199"," 0.80315048"," 0.14338501"," 0.66029091"," 0.20666431"," 0.59114472","-1.61610035"," 0.31426250"," 0.08275771"," 0.10818566"
"M455.151T768.715","-0.07006899","-0.11372224"," 0.19922167"," 0.18619106","-0.14153182"," 1.08695546","-0.06988780","-0.11362237"," 0.02729453"," 0.74180832","-0.17497447"," 0.47340875"," 0.11092217"," 0.36681676","-2.28918224","-0.04417045","-0.26697736"," 0.09151904"
"M1201.826T909.258"," 0.14040043"," 0.06770106","-0.10548390","-1.88208177"," 0.66229316","-1.04053827","-1.96047253"," 0.39988378"," 0.57369989"," 1.36921090"," 0.56253844"," 0.56086947"," 0.27017123"," 0.52426924","-1.28957901"," 0.70110006"," 0.26308750"," 0.18293031"
"M653.935T315.929"," 0.05794619","-1.56692745"," 0.12225697","-0.09776130"," 0.21330060"," 1.20058237","-0.04144714","-0.27127175"," 0.28759696"," 0.88814485","-0.07574227"," 0.56523976"," 0.06407581"," 0.30836020","-1.29366743","-0.17138625","-0.07259418","-0.11670593"
"M865.491T1326.551"," 0.05605380","-0.42619437"," 0.52878504","-0.09320916","-0.25595227"," 1.31378583","-0.12063426","-0.06253605"," 0.11847181"," 0.49211405","-0.27749366"," 0.91241406","-0.30751192"," 0.15550263","-1.06008632","-0.26808951","-0.39074395","-0.31467574"
"M449.202T630.506","-0.01643701","-0.61436315"," 0.14353197","-0.02935799"," 0.37052978"," 1.23914453","-0.83538834","-0.02183695"," 0.02245845"," 0.76780192"," 0.03680625"," 0.70160130","-0.05576242"," 0.35719286","-1.52687135","-0.22037040","-0.29503531","-0.02364413"
"M677.403T1190.152"," 0.012287449","-0.038147762","-0.069565341"," 0.339843615"," 0.396192677"," 1.317650979"," 0.024125505","-0.504703094","-0.794724899"," 0.919623588"," 0.291611235","-0.014432648","-0.191441670"," 0.501223006","-2.171709713","-0.004674545"," 0.051857240","-0.065015623"
"M437.065T776.272"," 0.1465054391","-0.2919269779"," 0.2395488727"," 0.0549719297"," 0.1041703522"," 1.2336624554","-0.0656153318","-0.0776740224"," 0.1601417035"," 0.9122377265","-0.0185191276"," 0.5566122683","-0.1815173860"," 0.0003715437","-1.9614939808","-0.1960381225","-0.1941523579","-0.4212849843"
"M268.959T125.12"," 0.046304960","-0.373722485"," 0.348523224"," 0.001695568"," 0.088505398"," 1.313355515"," 0.208727400","-0.317069033","-0.246909255"," 0.784052055","-0.060485390"," 0.579680790","-0.070048742"," 0.161918323","-2.372696653","-0.097436264"," 0.009352578","-0.003747988"
"M551.272T837.928","-0.120937845","-0.200583454"," 0.198528128"," 0.198547361"," 0.180823569"," 0.995204517","-0.294102140"," 0.415548559","-0.230047769"," 0.619304361","-0.139812838"," 0.371506592","-0.203045069"," 0.313620817","-2.416757492"," 0.270528568"," 0.007998507"," 0.033675629"
"M267.4T1582.439","-0.19635939","-0.31360698"," 0.35338619","-0.20439207"," 0.32922304"," 1.47281977","-0.70892290","-0.76570849","-0.29402729"," 0.68526447","-0.16714818"," 0.37858950","-0.40400222"," 0.05610654"," 0.44809606","-0.12800129","-0.19855940","-0.34275736"
"M456.197T892.811","-0.061586383","-0.783663297"," 0.186799627","-0.290572570","-0.114611813"," 0.918172556","-0.318444338"," 0.283282099","-0.038210207"," 0.850624715","-0.161096346"," 0.764065064"," 0.030281577"," 0.411640553","-1.536456395"," 0.001811955","-0.094905231","-0.047131570"
"M783.304T1161.409","-0.30763376"," 0.40912800"," 0.42642281"," 0.78227381","-0.07145406"," 1.33980915","-0.40429042","-1.07227894","-0.28392081"," 1.15386901"," 0.29699759"," 0.17295093","-0.39328723"," 0.54921336","-1.81787584","-0.23608319","-0.14807839","-0.39576201"
"M489.125T757.244"," 0.03281079","-0.41624586"," 0.19695418"," 0.14902646"," 0.14887627"," 1.05990267","-0.29143414","-0.22246642"," 0.20091026"," 0.86123600"," 0.10397017"," 0.70111740","-0.34990290"," 0.40455467","-1.93475003","-0.27162951","-0.13814237","-0.23478765"
"M309.61T1127.503","-0.06233316","-0.47394711","-0.09892660","-0.15838464"," 0.35424069"," 1.51122095","-0.08528885","-0.58050957","-0.24195671"," 1.02289178"," 0.15829748","-0.08153930","-0.27498484"," 0.40361974","-1.04842008","-0.09601234","-0.12438405","-0.12358339"
"M356.995T88.504"," 0.14477383","-0.87726234"," 0.07785625"," 0.08807273","-0.26576744"," 1.42102074","-0.66477934","-0.15577458","-0.23180915"," 1.04804841"," 0.26485960"," 0.32811362","-0.01168977"," 0.37323392","-0.45311730","-0.11697864","-0.15547388","-0.81332666"
"M391.157T830.263"," 0.24027290","-0.42662712"," 0.18971706","-0.28066287"," 0.42514601"," 1.26393359","-0.56172023"," 0.04737334","-0.20251909"," 0.65539450","-0.05304840"," 0.64521172"," 0.04342711"," 0.47342239","-2.21222584","-0.19301067","-0.02106460","-0.03301982"
"M653.954T320.858","-0.01200814","-1.21230084"," 0.12856369","-0.11854923"," 0.12778892"," 1.30934166","-0.07645875","-0.34147552"," 0.15515962"," 0.87609934","-0.24009742"," 0.62098517","-0.19576943"," 0.50663970","-0.87888797","-0.25023597","-0.18459029","-0.21420454"
"M515.013T86.132"," 0.23232564","-0.23625679"," 0.78525980","-0.15704560"," 0.36549928"," 1.15129519"," 0.29905353"," 0.15376229","-2.44549773"," 0.82662046"," 0.02455598","-2.11008862"," 0.12671876"," 0.41509536"," 0.06393762"," 0.11525664"," 0.19276010"," 0.19674809"
"M567.778T908.116","-0.172461420","-0.390698940"," 0.307234909","-0.002391035"," 0.221132767"," 0.620265119"," 0.052832603","-0.275779368"," 0.140343277"," 0.798661891","-0.261315476"," 0.471434529"," 0.133196918"," 0.576685144","-2.349633555"," 0.092503413","-0.201479457"," 0.239468680"
"M559.667T1200.71","-1.03643038"," 0.57732307","-0.04357739"," 0.04105615"," 0.58009276"," 0.88991185","-0.08018385","-0.49613706"," 0.10247087"," 0.96326793","-0.02766450"," 0.50716102"," 0.07463928"," 0.08752969","-1.64938762","-0.41833042","-0.13306806"," 0.06132666"
"M426.969T90.522","-0.38103709"," 0.86615041"," 0.36788105"," 0.21327212"," 0.03741863"," 1.34846000","-0.35464889","-0.17692603","-0.44340045"," 1.03608115","-0.37406573"," 0.11140863","-0.35209020","-0.09746102","-0.31723348","-0.42800397","-0.52410945","-0.53169569"
"M455.193T892.238","-0.46349158","-0.59692771"," 0.30954957","-0.16762186"," 0.29376253"," 0.98462512"," 0.12323695"," 0.43002414","-0.42335656"," 0.71237994","-0.35570432"," 0.97580928"," 0.07796292"," 0.23951837","-1.70557315","-0.20586197"," 0.08053387","-0.30886555"
"M463.049T87.708","-0.16268151","-0.34280556","-0.40412654","-0.02996777"," 0.25552399"," 1.31188087"," 0.01680262","-0.61555418","-0.28352436"," 1.08242676","-0.03040796"," 0.28789854","-0.13008264"," 0.23981688","-0.28339761","-0.38710034","-0.32661311","-0.19808809"
"M651.363T1268.695","-0.32718405"," 0.13122176"," 0.32697879"," 0.41189582"," 0.47257161"," 0.88181716","-0.21520583","-0.53904569","-1.04113586"," 1.45285526","-0.07739177"," 0.34238331","-0.29394951"," 0.20786289","-1.30391763"," 0.08011586","-0.08567312","-0.42419901"
"M625.144T814.498"," 0.15226441","-0.48358386","-0.88614811"," 0.18315224","-0.14799788"," 1.01611752","-0.28789680","-0.11680865","-0.26113391"," 1.67125682"," 0.33563118"," 0.25967681","-0.16643680"," 0.74847872","-1.28759671","-0.63468907"," 0.06121125","-0.15549718"
"M378.609T1368.205","-0.03814417"," 0.26789996","-0.12909130"," 0.33190705"," 0.38780608"," 1.28659995"," 0.07174578","-0.71931250","-0.57833782"," 1.14730023"," 0.14321322","-0.12404643","-0.24334384"," 0.43410423","-1.84594747","-0.04305429","-0.27385821","-0.07544045"
"M1255.613T888.434","-0.09268502","-0.82637123"," 0.10277961"," 0.30723322"," 0.12651809"," 0.94800188"," 0.25565620"," 0.22457500","-0.05227137"," 0.88821123","-0.30828736"," 0.20840460"," 0.09230181"," 0.26827530","-2.55189438"," 0.05443236"," 0.13315615"," 0.22196390"
"M953.506T1151.909","-0.015068124","-0.190759797"," 0.446127071"," 0.059061612","-0.021596220"," 1.162360562","-0.469754048"," 0.197079756"," 0.168383202"," 0.464560961"," 0.004494768"," 0.627698340","-0.084858586"," 0.226209921","-2.496975799"," 0.064393094","-0.073112441","-0.068244271"
"M689.274T1192.785"," 0.09394896","-0.28051926"," 0.15100651"," 0.15265674","-0.13967794"," 1.04768191"," 0.25188928","-0.37173071","-0.03136335"," 1.11137981","-0.33627688"," 0.84702880","-0.15064981"," 0.18114051","-2.15690927","-0.32380883","-0.22337809"," 0.17758161"
"M701.195T940.853","-0.0621425605","-0.6462598244"," 0.5186109268"," 0.0672440119"," 0.5619643398"," 1.0107642406","-0.1532900181"," 0.0005879901","-0.0306963907"," 0.7881671555","-0.1774972781"," 0.4718657735"," 0.1107887703"," 0.3282821424","-2.2188784183","-0.2634810763","-0.0478482615","-0.2581815229"
"M609.669T833.529","-0.08640988","-0.21913472"," 0.39876225"," 0.30549261"," 0.23379085"," 1.05520875"," 0.36403859","-0.12117958","-1.71399226"," 1.22403909"," 0.19968705"," 0.09693066","-0.50592139"," 0.01798840","-0.91872366","-0.32074647","-0.33744498"," 0.32761468"
"M481.1T876.627","-0.37202660"," 0.25172242"," 0.39923135"," 0.27109360"," 0.07661184"," 1.33405166","-0.22183311"," 0.24995076","-0.92559286"," 0.86629128","-0.15071605","-0.32169694","-0.30486796"," 0.39839853","-1.21742440"," 0.03068863","-0.32641397","-0.03746818"
"M573.017T749.518"," 0.05516314","-0.16739722"," 0.52192739"," 0.48750739","-0.19036065"," 1.13100194"," 0.30653899","-0.27276955"," 0.08777924"," 1.04279817","-0.02919810"," 0.24086631","-0.38721580"," 0.37369697","-2.10751690"," 0.08417166","-0.07473856","-1.10225444"
"M587.201T848.147"," 0.13683286","-2.30848676"," 0.31081154"," 0.12371962"," 0.16489460"," 1.12054594","-0.06788698","-0.36720277"," 0.10268730"," 0.66586369"," 0.11254130"," 0.61273910"," 0.15205384"," 0.57181107","-1.46948953"," 0.05886064","-0.03676664"," 0.11647119"
"M429.419T313.767","-0.13948133","-0.80035216"," 0.30936009"," 0.25292774"," 0.39577076"," 1.19545893","-0.21625819","-0.63473638","-0.06368617"," 0.99404107","-0.05343921"," 0.67895723"," 0.13960486"," 0.18107623","-1.51329146","-0.24650205"," 0.04018736","-0.51963733"
"M1223.501T894.767","-0.25831254","-0.83798362"," 0.57208764"," 0.42797456"," 0.15227669"," 1.54851566"," 0.18725905","-0.32806252","-0.35706527"," 0.98401115","-0.35495629"," 0.70247789","-0.55104871","-0.15678193","-1.39868436","-0.13377682","-0.13688047","-0.06105011"
"M1014.419T974.744","-0.38346080","-2.10589914"," 0.48761353","-1.20639709"," 0.71648153"," 1.37907763","-0.70866019"," 0.15447817","-0.58042131"," 0.62202114"," 0.05720419"," 0.63389385"," 0.53602727"," 0.83841339","-1.37552533"," 0.38579346"," 0.25855597"," 0.29080374"
"M294.469T1200.672","-0.008197972","-0.041475379"," 0.169113872"," 0.342903428"," 0.487923882"," 1.233773496","-0.230582450","-0.564841000","-0.301077446"," 0.823066725","-0.057274405"," 0.291773087","-0.152099626"," 0.446792503","-2.538244879"," 0.050051269"," 0.021049826"," 0.027345070"
"M1094.116T900.295","-0.22929400","-0.60481150"," 0.89484412","-0.21482203"," 0.48525306"," 2.24679637","-1.81561855","-0.36777438"," 0.01499036","-0.23943769","-0.34715129"," 0.74992321"," 0.00538294"," 0.12571727","-1.07871763"," 0.08469967"," 0.37715897","-0.08713891"
"M383.555T317.319","-0.0009333123","-0.9215787415"," 0.2414503453"," 0.0981236890"," 0.2144820346"," 1.2849923700","-0.0200302860","-0.3436373182","-0.9081056208"," 1.0136407574","-0.0792608185"," 0.6167314089","-0.0142078080"," 0.2921041704","-1.1825946260","-0.0964717237","-0.1477345764","-0.0469699442"
"M1074.289T1194.304"," 0.15448944","-0.55016853"," 0.47352263"," 0.51101183"," 0.03872429"," 1.02488690"," 0.03860935"," 0.36327620","-1.89387092"," 1.13060242","-2.01591149"," 0.91635694"," 0.19972235"," 0.57418612","-1.30826657"," 0.11605291"," 0.10707289"," 0.11970325"
"M743.208T992.462","-0.29522204","-0.57851161"," 0.70613825"," 0.20289425"," 0.15889932"," 1.02835158"," 0.11225646"," 0.11713531","-0.24246048"," 0.65340949","-0.38851738","-0.02860210"," 0.30718922"," 0.12313334","-1.80744744","-0.25551822"," 0.05814993"," 0.12872211"
"M1305.428T315.265"," 0.289707686","-2.599792607"," 0.380079733","-0.128139111"," 0.508609595"," 0.833813248"," 0.478529618"," 0.402141168"," 0.351691404"," 0.389976267","-0.072457596"," 0.702317185"," 0.081289091"," 0.191152303","-1.841957943"," 0.014135363"," 0.009294650"," 0.009609946"
"M354.305T750.63"," 0.7893129"," 0.6050090","-0.8774482"," 0.6955981","-0.9008056"," 1.4490906","-1.1068274","-1.2990280"," 0.7425081"," 0.4458537"," 0.2560828"," 0.4806554","-1.0988181"," 0.1749273","-0.3808974"," 0.5700441"," 0.5805095","-1.1257668"
"M593.857T757.673","-0.043738327","-0.007237931"," 0.463420160","-0.342686530","-0.522186731"," 1.142200090","-0.486263785","-0.281273841"," 0.040457385"," 1.232411418","-0.276271991"," 0.449350956","-0.016660800"," 0.143251980","-0.209721421"," 0.024532419","-0.342654372","-0.966928677"
"M569.35T895.921","-0.216660191","-0.545649981"," 0.419789378"," 0.335406080"," 0.052461036"," 1.327629774"," 0.160577905","-0.258000985"," 0.059309018"," 0.992900910","-0.330260071"," 0.510626126","-0.361692083"," 0.225818724","-2.378697904"," 0.007644617","-0.042833098"," 0.041630743"
"M423.224T921.021","-0.02247738","-0.28710500","-0.23959901"," 0.06260435"," 0.22252415"," 1.34314592","-0.17411490","-0.53750741","-0.21369979"," 0.65670939","-0.14727313"," 0.63426029","-0.16643147"," 0.43593498","-1.22203569","-0.13035851","-0.30472184"," 0.09014504"
"M325.2T1323.486","-0.21688253","-0.14832266","-0.05003089","-0.03977324","-0.23887764"," 1.47362391","-0.11521847","-0.56960825","-0.18662355"," 0.88465983","-0.43259585"," 0.42764602","-0.28082713"," 0.14858420"," 0.48570676","-0.53924480","-0.27349262","-0.32872310"
"M417.058T1084.972"," 0.64074780"," 0.13265082"," 0.20585447"," 0.73931048"," 0.05644742"," 1.21047518","-2.14515104","-0.71116748","-0.52010438","-1.41877603"," 0.03452424"," 0.31631322"," 0.60539360"," 0.71184754"," 0.57484704"," 0.38267057"," 0.31887529","-1.13475876"
"M392.288T1179.554","-0.47497893","-0.57996059","-0.24138199","-0.42566010","-0.27116635"," 0.73563798","-0.53380929","-0.77863850","-0.39775581"," 0.40367147","-0.56231839"," 0.05177972","-0.52360168","-0.21564384"," 0.39195038"," 0.68548821"," 1.36755966"," 1.36882806"
"M269.103T792.774","-0.058907553","-0.580924231"," 0.390890611","-1.341790255"," 0.425393999"," 1.425903187"," 0.209500707","-0.709734641"," 0.265109496"," 0.771635333","-0.541145561"," 0.903884972","-0.308066663"," 0.570680445","-1.561740191"," 0.004195974"," 0.207369279","-0.072254912"
"M637.025T106.841","-0.070855953","-0.620452146"," 0.045125482"," 0.158276279"," 0.163730228"," 1.379410760","-0.198539528","-0.112351517"," 0.182276247"," 0.746884988","-0.208130754"," 0.534822911","-0.071311646"," 0.315855120","-2.326776016"," 0.217382089","-0.144885407"," 0.009538865"
"M696.291T1183.733"," 0.1371700744","-0.3565371354"," 0.3211646779"," 0.0985211829"," 0.0140581609"," 1.1640599731"," 0.0401157385","-0.0091921622","-0.0009218589"," 0.8240237666","-0.2294402777"," 0.6396657372"," 0.1061679314"," 0.1578365070","-2.3727631519","-0.0954087930","-0.2225493130","-0.2159710578"
"M334.932T113.331","-0.150088472","-0.368176427"," 0.218417199","-0.153999289","-0.005868436"," 1.349283260"," 0.008245628","-0.360404272","-0.320760021"," 0.840925783","-0.352159873"," 0.566741414","-0.086975835"," 0.220401975","-0.695343340","-0.217533183","-0.324660860","-0.168045248"
"M433.784T801.352"," 0.04075509","-0.63263074","-0.05618425","-0.24526637"," 0.21887151"," 1.39629927","-0.05526340","-0.04148461"," 0.06394218"," 0.66399358","-0.41825870"," 0.90921576","-0.35466845"," 0.37462913","-1.29364292","-0.28857205","-0.17854843","-0.10318660"
"M1197.053T906.963","-0.26834697","-2.14912307"," 0.93553320"," 0.48673382"," 0.30039318","-1.06078168"," 0.14197440"," 0.14999145","-0.51585244"," 0.85929003","-0.06994301"," 0.73778543"," 0.12009389"," 0.51839703","-1.34507993"," 0.41882153"," 0.33430355"," 0.40580961"
"M1048.557T894.929","-0.248288653","-0.574586928"," 0.497004498"," 0.237030825","-0.125989402"," 1.460807472"," 0.106839024","-0.347856084","-0.079106640"," 0.734471947","-0.375190741"," 0.794612489","-0.327478054"," 0.209025119","-1.782708233","-0.021189749","-0.163052473"," 0.005655582"
"M1029.626T1193.853"," 0.22981202"," 0.13375078"," 0.17127744"," 0.19824031"," 0.36544385"," 0.85635533"," 0.25796222","-0.44170833","-0.42105238"," 0.94205278"," 0.01553948"," 0.40662432","-0.04247057"," 0.38448531","-2.96123916","-0.10295694","-0.06192796"," 0.06981149"
"M295.104T156.471"," 0.03763358","-0.26880803"," 0.35744079"," 0.17289776"," 0.21912702"," 1.11849636"," 0.08428449","-0.08695161","-0.15334919"," 0.83739985","-0.12072975"," 0.40660644","-0.12047052"," 0.24897781","-2.48654197","-0.02494202","-0.20443919","-0.01663183"
"M709.191T748.676"," 0.04118871","-0.30355229"," 0.87782152"," 0.52061336","-0.54547534"," 0.74152385"," 0.46317954","-0.13398093"," 0.17605541"," 1.07391877","-0.07788979"," 0.15560022","-0.58603508"," 0.13974827","-2.05095618"," 0.04583574"," 0.06633925","-0.60393502"
"M692.265T869.57"," 0.171428767","-1.598259627"," 0.154209338","-0.133798974"," 0.388940582"," 1.545996924"," 0.042021080"," 0.007814828"," 0.132548152"," 0.616304510"," 0.183477476"," 0.328877117","-0.049363557"," 0.486891466","-2.104993775","-0.030424290","-0.006023199","-0.135646818"
"M354.093T750.969"," 0.15059162","-0.09092568"," 0.60502341"," 0.58731125","-0.21094856"," 0.96277245"," 0.42154614","-0.24101916"," 0.33407937"," 1.05577653"," 0.07117378"," 0.31665798","-0.40139320"," 0.31430505","-2.43660556"," 0.08290101","-0.30444659","-1.21679985"
"M339.098T806.181"," 0.3373309562"," 0.2755339314"," 0.4580958738"," 0.2497337690","-0.0002627768"," 1.5132144607"," 0.3926150600"," 0.0978437630"," 0.1912512542"," 0.7917793365","-1.5078042283"," 0.7386558238","-1.4749050900","-1.2132647644","-0.6971516367"," 0.0245526410","-0.2225646726"," 0.0453462993"
"M377.472T1369.598"," 0.04748938"," 0.26731648","-0.19187996"," 0.52643465"," 0.56380863"," 1.05115639"," 0.15444722","-0.94135032","-0.48700816"," 1.03875409","-0.14705841","-0.09656836","-0.07866494","-0.53316619","-1.38021383","-0.16235716"," 0.11151298"," 0.25734752"
"M398.263T1317.762"," 0.07588632","-0.16385749"," 0.79064441","-0.07507254","-0.11138496"," 1.14489482"," 0.01674953","-0.29632834","-0.12160778"," 0.90666864","-0.22204956"," 0.70504619","-0.21278757","-0.25373826","-1.46833192","-0.35174418","-0.12824628","-0.23474103"
"M1095.152T896.897"," 0.07690743","-0.45927176"," 1.21007979"," 0.21811280"," 0.55259705"," 1.66403597","-0.59414551","-0.91986143"," 0.35605926","-1.47215587","-0.32835219"," 0.94133340","-0.61047043"," 0.29019130","-1.48138395"," 0.47031151","-0.23319096"," 0.31920360"
"M278.88T96.95","-0.385061135","-0.781426983"," 0.190673292","-0.893694397","-0.463244441"," 0.526252105"," 0.706608297","-0.026237276","-0.006075126"," 0.311314557"," 0.298149000"," 1.389199888","-0.476953350"," 0.910858909","-0.188218415","-0.474105509","-0.302393329","-0.335646089"
"M309.206T1205.9"," 0.056257036","-0.420873780"," 0.165316067"," 0.358805124"," 0.341942423"," 1.245842737","-0.323947140","-0.247862242","-0.255679202"," 0.577363715"," 0.201566531"," 0.386579728","-0.336624360"," 0.544469544","-2.196181935"," 0.003966689","-0.049773113","-0.051167823"
"M623.347T1299.275","-0.14476659","-0.74908475","-0.24729481"," 0.26218759"," 0.57840407"," 1.39671505"," 0.02729958","-0.59408759","-0.07621812"," 0.89528892"," 0.27256988"," 0.04558307","-0.11056630"," 0.25023137","-0.70239227","-0.45562819","-0.24519106","-0.40304984"
"M1351.748T1120.178","-1.52218881","-0.17261143"," 0.73538272","-0.47320067"," 0.48735239"," 1.27617013","-0.22941314","-0.61409306","-0.10560566"," 1.63689677","-0.20585512","-0.25064372"," 0.24780740"," 0.76020501","-1.17157309","-0.11914837","-0.23565285","-0.04382851"
"M807.166T938.699"," 0.22492566","-1.24939464"," 0.10192987","-0.16926409"," 0.48976162"," 0.46525210"," 0.01656198","-0.09686250"," 0.35004212"," 0.63999504"," 0.45663486"," 0.71869928"," 0.35926979"," 0.75566800","-1.49107272"," 0.41437164"," 0.27367891","-2.26019692"
"M653.828T318.352"," 0.07658410","-1.55835737"," 0.18263577"," 0.12719769"," 0.23796192"," 1.20632556","-0.07346711","-0.16721797"," 0.10932599"," 0.82435457","-0.08676031"," 0.53170665","-0.12421640"," 0.26099346","-1.24621332"," 0.06930321","-0.19185065","-0.17830580"
"M1103.415T879.391","-0.1268816835","-1.5800957981","-0.0067763449","-0.3161749911"," 0.3297281767"," 0.8560922527","-0.1727109055"," 0.2262513447"," 0.1257010089"," 0.7014560964","-0.0174565427"," 0.8314523659"," 0.2765459135"," 0.6974779746","-1.9931826646"," 0.1227586026","-0.0004008376"," 0.0462160318"
"M997.975T1403.846"," 0.138366556","-0.065353555"," 0.001673903"," 0.043256126"," 0.184616815"," 1.271605271"," 0.036255612","-0.222615275","-0.255089123"," 0.533831989","-0.093429652"," 0.668080852","-0.081416453"," 0.315162253","-1.987003325","-0.223329831","-0.088595318","-0.176016847"
"M355.571T782.72"," 0.081302294","-0.387393523"," 0.459163268","-1.088742555"," 0.393345162"," 1.334905923"," 0.249014334"," 0.445045723"," 0.078212771"," 0.739365742"," 0.249722721"," 0.196911509","-0.001735875"," 0.485630857","-1.882681348","-1.015820062"," 0.124289618","-0.460536559"
"M399.202T993.604","-0.05776346","-1.57693166","-0.31160892","-0.24111881"," 0.04603915"," 0.48087403"," 0.47463140","-0.23930046"," 0.32184003"," 0.77355475","-0.27882773"," 1.03129796","-0.09217646"," 0.36185824","-1.64361794","-0.19727943"," 0.44783742"," 0.70069188"
"M1455.479T315.262"," 0.31471726","-2.40645941"," 0.45300628","-0.53925947"," 0.63695775"," 0.69062195"," 0.69313513"," 0.62754095"," 0.43647819"," 0.30044735","-0.16993633"," 0.71656968"," 0.12988028","-0.24822490","-1.62047374"," 0.05093952","-0.01558134","-0.05035918"
"M633.572T315.643"," 0.12116153","-1.86312364"," 0.49161820"," 0.26870546"," 0.48527694"," 1.05865485"," 0.10112491","-0.01636746"," 0.31334417"," 0.70280811","-0.37477107"," 0.66306083"," 0.05202949"," 0.04246843","-1.92468263"," 0.04483156","-0.07043566","-0.09570405"
"M1039.403T917.165","-0.21437599","-1.63411312","-0.01182244","-0.36508922"," 0.32115209"," 1.27888430","-0.16022762"," 0.13441280"," 0.10621268"," 0.67244162"," 0.10281987"," 0.59651008"," 0.22776667"," 0.49886061","-2.03544814"," 0.27097638"," 0.10129915"," 0.10974027"
