"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M159.978T67.84,2.316,0.1122,0.95003,0.69292,First-tp_Control - Other; First-tp_Drought - Other; First-tp_Xanthomonas - Other
M738.365T995.342,2.3153,0.11227,0.94973,0.69292,First-tp_Fusarium - Other
M627.173T806.181,2.3145,0.11235,0.94941,0.69292,First-tp_Fusarium - First-tp_Control
M698.988T986.183,2.3127,0.11256,0.94862,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M611.147T106.977,2.3103,0.11282,0.94763,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M379.335T877.312,2.3063,0.11327,0.9459,0.69292,First-tp_Fusarium - First-tp_Control; Other - First-tp_Control
M537.695T1290.37,2.3044,0.11348,0.94509,0.69292,First-tp_Control - Other; First-tp_Drought - Other; First-tp_Xanthomonas - Other
M1043.424T909.662,2.3008,0.11388,0.94354,0.69292,First-tp_Xanthomonas - First-tp_Control
M497.043T88.687,2.2988,0.11411,0.94269,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control
M453.016T88.336,2.2973,0.11427,0.94206,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M471.173T770.868,2.2849,0.11568,0.93675,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M677.702T838.115,2.2846,0.11572,0.93659,0.69292,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - Other
M333.109T769.719,2.2813,0.11609,0.9352,0.69292,First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M437.065T776.272,2.2805,0.11619,0.93485,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M294.948T66.364,2.2791,0.11635,0.93423,0.69292,First-tp_Drought - Other; First-tp_Xanthomonas - Other
M761.09T836.466,2.2767,0.11662,0.93323,0.69292,First-tp_Fusarium - Other
M289.084T863.831,2.2655,0.11792,0.9284,0.69292,First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M477.162T299.232,2.2647,0.11802,0.92806,0.69292,First-tp_Drought - Other
M929.201T835.867,2.2621,0.11832,0.92695,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control
M1201.918T909.936,2.259,0.11869,0.9256,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M1230.792T836.99,2.2578,0.11882,0.92512,0.69292,First-tp_Fusarium - First-tp_Control
M451.007T107.467,2.2562,0.11901,0.92442,0.69292,First-tp_Drought - Other; First-tp_Fusarium - Other
M971.627T318.415,2.2507,0.11966,0.92204,0.69292,""
M870.194T810.976,2.2488,0.11989,0.92122,0.69292,First-tp_Drought - First-tp_Control
M1109.422T909.522,2.2292,0.12224,0.9128,0.69292,""
