"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"M549.285T1194.382",0.024182,-0.0067743,0.012137,0.0089904,0.0033935,0.011113,0.0035828,-0.0047963,0.0088991,-0.0026019,-0.023638,-0.0062502,0.0043383,-0.012981,0.016539,-0.037735,0.02521,-0.0019245
"M1142.636T1197.565",0.028878,0.014848,0.0090473,-0.0018979,-0.0060984,-0.018341,0.016012,0.024861,-0.0091506,0.010134,0.0077059,-0.022042,-0.029458,0.011447,0.039175,0.033766,0.016568,0.0059484
"M377.193T1206.958",0.022473,-0.013296,0.025525,0.0034911,0.0075155,-0.019826,-0.023522,0.06209,0.027392,-0.028032,-0.040529,-0.025857,-0.010034,0.01955,-0.014041,0.0065303,0.023296,0.0026176
"M428.2T856.891",0.020759,0.035475,-0.023184,-0.012245,-0.0074605,-0.007075,0.017289,0.014969,-0.034783,-0.0095256,-0.01515,-0.0056556,-0.0025945,0.024514,0.015525,0.006601,0.0083731,-0.0041145
"M281.069T746.743",0.019834,-0.010214,-0.010964,0.0060283,0.021476,-0.0021102,-0.0052801,-0.0059121,-0.01261,-0.02053,-0.0057358,-0.016581,-0.022236,-0.0078702,-0.041177,0.0086342,-0.024514,-0.0017849
"M703.247T844.715",0.021769,0.019568,-0.053555,-0.0078601,0.0094392,-0.020212,0.008995,0.0033472,0.004849,-0.019236,-0.014562,0.0089151,0.0083124,-0.017827,-0.00083562,0.025141,-0.0008667,0.0025192
"M590.015T907.684",0.026088,-0.0065887,0.030185,-0.0091844,-0.0052036,0.019973,-0.0048153,0.0035528,-0.019922,0.0014685,0.019109,-0.02228,-0.0036169,-0.018079,-0.018389,-0.0011248,0.0020467,0.00099694
"M455.081T704.884",0.025523,0.0012765,0.012759,-0.0043535,0.008666,-0.0016622,0.0024239,0.00028338,-0.0049716,-0.0041687,-0.00010023,-0.012332,-0.0087184,-0.0044838,0.01167,-0.002883,0.00019887,0.0038906
"M535.313T1217.431",0.026999,-0.010547,0.035651,-0.013316,-0.0043122,0.0010544,0.0060506,0.011093,0.018594,0.0048755,0.015058,0.01737,0.010298,-0.012008,0.0032612,-0.022662,-0.010109,0.0015301
"M355.911T67.212",0.014665,-0.0053056,0.014517,0.0082287,0.026474,0.0030231,-0.0046975,0.014162,-0.020986,0.032405,0.014058,-0.021517,0.030197,-0.0021454,-0.020839,0.0034694,0.018859,0.00081684
"M970.813T317.253",0.025548,0.028565,-0.026215,-0.012197,0.0082081,-0.023253,0.024693,0.0069692,0.016482,-0.0036276,0.013236,0.00066558,0.001657,0.0072177,0.010328,0.005953,-0.0006527,-0.0023245
"M839.517T1151.186",0.025706,0.0058248,0.015378,0.010455,0.0053787,0.0091731,-0.032428,0.020639,-0.00040911,-0.036431,0.0096247,0.050999,0.0034153,-0.036217,0.0050828,0.011458,0.0079446,0.0050285
"M997.575T1403.78",0.025862,0.0035369,0.029119,-0.00073413,0.01779,-0.004262,-0.0082362,-0.0028385,0.006166,0.0057582,0.00081625,-0.0017028,0.011532,-0.0059693,-0.0091684,3.8669e-05,-0.0017451,-0.0030446
"M1053.286T316.584",0.031706,0.030609,-0.0089815,-0.017259,0.004964,-0.027209,0.012287,0.0027947,-0.013544,0.0022996,0.0075578,0.0024573,-0.005437,-0.0053157,0.0028466,0.0044245,-0.0039272,-0.0030315
"M575.926T1053.198",0.027553,0.004498,0.027243,-0.0014181,-0.0096421,0.0048517,0.0076239,0.0094253,-0.012449,-0.0023594,0.0019984,0.0075588,-0.015917,-0.028863,-0.021703,0.018744,-0.015331,-0.001619
"M1163.085T907.707",0.023176,0.01782,-0.019589,0.0091088,-0.041615,0.082434,-0.09595,0.017558,0.012686,0.0032058,0.010501,0.020502,-0.0089793,0.002405,0.014861,0.0083798,-0.0093963,0.0040511
"M213.056T916.687",0.026898,-0.014465,0.028443,0.0083248,0.0063011,0.015612,0.0095786,0.02898,-0.029429,0.007065,0.011277,0.012505,0.0080527,0.020213,-0.015522,0.022438,0.02126,0.0013455
"M421.636T753.774",0.019721,-0.012516,0.009304,0.028268,-0.0089845,-0.0025881,0.029125,0.0010617,0.00050777,-0.010949,0.0036102,0.015278,0.00072254,0.032855,-0.014917,0.024589,0.00084303,0.0041569
"M709.31T874.193",0.022815,0.0099464,-0.021943,0.0059844,0.0031039,0.0074488,-0.014337,-0.003056,0.0010688,-0.0059568,0.0098068,0.012319,-0.010468,-0.0087716,0.010129,0.0018087,-0.020619,0.0032448
"M361.589T316.501",0.022884,0.0046149,-0.013381,0.0081216,0.0072896,-0.00066677,0.010102,0.0027849,-0.0016465,0.0046336,-0.00074079,-0.0007267,0.0097921,0.0077585,-0.0075796,-0.0017835,-0.0014132,0.0019488
"M517.099T802.454",0.023586,0.0055221,-0.0038529,0.012225,-0.014551,0.02576,-0.006949,-0.034989,0.024897,-0.031304,0.0029127,-0.028203,0.014145,-0.069477,-0.0062661,0.04676,0.02111,0.0045374
"M404.065T806.181",0.02134,0.013695,-0.02463,0.010379,-0.021158,0.032634,-0.023934,-0.048554,0.034055,-0.0083658,0.0065238,-0.080041,0.088992,-0.063366,0.047556,0.069564,0.0073326,-0.0033546
"M300.263T1305.804",0.0093757,-0.029207,-0.019737,-0.013746,0.018763,-0.014419,-0.035678,-0.033445,-0.014546,0.024392,-0.00035693,0.013554,-0.049218,0.03503,-0.050421,0.035871,0.018244,0.0025814
"M625.227T868.289",0.023963,-0.0096368,0.016119,0.0097829,0.0081788,0.0081334,0.0018613,-0.0062848,0.023464,0.0032404,0.022349,-0.0091191,-0.0089371,0.018542,-0.010304,-0.018793,0.0061907,6.0269e-06
"M982.374T904.236",0.024616,0.014244,-0.017634,-0.017331,0.0035336,0.014586,-0.013211,0.023313,-0.0067124,0.0015595,-0.016049,0.012947,0.0034205,0.017543,-0.0051127,0.017294,0.0043541,-0.0003903
"M412.287T1300.535",0.023148,-0.02579,0.014093,-0.0080723,-0.044472,-0.010407,0.027403,0.020419,0.012147,0.031902,-0.0010444,0.029896,0.017389,0.011013,-0.0019783,-0.0037798,-0.0069557,0.0023385
"M383.433T314.152",0.024436,0.0034546,-0.012711,0.0029879,0.011097,-0.011441,0.0031222,-0.0010865,-0.016043,1.7441e-05,0.012037,0.0092542,-0.017071,-0.0076446,-0.00073417,0.019285,-0.015547,0.0031121
"M276.206T1190.238",0.021364,-0.029826,0.016883,0.00011308,-0.0081698,-0.013912,0.0039938,0.027763,0.020117,0.022193,-0.0059849,0.0096925,0.0032734,-0.007234,-0.0089447,0.010806,-0.0083932,0.0031172
"M1602.049T314.239",0.021389,0.050094,-0.018273,-0.0046107,0.020497,-0.025104,0.021598,-0.022643,0.018612,0.0092423,-0.0099464,-0.0015765,0.016035,0.0044734,0.02255,-0.010216,0.0060342,0.0014583
"M362.298T315.255",0.02795,0.0091599,0.017181,-0.0055373,0.016008,-0.0058185,0.0056167,-0.0050814,0.0082648,0.014654,0.019792,-0.010677,0.0058605,-0.0055951,0.0013509,0.0053129,-0.011821,-0.0014159
"M576.012T1055.395",0.026157,-0.0069717,0.02982,0.0011389,-7.0232e-05,0.0028057,0.021882,0.0061443,0.0015416,0.0094654,-0.018896,-0.001773,-0.017641,-0.0052166,-0.0018403,-0.0090096,0.027611,-0.0040789
"M1395.396T991.455",0.027036,0.014747,0.01805,0.005722,-0.00015973,0.010577,-0.035133,-0.033818,0.018821,-0.01846,-0.0095577,0.006305,-0.0089087,0.01902,0.028802,-0.013965,-0.0095447,0.0043176
"M316.359T322.539",0.029569,0.0032441,0.021049,-0.0046675,1.4185e-05,-0.0014347,-0.00651,0.0037753,-0.0064183,0.0093006,0.012004,-0.0037556,0.00035456,-0.0037273,-0.011056,-0.0067316,-0.0060843,0.0044354
"M481.183T769.795",0.018491,0.0091001,0.0056461,0.027146,-0.015406,0.013186,0.032372,-0.0053643,0.011226,-0.023264,-0.031091,0.011761,0.030208,-0.031667,-0.011769,-0.0021958,-0.035994,0.0074993
"M1192.997T906.309",0.012227,0.0077668,-0.038277,0.0044903,-0.013607,0.04822,0.012932,-0.0015002,0.022471,0.0037863,-0.027672,-0.03178,-0.010562,0.014473,0.0018645,-0.009589,0.022457,0.0050345
"M563.233T790.03",0.025414,-0.0018754,0.03296,-0.0014471,0.00070947,0.0086123,-0.014719,-0.013478,-0.0040135,0.021458,-0.0038672,0.0038067,0.016144,-0.011819,0.001948,-0.0098946,-0.026045,-0.0035092
"M551.342T956.27",0.01319,-0.0038958,-0.020104,0.036466,-0.0088888,0.053405,-0.024366,0.01084,0.033307,0.0554,0.026887,-0.079798,0.0014989,0.0082931,-0.047733,0.0057262,-0.013097,-0.00020343
"M407.173T414.983",0.0066549,-0.017665,-0.041933,-0.0094416,-0.032644,0.036196,0.012914,0.012441,-0.0065595,-0.0027646,-0.024989,0.035714,0.024324,-0.011854,0.00078799,-0.028619,0.036053,-0.0035565
"M1297.451T316.098",0.02684,0.04325,-0.021012,-0.013558,0.011153,-0.034623,0.01443,-0.008343,0.0055671,0.0062704,0.0067774,0.0018416,-0.0013748,0.0001269,0.010009,8.9011e-05,-0.0055854,0.0044254
"M727.283T864.823",0.027589,0.022704,0.0075644,-0.0030225,0.0098799,-0.011325,0.0033329,-0.0044619,0.00033064,0.00051354,-0.005973,-0.0032445,0.024071,-0.0088621,0.0091722,0.0088222,-0.00085947,-0.0007313
"M643.469T1048.281",0.01976,-0.020251,-0.0015005,-0.0024053,0.0040748,0.013082,0.010513,-0.054822,0.0043979,0.019946,-0.0041897,-0.0072329,-0.01278,-0.0064777,-0.046422,0.024082,-0.01663,0.0012913
"M808.202T1200.672",0.012154,-0.01756,0.031162,0.016407,-0.035218,0.017873,-0.0091198,0.065061,-0.009705,0.014932,-0.009147,-0.021036,-0.022104,0.0040728,0.059169,0.10087,0.0097602,-0.0003935
"M429.387T309.562",0.022373,0.01635,-0.042302,0.0063942,0.014142,-0.022282,0.021797,0.022481,-0.008054,-0.0023427,0.0071996,-0.0065107,0.002359,0.013327,-0.0043801,0.010518,-0.0014818,0.0057321
"M847.495T1389.03",0.0097811,-0.01668,-0.019043,0.046221,0.010493,0.011684,0.014807,-0.013951,-0.0081873,-0.028427,-0.0015343,-0.0068029,-0.01667,-0.0022454,-0.019338,0.012543,0.0029643,0.0025051
"M1031.84T1213.333",0.028389,0.0013978,0.027592,0.001404,0.0041704,-0.00052834,-0.00057382,0.0011573,-0.0043588,0.012936,0.0083,-0.0063747,-0.0073235,-0.0094011,-0.020762,0.014581,-0.015728,0.0048346
"M937.515T1306.76",0.017906,-0.0020619,-0.0046517,0.033829,0.01695,0.0057577,0.0086848,-0.0088967,0.0079173,-0.0056445,0.00015889,-0.00079154,0.0022232,0.0023886,-0.0089869,0.0040767,-0.0090259,0.0013194
"M570.518T894.146",0.026422,-0.0032278,0.0096112,0.0079134,0.0076732,-0.024507,0.0034907,-0.026122,-0.016452,0.011315,-0.019683,0.022121,-0.0016157,0.028353,-0.01241,-0.0032867,0.0042175,-0.0038358
"M1162.717T895.445",0.027367,-0.00030836,0.010714,0.008599,0.010273,-0.026131,-0.010405,-0.013941,-0.033196,0.020468,-0.0064811,-0.015134,0.0050102,-0.016537,0.023617,-0.0086337,0.018466,0.0017521
"M289.446T802.654",0.027594,0.0325,-0.028224,-0.0044308,-0.0044788,-0.022381,-0.010814,-0.0098667,-0.0062691,0.0021223,0.011438,-0.023795,-0.0059777,-0.021029,0.021837,0.01622,-0.002779,-0.0020937
"M423.17T1192.125",0.017695,-0.01748,-0.010232,0.023496,0.012555,-0.012013,0.0072828,-0.0070908,0.018327,0.0022019,0.0053009,0.0088014,0.02212,-0.028993,-0.0066638,0.018085,0.0098818,-0.0012931
"M970.001T316.098",0.025374,0.032037,-0.028269,-0.0054109,-0.005524,-0.012084,0.013219,-0.0015608,0.006394,0.013576,0.00068611,-0.0062273,-0.0017635,0.01444,0.0080431,-0.0014809,-0.0049576,0.0029084
"M647.193T836.421",0.020054,0.0017333,-0.013655,0.017988,-0.0036775,0.010918,-0.021937,0.010099,-0.0064394,-0.0166,-0.021275,-0.003631,0.0022315,0.0067665,0.0060752,0.0022506,-0.0047706,0.00016897
"M968.365T965.957",0.027059,0.010477,-0.020707,-0.0089635,-0.0053958,0.0034177,-0.030681,0.018132,-0.003084,-0.0080305,-0.031611,0.014233,0.020146,0.011439,-0.022795,-0.0054082,-0.0052482,0.0024272
"M863.184T809.21",0.024653,0.018875,-0.0077784,0.0012344,0.026349,-0.0075275,-0.01309,-0.012438,-0.018233,-0.018658,0.0095628,-0.015303,-0.015601,-0.002893,0.023933,-0.003678,-0.011713,0.0010303
"M565.23T844.341",0.020085,-0.009658,-0.019046,0.019877,0.010969,-0.010418,0.019089,-0.010236,0.019245,-0.010911,-0.028085,-0.00048312,-0.00099758,-0.011837,0.010944,0.029595,0.018811,0.0041678
"M293.118T1042.937",0.018679,-0.010871,-0.030555,-0.010028,-0.051841,-0.024451,0.025641,-0.042518,-0.03363,0.023712,0.041203,0.054872,-0.0025093,0.05925,-0.050257,-0.051173,-0.013768,-0.0015723
"M483.209T897.853",0.023151,-0.0004127,0.013133,0.0099392,8.5564e-05,0.015892,-0.0011878,-0.0051913,0.007677,-0.004361,-0.0089198,-0.0024328,-0.002738,-0.0032254,-0.023496,-0.0013822,-0.0055328,0.0018709
"M1094.047T894.516",0.033733,0.0046229,0.024336,0.0025364,-0.0025415,-0.021632,-0.010221,-0.022953,-0.019899,0.00063184,-0.016973,0.0055381,-0.007002,0.015872,0.0069624,0.0038484,0.0074324,-0.002146
"M317.087T121.975",0.020007,-0.0066793,-0.0081603,0.024127,0.00041425,0.0052431,0.0041662,-0.008352,-0.0052286,-0.01487,-0.0069063,-0.003859,0.0044893,0.0039105,-0.00016254,-0.0087105,0.0078472,-0.0011072
"M1047.564T1087.659",0.023842,0.0075719,0.004662,0.016324,0.025077,-0.0093216,-0.0044107,0.010021,-0.0046989,-0.018857,-0.02223,-0.00032554,0.029421,-0.0016752,0.0012915,-0.0038328,-0.006248,0.0043379
"M293.52T1197.459",0.025579,-0.0074267,0.038897,-0.0081392,-0.012734,-0.0019685,-0.0064877,0.02154,0.015653,0.015333,0.0026324,-0.013567,-0.014454,0.0049219,0.003665,0.019184,-0.013415,-0.004727
"M997.89T1398.741",0.017392,0.010903,0.044271,-0.0063339,-0.010768,0.028919,0.010297,0.0049978,-0.0068847,0.005718,-0.01169,0.01005,0.016714,-0.021108,0.0094331,-0.0061211,-0.00087129,0.0029214
"M909.388T926.435",0.029742,0.029698,-0.031278,-0.011324,0.003252,-0.0090108,-0.012925,0.014511,-0.005476,-0.007498,-0.016203,0.0078026,-0.0063871,-0.0043456,0.0097547,0.015791,0.0033069,0.001007
"M549.258T834.983",0.020264,-0.0047493,-0.0088956,-0.0065596,-0.0012496,0.0056703,-0.028851,0.030197,0.022105,-0.016938,-0.058558,-0.022721,0.0041806,0.0051646,0.021322,0.0064235,-0.0014427,0.0039589
"M643.039T106.784",0.029165,0.0043942,0.01023,-0.0026276,0.01425,0.0081391,-0.0016522,-0.0023784,0.00086627,-0.0053431,-0.0052892,0.0011224,-0.00032807,0.0015857,-0.0097042,-0.0076421,0.0032557,0.00041744
"M415.744T872.34",0.028104,0.023637,0.00083794,-0.011878,0.0019898,-0.0085853,0.016047,0.0080397,-0.0072993,0.0034396,-0.0061955,-0.0032541,-0.0093741,0.0071197,0.018443,-0.0025168,-0.018702,0.00024921
"M515.214T948.428",0.013887,0.025203,0.014451,-0.01141,0.068152,-0.030102,-0.048546,-0.0013249,0.030436,0.0020927,-0.0044301,0.0011012,0.024439,-0.024324,-0.030374,0.0017804,0.0025328,0.0025579
"M627.83T1193.411",0.026797,0.0027367,0.026866,0.0036663,-0.011779,0.014661,0.0026737,-0.0017982,-0.023943,-0.0038114,-0.0043843,-0.022962,0.012243,0.0084038,0.0082289,-0.0054283,-0.014636,0.0047607
"M451.125T735.96",0.02188,-0.0034399,0.0091325,0.017192,-0.014156,0.012773,-0.016176,-0.0049783,-0.0057247,-0.021907,-0.020182,0.025235,-0.025633,-0.022322,0.016452,0.01918,0.026517,0.0018441
"M361.481T320.767",0.029622,0.012615,0.024537,-0.0072902,0.0076589,-0.0021085,0.00389,0.0030367,-0.0015828,-0.0059046,0.016833,-0.012666,0.001828,0.0070418,0.0082829,-0.012339,0.00011842,0.0044307
"M1397.75T1121.778",0.025084,-0.017444,0.0035358,-0.0026464,-0.051823,0.026142,-0.029048,-0.0037125,-0.0051061,-0.0051241,-0.0024793,-0.040522,0.059584,0.0018386,0.030859,-0.02099,-0.020934,-0.0031178
"M415.233T929.494",0.028028,0.002561,0.020541,-0.0029869,0.0058158,0.0098255,-0.021434,-0.0083712,-0.0040773,0.0075209,-0.011875,0.0025194,0.0012066,-0.0050148,0.0026094,0.013865,-0.0068197,0.0022075
"M439.365T89.079",0.022497,-0.0037032,0.019726,0.013095,-0.024516,-0.006077,0.0084477,-0.005671,0.013979,0.011399,0.0076891,0.025257,0.0081854,-0.0028287,-0.0048988,-0.026652,-0.0027381,-0.0018569
"M593.785T851.246",0.011521,-0.025697,-0.0030155,0.024877,0.010259,0.012093,0.029199,-0.045735,-0.00018674,-0.021241,-0.0023018,0.024595,-0.0045897,-0.06968,-0.022884,0.024767,0.057796,0.00057945
"M575.798T1046.832",0.022722,-0.0095856,0.015676,0.018432,-0.0044459,0.005423,0.0046689,0.018766,0.0030952,-0.0077445,-0.018507,0.0084009,0.0056974,-0.030091,-0.0057611,0.0026047,0.03069,0.007016
"M409.075T744.412",0.025163,0.00056755,0.020449,-0.0092646,0.0032323,0.0030319,-0.0048771,-0.017807,-0.0060838,-0.012758,-0.0025211,-0.013581,-0.016952,-0.01962,-0.048862,-0.0073649,-0.030272,-0.0052458
"M457.136T788.61",0.026106,0.00069231,0.0047127,0.0012691,0.0039958,0.0068942,-0.0025911,0.0093143,0.0045638,-0.009467,-0.0025198,-0.0062274,-0.0077489,0.025946,0.017521,-0.0011202,-0.00093705,-0.00067444
"M499.24T895.317",0.025109,-0.0077,0.0095509,0.026886,0.010172,-0.011499,0.013802,-0.00078249,-0.0041106,0.0086991,0.012847,-0.014553,0.015742,0.0026128,-0.0030038,-0.001561,-0.0073094,0.0013145
"M311.138T170.155",0.017138,-0.0044555,-0.020771,0.024579,0.0022286,-0.0017868,0.0020643,-0.0078517,0.016608,-0.011669,-0.0044727,-0.0027544,-0.0018499,-0.00075681,0.004023,-0.01173,-0.013529,0.0013526
"M593.763T756.056",0.013217,-0.0064923,-0.0056163,0.036909,-0.0022583,0.017277,0.018457,0.0022694,-0.017032,-0.06136,0.023962,-0.005445,-0.027989,0.015557,-0.0024868,-0.0081866,0.0051263,-0.0041619
"M392.068T765.784",0.019347,-0.016663,-0.0066263,0.020999,-0.018001,-0.0090959,0.016088,-0.014359,-0.00026576,-0.0049804,0.0073073,0.0052174,0.0040948,0.019329,-0.021163,-0.022445,0.011462,0.0026146
"M433.661T789.942",0.02157,-0.0014748,0.0012963,0.01345,0.0037362,-0.0041901,-0.0026686,-0.010215,0.020453,-0.0017215,-0.013243,-0.0024562,-0.00085901,0.020743,-0.0020377,-0.0062511,0.0015688,0.0057854
"M575.614T1052.68",0.019389,-0.011474,0.011816,-0.0012428,0.0253,0.040315,0.029872,0.0104,0.021941,0.013818,-0.0037913,-0.0025305,0.011115,-0.031099,-0.031748,0.054305,0.026984,0.00035325
"M919.493T1102.884",0.020777,0.0047789,0.014336,0.021676,-0.014486,0.0083259,0.00018295,-0.016509,0.013125,0.0012255,-0.018888,0.055647,0.0076099,0.041271,-0.045007,0.018531,0.014327,0.0022922
"M870.649T1317.21",0.0096395,-0.021279,-0.02726,0.029971,0.03784,0.0050848,0.012906,0.0077346,0.01212,0.0020455,-0.0016225,-0.0043305,-0.036711,0.004239,-0.016119,0.012643,0.0084487,0.0034367
"M437.044T765.875",0.021119,-0.00071743,0.008372,0.02116,-0.013171,-0.0059902,0.015271,-0.0040866,-0.0053883,-0.0070623,-0.011767,0.03012,0.031048,0.0027994,0.0040885,-0.012654,-0.014827,0.0011574
"M653.576T321.782",0.026899,0.010413,-0.014005,-0.0099667,0.0089523,-0.0076407,0.0059222,0.01682,-0.0079325,-0.00030612,-0.0061088,0.013143,-0.016549,-0.0050855,-0.00058847,-0.0015487,-0.013165,0.004093
"M861.253T1033.436",0.0083524,-0.012712,0.032472,-0.030281,-0.042402,0.060832,0.020003,0.073759,-0.029439,-0.0052663,-0.014872,0.04281,-0.057577,-0.016363,-0.050084,0.014431,-0.028403,-0.010589
"M715.427T310.719",0.026303,0.01909,-0.010553,0.0012628,-0.0071759,0.0011864,-0.0049647,-0.014447,0.015732,0.015956,0.014392,-0.0070257,0.0067558,0.0015424,-0.0028365,-0.0084147,0.020951,-0.00067145
"M1095.84T892.791",0.024881,-0.00028524,0.021513,-0.011453,0.010658,0.0097081,0.0094926,-0.0031362,-0.0065151,0.019048,4.7943e-05,-0.0031978,-0.0039384,-0.032599,0.0051182,0.0012176,-0.013688,-0.0012073
"M485.168T916.74",0.023946,0.011554,4.3306e-05,0.0054765,-0.0042085,-0.0066012,-0.00094804,-0.0025025,-0.0047615,0.0032511,-0.015921,-0.019498,-0.0016583,0.028602,0.017143,0.0064351,0.0061925,-0.00035664
"M373.115T808.254",0.023353,0.027395,-0.045729,-0.0035383,0.015991,-0.022135,-0.0060666,-0.0090714,-0.013479,-0.0076317,-0.0027858,-0.010457,-0.010357,0.00075286,0.009708,0.001642,-0.012592,0.0019481
"M605.318T1288.774",0.026149,-0.0096067,0.030708,-0.0089389,-0.010977,-0.013329,0.018507,0.0043236,0.01236,0.022442,0.0094891,-0.0099086,0.025568,-0.0084042,0.0029118,-0.00096411,-0.0059507,0.0012735
"M355.433T783.665",0.026011,0.0023535,0.0040069,-0.0004284,-0.01297,0.016199,-0.0062945,-0.0090914,0.060877,0.013475,0.023198,0.023285,0.023971,-0.0102,-0.0070342,0.017442,0.011561,0.0037774
"M313.119T883.187",0.029989,0.025912,-0.02961,-0.013156,0.006664,-0.025984,-0.010915,0.025682,0.012582,-0.0013007,0.0038955,0.010005,-0.015883,0.01337,0.018949,0.020293,-0.0020107,-0.0029109
"M273.124T941.86",0.018523,-0.0041191,0.012566,0.040426,0.020761,-0.0017907,0.0095947,0.064635,0.014252,-0.046284,0.018558,-0.014026,-0.0093712,0.047168,-0.00096903,0.0052739,0.035752,0.0021514
"M433.039T456.919",0.016125,0.011051,-0.03859,-0.042391,-0.031963,0.051896,-0.063967,-0.009751,-0.060615,-0.044155,0.0093967,0.031895,-0.060669,-0.026546,-0.05766,-0.010586,0.010753,-0.0014104
"M447.259T942.596",0.022538,0.0082641,-0.00013618,0.016115,-0.0020289,0.00024741,-0.0053649,0.011076,0.0065442,-0.017422,0.0071618,-0.017738,0.0062241,0.016491,-0.014342,-0.0093278,-0.0023268,0.0005435
"M1074.645T1193.891",0.027137,0.0051227,0.0012175,5.2838e-05,-0.012906,-0.021577,0.019461,0.017671,0.0080141,0.012325,-0.022423,-0.0075202,-0.016748,-0.0081294,0.00077207,0.0064078,0.0061365,0.0028443
"M355.067T660.488",0.029095,0.00060589,0.036066,-0.0053819,-0.013602,-0.0055766,-0.0023883,-0.01662,-0.008245,-0.010783,-0.0037222,0.0040632,-0.0033113,-0.0031288,0.0024644,-0.0010003,-0.0048307,-0.0045598
"M1134.038T907.684",0.02606,-0.0029504,0.034991,-0.036973,0.015967,0.03008,0.014963,-0.0010344,-0.018705,0.0054646,-0.019765,-0.014276,0.03713,-0.051038,0.0093945,0.018307,0.010659,-0.010326
"M819.254T316.358",0.028963,0.030465,-0.0082129,-0.013421,0.0075806,-0.026457,0.01636,0.00012589,-0.0091516,0.0061652,0.0011089,-0.002413,-0.0023769,-0.0024676,0.0043361,0.00063753,0.0052841,0.003267
"M383.609T322.831",0.022737,-0.0075371,-0.0097766,0.012037,-0.0037614,0.0011025,-0.0037696,-0.0050647,-0.018876,-0.0054174,-0.002061,-0.020891,0.024251,0.0074202,0.0022566,0.0057129,-0.0097609,0.00094201
"M1419.739T1123.898",0.024749,-0.027561,0.00074106,-0.029688,-0.016451,0.040692,-0.018366,0.005929,-0.0037211,0.0027078,-0.010092,-0.055683,0.067806,0.0039253,0.029925,-0.012618,-0.0054634,0.0013353
"M591.303T1064.285",0.019041,0.0043069,-0.00049103,0.022797,0.021068,0.0058893,-0.0093147,1.2531e-05,-0.0026759,0.0006418,-0.0092504,0.0034085,-0.0072799,-0.011913,-0.025822,0.014273,0.017524,0.0018238
"M560.981T1199.503",0.025281,-0.0065112,0.023881,0.007797,-0.007779,0.00066379,0.0099656,0.0076951,0.0077098,0.021352,-0.012001,0.0045076,-0.031702,0.010857,0.0099463,0.003053,0.01552,0.0016394
"M643.314T1251.925",0.027301,-0.0035896,-0.0066943,-0.016871,0.0040769,-0.033743,0.028051,0.034515,0.0053122,0.02839,0.01108,0.0018722,0.03567,-0.0044412,-0.00062126,0.0023057,-0.01193,0.0044522
"M341.31T626.276",0.028102,-0.0010856,0.016704,-0.01934,-0.0021213,0.018671,-0.026678,0.0052795,0.0078706,-0.0017191,0.0081728,0.0094373,0.0097107,-0.0096343,0.011985,-0.0041576,0.0010024,0.00076285
"M579.151T798.32",0.025154,0.0077542,0.010436,0.00079322,-0.0059132,-0.0099514,-0.022047,-0.025787,-0.023854,-0.028797,-0.021676,-0.022801,-0.011784,0.0060301,-0.007268,-0.01267,0.0025927,-0.00041788
"M631.464T331.254",0.018731,-0.010153,0.0024843,0.013603,0.013357,-0.012315,0.00076422,-0.03852,0.0054006,-0.0040663,-0.0017395,0.0098241,0.019285,0.0082994,-0.024981,-0.016004,-0.0074457,-0.0010137
"M784.154T761.471",0.024748,-0.0032267,0.023174,0.0015947,0.0013459,-0.0054612,0.014455,-0.020944,-0.0031372,-0.017662,0.0103,6.8406e-05,0.0073185,-0.0097765,0.0049789,-0.027049,0.024056,5.0804e-05
"M323.187T1016.246",0.024006,-0.00063855,0.0072057,-0.011241,-0.0022557,-0.0043722,-0.0081284,0.021508,0.024884,-0.0081343,-0.01419,-0.0067356,0.018787,-0.0064703,0.015733,0.0023012,-0.026919,0.0022488
"M1099.581T1224.487",0.024949,0.0036254,0.0082709,0.012096,0.014512,0.0069169,-0.010269,0.010094,-0.0012664,0.0030637,0.0041658,0.005733,-0.00095852,-0.009412,0.0006475,-0.0020658,-0.017112,-0.0014978
"M206.988T126.118",0.012429,-0.017683,-0.027544,0.033336,0.0038749,-0.00036683,0.0093458,-0.001944,0.0068829,-0.013275,-0.014176,-0.0086556,-0.0001322,-0.0067944,0.0010612,-0.0063144,-0.0058205,0.00032411
"M489.691T902.138",0.012716,0.010068,0.0058211,0.023413,0.057626,-0.046523,-0.015483,-0.016992,-0.045059,-0.0061771,0.013904,-0.016462,-0.029412,-0.033052,-0.087741,0.021976,-0.0079091,0.0031066
"M559.124T1193.298",0.026042,0.0079603,0.030195,-0.0056337,0.012467,-0.0045855,-0.0068137,0.005663,-0.0080257,0.015107,0.016868,-0.0079226,0.02303,0.0072927,0.00011989,-0.0035525,-0.0063442,0.0050784
"M472.901T67.482",0.00921,0.010535,0.00069158,0.038539,0.0151,-0.0029444,-0.0070714,0.019793,0.023116,0.013574,-0.030173,-0.018486,0.0077951,-0.020532,-0.0097297,-0.021557,-0.043093,0.0012213
"M736.44T1350.754",0.019651,0.0010539,0.010958,0.024567,0.019416,0.0103,-0.0044729,-0.019503,-0.015658,-0.018174,-0.011292,0.011261,-0.012404,-0.00969,-0.030624,-0.00567,-0.0069979,-0.0018363
