"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"M968.577T1247.645",0.024617,0.0078447,-0.010145,0.0051876,0.018301,-0.020279,0.0049665,0.0061596,-0.00081304,-0.013219,-0.01294,0.0053809,-0.0040266,-0.0028898,-0.0099006,-0.0020127,-0.014004,-0.0016992
"M559.618T1204.987",0.023712,-0.0010581,0.023757,0.016971,-0.0075327,0.0062492,-0.0030264,0.03207,0.022846,-0.0015624,-0.0049671,-0.056935,-0.055162,0.0022387,0.01952,0.015044,0.036077,0.0048522
"M923.451T1327.672",0.02034,-0.0051426,0.016331,0.024859,0.012881,0.0011283,-0.0028023,-0.014123,-0.005879,-0.010211,-0.0077336,0.0026302,-0.00085684,0.011535,-0.010219,-0.0067227,-0.0012464,0.0022538
"M917.49T1360.024",0.020627,-0.002363,0.017183,0.020356,0.012666,0.0069968,-0.0089009,-0.019037,0.0021144,-0.032563,-0.013977,-0.010433,0.012627,0.021139,-0.00068514,0.0022113,0.0033135,3.8784e-05
"M875.467T1241.171",0.027142,0.017313,0.018159,-0.0028981,0.020448,-0.012502,-0.014694,-0.011745,0.00065578,-0.0029499,-0.0069123,0.0014919,-0.009787,-0.0021254,-0.0096978,-0.002482,-0.00335,0.0010509
"M1085.513T1348.399",0.02841,0.0080009,0.028176,-0.0055438,0.013943,0.00051815,-0.009871,-0.00035342,0.003651,0.0048456,0.00056971,-0.0069771,0.0094517,0.00099578,-0.00071591,0.0039821,-0.0057609,0.003434
"M466.978T106.664",0.019966,-0.011571,0.014991,0.0097142,0.0055822,-0.018094,0.012889,-0.00076461,-0.0027549,-0.014029,0.0033041,-0.022772,0.01893,-0.015931,-0.0097574,-0.005643,-0.0089775,0.0015585
"M851.519T1328.051",0.026223,0.0038543,0.039737,0.0029923,0.011992,0.0030029,-0.010384,-0.015285,-0.0044599,-0.0061549,-0.0058489,0.0050663,-0.0043029,-9.5747e-05,-0.0091752,-0.00014398,9.7996e-06,-0.00032144
"M861.451T1062.153",0.017055,-0.00072817,-0.0014396,0.026993,0.014116,-0.0073262,-0.027511,-0.027089,0.0090708,-0.012864,-0.0070471,0.0055867,0.007013,-0.0027519,-0.033923,-0.018918,0.0023839,0.0045964
"M559.975T1203.448",0.017007,-0.021935,0.046468,0.021568,-0.0071441,0.026599,-0.019285,0.039656,0.020158,0.027346,0.011953,-0.033974,-0.016782,-0.011543,0.034281,0.020776,0.017817,0.0013914
"M545.297T1155.639",0.017372,-0.01897,0.013917,0.0031797,-0.014035,-0.016223,-0.011073,0.0068226,0.010925,0.022551,-0.0049662,0.020803,-0.021126,-0.020511,-0.0018735,-0.015853,-0.015063,-0.00022056
"M1059.606T1053.565",0.020348,-0.0096811,0.021788,0.030796,0.00337,-0.026129,0.024354,-0.0068265,-0.001342,-0.01626,-0.015873,0.012678,-0.010871,-0.12219,0.031992,0.077691,0.05015,0.0013424
"M1096.195T893.605",0.026569,-0.0025214,0.0064572,0.014041,0.0092069,-0.014547,-0.0078024,-0.022495,-0.013378,-0.01552,-0.013565,0.0044344,0.0030228,-0.0011058,0.0046833,0.0068024,0.0192,0.0021941
"M180.067T785.272",0.02363,0.015311,-0.035874,-0.014734,-0.013444,-0.0044781,-0.0018497,-0.018657,0.0019734,-0.00091029,-0.0076259,-0.010572,-0.010015,-0.032729,-0.011425,0.0029526,0.015787,-0.0030152
"M849.51T1359.918",0.020582,-0.0024017,0.020069,0.024621,0.016102,0.0035502,-0.0045263,-0.013611,-0.0010179,-0.011769,-0.0078329,0.0015522,-5.6073e-05,-0.0023591,-0.013596,0.001251,-0.0051382,0.00014579
"M633.053T106.254",0.021838,-0.0091087,0.010007,0.013067,0.0015781,0.0015567,0.0033907,-0.012001,0.0084479,-0.0026122,-0.0084783,-0.014496,0.018876,-0.0016595,0.0066604,0.0021353,-0.0024491,0.00034982
"M1014.89T1344.191",0.027187,0.0089263,0.025264,-0.0070036,0.013582,0.00034411,-0.010597,0.0029752,0.0201,0.017754,0.0048781,-0.0039164,0.0086535,-0.00086452,-0.01091,0.0093664,-0.0012055,-0.002621
"M473.173T806.642",0.023323,0.0017316,0.0084204,0.010348,0.0088964,-0.0052892,0.01788,0.019603,0.038285,-0.013781,-0.009471,-0.017373,-0.0035311,-0.01036,0.036908,0.014494,0.028921,0.0048564
"M1269.507T907.7",0.025697,-0.0011798,0.034689,-0.0077267,-0.0073181,0.0069533,-0.01046,-0.00038266,-0.017741,0.0027355,0.0030324,-0.0094921,0.0071374,-0.014289,0.00047601,-0.011182,-0.0018457,-0.0026134
"M985.574T1225.672",0.029343,0.0095258,0.02911,-0.0042854,0.0087061,0.0024375,0.0030912,0.0048508,-0.00041155,0.012656,0.002743,0.001046,0.0045743,0.0010821,-0.0069263,-0.0013698,-0.017674,0.0012295
"M1030.586T1195.906",0.026673,0.0021788,0.020731,0.0051891,0.0083059,0.00070203,-0.00062866,-0.0017761,0.0067645,0.00072895,-0.0051367,0.0018545,-0.00054715,0.0036298,-0.0070122,-0.00077857,-0.0068838,0.0019436
"M1097.549T894.492",0.027785,0.0029277,0.017241,0.0017862,-0.0038362,-0.0117,-0.0031306,-0.019883,-0.003873,0.0027626,-0.016949,0.010264,-0.00042358,0.014007,-0.0096088,0.0050493,0.0090187,-0.00043197
