"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M457.19T799.683",-0.028583,0.022222,-0.0046634,0.018228,0.00087619,0.00012351,-0.013799,-0.0042869
"M846.46T1187.467",-0.044248,0.0058361,0.028008,-0.0019322,0.0034497,0.0041178,-0.0046452,0.013658
"M821.506T1329.663",-0.012902,0.011528,-0.025829,0.048139,0.0082462,-0.019902,-0.0027382,0.026763
"M347.184T1141.626",-0.033613,0.014576,-0.010456,0.0034248,0.01537,-0.012084,-0.0055845,-0.012187
"M768.448T1315.096",-0.036617,0.013286,0.0057421,0.013827,0.004602,-0.0027101,-0.0056255,-0.0013906
"M531.078T845.355",-0.03704,0.0057647,0.029162,-0.0018282,-0.0010464,-0.0072745,0.022768,0.0042022
"M309.118T727.508",-0.039189,0.018005,-0.012478,0.0063471,-0.026578,-0.0049802,0.0013906,0.0153
"M345.183T1137.887",-0.044054,0.012326,-0.0076024,-0.0038495,0.0016034,0.0063981,-0.00072124,0.0064816
"M1076.649T1193.389",-0.048682,0.0048111,0.021666,-0.021326,0.0047129,0.0069283,-0.0032692,-0.02199
"M919.515T1328.715",-0.046933,0.0038337,0.019693,-0.0011657,-0.0065368,0.0052743,-0.0016658,0.011581
"M277.217T1196.341",-0.026073,0.0038106,0.0051089,0.0080459,0.024361,-0.018451,0.02195,-0.023452
"M655.999T943.196",-0.043332,0.013342,-0.0011924,-0.0025933,-0.0041466,0.0028042,-0.013618,0.0065472
"M565.05T98.887",-0.032172,0.00037537,-0.0096662,0.013511,0.016469,-0.031374,0.024581,-0.017652
"M277.129T811.716",-0.025719,0.023414,-0.0087758,0.024301,-0.0022116,-0.014999,-0.0010694,0.022256
"M655.038T106.771",-0.042405,0.0058399,0.0052917,-0.0093454,0.016507,0.0020945,0.0053653,-0.018911
"M1075.647T1193.908",-0.053051,0.0042893,0.027837,-0.022452,-0.001457,0.010309,-0.0067502,-0.014794
