"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M211.134T1369.064",1.4131,0.96292,0.88188,0.86931,0.8675,0.86682,0.86652,0.8665
"M569.775T895.343",1.4112,1.0598,0.94775,0.93649,0.93312,0.93092,0.93072,0.9307
"M310.211T1043.204",1.4104,0.96241,0.89417,0.92187,0.92133,0.92366,0.92338,0.92336
"M563.252T904.514",1.4102,1.0586,1.1097,1.0936,1.09,1.0876,1.0872,1.0872
"M294.469T1200.672",1.4062,1.0678,1.0378,1.0321,1.0284,1.0261,1.0258,1.0258
"M533.158T89.204",1.4044,0.92048,0.82323,0.81071,0.81354,0.81522,0.81491,0.81491
"M466.978T106.664",1.4042,0.89558,0.80133,0.78971,0.79097,0.78895,0.78875,0.78873
"M367.247T1305.804",1.4031,1.3199,1.5447,1.5954,1.6049,1.6009,1.6009,1.6008
"M316.508T323.984",1.3992,1.0493,0.96507,0.94967,0.94623,0.94446,0.94408,0.94406
"M1030.586T1195.906",1.3988,1.0061,0.91781,0.90266,0.8994,0.89726,0.89691,0.89688
"M625.227T868.289",1.3987,0.94559,0.84614,0.83257,0.82965,0.82785,0.82755,0.82755
"M265.093T134.502",1.3979,1.0835,0.99655,0.98231,0.97878,0.97815,0.9778,0.97777
"M1265.573T897.223",1.397,1.0137,0.93382,0.91856,0.91542,0.91311,0.9131,0.91309
"M378.609T1368.205",1.3965,0.94206,0.8537,0.85425,0.85541,0.85387,0.85354,0.85352
"M575.798T1046.832",1.3917,0.92699,0.83512,0.82158,0.81866,0.81807,0.81781,0.81779
"M564.929T1201.416",1.3908,0.96237,0.98222,0.96787,0.96582,0.96354,0.96317,0.96314
"M288.077T1079.796",1.39,1.4583,1.4764,1.4873,1.4853,1.4889,1.4904,1.4904
"M1163.085T907.707",1.3868,1.981,1.9297,1.8993,1.919,1.9195,1.9211,1.9211
"M1028.451T1193.298",1.3862,1.0113,0.92859,0.91571,0.9124,0.91005,0.91093,0.91092
"M697.753T1005.082",1.3859,1.0796,1.1648,1.1547,1.1518,1.1489,1.1485,1.1484
"M280.961T95.439",1.3857,0.89868,0.80874,0.79556,0.79444,0.79528,0.79498,0.79496
"M324.072T215.478",1.3848,0.94857,0.99258,0.98751,0.99074,0.98821,0.98782,0.9879
"M499.195T1235.932",1.383,0.9372,1.2628,1.243,1.2405,1.2384,1.2395,1.2395
"M697.905T994.286",1.3815,1.0761,1.1655,1.1463,1.144,1.1414,1.141,1.1409
"M355.571T782.72",1.3809,0.92511,0.91283,0.89807,0.89488,0.89576,0.89941,0.8994
"M563.233T790.03",1.3807,1.0013,1.0504,1.0391,1.0366,1.0341,1.0338,1.0337
"M401.027T415.826",1.3773,1.4647,1.5033,1.5011,1.4957,1.4929,1.4924,1.4924
"M294.449T1192.192",1.377,1.0933,1.0544,1.0497,1.0464,1.0444,1.0441,1.0441
"M387.02T108.554",1.3762,0.95683,0.91584,0.90283,0.89956,0.8974,0.89707,0.89705
"M560.054T1184.801",1.3759,1.0874,1.0018,0.98977,0.98669,0.98539,0.98512,0.9851
"M1014.419T974.744",1.3741,2.0597,1.8417,1.8127,1.8106,1.806,1.8053,1.8053
"M722.094T1116.386",1.374,1.0868,0.98154,0.9746,0.97109,0.96864,0.96874,0.96872
"M485.127T895.658",1.3723,1.0297,0.94013,0.93082,0.92745,0.92507,0.92471,0.92468
"M706.319T1147.92",1.3719,0.89236,0.80861,0.85891,0.85587,0.86077,0.86101,0.86099
"M1095.906T894.31",1.3716,0.879,0.78714,0.77433,0.77426,0.77298,0.77409,0.77416
"M399.275T1363.391",1.371,0.9013,0.8059,0.79999,0.79709,0.79507,0.79483,0.79481
"M655.999T943.196",1.3708,0.96866,0.86949,0.85612,0.85323,0.85103,0.85087,0.85084
"M535.217T864.116",1.3701,0.88634,0.79612,0.78376,0.78115,0.77917,0.77897,0.77899
"M732.876T67.374",1.3698,0.86001,0.79452,0.8294,0.84731,0.84557,0.84559,0.84557
"M603.083T90.379",1.3694,0.96195,0.86069,0.8616,0.85897,0.85711,0.85679,0.8568
"M633.256T842.527",1.3684,1.7066,1.5812,1.568,1.5624,1.5594,1.5588,1.5588
"M312.94T90.994",1.3676,0.96033,0.98623,0.97015,0.96744,0.98577,0.98577,0.98574
"M1202.883T908.106",1.3673,1.5883,2.0212,1.9903,1.998,1.9929,1.9931,1.9931
"M1229.54T895.369",1.366,1.0384,1.0207,1.0092,1.0065,1.0044,1.0042,1.0042
"M481.1T876.627",1.3648,0.85563,0.82016,0.82672,0.82373,0.82462,0.82445,0.82443
"M701.195T940.853",1.3647,0.98244,0.88802,0.87872,0.87885,0.8766,0.87627,0.87625
"M821.606T900.199",1.3627,1.8457,1.6532,1.627,1.6213,1.618,1.6174,1.6174
"M471.173T770.868",1.3622,0.8524,0.81998,0.80655,0.80494,0.80294,0.80328,0.80326
"M497.043T88.687",1.3614,1.3534,1.3975,1.3887,1.3911,1.3881,1.3875,1.3875
"M415.27T1182.702",1.3602,1.0489,0.93878,0.92536,0.92214,0.91999,0.91963,0.91961
"M756.042T806.684",1.3599,0.88034,0.95036,0.94323,0.95148,0.96106,0.96496,0.96502
"M809.433T1339.33",1.3561,0.91246,0.89568,0.89262,0.88939,0.88711,0.88675,0.88673
"M695.289T1193.403",1.3558,0.965,0.88233,0.88459,0.88454,0.88549,0.88518,0.88516
"M569.35T895.921",1.3534,1.0646,0.96297,0.94706,0.94368,0.94127,0.9411,0.94107
"M1029.561T1129.699",1.3529,0.8828,0.88068,0.87043,0.86728,0.86638,0.86627,0.86624
"M988.804T68.066",1.3521,0.85847,1.4107,1.4038,1.4006,1.397,1.3965,1.3964
"M846.46T1187.467",1.3511,0.97874,1.0602,1.0427,1.0393,1.0367,1.0363,1.0363
"M737.363T997.317",1.3499,1.1194,1.239,1.2303,1.2267,1.2244,1.2239,1.2239
"M1085.513T1348.399",1.3494,1.0514,1.0193,1.0035,1.0001,0.99857,0.99819,0.99817
"M367.058T823.98",1.3482,0.90797,0.83058,0.81687,0.81396,0.81191,0.81202,0.81203
"M575.766T1053.433",1.3474,0.88844,0.80523,0.80429,0.80211,0.8006,0.80028,0.80026
"M487.255T1194.268",1.3469,1.0433,0.97111,0.96374,0.96076,0.95905,0.95867,0.95868
"M609.707T835.895",1.346,0.87643,0.89256,0.87825,0.88083,0.87904,0.8787,0.87868
"M1136.99T908.053",1.3457,0.96714,0.89651,0.88172,0.87864,0.87699,0.87665,0.87664
"M561.651T1179.172",1.344,0.86057,1.6588,1.6314,1.6303,1.6261,1.6292,1.6292
"M567.276T907.878",1.3429,1.0577,1.194,1.188,1.1887,1.1857,1.1854,1.1854
"M634.336T1275.511",1.3412,0.92349,0.82875,0.83455,0.83159,0.83075,0.83042,0.83043
"M1014.043T1346.26",1.341,0.91097,0.81533,0.81001,0.8071,0.8051,0.80479,0.80482
"M761.09T836.466",1.341,0.89359,0.96729,0.95139,0.95188,0.95348,0.9545,0.95447
"M655.189T778.866",1.3408,0.88675,0.79302,0.78073,0.77817,0.77634,0.77611,0.77611
"M657.266T958.998",1.3397,1.0184,0.92327,0.91954,0.91637,0.91441,0.91405,0.91402
"M1045.593T1289.364",1.3389,0.99174,0.90962,0.89559,0.89304,0.89256,0.89221,0.89219
"M1009.554T1308.282",1.3378,0.90878,0.858,0.84392,0.84118,0.83907,0.83874,0.83872
"M489.058T766.222",1.3349,0.86055,0.81832,0.80637,0.80345,0.80434,0.80416,0.80415
"M354.093T469.671",1.3339,1.0042,0.89875,0.88773,0.88711,0.88486,0.88454,0.88452
"M191.056T750.478",1.3336,0.85441,0.76426,0.79409,0.80989,0.81149,0.81169,0.81171
"M211.133T1418.651",1.333,0.84942,0.76107,0.75755,0.7602,0.76093,0.76063,0.76063
"M609.959T835.516",1.3323,0.89989,0.9811,0.98039,0.97704,0.97897,0.97958,0.97957
"M373.204T1368.554",1.3305,0.93854,0.85462,0.84538,0.84592,0.84381,0.8435,0.84348
"M874.812T68.208",1.3299,1.0427,1.0822,1.1223,1.1274,1.1254,1.1251,1.1251
"M403.16T816.749",1.3295,0.99801,0.89935,0.90302,0.90688,0.90461,0.90459,0.90459
"M433.261T1293.176",1.3288,0.94544,0.84861,0.84683,0.84551,0.84557,0.84525,0.84524
"M297.119T136.686",1.3286,0.99917,0.95955,0.94769,0.94461,0.9431,0.94284,0.94284
"M429.664T316.504",1.3282,1.0586,1.0045,0.98865,0.98551,0.98327,0.98295,0.98292
"M811.459T986.188",1.3281,1.0122,1.029,1.0128,1.0095,1.0069,1.0068,1.0068
"M1264.49T909.092",1.3253,1.5103,2.0055,1.9724,1.9698,1.967,1.9665,1.9667
"M1094.909T899.27",1.3251,0.90253,0.86679,0.8526,0.85017,0.84918,0.84942,0.84966
"M611.538T834.844",1.3247,0.89704,0.9501,0.93467,0.93348,0.93566,0.93603,0.93601
"M953.506T1151.909",1.3245,0.99956,0.98711,0.97294,0.97196,0.96953,0.96931,0.96932
"M273.314T67.476",1.3244,0.90923,0.90225,0.90793,0.91078,0.93129,0.93103,0.93101
"M232.059T185.959",1.324,0.92462,0.82768,0.85421,0.85154,0.84939,0.84927,0.84926
"M577.592T1675.781",1.3237,0.9152,0.8276,0.82463,0.82679,0.82468,0.82435,0.82433
"M407.173T414.983",1.3233,1.1875,1.1845,1.1849,1.183,1.1877,1.1873,1.1873
"M415.086T168.579",1.323,1.0177,0.93142,0.91676,0.91364,0.91151,0.9112,0.91118
"M858.344T1120.576",1.3217,1.0266,1.0228,1.0185,1.0153,1.0128,1.0124,1.0124
"M549.285T1194.382",1.3216,0.91043,0.82532,0.82089,0.82134,0.8233,0.82326,0.82327
"M576.072T1051.61",1.3209,0.91078,0.84179,0.84687,0.84552,0.84356,0.84334,0.84332
"M563.052T1148.286",1.3207,0.99666,0.9024,0.92167,0.91912,0.91679,0.91696,0.91694
"M808.155T1200.534",1.3197,0.93325,1.1218,1.1033,1.1014,1.0986,1.0982,1.0982
"M577.892T1677.528",1.3192,0.87652,0.79265,0.79923,0.79917,0.7986,0.7984,0.79838
"M359.098T671.316",1.3177,1.0345,0.9625,0.95901,0.96134,0.96005,0.96002,0.95999
"M343.139T875.835",1.3161,0.90549,0.80967,0.80023,0.79744,0.79592,0.79759,0.79758
"M1013.97T1244.591",1.3115,1.0104,0.9313,0.9159,0.91337,0.91252,0.91216,0.91214
"M790.016T1120.766",1.3102,1.5099,1.3591,1.3368,1.3452,1.3503,1.353,1.353
"M559.124T1193.298",1.3098,0.98966,1.0008,0.98508,0.98182,0.98001,0.97987,0.97985
"M738.365T995.342",1.3097,1.0529,1.069,1.0534,1.0522,1.0497,1.0495,1.0495
"M361.677T1190.955",1.3096,1.0129,0.92688,0.92279,0.91987,0.91758,0.91731,0.91729
"M1161.883T894.146",1.3085,0.98985,0.89346,0.89059,0.89056,0.88832,0.88805,0.88803
"M1162.051T893.06",1.3078,1.0474,0.94237,0.92764,0.92434,0.92227,0.92232,0.9223
"M1069.501T1402.821",1.3056,1.0151,1.0657,1.0485,1.0448,1.0427,1.0423,1.0423
"M279.124T874.724",1.3055,1.0246,0.92882,0.93078,0.92742,0.92599,0.92615,0.92613
"M367.103T818.837",1.3043,0.8507,0.80585,0.79519,0.7949,0.79745,0.79841,0.7985
"M1031.84T1213.333",1.3028,1.0577,1.1072,1.0906,1.0873,1.0856,1.0851,1.0851
"M567.333T903.822",1.3009,1.062,1.1256,1.1176,1.1146,1.1126,1.1121,1.1121
"M593.926T757.244",1.298,0.94411,0.91196,0.8977,0.89588,0.89413,0.89434,0.89432
"M625.347T1245.237",1.2948,0.96745,1.0273,1.038,1.0354,1.0345,1.0341,1.0341
"M613.529T893",1.2942,0.99593,0.8915,0.90249,0.90096,0.89868,0.89833,0.8983
"M921.12T945.55",1.2936,0.96374,0.86324,0.84925,0.84631,0.84437,0.84458,0.84455
"M1100.582T1225.322",1.2931,1.0433,1.0224,1.0065,1.0036,1.0014,1.001,1.0009
"M1269.507T907.7",1.2931,0.99074,1.0823,1.0735,1.0706,1.0679,1.0675,1.0675
"M575.826T1054.493",1.2926,0.88912,0.80924,0.7959,0.79324,0.79289,0.79262,0.7926
"M1014.009T1346.556",1.2918,0.86106,0.77402,0.78312,0.78068,0.77881,0.7785,0.7785
"M235.171T1189.523",1.29,0.92601,0.88913,0.88346,0.8847,0.88288,0.88257,0.88255
"M377.193T1206.958",1.2889,0.90512,0.93455,0.91923,0.91868,0.91637,0.91601,0.91599
"M924.454T1327.66",1.2881,0.84591,0.75805,0.74551,0.74287,0.74363,0.74334,0.74332
"M919.493T1102.884",1.2871,0.85443,0.7726,0.77327,0.77049,0.76901,0.77048,0.77046
"M575.926T1053.198",1.2854,1.0235,1.0338,1.0168,1.0132,1.012,1.0118,1.0117
"M610.699T832.318",1.2847,0.80596,0.76547,0.78587,0.78424,0.78338,0.78355,0.78357
"M413.147T867.013",1.283,0.886,1.106,1.0881,1.0845,1.0843,1.0839,1.0838
"M268.959T125.12",1.2828,1.0267,0.97823,0.96254,0.95954,0.9576,0.95723,0.95721
"M997.975T1403.846",1.2806,0.91618,0.86525,0.85098,0.84816,0.846,0.84566,0.84564
"M1161.759T892.609",1.2792,0.8117,0.82643,0.81703,0.82033,0.82553,0.8273,0.82736
"M593.709T851.665",1.2759,0.94512,0.84516,0.83536,0.8324,0.8303,0.82998,0.82996
"M590.274T907.848",1.2752,1.0689,1.1864,1.1857,1.1847,1.1817,1.1812,1.1812
"M1192.997T906.309",1.2741,1.3754,1.2374,1.2217,1.2187,1.2163,1.2161,1.2162
"M559.791T1181.622",1.2738,1.7072,1.5673,1.5461,1.5517,1.548,1.5479,1.5479
"M1097.549T894.492",1.2711,0.99719,0.90485,0.89028,0.88726,0.88569,0.88535,0.88532
"M404.916T66.832",1.2708,1.0781,1.0785,1.0684,1.0899,1.0871,1.0868,1.0868
"M1220.32T832.741",1.2707,0.82303,1.181,1.2018,1.1979,1.2025,1.204,1.204
"M467.051T320.771",1.27,0.79702,1.1469,1.1979,1.194,1.191,1.1905,1.1905
"M351.085T316.423",1.2675,1.1243,1.051,1.0394,1.0362,1.0356,1.0352,1.0352
"M1130.433T884.599",1.2673,1.7521,1.5686,1.543,1.5387,1.5348,1.5342,1.5341
"M541.046T1246.429",1.2661,0.9712,0.87411,0.86599,0.8629,0.86076,0.86042,0.8604
"M656.666T946.513",1.2659,0.92843,0.84348,0.83522,0.83279,0.83221,0.83192,0.83192
"M667.066T1635.31",1.2648,0.94969,0.89804,0.88332,0.88895,0.88713,0.89132,0.89176
"M1028.637T1187.508",1.2646,1.054,0.97636,0.96028,0.95756,0.95511,0.95514,0.95515
"M529.184T941.182",1.2644,0.79331,1.0769,1.0831,1.0869,1.0941,1.0943,1.0943
"M1013.583T1347.533",1.2633,0.97445,0.90759,0.89259,0.88968,0.88859,0.88825,0.88824
"M763.121T89.636",1.2622,0.87382,0.80985,0.81874,0.81579,0.81376,0.81361,0.81359
"M329.088T474.939",1.2601,1.0282,0.97108,0.95741,0.95478,0.95302,0.95268,0.95265
"M272.959T67.281",1.2589,0.81435,1.155,1.1375,1.1482,1.1536,1.1533,1.1532
"M187.905T92.369",1.2589,0.81764,0.77464,0.76213,0.75948,0.76415,0.76406,0.76405
"M425.165T761.881",1.2585,0.94347,0.87074,0.85727,0.85416,0.85204,0.85176,0.85176
"M371.116T87.699",1.2581,0.7961,0.96111,0.95472,0.95329,0.95095,0.95075,0.95076
"M655.811T942.736",1.2571,0.88016,0.78765,0.77682,0.77448,0.77252,0.7723,0.77228
"M581.041T321.831",1.2557,0.99295,0.90049,0.89104,0.8899,0.89048,0.8902,0.89017
"M307.192T1165.654",1.2556,1.0675,0.96801,0.96182,0.95834,0.95792,0.95775,0.95775
"M689.274T1192.785",1.2549,0.98335,0.94238,0.92823,0.92515,0.92282,0.92249,0.92247
"M397.075T138.684",1.2548,1.0108,1.0053,0.99474,0.99121,0.98951,0.98916,0.98914
"M819.351T968.448",1.2541,1.6849,1.725,1.6967,1.6907,1.6865,1.6859,1.6858
"M1096.195T893.605",1.254,0.94045,0.8477,0.83762,0.83479,0.83273,0.83241,0.8324
"M610.723T834.826",1.2537,0.78919,1.0964,1.0808,1.0861,1.0863,1.0873,1.0872
"M999.727T1404.686",1.2537,0.89171,0.84373,0.83226,0.82931,0.83044,0.83012,0.8301
"M330.967T90.669",1.2535,0.81124,0.73237,0.72088,0.71935,0.72122,0.72148,0.72146
"M677.403T1190.152",1.2504,0.95238,0.8835,0.88017,0.88181,0.87966,0.87932,0.87929
"M653.691T320.692",1.2492,1.0508,0.93963,0.92622,0.92333,0.92568,0.92531,0.92529
"M880.534T1198.774",1.2487,0.80713,0.72464,0.71289,0.71214,0.72013,0.71987,0.71989
"M559.618T1204.987",1.2461,0.92606,1.0087,1.0013,0.99773,0.99517,0.99479,0.99479
"M609.264T1288.916",1.2452,0.89732,0.91867,0.90529,0.90555,0.90396,0.9037,0.9037
"M589.271T908.408",1.2443,0.95547,0.94778,0.94918,0.95184,0.95055,0.95105,0.95108
"M807.744T937.741",1.2442,1.5473,1.654,1.6351,1.6292,1.6265,1.6258,1.6258
"M393.305T1367.865",1.2441,0.96442,0.86955,0.85871,0.85637,0.85443,0.85439,0.85439
"M613.446T1235.167",1.2427,0.86761,0.78812,0.77589,0.78746,0.78543,0.78618,0.78616
"M627.643T1193.32",1.2407,0.93075,0.93315,0.91807,0.91506,0.91316,0.91287,0.91286
"M1224.522T894.229",1.2405,1.0178,0.91778,0.90261,0.89934,0.89703,0.89682,0.8968
"M393.188T983.065",1.2402,0.95431,0.88372,0.87413,0.87096,0.86878,0.86854,0.86851
"M989.364T928.413",1.2394,1.5797,1.6358,1.6134,1.6076,1.6037,1.6031,1.6031
"M601.173T930.747",1.2382,1.7561,1.5747,1.5487,1.5551,1.5516,1.5523,1.5524
"M857.35T1122.035",1.2377,1.1063,1.1509,1.1432,1.1401,1.1372,1.1367,1.1367
"M611.147T106.977",1.2377,0.88086,0.79645,0.79984,0.79714,0.79563,0.79544,0.79545
"M453.14T913.155",1.2362,1.1135,0.99802,1.0177,1.0145,1.0119,1.0116,1.0116
"M1013.416T975.546",1.2359,1.7337,1.5556,1.5379,1.5329,1.529,1.5285,1.5285
"M286.972T107.919",1.2348,0.85224,0.76237,0.7529,0.75201,0.75067,0.75045,0.75043
"M570.518T894.146",1.2345,0.94028,0.84079,0.83181,0.83059,0.82852,0.82865,0.82863
"M799.852T67.938",1.2325,0.7952,0.73589,0.79059,0.79542,0.79576,0.79568,0.79567
"M431.567T89.496",1.2311,0.89734,0.84218,0.88594,0.88444,0.88375,0.88343,0.88341
"M1162.845T896.125",1.2265,0.93995,0.84885,0.83486,0.83184,0.83037,0.83096,0.83094
"M455.151T768.715",1.226,0.94556,0.93048,0.91826,0.91512,0.91277,0.91241,0.91239
"M852.187T1328.651",1.2255,0.76715,0.69013,0.68178,0.67934,0.68512,0.68485,0.68485
"M1162.757T894.541",1.224,0.97551,0.87466,0.86053,0.85754,0.85581,0.85767,0.85765
"M655.655T928.688",1.2234,0.97229,0.90455,0.89035,0.8906,0.88854,0.88846,0.88845
"M851.879T1330.864",1.2232,0.90781,0.88817,0.87666,0.87348,0.87231,0.87203,0.87202
"M539.034T616.33",1.2229,1.3095,1.2968,1.2767,1.2721,1.2695,1.2692,1.2692
"M769.419T945.253",1.2215,0.77257,0.89823,0.88506,0.88215,0.87994,0.88096,0.88097
"M554.347T1333.324",1.2203,0.95546,0.85527,0.85626,0.85316,0.85124,0.85093,0.8509
"M295.081T793.997",1.22,0.98514,0.91454,0.89959,0.89733,0.89506,0.89472,0.89471
"M808.368T1195.332",1.2198,0.87621,0.7885,0.77584,0.78188,0.77987,0.77956,0.77954
"M678.41T1192.286",1.2193,0.94818,0.84799,0.85827,0.85636,0.85422,0.85393,0.85391
"M507.209T930.4",1.219,1.1377,1.0666,1.0649,1.0633,1.0607,1.0603,1.0603
"M1013.86T1346.532",1.2178,1.0419,1.1318,1.1134,1.1094,1.1082,1.1078,1.1077
