"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M326.38T1622.84","-0.11999188"," 0.07769013"," 0.07769013"," 0.04137907","-0.22323237","-0.49621177"," 0.13173799"," 0.26553837","-0.10375910","-0.07175908","-0.03319569"," 0.01618440","-0.15955318","-0.08168891"," 0.58145413"," 0.13066797","-0.05227673","-0.04434999"," 0.06367653"
"M337.06T22.56","-0.60067665","-0.21910414","-0.21910414"," 0.32583876","-0.10501287"," 0.15607086","-0.26841661","-0.20085602"," 0.19982507"," 0.02140736"," 0.03215954"," 0.17891558"," 0.01351842","-0.02689965"," 0.24469275"," 0.13373528"," 0.01474924"," 0.29520863"," 0.02394861"
"M338.34T1639.2","-0.63394404"," 0.04535655"," 0.04535655","-0.28253036"," 0.14806354","-0.65599218"," 1.11720798"," 0.02708215","-0.09177526","-0.16242358","-0.49387903","-0.08639510","-0.01719973","-0.55421348","-0.15055594"," 0.80778705"," 0.28139899","-0.61756461"," 1.27422051"
"M341.27T1369.82","-0.34671758","-0.25983792","-0.25983792","-0.11831811","-0.16345916","-0.14078697"," 1.03769758"," 0.05129065","-0.37485652"," 0.10587780","-0.34069253"," 0.05039003","-0.16243585","-0.14097496"," 0.17095892"," 0.76263874","-0.05700041","-0.42267121"," 0.60873542"
"M349.25T12.55"," 0.08833409","-0.56707268","-0.56707268"," 0.27549902"," 0.29331124","-0.32502731"," 0.05553834"," 0.11460918","-0.04842789","-0.25518364"," 0.23143185"," 0.02916523"," 0.24973927"," 0.28250646"," 0.28553140","-0.30681003"," 0.32589110"," 0.06916661","-0.23112956"
"M352.92T20.57","-0.23359527","-0.12378647","-0.12378647","-0.18543257"," 0.05859959"," 0.07686679","-0.27937959"," 0.80917470"," 0.09676945","-0.10011319","-0.08777667"," 0.20323023"," 0.13705591","-0.24121758","-0.10984033","-0.04860548","-0.03089552"," 0.12954632"," 0.05318616"
"M360.93T17.56","-0.70475656","-0.31818398","-0.31818398","-0.14287817","-0.10329667"," 0.76991066","-0.26937658","-0.03486887","-0.10078080","-0.07763616"," 0.24965829"," 0.03679745"," 0.23394714","-0.06584908","-0.12310994"," 0.01648753","-0.11633535"," 0.29200701"," 0.77644807"
"M372.36T1639.49","-0.27235666","-0.10672645","-0.10672645"," 0.04642007","-0.48231132"," 0.48337338"," 0.12441768","-0.04911820","-0.26508983"," 0.16264630","-0.17648802","-0.28260985"," 0.27411628","-0.28867894"," 0.21853742"," 0.73304399","-0.23674608","-0.19232959"," 0.41662627"
"M372.36T1624.16","-0.271394300","-0.005891363","-0.005891363","-0.105748902","-0.488262574"," 0.377947662"," 0.239529003","-0.187242787","-0.351999059"," 0.180682466","-0.162250580","-0.200068494"," 0.048927187","-0.080304146"," 0.304400368"," 0.638161617","-0.231758751","-0.156307797"," 0.457471813"
"M380.92T18.56","-0.41217698","-0.52416235","-0.52416235","-0.00745445"," 0.04565203"," 0.72020418","-0.07546987"," 0.09533768"," 0.12826677","-0.13282287"," 0.07208963"," 0.22627112"," 0.11347818","-0.18949086","-0.12041897"," 0.07514605"," 0.19925193"," 0.13122029"," 0.17924085"
