"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"M911.48T17.56",0.01496,0.0092717,0.052132,0.035665,0.010984,0.0096268,0.024649,-0.016084,0.025549,-0.0048597,0.0022328,-0.054214,-0.027023,-0.0029161,-0.046148,-0.079007,0.0040322,0.0074368,-0.01655
"M911.81T18.56",0.011025,-0.042054,0.029513,0.025164,0.030162,-0.010002,0.0040178,0.020177,0.030739,0.0083195,0.032219,-0.019674,-0.0079235,0.045473,-0.01414,-0.02607,-0.030337,0.0098556,-0.0055889
"M911.82T11.54",0.0099162,0.0087802,-0.036884,0.045693,0.04306,-0.0010983,-0.013743,0.0088764,-0.0077961,-0.021185,-0.012107,0.053063,0.013115,-0.007426,-6.1825e-05,0.0013238,-0.020549,-0.00032536,0.0044818
"M913.49T13.02",0.0041472,0.016264,0.031298,0.033788,0.04261,-0.012848,-0.02831,0.0077221,0.033161,-0.032977,0.0059542,0.065566,-0.057028,-0.045691,0.042474,0.03521,0.051858,-0.0045132,-0.0012842
"M917.15T16.56",0.011091,-0.052049,-0.0079387,0.0094599,-0.026058,0.0077803,-0.028954,-0.019948,0.012922,0.0058089,-0.011099,-0.024392,-0.0165,-0.00022038,0.0075777,0.010657,0.014449,-0.0081045,0.0090359
"M917.8T18.15",0.045522,-0.0015167,0.010521,0.0044089,-0.0423,0.024608,-0.0041706,-0.014024,-0.011881,0.024886,-0.005274,-0.0054963,-0.023337,0.040261,-0.038153,0.024631,0.058089,-0.0035137,0.0018815
"M918.81T18.56",0.037538,-0.023692,0.033296,-0.012768,0.018122,0.012093,0.0016879,0.020897,-0.0066168,0.013219,0.048973,0.009323,-0.0039654,0.011661,-0.0041774,0.016242,0.0014023,0.00056309,0.0031142
"M921.33T13.55",-0.005849,-0.00031973,-0.0041635,0.012813,-0.016772,0.0068415,-0.044573,0.048025,-0.013671,-0.025265,-0.070834,0.049358,0.010277,0.038951,0.0046291,-0.01599,-0.029823,0.0046102,-0.00048664
"M921.82T11.73",-0.00068643,0.01928,-0.0020893,0.054356,0.00051174,-0.023151,0.034018,0.055322,0.0072243,0.017252,-0.013654,-0.027943,-0.02808,0.00020748,0.026999,0.0016223,-0.023168,-0.00058527,0.001943
"M922.15T17.56",0.036011,0.010689,-0.000718,0.028165,0.013878,-0.024551,-0.033518,0.057752,-0.031937,0.065174,-0.010518,-0.015625,-0.050446,-0.034357,-0.041098,0.024353,-0.00046266,-0.0014044,0.00279
"M922.32T11.54",0.0038058,0.010348,-0.035744,0.037135,-0.029934,0.015761,0.027082,0.0019475,-0.038274,0.0002957,0.0085144,-0.007287,-0.0026941,-0.049525,-0.040586,-0.014936,-0.029715,0.0042798,-0.014146
"M922.8T18.56",0.030709,-0.0097423,0.012685,0.037979,0.00033303,0.03225,0.0017908,-0.010901,0.044576,0.0117,0.028077,-0.022793,-0.029158,-0.013034,-0.026017,0.0048436,0.047094,-0.0037235,-0.001311
"M922.81T11.54",-0.011713,0.031157,0.034633,0.030926,-0.018162,-0.026396,0.00033508,-0.0036854,0.031512,0.014817,0.011975,0.017219,-0.00045043,0.033078,0.007262,0.021727,-0.049381,0.0012048,-0.012371
"M923.82T13.52",0.0094957,0.0050853,-0.049068,-0.0057787,-0.012513,0.036996,-0.048921,-0.064807,-0.060091,-0.0074143,0.041118,0.0085082,0.0050338,0.060372,0.014735,-0.0023365,0.011183,-0.0070726,0.0091744
"M924.81T18.55",0.026409,-0.053855,0.0073335,0.026681,0.018591,0.0030303,-0.025104,0.0078728,-0.017706,-0.0080582,0.017157,-0.0017656,-0.030936,0.027814,0.0043144,0.0061829,-0.014425,-0.00085024,0.0080421
"M925.81T17.56",0.024734,-0.013795,-0.03114,0.015701,0.015044,0.0052971,0.025721,0.0051312,-0.0031005,0.042794,0.02093,0.0010646,-0.035557,0.067133,0.0091045,0.02325,3.5905e-05,0.0051165,0.0056283
"M925.82T12.55",0.010209,0.015846,0.0049071,0.0032946,0.026848,0.010113,0.029597,0.022812,0.0071919,-0.070553,-0.021956,0.0055206,-0.032387,-0.002564,-0.016791,-0.037517,0.027221,0.0055289,-0.010012
"M926.49T14.05",-0.015863,0.017381,0.053341,0.032316,-0.028831,0.021867,-0.022433,0.029461,0.026941,-0.0087241,0.031285,-0.0064819,-0.020356,-0.040167,-0.035543,0.00037456,0.034712,-0.0055546,-0.00095019
"M926.81T18.56",0.025436,-0.06024,-0.018552,-0.0053697,0.022524,-0.044763,0.014012,0.0036293,0.0069226,0.025103,0.014232,0.019466,-0.020732,-0.0090894,-0.026812,-0.0048428,0.015311,-0.010422,0.0022597
"M927.48T16.56",0.00064076,0.018834,0.032918,-0.021286,-0.019102,0.0082466,0.0062141,-0.019914,-0.038995,0.0012027,-0.065638,0.02526,-0.07818,-0.022179,-0.021385,0.047963,0.0083942,-0.0057521,0.0012631
"M927.81T18.56",0.017491,-7.3525e-05,0.0044073,0.014197,0.0058112,0.014534,0.033796,0.030245,0.017957,0.057991,-0.011492,-0.0063756,0.036751,0.083641,-0.059643,0.023935,0.030819,0.014284,-0.010453
"M928.81T17.56",0.011121,-0.032114,0.072827,-0.0097297,0.036294,-0.0086445,-0.0025418,-0.011807,0.015507,0.018369,-0.018504,-0.0046711,0.012002,0.015574,0.011443,0.011001,-0.023506,0.011532,-0.016252
"M929.16T14.49",0.0054704,0.013996,0.0061306,-0.018668,-0.017653,0.038623,0.013899,-0.015429,-0.0061724,0.018606,0.038489,-0.025479,0.046572,-0.0089333,0.0096308,0.026618,-0.028956,0.0016533,-0.0029232
"M931.15T16.07",0.02046,-0.0040938,-0.039338,0.0086668,-0.0038277,0.022499,0.0041369,0.035659,0.013754,0.0065288,0.010634,0.0084804,0.034487,-0.050114,-0.04935,0.027612,0.0049222,-0.0028376,0.0058194
"M931.15T13.54",0.018266,-0.0022397,-0.056341,0.03432,0.058965,0.015104,-0.0088641,0.0026785,-0.0017815,-0.012874,0.043619,-0.011822,0.057739,0.063555,0.031049,-0.011874,-0.02987,0.01199,0.0095116
"M931.82T12.55",0.020878,0.0083873,-0.050463,0.055067,-0.010808,-0.018204,2.4093e-05,0.019728,-0.014395,-0.055065,0.018898,0.026727,0.013043,-0.012575,-0.0042194,0.0002966,-0.024047,-0.012994,0.022528
"M933.32T17.56",0.027323,-0.057281,0.00045963,-0.00022519,-0.0044929,-0.0034024,-0.020217,0.0062398,-0.017847,0.0056929,0.0010332,-0.020479,-0.0037384,0.016084,0.010082,0.0071478,0.020635,0.0075355,-0.0039303
"M933.32T12.54",0.0041958,0.0099112,-0.033262,0.03387,0.0014488,-0.044477,-0.0044098,0.0051257,-0.016281,0.036694,-0.0117,-0.028821,0.0037285,0.01589,-0.05641,-0.0082314,-0.022257,0.010946,8.7596e-05
"M933.83T12.55",-0.0044018,0.00093881,-0.015652,0.049084,-0.026414,0.0074385,-0.026437,-0.014631,-0.0031876,-0.054631,-0.036209,-0.026422,0.038691,0.0042119,-0.0038766,-0.0062086,0.018343,0.00093875,0.0032297
"M934.15T16.56",0.0017418,-0.036755,0.0010789,0.012237,-0.0017124,0.034561,0.0021371,0.019335,0.013177,-0.014026,0.033551,0.033732,0.014483,-0.005019,-0.022534,0.04224,0.035586,0.0048962,-0.00967
"M934.8T18.56",0.01702,-0.05992,0.0029097,0.011409,0.03161,-0.018665,-0.026678,0.020013,0.0068186,0.011992,0.025383,-0.013628,0.022498,-0.00098354,0.017926,0.00061379,-0.005891,0.0052147,0.0068625
"M935.81T17.56",0.046097,0.0067344,0.023906,-0.030832,-0.093049,0.040907,-0.038463,-0.026902,0.023068,-0.026045,0.016067,-0.057233,-0.010284,0.0029758,-0.028231,0.02622,-0.027914,0.0063306,-0.011721
"M936.15T17.56",0.018454,0.0014774,0.022319,-0.021835,-0.04463,0.00069269,0.07509,0.020705,0.0047795,-0.052204,0.012148,-0.022771,-0.006557,0.039078,0.0019234,-0.043699,0.029711,-0.0065778,0.0039514
"M936.8T18.56",0.022377,-0.052642,0.039354,-0.010874,0.021036,0.0024315,0.013686,-0.0082957,-0.020297,0.011789,0.054002,-0.013736,0.01676,-0.0092927,-0.015091,0.018742,0.015739,0.00077151,0.0051965
"M936.81T11.55",-0.0027477,0.024866,0.06565,0.033895,-0.012887,-0.0013442,-0.0064316,0.015362,0.016156,0.0024098,-0.0082255,0.010066,-0.0094828,-0.025722,0.0041134,-0.0021067,-0.063142,0.0083039,0.0089698
"M937.81T17.56",0.0080553,-0.030379,0.046044,-0.0018579,-0.017407,0.048994,-0.0043722,-0.027971,-0.012272,0.058835,-0.040923,-0.009436,0.0050382,-0.052088,0.033666,-0.023316,-0.0027691,-0.011474,-0.0047393
"M937.81T12.55",-0.00085124,0.030112,0.058886,0.06311,0.023743,-0.027165,0.012787,0.047337,-0.0040145,0.023455,0.0074038,0.010003,-0.0044119,-0.00075598,-0.040347,0.006277,0.031858,-0.0050232,0.019567
"M938.31T16.56",-0.0046326,0.022358,0.018329,0.0060727,0.062573,0.021542,0.038212,-0.06781,-0.024476,-0.056615,-0.055185,0.042033,-0.060278,0.027019,-0.030732,0.029042,0.0042064,0.00089309,-0.0066728
"M940.15T17.55",0.029218,-0.052806,-0.021612,-0.0074366,0.016291,-0.028571,0.0070871,0.035931,0.037339,0.037909,0.055345,0.0082371,0.04146,0.018859,0.031307,-0.0023397,0.025926,-0.0027928,0.019833
"M942.81T12.55",0.014562,0.0064706,-0.039207,0.017317,-0.036779,-0.021265,0.030477,0.024807,-0.0029761,-0.053734,0.0085161,0.027205,-0.02037,-0.0056541,0.013164,0.011827,0.023819,-0.013266,-0.0030375
"M943.31T17.56",0.042727,-0.0053197,-0.053868,-0.062909,-0.04113,0.032196,0.0056542,0.008006,-0.003638,-0.0086922,-0.018,0.0021581,-0.0087461,0.0088792,-0.053955,-0.014321,-0.023554,-0.0094924,0.015939
"M943.31T12.55",0.011816,0.00040226,-0.047817,0.031474,0.022824,0.00055765,-0.016411,0.026259,-0.0054885,0.025375,-0.024574,-0.032409,0.0024532,-0.010424,-0.0062035,-0.0018352,0.0022053,-0.0028032,0.0041928
"M944.82T17.56",-0.010945,-0.055167,-0.017428,-0.0063678,-0.0088994,0.040554,-0.0056817,-0.0044125,-0.019818,0.048803,-0.059992,0.032911,0.026081,-0.019417,0.016952,-0.00013383,0.043178,0.00026725,0.00014275
"M944.82T12.55",-0.0010459,0.012415,-0.0043181,0.036067,0.01434,0.00017328,0.0013911,-0.036325,-0.0035691,0.022141,0.0032875,-0.0091127,-0.040317,-0.018659,-0.029886,-0.0476,-0.0030547,0.00061455,-0.0095625
"M945.81T17.56",0.001661,-0.04969,0.0079149,0.002392,-0.028869,0.057243,0.018718,-0.018442,-0.03868,0.027498,-0.033178,0.020702,-0.019662,-0.036675,-0.0055469,-0.0089086,0.027079,0.0037851,-0.018071
"M945.82T11.61",-0.00070147,0.014423,-0.0026469,0.031424,0.017251,0.009971,-0.006968,0.010102,0.0019184,0.0069337,0.0034904,-0.040888,0.02074,0.01287,-0.0081536,0.034833,0.050081,0.0088643,-0.003977
"M946.82T16.55",0.031758,0.015357,0.027454,-0.022277,0.013488,0.031415,0.031722,0.067457,0.037195,0.0046562,-0.0026527,0.070374,0.010562,0.052672,0.073943,-0.031799,0.008306,0.0058635,-0.016592
"M947.81T17.56",0.028671,-0.010149,-0.025603,-0.031693,0.0014416,0.023754,0.079676,0.009443,-0.071124,-0.01736,-0.054814,0.018245,0.018203,-0.0047501,0.028662,0.056861,-0.032014,0.0099092,-0.0058604
"M947.82T12.55",-0.01354,-0.042314,-0.013959,0.034194,-0.075869,-0.0020373,0.052111,-0.01649,0.043715,0.046918,0.056186,0.0094215,0.0057433,-0.020763,-0.025329,-0.013799,0.025586,0.010207,-0.033346
"M948.8T18.56",0.038031,0.00032854,0.023315,0.036908,-0.018598,0.044306,-0.0060606,0.024304,-0.010437,0.020275,-0.010785,0.035786,0.024555,-0.041425,-0.061109,-0.06345,-0.017681,-0.0058256,-0.0004741
"M949.48T13.55",-0.020061,0.02402,0.0597,0.01023,-0.033028,0.0046796,-0.019782,-0.007871,0.034636,0.054454,-0.023183,0.032785,0.014,0.011943,0.04651,-0.026022,-0.0099129,-0.0026364,-0.015629
"M950.31T12.55",-0.01047,-0.032733,0.012092,-0.00735,0.050765,0.025395,-0.044963,-0.037544,0.039232,0.0042434,0.012038,0.048187,0.0070629,0.044773,-0.047161,0.0037402,0.047395,0.012626,-0.0102
"M951.8T17.69",0.016549,0.016679,0.037849,0.023154,0.0096002,0.0049623,0.0058951,-0.016221,-0.067001,0.026177,0.00071576,-0.024719,0.012853,-0.020546,0.035738,-0.0051279,0.072215,0.00066483,-0.011285
"M953.15T13.55",0.0091774,-0.0047322,-0.042213,0.0086785,0.0065533,0.013161,0.011266,0.033673,-0.010453,-0.024749,0.0075237,0.016622,0.010461,-0.013903,-0.0060812,-0.029074,0.031165,5.4473e-05,-0.0056872
"M954.14T16.72",0.0076585,0.0033235,-0.01306,0.0069586,-0.040133,0.017915,6.1926e-05,-0.068224,-0.031269,-0.0047955,-0.047892,-0.04463,-0.016686,-0.062787,-0.040478,0.0016551,-0.026482,-0.0084217,-0.0010865
"M955.32T13.55",0.0042553,-0.0028941,0.022753,0.02919,-0.0052073,-0.010972,0.0029188,0.060911,0.065258,0.012304,-0.019363,0.025123,0.00072358,-0.06361,-0.061207,0.0058023,0.017165,-0.0049298,0.0093342
"M955.81T17.56",0.0045588,-0.054543,-0.017993,0.0071857,-0.021045,0.050029,-0.017568,-0.0067232,0.0044489,0.038294,-0.011181,0.04229,-0.013649,-0.01966,-0.00049067,-0.010546,0.0025911,-0.0051216,-0.00041919
"M956.3T12.55",0.0021944,0.016403,-0.0047916,0.024604,0.036781,0.017334,-0.00097556,0.043839,0.022567,-0.013801,0.017972,0.043274,0.0017105,0.017498,0.054705,-0.0068181,-0.045024,0.0042279,-0.0016503
"M956.3T17.56",0.0083097,-0.060365,-0.0013408,0.015298,0.039515,-0.00065804,-0.0020519,-0.042801,-0.011441,-0.01262,0.0057088,-0.025787,0.00040133,-0.0037609,-0.014033,-0.0078099,0.0044235,0.004526,0.0052732
"M957.8T18.56",0.018108,-0.066392,-0.01162,-0.00074769,-0.019644,-0.033304,-0.045857,-0.021421,0.013835,-0.017242,-0.0040792,0.010462,0.059411,-0.0075869,-0.040319,-0.0072396,-0.0070358,0.0070098,0.0053974
"M958.79T18.56",0.026817,-0.047411,0.026061,-0.021446,0.019627,0.014117,0.0020639,0.015666,0.024241,0.015754,-0.0038449,-0.029742,0.022897,-0.0069778,0.0046285,0.02223,-0.017131,0.0029495,0.0059477
"M958.8T11.54",0.010581,0.018969,-0.019109,0.050838,0.0047085,-0.014406,0.0059704,-0.011182,0.0016897,-0.0071764,0.028243,-0.0034346,0.0088525,-0.021757,-0.017448,-0.023139,-0.03688,0.0017822,-0.0063603
"M959.48T16.56",0.026232,0.012066,0.014716,0.0030395,-0.041805,0.065027,0.0033838,0.039721,-0.019969,0.009894,0.010397,-0.031132,0.0208,-0.053327,0.010498,0.015107,0.020274,-0.0077999,0.0062993
"M959.81T17.56",-0.0095386,-0.0094572,-0.021145,0.03189,-0.022835,0.088869,0.055152,0.016096,0.0033912,0.037756,0.0044535,0.032384,-0.014671,-0.047057,0.010342,0.0065943,0.0046954,0.0042243,-0.021713
"M961.31T814.89",0.073494,0.079196,-0.014411,0.022168,0.046153,0.039379,-0.0029215,-0.0086763,0.012529,0.020385,-0.024478,0.0044571,0.023993,-0.009361,-0.0087935,-0.019216,-0.0088981,0.0042359,0.0019102
"M962.48T16.56",0.03728,0.0023958,-0.034109,0.020714,-0.018166,0.015291,0.040494,-0.02103,-0.044257,0.0072763,-0.0019286,0.020186,-0.01585,0.014748,0.0068179,-0.015133,0.062275,0.0074216,-0.023091
"M962.8T17.56",-0.0050638,-0.031752,0.066703,-0.0055052,-0.0067308,0.056071,0.0015563,0.013557,-0.028677,0.029948,-0.022802,0.022949,-0.0027549,-0.025454,0.032096,-0.0095265,-0.0094632,-0.0037424,0.0034466
"M963.81T17.56",0.014191,-0.045654,0.027382,0.013147,0.019158,-0.03613,0.03512,-0.0029507,0.0069525,0.020165,0.018574,-0.0085577,0.003122,-0.027209,0.033646,-0.04402,0.0084562,0.0011684,-0.0061613
"M963.81T12.29",0.0058687,0.012892,-0.0080317,0.036736,0.011161,-0.021579,-0.011888,0.013651,0.038474,0.037689,-0.022322,0.0025079,-0.020635,0.059372,-0.025814,0.058365,0.0334,0.00069513,0.0083614
"M964.31T17.56",0.014406,-0.050471,0.015866,0.0016416,-0.030113,-0.0075674,0.0075667,0.02468,0.021727,0.032057,-0.031258,0.038032,0.065563,0.013682,0.025614,-0.027416,0.0053223,0.00090923,-0.0017977
"M964.8T17.56",0.038769,0.012038,0.04783,-0.019751,0.025067,0.014429,-0.012006,0.011733,-0.014413,0.0022077,0.038646,0.020214,0.034483,-0.03141,0.0098538,-0.0231,-0.007037,-0.0040802,0.0052818
"M964.81T12.54",-0.0058272,-0.064751,0.014893,0.029857,0.010124,-0.036385,0.007171,-0.024317,0.012351,0.022815,0.0066716,-0.0010186,-0.024958,0.014833,-0.043377,0.018473,0.028832,-0.0035591,0.0063422
"M965.81T12.55",0.01679,0.020188,-0.0057084,0.053164,-0.013999,-0.026825,0.079189,0.00016627,-0.033638,-0.034465,0.021867,-0.0049279,-0.034843,-0.0097738,0.042041,-0.051902,-0.00046678,-0.011192,0.0027451
"M966.31T17.55",0.010352,-0.012327,0.031636,0.019807,-0.010624,0.024861,0.041522,0.0094397,0.0035258,0.030514,-0.010554,0.022851,-0.057277,0.018091,-0.014787,0.081686,0.055977,4.2708e-05,-0.007392
"M967.31T17.56",0.024965,-0.061839,-0.00044807,0.031601,0.025365,-0.011957,0.021095,0.017672,0.010029,0.014848,0.022313,-0.032182,0.014121,0.055911,-0.019719,-0.030148,-0.0034989,0.012083,-0.0070833
"M967.47T17.56",0.012721,0.0082831,0.024587,0.022695,-0.02109,-0.066702,0.012622,0.00013257,-0.03443,0.004329,-0.0032725,0.058316,0.016172,-0.073585,-0.012282,-0.004556,0.11035,-0.0059509,-0.012525
"M967.82T12.55",-0.015776,0.021127,0.039268,0.039832,-0.00029701,0.0013374,0.031799,0.014028,0.010718,0.0087527,0.0092583,-0.0018392,-0.0067952,-0.0055349,-0.0068152,-0.039754,0.027623,0.0078484,-0.0064057
"M968.81T12.55",0.0017252,0.0018892,0.0060085,0.022953,0.05949,0.0073175,0.016349,-0.019647,0.012223,-0.04406,0.019604,-0.012738,-0.055003,0.011645,-0.012159,-0.022419,0.028241,0.0036713,-0.0021618
"M969.48T16.46",0.043015,-0.0039739,-0.04383,-0.038054,0.012666,0.038964,0.057072,0.054564,0.024518,0.00052706,-0.047441,0.035015,-0.028963,0.0031603,0.017283,0.0017889,0.015618,-0.0019272,-0.0017306
"M970.48T13.55",0.0097525,0.0055419,-0.0037361,0.016439,0.0083497,0.023966,0.0042281,-0.024515,-0.048887,0.051812,-0.012908,0.00053891,0.027512,0.046111,0.0039645,0.00093094,0.0031244,0.0087298,-0.009146
"M970.8T18.56",0.010409,-0.036119,0.070766,0.015315,0.02224,0.023628,0.012644,-0.0049058,0.00067087,0.0071174,0.01154,0.0077978,0.017316,0.031313,0.026264,0.020057,-0.0056995,0.0010919,-0.0021639
"M970.81T12.01",0.0092334,0.029747,0.041115,0.0003953,-0.032773,-0.0022625,-0.028713,0.050205,-0.030848,-0.035752,-0.0050395,0.016792,-0.0010585,-0.045582,0.0096725,-0.025626,0.019238,-0.0063704,0.0033899
"M972.82T12.55",-0.018415,-0.044547,0.043923,0.036576,0.011106,-0.021778,-0.017117,-0.004576,0.0020813,-0.034949,-0.030002,-0.042693,0.015406,-0.027425,0.0036319,0.0039904,-0.0057152,0.003921,0.0073249
"M976.47T17.54",0.032347,-0.007655,-0.045123,-0.07073,0.036715,0.065353,0.015662,-0.0095465,0.045097,-0.039514,0.022097,0.036769,-0.0059876,0.0087969,-0.052993,0.023231,0.017655,-0.0026809,0.010183
"M977.3T17.56",0.026696,-0.048294,-0.037966,0.0405,0.0053809,-0.040433,-0.023246,-0.044262,-0.022368,-0.0020936,-0.010874,0.040602,0.065208,-0.01285,-0.020541,0.025103,0.030623,0.0077028,-0.0066023
"M977.8T12.55",0.0045606,0.0047558,0.009272,-0.0018007,0.01052,0.0088225,-0.00055686,0.0033553,0.09731,-0.011981,0.047627,0.016678,-0.01445,0.035911,0.00062625,-0.010897,-0.022532,-0.0010235,0.0037911
"M977.8T17.56",0.028878,-0.05551,0.019646,0.014779,0.01742,-0.016259,0.00044241,-0.01117,-0.048554,-0.0050308,0.00044929,0.012253,0.038082,-0.016774,0.0053066,0.0043102,0.00033172,0.010454,-0.0096115
"M978.14T17.55",0.032592,-0.0023624,-0.00092116,0.0017441,-0.014921,-0.035114,0.012065,-0.052204,-0.020154,0.02087,0.024407,-0.016514,0.049965,0.020865,-0.034856,-0.016873,-0.022953,0.0086912,-0.016384
"M978.15T11.61",0.014033,-0.010463,-0.043167,0.018826,-0.0048822,0.033409,0.021756,0.032604,0.011532,-0.044751,-0.0021567,-0.023732,0.0081921,0.023935,0.017893,0.035027,-0.02906,0.0047579,-0.0066504
"M978.79T18.56",0.026561,-0.043187,0.03096,-0.0054265,0.055712,0.0048349,-0.0043815,0.0008451,0.026357,-0.010248,-0.0045221,0.015979,-0.012618,0.0071694,0.0015597,0.027468,-0.0068505,0.0080134,-0.0011771
"M978.8T11.54",0.00041614,0.0061082,0.00056024,0.056616,-0.0592,0.0067316,-0.028875,0.023139,0.0014734,0.020349,0.018559,0.0083351,0.045443,0.017065,0.031098,-0.023803,-0.016434,0.0037388,-0.010012
"M979.31T813.63",0.07585,0.077644,-0.024826,0.010361,0.056893,0.034168,0.029662,-0.011275,0.043309,-0.0054933,-0.0067751,0.0081972,0.0040865,0.001995,-0.02992,-0.0011626,-0.0097791,0.013277,-0.018389
"M979.8T18.56",0.03052,0.0037908,0.0084195,0.052302,0.017181,0.0093875,0.012505,-0.0076654,0.033485,0.018924,0.022895,0.019162,-0.063814,0.049967,0.031514,-0.028674,-0.025441,0.00070878,-0.0026981
"M979.81T11.54",0.0037917,0.0037115,-0.019766,0.056487,0.0068861,0.0037204,-0.019939,0.013432,0.044877,-0.033647,-0.032404,-0.022761,-0.0032275,0.0025073,-0.01486,-0.027603,-0.01352,-0.0064194,0.0089603
"M980.13T17.56",0.020031,-0.068634,0.0076112,-0.0084124,-0.0037776,0.0030644,-0.053221,0.0027545,0.0248,0.00082512,0.0067323,-0.0099764,0.039843,0.012586,0.0053203,0.024422,-0.017353,0.0035465,0.0044183
"M980.8T12.66",-0.02594,-0.024746,0.037334,-0.039865,-0.013139,-0.012242,0.039302,-0.016034,-0.0042415,0.021693,-0.042536,0.048949,0.094348,-0.042748,-0.0044518,-0.014037,0.055363,-0.016492,0.015109
"M980.8T18.55",0.035811,-0.012232,-0.010656,0.030658,-0.046331,0.046939,-0.026683,0.034436,0.015398,0.040763,-0.00054025,0.028224,-0.057434,0.053393,0.012324,0.0038479,-0.044242,-0.00051747,-0.0062839
"M981.47T17.4",-0.010935,-0.038738,0.040516,-0.034631,0.043581,0.016795,0.01578,-0.051121,-0.014255,0.03222,-0.00024773,0.0015586,-0.042313,0.06147,0.018272,-0.036911,-0.015267,0.0033238,-0.0097041
"M981.81T12.55",-0.002838,0.0098037,0.031651,0.0082275,0.018295,-0.0090214,-0.061298,-0.0086089,-0.056897,-0.049035,0.038905,0.014305,0.017079,-0.027587,0.013362,0.01034,0.0077965,-0.012368,0.028641
"M984.29T13.55",-0.0093668,0.0010874,-0.013085,0.0047933,-0.031741,-0.028974,0.0048082,0.007319,0.0058446,0.040022,-0.018589,-0.047506,0.02369,0.010303,-0.059894,0.0014906,-0.013202,-0.002335,0.0040033
"M985.47T17.56",0.024038,0.0036416,0.020167,0.029991,-0.0082283,0.033044,0.047442,0.0023423,0.055812,0.0080699,0.023545,0.0034533,-0.020116,-0.058253,0.013031,0.014356,-0.018554,-0.0051934,-0.0047381
"M985.47T12.55",0.0086728,0.010702,-0.013464,-0.023544,-0.0041341,0.058717,-0.09868,-0.026486,0.017542,-0.016342,0.025091,-0.00012296,0.022865,-0.028246,-0.067471,-0.017703,0.036227,-0.0020329,0.0034753
"M985.8T17.56",0.022947,-0.048027,0.026618,-0.017269,-0.00052417,0.06596,-0.00096714,0.0066833,-0.059594,-0.043804,0.020409,0.0038095,-0.019809,0.014191,-0.026587,-0.034866,-0.019058,0.004197,-0.0055024
"M985.8T12.54",-0.0079131,0.018636,0.016994,0.053265,0.015336,-0.039231,0.048004,0.0018066,-0.00711,0.027854,0.030595,0.021629,0.023739,-0.027236,0.03566,0.0086178,-0.010061,-0.011361,0.012222
"M986.8T18.55",0.024617,-0.0045863,0.03907,0.037083,0.015415,0.01523,0.0010389,0.019813,0.0018414,0.017448,0.016403,-0.017687,-0.046622,0.019784,-0.010832,0.013329,0.01233,0.0011149,-0.007617
"M989.8T17.56",0.0039745,-0.056564,-0.033717,0.0067344,-0.010883,0.031166,0.0045306,-0.016719,-0.020585,0.032562,-0.020219,0.0080504,0.0047418,-0.013047,0.011068,-0.046142,0.047745,-0.0079322,0.0087024
"M989.8T12.54",0.0012162,0.025831,0.035533,0.042266,-0.015279,-0.00042549,0.0078172,0.036161,0.037348,-0.0093447,0.017599,-0.012634,0.025835,-0.033374,-0.024742,0.0063693,-0.010999,0.00021772,0.0030432
"M990.14T17.56",0.018202,-0.060441,0.026452,-0.0090244,-0.0055883,0.025178,-0.012637,-0.0051006,0.010796,-0.051131,-0.015887,0.038064,0.0020251,0.015706,-0.024858,0.033695,-0.00035011,-0.0034092,0.010615
"M990.29T17.56",0.022591,-0.050943,0.0015949,-0.021654,-0.070206,-0.044701,-0.0028712,-0.0081952,0.029266,-0.052112,-0.006491,-0.0065661,0.0022551,-0.021072,-0.0015102,-0.022269,0.0082211,-0.013085,0.016824
"M990.79T18.35",0.024366,-0.051898,0.025445,0.031971,0.019638,0.018512,-0.020131,0.018262,0.0030885,-0.0032045,0.012706,0.026749,-0.0085595,-0.017523,0.0060987,-0.01768,-0.018449,0.00098391,0.0012658
"M995.46T17.54",0.019619,-0.024766,0.061439,-0.034581,-0.061713,-0.00014532,0.013158,0.00030824,0.02562,0.033643,-0.014213,0.0056809,-0.020187,0.028342,-0.025739,0.023526,0.010704,-0.010626,0.0030668
"M996.14T12.55",-0.0018302,0.019915,0.034315,0.052097,-0.0068903,-0.011981,0.016653,0.02395,0.027325,0.052781,-0.018298,0.022336,0.0071291,0.034439,-0.061431,0.090915,-0.024946,0.015564,-0.018179
"M996.8T17.56",-0.011707,-0.039468,0.046797,0.022618,-0.021551,0.069517,-0.015913,-0.0021473,0.027525,0.015102,-0.045565,0.053173,0.040608,-0.040423,0.027068,0.0091719,0.0087201,-0.016306,0.023319
"M997.14T13.55",-0.0045117,-0.0062198,-0.0064279,0.015599,-0.020645,-0.0012528,0.01255,-0.0019267,-0.016792,-0.011163,0.037194,0.069337,0.02512,-0.03026,-0.011512,-0.013378,-0.016913,-0.0073743,0.00059377
"M999.14T16.55",0.0045498,-0.043661,0.0096321,-0.033483,0.0055738,0.015387,-0.019452,-0.08026,-0.028407,-0.031405,-0.010376,-0.015762,-0.017053,0.013095,0.017597,-0.011527,-0.0090641,0.0026723,-0.0039486
"M1000.81T17.56",0.025866,-0.057522,0.0028527,0.02266,0.036101,-0.016254,0.02786,0.016927,-0.0090998,0.017092,0.0084338,0.0057474,-0.031864,0.026505,0.024069,0.0033275,-0.014173,0.013016,-0.016761
