"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M312.324T1556.858","484285.198","217708.453","309537.823","262747.935","518865.036","288760.181","171308.484","584085.846","390409.743","422000","662394.384","212101.5372","231371.9","180857.993","364000","341000","295758.2337","529464.283","227000","521770.264"
"M385.292T1245.233","913639.46","293785.322","114637.422","294864.371","1013079.675","770087.249","483804.37","415279.641","199904.631","1040000","751949.405","127846.7725","189740.192","143424.098","849000","839000","156762.3512","217799.0538","127000","407367.958"
"M929.566T1475.069","85041.99","101850.471","74706.775","59168.667","235245.308","50880.216","27683.761","164667.714","83480.533","44100","18609.465","10040.5239","92877.402","154875.742","137000","54900","12974.4564","118538.752","58100","73313.061"
"M506.256T1389.363","62716.62","81545.446","237465.835","207828.038","153219.344","164546.103","117524.964","158898.003","74666.714","133000","155488.363","143226.1396","178610.467","251912.552","74100","131000","80384.6462","149249.5172","150000","85247.185"
"M543.444T1574.274","66561.739","84508.831","90275.88","98427.895","77329.016","87441.111","33509.348","91363.483","83590.712","59300","54310.104","73053.4051","131402.481","105050.931","76900","88300","79391.21","94451.7888","126000","87426.521"
"M273.891T1991.413","81113.256","56214.389","85128.198","65583.633","67278.692","62304.292","88659.668","70574.568","80471.304","81400","80305.384","86563.903","70956.389","77834.436","78700","70900","69659.1543","80069.5747","77500","61124.091"
"M991.717T1676.434","14630.477","18800.993","16559.611","22980.751","22411.122","25374.986","2471.838","27098.256","19159.067","87300","32365.39","15329.2344","20040.457","10749.606","21200","9460","12515.1244","42504.5715","13000","10134.867"
"M519.387T1507.107","83545.692","51131.235","56025.783","52049.26","58629.138","71520.379","34433.647","65615.98","62999.591","71400","63810.298","42111.5117","82715.579","59752.299","75300","96700","72019.0796","74922.2552","79700","63651.863"
"M908.619T1557.26","23011.835","59200.226","40803.244","32775.858","105945.931","11366.468","13089.025","60570.504","12764.294","29400","18169.462","11350.7378","37487.915","66031.555","123000","6200","12763.8994","62661.7398","25400","4949.574"
"M886.58T1536.307","9578.541","40591.895","28739.341","21032.073","46784.362","20083.088","16254.112","43689.692","18528.482","7640","16645.952","9154.5804","17233.09","54879.286","72700","20400","11384.9707","36849.2474","24200","20226.581"
