"",F.stat,p.value,-log10(p),FDR
M679.553T1406.451,14.58,9.8896e-05,4.0048,0.22657
M367.15T410.425,11.983,0.00026632,3.5746,0.28372
M1076.413T957.42,10.101,0.00060751,3.2164,0.28372
M481.362T1439.996,9.8889,0.00067125,3.1731,0.28372
M1017.38T900.968,8.7759,0.0011632,2.9344,0.28372
M695.45T1338.973,8.2209,0.001558,2.8074,0.28372
M852.32T958.31,8.1968,0.0015783,2.8018,0.28372
M481.361T1422.828,8.1798,0.0015928,2.7978,0.28372
M680.472T1423.013,8.1259,0.00164,2.7852,0.28372
M679.436T1338.726,8.1035,0.0016601,2.7799,0.28372
M681.474T1424.253,8.0491,0.00171,2.767,0.28372
M681.469T1389.183,7.9241,0.0018314,2.7372,0.28372
M680.474T1439.81,7.8895,0.0018667,2.7289,0.28372
M910.351T957.42,7.8678,0.0018892,2.7237,0.28372
M1017.397T924.482,7.5419,0.0022689,2.6442,0.28372
M681.469T1408.485,7.4761,0.0023557,2.6279,0.28372
M472.321T1423.013,7.1536,0.0028411,2.5465,0.28372
M624.432T1423.013,7.0905,0.002949,2.5303,0.28372
M660.517T1313.696,7.0532,0.003015,2.5207,0.28372
M849.321T917.809,6.8334,0.0034403,2.4634,0.28372
M1017.391T843.183,6.7329,0.0036573,2.4368,0.28372
M640.427T1423.35,6.7062,0.0037177,2.4297,0.28372
M590.465T1389.456,6.7054,0.0037196,2.4295,0.28372
M984.394T881.272,6.6159,0.0039303,2.4056,0.28372
M682.472T1373.006,6.6116,0.0039408,2.4044,0.28372
M850.319T858.821,6.5972,0.0039759,2.4006,0.28372
M472.315T1401.37,6.3954,0.0045107,2.3458,0.28372
M623.428T1423.013,6.3478,0.0046486,2.3327,0.28372
M848.316T959.199,6.3147,0.0047473,2.3236,0.28372
M507.18T901.88,6.2177,0.0050507,2.2966,0.28372
M844.318T843.183,6.1715,0.005203,2.2837,0.28372
M850.318T843.183,6.1651,0.0052247,2.2819,0.28372
M623.429T1456.316,5.9938,0.0058405,2.2336,0.28372
M623.428T1439.576,5.9931,0.0058429,2.2334,0.28372
M733.253T876.34,5.9826,0.0058835,2.2304,0.28372
M679.452T1355.733,5.9398,0.0060514,2.2181,0.28372
M512.178T893.689,5.9184,0.0061374,2.212,0.28372
M567.43T1421.35,5.9029,0.0062008,2.2075,0.28372
M574.467T1456.399,5.8536,0.0064066,2.1934,0.28372
