"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"M885.489T1408.277",-0.033432,0.028332,-0.0036498,-0.0072675,0.0037646,-0.010833
"M645.124T781.203",-0.031252,0.052206,-0.039242,-0.016743,0.042998,0.037541
"M942.469T1308.469",-0.029098,0.047496,-0.022008,-0.0071088,-0.009038,-0.017314
"M421.069T767.549",-0.036035,-0.0032301,-0.020396,-0.0012554,0.031798,0.0033004
"M643.245T813.714",-0.030888,-0.014409,0.023766,0.00096211,-0.0027762,0.013811
"M745.161T766.586",-0.033568,0.014754,0.0080185,-0.021054,0.039405,0.0049433
"M442.823T96.43",-0.020435,0.0026651,0.0036744,0.037216,0.089574,-0.009721
"M316.508T323.984",-0.027599,0.020506,-0.021736,-0.00037509,0.013252,0.00046862
"M729.273T847.264",-0.034156,-0.011578,-0.0015235,0.0078073,-0.025402,0.0076355
"M417.764T850.924",-0.031247,0.036669,0.022241,-0.031572,-0.015462,-0.0051456
"M442.938T91.386",-0.026144,0.017007,-0.016715,-0.0057241,0.033061,0.022066
"M653.752T320.843",-0.025986,-0.010036,-0.014103,-0.025442,0.0037991,-0.018443
"M683.129T316.242",-0.030996,-0.0056887,-0.025369,-0.0073733,-0.049032,-0.019599
"M653.783T316.318",-0.026305,-0.021486,0.0011722,-0.0052098,-0.019263,0.0013808
"M489.058T766.222",-0.038735,-0.0042283,0.0025729,0.031613,0.035173,-0.0037936
"M327.108T784.235",-0.030465,-0.00074309,-0.00882,-0.025153,-0.0088024,0.049785
"M633.494T312.856",-0.023407,-0.0049985,0.029274,0.057429,0.026421,-0.0458
"M851.819T1425.446",-0.033439,0.0077396,-0.0047064,0.0014303,0.088447,0.030959
"M530.968T106.005",-0.030343,0.032166,-0.0097683,0.014378,0.021448,-0.01294
"M1009.607T1323.757",-0.028332,0.038617,-0.0089564,-0.016527,0.0079689,-0.015609
"M653.717T312.26",-0.021312,0.0023571,-0.0013252,-0.015529,0.0049448,-0.0687
"M1031.899T1225.646",-0.020633,-0.038388,0.012373,0.045031,0.017482,-0.040742
"M297.119T136.686",-0.032466,0.021546,0.0001623,0.0042957,0.019476,0.0021649
"M769.419T945.253",-0.032025,-0.027032,0.0028048,-0.015093,0.028584,0.036816
"M1201.918T909.936",-0.030853,0.016637,-0.0023495,-0.020498,-0.011044,0.034808
"M864.188T806.912",-0.03078,0.026633,-0.036736,-0.01389,-0.015429,0.021922
"M865.489T1291.829",-0.02669,0.047039,-0.028166,-0.00020488,0.015753,-0.016124
"M799.191T949.166",-0.033568,0.015308,-0.032918,-0.022567,-0.012305,0.0055131
"M1263.489T907.902",-0.026889,0.044263,-0.027098,0.003808,-0.0063967,0.015254
"M451.174T880.577",-0.041125,-0.0091602,0.042942,-0.044007,0.0019207,-0.0046963
"M405.08T802.267",-0.028917,0.040885,-0.018967,0.018537,0.033662,-0.0032031
"M309.119T137.634",-0.034105,0.0081923,0.037953,-0.021949,0.015914,-0.0018297
"M385.077T746.611",-0.023817,0.053366,-0.014789,0.0027904,-0.012445,0.038501
"M192.103T133.173",-0.022107,0.026916,-0.065724,0.032414,-0.031284,0.00056679
"M1030.642T1193.369",-0.021937,-0.039791,-0.0039697,-0.028947,-0.024007,-0.0095838
