"","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg"
"Label","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock"
"M1014.585T1348.471"," 0.26411847"," 0.90056089"," 0.34687683"," 0.06698629","-0.51186537","-0.76367757","-0.30299955"
"M799.289T814.54"," 0.3804925"," 0.3416258"," 0.3810787"," 0.2293609","-0.2429072","-0.4961843","-0.5934664"
"M1053.272T316.465"," 0.2769670"," 0.6677984"," 0.5782118"," 0.1464198","-0.6464186","-0.6398642","-0.3831141"
"M1097.037T893.528"," 0.3803336"," 1.0830467"," 0.2016411"," 0.2199474","-0.7112045","-0.2892622","-0.8845020"
"M869.849T1307.413"," 0.48769184"," 0.91429153"," 0.18168323","-0.08652393","-0.62883546","-0.59140337","-0.27690385"
"M1071.559T892.477"," 0.2596903"," 1.0663194"," 0.1704992"," 0.2107658","-0.6146683","-0.4089124","-0.6836941"
"M1000.263T316.358"," 0.1963719"," 0.6656023"," 0.4037832"," 0.3114851","-0.7980661","-0.6044492","-0.1747273"
"M767.194T317.413"," 0.2426304"," 0.7660111"," 0.4548051"," 0.1697777","-0.5301970","-0.7749662","-0.3280611"
"M280.961T95.439"," 0.16419491"," 0.97681717"," 0.39581534","-0.05958161","-0.80599718","-0.60876366","-0.06248498"
"M650.407T1378.088"," 0.32249853"," 1.06751501"," 0.51876329"," 0.05897745","-0.65670847","-0.81078321","-0.50026260"
"M653.891T318.024"," 0.34388757"," 0.90391898"," 0.43778831"," 0.01418973","-0.43821548","-0.61278961","-0.64877950"
"M560.841T1187.938"," 0.0307798"," 0.6395231","-0.1388559"," 0.5080160","-0.2263679","-0.5191435","-0.2939516"
"M354.957T108.842"," 0.2199912"," 0.9656906"," 0.4174992"," 0.0186894","-0.6255407","-0.5570645","-0.4392652"
"M206.082T164.917"," 0.52698260","-0.98189472","-0.01878494","-0.04602350","-0.02656264"," 0.07507468"," 0.47120852"
"M1161.521T895.466"," 0.18125118"," 1.15348616"," 0.15518448","-0.05624813","-0.61607376","-0.29626038","-0.52133956"
"M418.218T902.438"," 0.22095965"," 0.95499288"," 0.40772154"," 0.12194270","-0.64434584","-1.02290967","-0.03836126"
"M632.783T316.499"," 0.67361826"," 0.53278222"," 0.05218783"," 0.21945242","-0.61517049","-0.63413756","-0.22873269"
"M451.218T291.531"," 0.2706619"," 0.9674288"," 0.3075614"," 0.2487029","-0.5393150","-0.9161076","-0.3389324"
"M344.099T126.621"," 0.2597958"," 0.8742179"," 0.2997348"," 0.2354751","-0.5901702","-0.8858205","-0.1932329"
"M653.691T320.692"," 0.06855177"," 0.63447455"," 0.35185662"," 0.37417710","-0.64677934","-0.48933304","-0.29294767"
"M385.113T835.894"," 0.2935960"," 0.8002625"," 0.5141123"," 0.4911485","-0.1917221","-1.3796423","-0.5277549"
"M627.229T851.009"," 0.2647403"," 0.8532193"," 0.4979820"," 0.3155502","-0.5740433","-1.1028165","-0.2546321"
"M885.489T1408.277"," 0.2413794"," 1.0472969"," 0.3338444"," 0.1039932","-0.6067794","-0.7202535","-0.3994810"
"M645.124T781.203"," 0.12278809"," 1.24497954","-0.02633413"," 0.24029587","-0.39816507","-0.46028648","-0.72327781"
"M942.469T1308.469"," 0.19731905"," 1.04239559"," 0.19787053"," 0.01360512","-0.67481364","-0.45765417","-0.31872250"
