"","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg"
"Label","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock"
"M819.254T316.358"," 0.3780722"," 0.5324687"," 0.4693780"," 0.2244750","-0.5512478","-0.7940364","-0.2591097"
"M383.609T322.831"," 0.28540937"," 0.97695375"," 0.23068094"," 0.06050002","-0.56350307","-0.44491367","-0.54512734"
"M341.31T626.276"," 0.3000556"," 1.0264606"," 0.6156904"," 0.2149140","-0.7830397","-0.7673336","-0.6067472"
"M579.151T798.32","-0.070329107"," 0.975132562","-0.008350457"," 0.778427018","-0.458578174","-0.585146031","-0.631155812"
"M784.154T761.471"," 0.158649018"," 0.987373522"," 0.434035823","-0.001287215","-0.548941496","-0.606579340","-0.423250312"
"M323.187T1016.246"," 0.3001291"," 0.8033257"," 0.3567480"," 0.2130780","-0.8068767","-0.4104032","-0.4560007"
"M1099.581T1224.487"," 0.24125774"," 0.86050142"," 0.29688120"," 0.02276012","-0.53857218","-0.70280863","-0.18001967"
"M206.988T126.118"," 0.19558109"," 0.97966062"," 0.07264541"," 0.18122812","-0.42369079","-0.50818491","-0.49723955"
"M489.691T902.138"," 0.2876225249","-0.5483675605","-0.0001486139"," 0.0243029822"," 0.8174703740","-0.8034207736"," 0.2225410670"
"M472.901T67.482"," 0.39894338"," 0.87038206","-0.02788848"," 0.40881366","-0.59637879","-0.81378240","-0.24008943"
"M685.228T857.881"," 0.3007516"," 0.7307758"," 0.8034839"," 0.1669254","-0.6428061","-1.0243287","-0.3348019"
"M441.162T763.637"," 0.2297264"," 0.9642006"," 0.0696180"," 0.2403029","-0.3398403","-0.9232512","-0.2407564"
"M1137.546T907.004","-0.01544136"," 1.09102551"," 0.09814774"," 0.21404431","-0.66315904","-0.62128440","-0.10333276"
"M963.275T732.778"," 0.3969901"," 0.7775213"," 0.3166964"," 0.2761302","-0.5631550","-0.7652779","-0.4389051"
"M991.316T318.206"," 0.3484098"," 0.6837621"," 0.2490521"," 0.2923930","-0.3604776","-0.8209609","-0.3921786"
"M867.206T809.129"," 0.27709302"," 1.48425861","-0.08210766"," 0.16466928","-0.36054279","-0.77689273","-0.70647773"
"M403.064T798.991"," 0.2161967"," 1.0552206","-0.1118268"," 0.3417962","-0.6594410","-0.1148624","-0.7270832"
"M836.522T1479.692"," 0.27544731"," 1.01559776"," 0.24865440"," 0.04457952","-0.70302111","-0.44487140","-0.43638647"
"M399.275T1363.391"," 0.1067871"," 0.9425714"," 0.4160285"," 0.3249586","-0.7044758","-0.5590854","-0.5267844"
"M548.179T817.387"," 0.2938417"," 0.6573831"," 0.4624025"," 0.5441932","-0.4684805","-1.1113773","-0.3779627"
"M524.183T892.811"," 0.2387158"," 0.8329527"," 0.3291957"," 0.2452208","-0.5409458","-0.8205584","-0.2845807"
"M518.153T824.178"," 0.1837594"," 0.8524613"," 0.5464614"," 0.1416829","-0.4831210","-0.8153702","-0.4258738"
"M1096.548T894.929"," 0.16154120"," 1.13372432"," 0.10757505"," 0.02230263","-0.68986674","-0.38971780","-0.34555865"
"M999.268T316.316"," 0.3576113"," 0.5931844"," 0.4313238"," 0.2863266","-0.6856568","-0.6681391","-0.3146502"
"M393.081T756.691"," 0.2583035"," 1.0815498"," 0.3740002"," 0.2436670","-0.8059160","-0.6096272","-0.5419772"
"M836.743T1479.398"," 0.16886365"," 0.89944481"," 0.37489777"," 0.07681653","-0.47282266","-0.54349918","-0.50370092"
"M529.154T821.794","-0.0492762"," 0.8458510"," 0.4378405"," 0.4668985","-0.4065011","-0.8257453","-0.4690674"
"M487.212T857.117"," 0.1888843"," 0.8582199"," 0.6516899"," 0.1789879","-0.6501401","-0.6590139","-0.5686280"
"M322.969T105.104"," 0.23900391"," 0.72690172"," 0.48869480"," 0.09426472","-0.61530547","-0.60762582","-0.32593387"
"M475.146T746.942"," 0.225801072"," 1.036453009"," 0.559294958","-0.003943502","-0.806250510","-0.619479919","-0.391875108"
"M1323.386T316.247"," 0.3893930"," 0.4378688"," 0.4617079"," 0.3555120","-0.4705308","-0.9523155","-0.2216354"
"M438.049T766.588"," 0.03165483"," 0.95259195"," 0.66700345"," 0.02162847","-0.49528481","-0.56632949","-0.61126440"
"M1013.583T1347.533"," 0.27986577"," 0.90564090"," 0.32896133"," 0.04215469","-0.53049431","-0.67565830","-0.35047007"
"M407.045T415.442"," 0.30460358"," 0.96987119"," 0.36683062"," 0.04630298","-0.63124180","-0.57494012","-0.48142645"
"M331.068T223.104"," 0.07803309"," 1.22517757"," 0.43665395"," 0.16410688","-0.73679974","-0.76150233","-0.40566942"
"M384.092T841.195"," 0.2472396"," 0.4656793"," 0.4828194"," 0.1568824","-0.4684407","-0.1910265","-0.6931535"
"M1611.697T937.933"," 0.3312902"," 1.2863784"," 0.7876428"," 0.2377521","-0.5992273","-1.3361495","-0.7076867"
"M465.105T746.988"," 0.25813848"," 1.09750179","-0.04959887"," 0.30583460","-0.74343439","-0.23403862","-0.63440299"
"M653.913T316.046"," 0.3295687"," 0.8628286"," 0.2921271"," 0.2920828","-0.8276247","-0.6440749","-0.3049075"
"M969.317T316.321"," 0.4103676"," 0.4086815"," 0.4523348"," 0.2679831","-0.4662690","-0.8816812","-0.1914167"
"M354.082T204.227","-0.9153981","-0.2538118"," 0.8591099"," 0.5039687","-0.4558661"," 0.7526469","-0.4906495"
"M311.104T1075.82"," 0.55417677"," 0.71532487"," 0.03461508"," 0.14787922","-0.05683862","-1.00781137","-0.38734595"
"M380.071T778.258"," 0.3145109"," 0.9358546"," 0.5170651"," 0.9605426","-0.8113647","-1.1633576","-0.7532508"
"M638.078T817.768"," 0.1787968"," 0.4342700"," 0.1724562"," 0.4304459","-0.2654318","-1.0259937"," 0.0754567"
"M735.222T927.83"," 0.01250357"," 1.07517280"," 0.60188790"," 0.08221830","-0.63861143","-0.82164697","-0.31152417"
"M651.317T893.83"," 0.1375486"," 0.8643082"," 0.4019212"," 0.1124101","-0.5860430","-0.5644876","-0.3656574"
"M1167.557T907.179"," 0.6229140"," 0.7276245"," 0.5681363","-0.0642877","-0.9414636","-0.5212330","-0.3916905"
"M221.066T891.624"," 0.1317673"," 0.5254859"," 0.6581028"," 0.3570001","-0.5454069","-0.7399652","-0.3869839"
"M204.085T413.719"," 0.1967598"," 1.4710196"," 0.3195842"," 0.8112686","-0.9256222","-0.9270935","-0.9459165"
"M621.125T857.148"," 0.0718850"," 0.7568378"," 0.5894082"," 0.4839840","-1.0901717","-0.6764514","-0.1354920"
"M453.101T88.055"," 0.001577843"," 0.817888916","-0.159268973"," 0.704762214","-0.222232532","-0.554523252","-0.588204216"
"M1009.554T1308.282"," 0.20985030"," 0.99380667"," 0.15561455","-0.01693797","-0.49632423","-0.42347542","-0.42253390"
"M483.178T941.182"," 0.3751895"," 0.8153276"," 0.3653929"," 0.1084275","-1.0470709","-0.4573861","-0.1598806"
"M1057.411T880.24"," 0.1965753"," 0.8591745"," 0.6706760"," 0.1663746","-0.2770473","-1.2046626","-0.4110905"
"M478.295T1238.56"," 0.12088777"," 0.83920676"," 0.13611336"," 0.07077426","-0.45542880","-0.41433018","-0.29722317"
"M469.208T948.545"," 0.2916229"," 0.8585006"," 0.4286185"," 0.3708664","-0.2809607","-0.9565105","-0.7121372"
"M632.993T321.252"," 0.31783733"," 0.93580027"," 0.26824999","-0.08265297","-0.57616311","-0.53513327","-0.32793824"
"M1308.932T316.358"," 0.38504392"," 0.07238012"," 0.47912872"," 0.51393427","-0.44407476","-0.91156797","-0.09484429"
"M771.369T883.552"," 0.13845990"," 0.73343573"," 0.28411747"," 0.07127535","-0.49688849","-0.51928546","-0.21111451"
"M673.289T892.945"," 0.1367642"," 0.9687086"," 0.3430000"," 0.1876063","-0.6133154","-0.7640711","-0.2586927"
"M833.365T968.818"," 0.09982149"," 1.12818552"," 0.30622879"," 0.41415564","-0.63416689","-1.14885921","-0.16536534"
"M893.38T934.735"," 0.4059496"," 0.9706992"," 0.5271270"," 0.2403044","-0.3075817","-1.4529942","-0.3835042"
"M393.176T847.594"," 0.07288515"," 0.91736784"," 0.35625897"," 0.28373166","-0.58440154","-0.73063478","-0.31520730"
"M653.935T315.929"," 0.2923479"," 0.8616343"," 0.1924375"," 0.2698688","-0.5471054","-0.7446578","-0.3245254"
"M865.491T1326.551"," 0.277423313"," 1.070964301"," 0.079395946","-0.009984931","-0.519309010","-0.552725405","-0.345764213"
"M449.202T630.506"," 0.1857325"," 0.7935643"," 0.2692805"," 0.3060001","-0.4478754","-0.6457821","-0.4609199"
"M437.065T776.272"," 0.320561567"," 0.907288521"," 0.270782919","-0.008488658","-0.504738970","-0.534586052","-0.450819326"
"M268.959T125.12"," 0.036229150"," 0.989395304"," 0.235660999"," 0.007024878","-0.426426812","-0.634306002","-0.207577517"
"M551.272T837.928"," 0.3454503"," 0.9435458"," 0.3538139"," 0.1265453","-0.3071837","-1.0370793","-0.4250923"
"M456.197T892.811"," 0.2219849"," 0.9122159"," 0.3874961"," 0.2854686","-0.6771551","-0.8020340","-0.3279763"
"M356.995T88.504"," 0.44317131"," 1.00307704"," 0.08849945"," 0.37202984","-0.45085822","-0.70693221","-0.74898722"
"M567.778T908.116","-0.04678262"," 1.04825003"," 0.03953154"," 0.12330253","-0.60625375","-0.33339568","-0.22465205"
"M559.667T1200.71"," 0.06628831"," 1.14480372"," 0.24725236","-0.10785540","-0.17886536","-0.54930211","-0.62232152"
"M455.193T892.238"," 0.30855435"," 0.93034270"," 0.29631417"," 0.42323561","-0.90309767","-1.01301417","-0.04233499"
"M651.363T1268.695","-0.11613583"," 1.22010852"," 0.08101355"," 0.13477810","-0.68244935","-0.11619680","-0.52111819"
"M1255.613T888.434","-0.01205412"," 1.01742078"," 0.16459219"," 0.47838907","-0.62740827","-0.49227383","-0.52866583"
"M701.195T940.853"," 0.09540902"," 1.11983318"," 0.14235522"," 0.34688215","-0.64950233","-0.51913344","-0.53584381"
"M573.017T749.518"," 0.19929913"," 1.10882996","-0.02035579"," 0.26086887","-0.42209733","-0.38626026","-0.74028458"
"M587.201T848.147"," 0.20193297"," 1.04700388"," 0.45114883"," 0.03249759","-0.78952579","-0.60899701","-0.33406047"
"M429.419T313.767"," 0.11434061"," 1.12616013"," 0.32253224","-0.02448219","-0.35355020","-0.50440202","-0.68059856"
"M1223.501T894.767"," 0.19098485"," 1.12686081"," 0.27359322"," 0.04085068","-0.69972931","-0.49826542","-0.43429483"
"M1014.419T974.744"," 0.6126718"," 0.7230687"," 0.7442534"," 0.2985560","-0.7628854","-1.3522481","-0.2634164"
"M383.555T317.319"," 0.25392908"," 0.94579064"," 0.33005107"," 0.03051601","-0.54028236","-0.50805827","-0.51194618"
"M743.208T992.462","-0.3334446"," 0.8139536"," 0.2337617"," 0.7495289","-0.7403833","-0.1063169","-0.6170994"
"M1305.428T315.265"," 0.40695983"," 0.07765003"," 0.54767436"," 0.43927416","-0.38871583","-0.92025852","-0.16258404"
"M593.857T757.673"," 0.3935389"," 1.2127794","-0.1690462"," 0.1156025","-0.7702791","-0.2283525","-0.5542430"
"M569.35T895.921"," 0.1720164"," 1.1402311"," 0.2855595","-0.1228045","-0.6492356","-0.2811750","-0.5445918"
"M325.2T1323.486"," 0.03034259"," 0.80890633"," 0.34987265"," 0.14083003","-0.31189203","-0.44607834","-0.57198123"
"M269.103T792.774"," 0.1984812"," 0.8561642"," 0.2719543"," 0.4257587","-0.5302299","-0.7273960","-0.4947325"
"M637.025T106.841"," 0.1066508"," 0.9105895"," 0.2632762"," 0.1527765","-0.6242989","-0.6617456","-0.1472485"
"M334.932T113.331"," 0.18911339"," 0.98293805"," 0.26579198"," 0.04711865","-0.53845857","-0.46187863","-0.48462487"
"M433.784T801.352"," 0.3762318"," 0.8570003"," 0.4181803","-0.0865531","-0.2851735","-0.9842181","-0.2954677"
"M1197.053T906.963","-0.38827088"," 0.42419915"," 0.05374176"," 0.36744560","-0.90018229","-0.01988395"," 0.46295062"
"M1048.557T894.929"," 0.23524597"," 1.10596669"," 0.28936396"," 0.02213478","-0.55711142","-0.35552298","-0.74007701"
"M295.104T156.471"," 0.3216659"," 1.0090711"," 0.2411800"," 0.2047190","-0.5418050","-0.5800882","-0.6547428"
"M354.093T750.969"," 0.22201966"," 1.05603173"," 0.05173103"," 0.20881842","-0.40201806","-0.51586183","-0.62072096"
"M398.263T1317.762"," 0.4365038"," 0.7431833"," 0.3826578"," 0.2477151","-0.5968938","-0.4947034","-0.7184629"
"M807.166T938.699"," 0.37661017"," 1.01585034"," 0.62955614","-0.08299628","-0.95780422","-0.75510733","-0.22610881"
"M653.828T318.352"," 0.2799931"," 0.9788656","-0.1142788"," 0.1413503","-0.5149907","-0.5059948","-0.2649447"
"M1103.415T879.391"," 0.2923787"," 0.8235188"," 0.7423568","-0.1010158","-0.2408110","-1.1738862","-0.3425413"
"M355.571T782.72","-0.003711788"," 0.899770214"," 0.691257012"," 0.330523360","-0.456684645","-0.776851296","-0.684302858"
"M633.572T315.643"," 0.36868451"," 0.69898182"," 0.45742986","-0.07660776","-0.38489908","-0.60403042","-0.45955892"
"M1039.403T917.165"," 0.1336775"," 0.9448786"," 0.7131992"," 0.1534640","-0.3113032","-1.3087548","-0.3251613"
"M1037.324T316.098"," 0.2768214"," 0.7609297"," 0.3569742"," 0.2039785","-0.4875359","-0.7873909","-0.3237770"
"M509.218T928.864"," 0.2350203"," 0.7687057"," 0.4471134"," 0.3088095","-0.5412395","-0.8312626","-0.3871469"
"M1308.415T315.705"," 0.56404599"," 0.05230155"," 0.31285726"," 0.46906881","-0.27754149","-0.89430150","-0.22643062"
"M311.186T1077.614","-0.1236720"," 0.9194230"," 0.5281160"," 0.3522839","-0.4791087","-0.5897693","-0.6072730"
"M969.321T316.442"," 0.3810115"," 0.3709611"," 0.5894008"," 0.2240838","-0.4600449","-0.8843307","-0.2210816"
"M333.083T110.42"," 0.02052831"," 0.94769617"," 0.29596995"," 0.44517158","-0.60871609","-0.68096961","-0.41968030"
"M1063.398T908.83"," 0.3278181"," 1.0002875"," 0.4957523"," 0.1334166","-0.2151632","-0.9593561","-0.7827553"
"M969.813T316.499"," 0.61385992"," 0.06858954"," 0.20724402"," 0.45403662","-0.43046208","-0.79520963","-0.11805840"
"M459.959T106.348"," 0.16233966"," 0.65271120"," 0.55406015"," 0.24601867","-1.06898927","-0.53544293","-0.01069748"
"M485.178T783.442"," 0.1395386"," 0.6737925"," 0.5023153"," 0.3186187","-0.3172127","-0.9388320","-0.3782204"
"M371.133T805.134"," 0.5107505"," 0.7673456"," 0.5612888","-0.1711533","-0.2623286","-1.1690176","-0.2368854"
"M439.083T756.683"," 0.06968076"," 0.93149071"," 0.57314736"," 0.17106558","-0.59517013","-0.52713975","-0.62307453"
"M985.784T316.247"," 0.5656789195"," 0.4340070154"," 0.5076502275"," 0.0002000336","-0.4767852491","-0.9135916851","-0.1171592617"
"M479.19T902.518"," 0.35453039"," 0.82883870"," 0.17143702"," 0.03929341","-0.33942310","-0.86278989","-0.19188654"
"M413.081T316.361"," 0.27973494"," 0.92656481"," 0.32313391"," 0.04096796","-0.54397989","-0.60283966","-0.42358208"
"M417.177T763.775"," 0.01326522"," 1.02385507"," 0.19435038"," 0.41538652","-0.62936065","-0.57251005","-0.44498649"
"M225.002T107.866"," 0.4188708"," 1.0308844"," 0.2279144"," 0.1576697","-0.7358181","-0.6552187","-0.4443025"
"M547.145T895.878"," 0.603634068"," 0.810063921"," 0.002878408"," 0.235923855","-0.649022917","-0.649226836","-0.354250500"
"M947.485T901.595"," 0.1750648"," 1.1334225"," 0.2569311"," 0.2337729","-0.6877654","-0.6949297","-0.4164961"
"M399.165T851.906"," 0.3102989"," 0.7316034"," 0.3828580"," 0.3099990","-0.4585523","-0.8843411","-0.3918659"
"M895.304T938.238"," 0.2319005"," 1.0068512"," 0.6743323"," 0.1954683","-0.5986751","-1.0594193","-0.4504579"
"M455.081T744.378","-0.0947587"," 0.9919114"," 0.5861411"," 0.1571532","-0.6623193","-0.4469519","-0.5311757"
"M430.136T769.014"," 0.4832717"," 0.9076537"," 0.6362846"," 0.5176515","-1.0564330","-1.3087310","-0.1796975"
"M590.274T907.848","-0.08096874"," 1.02925964","-0.09863762"," 0.21971879","-0.56196733","-0.10946390","-0.39794084"
"M353.181T807.324"," 0.1511008"," 0.9110838"," 0.5364567"," 0.2335758","-0.6151238","-1.0030161","-0.2140772"
"M456.925T66.979"," 0.0593085"," 0.4083823"," 0.5193663"," 0.5015197","-0.5956168","-0.6866139","-0.2063461"
"M419.115T799.29"," 0.33665572"," 0.87898885"," 0.09800879"," 0.35312600","-0.61187533","-0.46973713","-0.58516689"
"M698.988T986.183","-0.08407134"," 0.83102018"," 0.36765169"," 0.59456477","-0.91228442","-0.22097863","-0.57590225"
"M139.002T112.479"," 0.16000916"," 0.94474320"," 0.39508621"," 0.07531061","-0.60051064","-0.51282701","-0.46181153"
"M1095.872T896.96"," 0.32073615"," 1.04109594"," 0.46533285"," 0.04067903","-0.59395481","-0.35287422","-0.92101494"
"M957.374T926.518","-0.0328478"," 1.0002120"," 0.5926971"," 0.2305951","-0.4185286","-1.0769859","-0.2951419"
"M429.646T308.971"," 0.37350502"," 0.71877772"," 0.46289287"," 0.09489636","-0.59902188","-0.68524586","-0.36580423"
"M968.4T974.568"," 0.1954542"," 0.8541806"," 0.9011853"," 0.1693018","-0.4770289","-1.3048035","-0.3382895"
"M1015.586T1347.819"," 0.28494199"," 0.86762366"," 0.36422579"," 0.05454322","-0.52400656","-0.74848374","-0.29884436"
"M1033.603T1229.397"," 0.2119723"," 0.7591682"," 0.2915246"," 0.1436639","-0.4196834","-0.6894743","-0.2971713"
"M533.169T900.984"," 0.2420204"," 0.8329372"," 0.5170047"," 0.3979217","-0.5948316","-0.6405426","-0.7545097"
"M443.193T725.675"," 0.1117412"," 0.8569892"," 0.4645593"," 0.1764353","-0.6236444","-0.8290076","-0.1570731"
"M1162.58T906.276","-0.6448666"," 0.4485151","-0.3190342"," 0.6115654","-0.2140323"," 0.2447646","-0.1269121"
"M1095.01T894.541"," 0.6800936"," 0.4960553"," 0.4102013","-0.1803895","-0.5226990","-0.6293348","-0.2539269"
"M1209.581T888.373","-0.06256913"," 1.04979185"," 0.20929493"," 0.28020355","-0.57848801","-0.46887499","-0.42935819"
"M492.868T66.13"," 0.15633478"," 0.70383655"," 0.46587839"," 0.03316976","-0.64307124","-0.38291128","-0.33323695"
"M567.276T907.878"," 0.006090034"," 1.088383727"," 0.084854158"," 0.017166539","-0.665861364","-0.231813625","-0.298819468"
"M664.226T813.714"," 0.3615163"," 0.9357064"," 0.1809339"," 0.3443880","-0.3789507","-1.0176293","-0.4259645"
"M1035.397T978.889"," 0.2696892"," 0.4839560"," 0.9003601"," 0.3123977","-0.5212891","-1.1613815","-0.2837325"
"M1162.051T893.06"," 0.21677083"," 1.13338477"," 0.23903433","-0.06152466","-0.65520072","-0.37949543","-0.49296912"
"M812.842T69.273"," 0.5714308"," 0.8481218"," 0.1030195"," 0.2574007","-0.7703863","-0.7440246","-0.2655619"
"M691.153T854.793"," 0.1875547"," 1.0302008"," 0.2535792"," 0.3254534","-0.7648714","-0.5335657","-0.4983509"
"M433.351T780.04"," 0.08298999"," 1.07899742"," 0.59670916","-0.01337522","-0.68209711","-0.54509313","-0.51813110"
"M209.961T64.78","-0.04842636"," 0.55405861"," 0.65855660","-0.01743795","-0.50317115","-0.23699503","-0.40658472"
"M1363.57T899.951"," 0.1898719"," 1.0281220"," 0.2209326"," 0.3993113","-0.9702862","-0.3805586","-0.4873930"
"M410.078T615.621"," 0.3954534"," 1.1430312"," 0.9584025"," 0.4462870","-0.5052533","-0.8625747","-1.5753461"
"M1125.418T877.844"," 0.3578570"," 0.7708941"," 0.5333374"," 0.1774870","-0.2522173","-1.3674199","-0.2199383"
"M483.183T857.732"," 0.4124255"," 0.8205300"," 0.4721526"," 0.2808151","-1.1019066","-0.6577595","-0.2262571"
"M1323.575T889.628"," 0.07676909"," 0.99376591"," 0.15912503"," 0.45858265","-0.59373394","-0.55764363","-0.53686512"
"M695.298T853.355"," 0.2669399"," 1.0200652"," 0.3831398"," 0.1805240","-0.7882663","-0.8688679","-0.1935347"
"M921.12T945.55"," 0.13064957"," 0.95096317"," 0.08885744"," 0.21062973","-0.75490876","-0.20995137","-0.41623978"
"M331.103T255.151"," 0.1898933"," 0.9422320"," 0.2280065"," 0.2611886","-0.8215306","-0.5798503","-0.2199395"
"M322.871T96.154"," 0.21877334"," 0.55322323"," 0.44684541"," 0.43029860","-1.24185664","-0.45042269"," 0.04313874"
"M539.134T89.251","-0.0753968"," 1.0670840"," 0.1238141"," 0.2464512","-0.2158372","-0.7254451","-0.4206703"
"M502.995T105.736"," 0.14737305"," 1.26128661"," 0.34636001","-0.07262316","-0.64518871","-0.55140178","-0.48580604"
"M641.302T1183.734"," 0.4382596"," 0.7973926"," 0.9652914"," 0.1922055","-0.7571947","-0.8968219","-0.7391326"
"M967.36T964.868"," 1.0727402"," 0.6196118"," 0.3988695"," 0.3273271","-0.9622429","-1.3080365","-0.1482693"
"M329.088T474.939"," 0.1532298"," 0.9155685"," 0.3075957"," 0.2040862","-0.5929852","-0.5726763","-0.4148187"
"M617.133T750.744"," 0.1278167"," 0.9812341"," 0.3796011"," 0.3123127","-0.4897989","-0.6177459","-0.6934198"
"M669.182T316.584"," 0.30570905"," 0.67454590"," 0.60094208","-0.01029239","-0.51666030","-0.65931470","-0.39492965"
"M447.152T782.273"," 0.2136178"," 1.0197175"," 0.2333232"," 0.1714717","-0.7872797","-0.5680143","-0.2828362"
"M1097.514T1402.931"," 0.1769500"," 0.9192401"," 0.3889089"," 0.0766245","-0.6491034","-0.5296504","-0.3829697"
"M413.091T89.817"," 0.1335950"," 0.9178692"," 0.3432996","-0.0216130","-0.6023534","-0.2257156","-0.5450818"
"M990.329T838.789"," 0.3352966"," 1.0196604"," 0.5363138"," 0.3013149","-0.5618973","-1.3337079","-0.2969805"
"M1229.54T895.369"," 0.2110453052"," 1.1184049720"," 0.2972250103"," 0.0007318879","-0.6939393999","-0.1926174585","-0.7408503170"
"M593.926T757.244"," 0.4525508"," 1.1675787"," 0.1354903"," 0.1837314","-0.8536479","-0.4004894","-0.6852139"
"M240.933T64.89"," 0.3531122"," 0.5388661"," 0.4325289"," 0.1162047","-0.5157312","-0.3252307","-0.5997500"
"M548.979T106.308"," 0.220240311"," 0.934482958"," 0.483986261","-0.002382679","-0.734779473","-0.573312259","-0.328235119"
"M630.629T315.233"," 0.52283060"," 0.66425347"," 0.34960497","-0.03168069","-0.57684802","-0.63894726","-0.28921307"
"M353.228T471.773"," 0.1928948"," 0.9281654"," 0.3045364"," 0.3985943","-0.5380043","-0.3701797","-0.9160069"
"M1031.288T315.245"," 0.3317174"," 0.5625748"," 0.4208387"," 0.2948815","-0.6115955","-0.8513377","-0.1470791"
"M333.109T769.719"," 0.4765690"," 0.7884777"," 0.5556050"," 0.2568144","-1.2476858","-0.6122142","-0.2175660"
"M324.072T215.478","-0.20235074"," 0.53031458"," 0.29979254","-0.38816258","-0.05767489"," 0.59679435","-0.77871327"
"M830.24T316.247"," 0.3432727"," 0.6042196"," 0.4655761"," 0.4653722","-0.8029045","-0.9416649","-0.1338712"
"M695.289T1193.403"," 0.2253871"," 0.8613829","-0.1581384"," 0.5631817","-0.2258874","-0.5097932","-0.7561328"
"M1087.412T876.684"," 0.3570487"," 0.7704773"," 0.3508146"," 0.3633254","-0.7929243","-0.7766508","-0.2720909"
"M385.077T649.201"," 0.15441600"," 0.98081414"," 0.05524332"," 0.07017054","-0.43395798","-0.38410271","-0.44258331"
"M549.205T845.853","-0.003695958"," 0.922793950"," 0.547470229"," 0.283091014","-0.857645781","-0.756012649","-0.136000805"
"M419.03T798.766","-0.091670106"," 1.080205974","-0.009027759"," 0.399944464","-0.479547035","-0.128430089","-0.771475450"
"M389.108T489.956"," 0.2219187"," 0.4563039"," 0.7980782","-0.1521208","-0.5904106","-1.0469193"," 0.3131499"
"M632.847T316.374"," 0.5025940"," 0.6384099"," 0.1817084"," 0.3999553","-0.2670160","-1.0762524","-0.3793992"
"M341.535T617.585"," 0.2913672"," 1.0565269"," 0.7523742"," 0.2008827","-0.7441216","-0.7448439","-0.8121854"
"M387.034T831.689"," 0.4213447"," 0.9358508"," 0.8715055"," 0.7631376","-0.6504494","-1.5167692","-0.8246200"
"M611.538T834.844"," 0.6091107"," 0.6751644"," 0.4126196"," 0.2765670","-0.3559825","-1.2169538","-0.4005255"
"M455.021T825.04"," 0.5443453"," 0.7659113"," 0.8454478"," 0.6762226","-0.7030397","-1.4604473","-0.6684400"
"M1036.399T977.849"," 0.1929870"," 0.8530884"," 0.6904263"," 0.1943372","-0.2112425","-1.3669494","-0.3526470"
"M305.082T1122.457"," 0.59692720"," 0.80558411"," 0.06896222"," 0.16375578","-0.15149204","-1.12574259","-0.35799468"
"M435.217T805.716"," 0.23650226"," 0.86624505"," 0.50063676"," 0.03007225","-0.42370263","-1.01453505","-0.19521863"
"M1136.545T907.7","-0.06290307"," 1.09762368","-0.03496783"," 0.18053872","-0.53072283","-0.27298073","-0.37658794"
"M345.37T608.086"," 0.3464690"," 0.7482221"," 0.4193395"," 0.1252785","-0.7437740","-0.4117400","-0.4837951"
"M642.302T1183.207"," 0.1765696"," 0.3065799"," 1.2625154"," 0.3208392","-0.4826856","-1.0171715","-0.5666469"
"M1130.454T886.215"," 0.1340741"," 1.1524614"," 0.2751085"," 0.2919954","-0.6768904","-0.6891202","-0.4876288"
"M476.12T661.378"," 0.3108916"," 0.2524332"," 0.8349480"," 0.2607677","-0.4210204","-1.3894564"," 0.1514364"
"M1163.579T906.602","-0.76148389"," 0.36233178","-0.08849184"," 0.50287901","-0.16988592"," 0.39757262","-0.24292176"
"M415.086T168.579"," 0.2091806"," 1.0020337"," 0.2448207"," 0.1915745","-0.6537064","-0.5559408","-0.4379623"
"M567.333T903.822"," 0.05879613"," 0.97651155"," 0.15659922"," 0.45891886","-0.63675499","-0.60155196","-0.41251881"
"M524.849T67.744"," 0.4302515"," 0.5380574"," 0.3517433","-0.1402296","-0.5026953","-0.4208598","-0.2562675"
"M1163.56T905.015","-0.5727427"," 0.9597629","-0.2417545"," 0.7785933","-0.2899048","-0.3576237","-0.2763305"
"M401.18T764.21","-0.04498145"," 0.75917812"," 0.53544738"," 0.30346927","-0.25350766","-1.01925298","-0.28035268"
"M1463.124T939.772"," 0.3266760"," 0.9484164"," 0.3508913"," 0.4875608","-0.7095847","-0.9871340","-0.4168258"
"M823.337T914.416"," 0.2469604"," 0.7427386"," 0.6548279"," 0.3947098","-0.4590433","-1.1872180","-0.3929754"
"M279.124T874.724"," 0.259004823"," 0.796762321","-0.091206966"," 0.008370251","-0.827136454"," 0.055516487","-0.201310462"
"M397.259T1311.545"," 0.1543333"," 0.9959480"," 0.3692668"," 0.1571418","-0.3617208","-0.6337023","-0.6812668"
"M443.191T791.98"," 0.2672875"," 0.7995501"," 0.3597037"," 0.2684572","-0.4617031","-0.8745261","-0.3587692"
"M413.167T733.785"," 0.0614156"," 0.9226148"," 0.2000155"," 0.2599404","-0.5538791","-0.5809423","-0.3091649"
"M687.305T1181.604"," 0.02179697"," 1.10162451"," 0.78043290"," 0.22995501","-0.58582845","-0.90678766","-0.64119328"
"M341.259T618.637"," 0.2352911"," 0.9963381"," 0.6246115"," 0.2282485","-0.7264026","-0.7647293","-0.5933573"
"M633.753T316.098"," 0.2835912"," 0.7681969"," 0.2244459"," 0.2508523","-0.3630216","-0.8863992","-0.2776656"
