"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M453.035T765.753","9019.9971","6326.6791","770.65782","8273.135","6816.16","8254.5804","9515.77","9079.4782","9019.119","8618.2964","12096.728","332.7641","9965.4816","11754.8731","11217.6532","66.55282","12422.4263","8483.4179"
"M329.089T195.942","11133.6889","5911.1396","243.44434","16432.4184","7295.7108","4588.3611","7281.5064","8754.2571","5203.5042","8600.2784","9740.0941","316.4876","11365.4107","9131.471","8837.8385","48.688868","10978.9057","10112.1193"
"M615.152T88.13","12271.4579","8166.1546","188.08169","16076.9922","10238.6449","11754.7239","12927.7912","16727.1098","14241.7291","11960.3059","11154.5352","423.5232","9797.9807","9473.2602","10839.4769","475","11331.2003","12460.3173"
"M399.092T115.22","9976.895","5166.9776","35.6","12701.4507","6019.27","4946.5184","7144.8764","5571.2768","4342.3858","6225.8132","7512.938","35.6","8838.1746","7559.8525","6513.8255","178","8034.093","6161.826"
"M519.896T67.425","5782.2844","3645.6669","752.97597","7079.413","7517.6938","4191.5537","13936.8774","14956.1325","13615.8201","5884.7382","10698.0739","2404.9854","7931.9992","7847.5348","5434.5414","229","1306.6017","8956.6703"
"M447.222T1194.448","14260.37","20385.9512","1454.26906","29142.304","12409.1851","8491.0191","8772.8569","19679.3606","13113.5543","13285.0923","7271.3453","1454.26906","9964.1933","9583.7729","14199.4248","1454.26906","10357.6813","16091.9941"
"M559.04T89.345","20074.8383","35577.9436","1091.01962","31211.433","28640.4863","27033.304","32601.8353","28610.9705","41307.1129","20878.7697","18551.9361","2498.4243","20335.161","29737.995","17039.4","425","45520.3526","22371.253"
"M513.235T964.262","2453.2687","1670.9281","196.81138","5315.4294","1509.0558","1551.8408","2911.1945","1649.4866","1439.3324","1168.7227","2159.4382","196.81138","984.0569","2502.2865","1040.5094","196.81138","2468.8287","2483.2059"
"M701.333T69.273","4103.2136","4542.3963","214.38964","4370.2161","6085.3309","3594.9185","8581.7229","12418.2617","7847.2038","2756.6509","7751.7976","1071.9482","2433.3737","5836.732","5371.3357","214.38964","2424.2297","7931.9352"
"M413.108T298.268","5737.8775","4355.5847","34.4","8659.3088","4328.4477","2345.7123","7532.7607","5478.0963","2466.7128","4786.8643","6893.049","180.1194","4455.4027","4817.4373","4876.9643","172","9112.0061","8080.7709"
"M434.871T1737.903","15130.4309","12858.3","12662.93979","24465.675","17351.787","17045.4118","26120.688","18306.937","21186.648","13015.3577","19834.8751","21477.6176","25809.9579","21924.6287","25152.642","8370","22352.211","16084.7556"
"M353.052T831.694","4786.1429","17211.992","246.90704","16861.838","17515.5326","10416.0519","22280.5329","45142.2669","17354.532","3362.4954","30426.8544","655.2325","20309.8158","18278.7","29205.6499","49.381408","11030.6419","18771.9188"
"M775.338T1039.594","2348.2776","2458.3983","80.62518","7335.9531","1845.2496","6654.9029","11630.8603","7492.4072","1121.2606","897.0923","4138.1078","403.1259","6316.959","2920.8787","4848.7022","80.62518","7958.8645","9994.7792"
"M429.074T115.482","7526.5281","7150.6831","906.9278","7723.165","4751.7396","3903.2385","5184.6327","5140.1531","5580.9605","3836.0946","4629.2654","1505.1294","4168.5642","5831.4664","6047.6945","947","6086.0999","5615.8219"
"M475.877T67.555","4009.6604","4145.1832","194.39227","6509.6084","3120.5451","2212.9352","7827.4734","5728.6606","4725.0756","5027.1337","6563.1844","1778.7623","5704.5428","5252.52","6387.7399","1000","6487.6086","4949.6693"
"M299.259T1433.689","7397.2656","3638.0388","562.27163","10346.0208","1879.2052","2568.79","4751.7444","3250.9336","2574.0314","3588.2782","1978.7087","3425.5442","5582.5113","5803.9307","5695.0503","733","3995.3769","3042.0756"
"M187.905T92.369","12229.55","38760.645","786.11442","12406.9194","12031.6983","6843.6879","17775.5267","16128.9934","3930.5721","9354.048","13267.6635","786.11442","14529.8562","12467.1916","10155.411","786.11442","14377.1589","14324.1029"
"M809.324T904.082","5585.7051","8029.2602","398.48716","12459.7028","10223.1116","3762.8742","12132.2524","4615.564","5134.0845","1992.4358","7181.2912","398.48716","7813.9676","5157.2655","7801.5699","398.48716","6442.4714","7946.0721"
